CYCLES;INS
1335;287 
1275;287 
912;287 
1552;287 
741;287 
928;288 
978;287 
1047;288 
1095;287 
1343;287 
1460;287 
994;287 
761;287 
1679;287 
1210;287 
903;287 
1716;287 
3682;287 
1925;287 
1364;287 
1059;287 
890;287 
800;287 
624;287 
947;287 
1269;287 
1000;287 
1405;287 
1467;287 
1744;287 
1518;287 
1060;287 
897;288 
1441;287 
1893;287 
1183;288 
1196;287 
1258;287 
1570;287 
961;287 
861;287 
1295;287 
1675;287 
1635;287 
1857;287 
1673;287 
1292;287 
2090;287 
964;288 
1104;287 
923;287 
877;287 
3006;287 
765;287 
1276;287 
1062;287 
1585;287 
954;287 
1940;287 
1043;287 
1178;287 
1383;287 
1427;287 
1010;287 
887;287 
1799;287 
1666;287 
2095;287 
1487;287 
1435;288 
1405;287 
1837;287 
1493;288 
1536;288 
1129;287 
1476;287 
734;287 
1224;288 
1581;287 
1278;287 
1593;288 
1271;287 
1001;287 
1043;287 
1775;287 
1608;287 
2123;288 
963;287 
1338;287 
1335;288 
1380;287 
1572;287 
1060;287 
1022;287 
980;287 
1646;287 
3035;287 
3349;287 
1343;287 
1138;287 
1784;289 
1495;287 
1550;287 
1511;287 
1540;287 
1376;288 
1764;287 
1772;287 
1648;287 
1015;287 
1014;287 
1449;287 
1080;287 
1969;287 
3838;287 
1906;287 
2279;287 
2931;287 
992;287 
1006;287 
966;287 
1305;287 
1824;287 
1263;287 
1923;287 
1858;287 
2917;287 
1385;287 
1505;287 
955;287 
1158;287 
1354;287 
1033;288 
1320;287 
1589;287 
1046;287 
1219;287 
1894;287 
1257;287 
1285;287 
1172;288 
1145;288 
918;287 
1461;287 
936;287 
853;287 
1365;288 
1204;287 
1525;287 
3629;288 
1594;287 
1375;287 
2769;287 
1130;287 
1383;287 
1266;287 
1543;287 
1482;288 
1358;287 
1212;287 
1113;287 
1555;287 
1323;287 
1568;287 
1253;287 
862;287 
1014;287 
1342;287 
900;287 
1289;287 
1547;287 
1789;287 
1384;287 
923;287 
1714;287 
735;287 
1157;287 
1894;288 
1517;287 
931;287 
3148;287 
1355;287 
1893;287 
629;287 
914;288 
1288;287 
1430;287 
1053;287 
1445;287 
773;287 
1193;287 
1216;287 
1970;287 
1666;288 
1070;288 
1025;287 
1662;287 
1394;287 
1262;288 
993;287 
1066;287 
1152;287 
2745;287 
2877;287 
1116;287 
1724;288 
1127;287 
1138;287 
1602;287 
1265;287 
1361;288 
1075;288 
1421;287 
1317;287 
1279;287 
837;287 
1045;287 
1083;287 
2138;287 
881;287 
1560;287 
1302;287 
850;287 
1333;287 
1200;287 
1324;287 
1281;287 
1317;287 
1654;287 
1594;287 
1665;287 
1025;287 
955;287 
1684;288 
1322;288 
1644;287 
1429;287 
1848;287 
1003;287 
1517;287 
1248;287 
