CYCLES;INS
1578;288 
3663;287 
1898;287 
1548;287 
1782;287 
1155;287 
1622;287 
1025;287 
1641;287 
2856;288 
1383;287 
1028;287 
4015;287 
1234;287 
1330;287 
1960;287 
921;287 
1748;287 
1334;287 
1397;287 
895;287 
1361;287 
934;287 
1167;287 
1839;287 
992;287 
1716;287 
3919;287 
1073;287 
859;287 
1028;287 
1246;287 
1403;287 
1465;287 
1380;287 
1169;287 
1755;287 
1200;287 
2049;287 
1590;287 
1190;287 
1109;287 
1454;287 
1334;287 
1173;288 
945;287 
1699;288 
1610;287 
1663;287 
1271;287 
1062;287 
1581;287 
946;287 
1936;287 
1432;287 
1040;287 
1842;287 
1192;287 
1740;287 
1336;288 
1050;287 
1296;287 
1525;287 
3593;288 
1231;287 
1036;287 
1758;287 
3502;289 
1428;287 
1174;287 
922;287 
1190;287 
1503;287 
1490;287 
1252;287 
2862;287 
1391;287 
1429;287 
1771;287 
1415;287 
1258;287 
754;287 
1029;288 
1167;287 
1776;287 
1258;287 
1273;287 
1082;288 
1499;287 
1337;287 
1711;287 
1480;287 
1909;287 
1011;287 
1926;287 
877;287 
1246;287 
1941;287 
1335;287 
1098;287 
3066;287 
1155;288 
1253;287 
3888;287 
2004;287 
1329;287 
1313;287 
903;287 
1390;287 
1247;287 
1352;287 
1707;287 
1751;287 
1426;287 
1172;287 
959;287 
3415;287 
1744;287 
1694;287 
1688;287 
1567;287 
1151;287 
1985;287 
1441;287 
1032;288 
927;287 
1494;287 
1629;287 
1066;287 
1197;287 
3942;287 
1163;287 
1733;287 
1340;287 
1158;287 
947;287 
1745;288 
2793;287 
1607;287 
2783;287 
1439;287 
1022;287 
1024;287 
1975;288 
1021;287 
1149;287 
1470;288 
1167;287 
1169;287 
1406;287 
1697;287 
1338;287 
1413;287 
1506;287 
793;287 
2531;287 
1048;287 
1218;287 
1530;287 
1400;287 
1169;287 
1186;287 
942;287 
1662;287 
995;287 
1217;287 
1125;287 
1547;287 
1059;287 
1214;288 
1719;287 
1761;287 
1055;287 
2192;287 
1758;287 
1453;287 
3515;287 
1065;287 
996;287 
1123;287 
1428;287 
3150;287 
1651;287 
1824;287 
1103;288 
1186;287 
1413;287 
612;287 
1982;287 
1201;287 
1200;288 
809;287 
1132;287 
1151;287 
1197;287 
1883;287 
2058;289 
1253;287 
1930;287 
1825;287 
966;287 
1594;287 
1344;287 
1348;287 
1061;287 
2254;287 
1010;287 
1007;287 
1397;287 
1243;287 
1425;287 
1599;287 
1817;287 
1148;287 
935;287 
1789;287 
992;287 
1116;287 
1200;287 
1855;287 
1408;287 
974;287 
3545;287 
1467;287 
1146;287 
2075;287 
2939;287 
1415;287 
3489;288 
1043;287 
2208;288 
1046;287 
1289;287 
1316;287 
3113;287 
1895;287 
1107;288 
3822;287 
3164;287 
1191;287 
1167;287 
1299;287 
911;288 
3736;287 
1685;287 
1082;287 
1422;287 
2107;287 
1013;287 
1337;287 
1318;287 
1034;287 
1397;287 
1423;287 
1516;287 
1580;287 
1680;287 
848;287 
1054;287 
1502;287 
3316;287 
1141;287 
1778;287 
1161;287 
1270;287 
1332;288 
1390;287 
1492;287 
1362;287 
1414;287 
1033;287 
1653;287 
1091;287 
1163;287 
2069;287 
1652;287 
1588;287 
1223;288 
1621;287 
1215;287 
1172;288 
1690;287 
1577;287 
1610;287 
1731;287 
2237;288 
1482;287 
1078;287 
1329;288 
1449;287 
1786;288 
1238;287 
1479;287 
1371;287 
1960;287 
1011;287 
1703;287 
1534;287 
1801;287 
2019;287 
1124;287 
1286;287 
1285;287 
1160;287 
953;287 
1308;287 
1504;288 
1382;287 
1189;287 
1509;287 
1715;287 
1854;287 
1666;287 
1946;287 
1646;287 
1368;288 
1678;287 
1041;287 
1081;287 
1058;287 
925;287 
1412;287 
1518;287 
1453;287 
1187;287 
1027;287 
973;287 
1297;287 
1529;287 
1729;287 
1941;287 
1368;287 
1446;287 
1377;287 
1074;287 
2382;287 
1059;287 
1742;287 
1569;288 
1855;287 
946;287 
1995;287 
1234;287 
1015;287 
1390;287 
1848;287 
1146;287 
3425;287 
1646;287 
790;287 
1415;288 
1081;287 
1177;287 
1202;287 
1279;288 
1647;287 
1041;287 
1216;287 
1854;287 
1614;287 
1369;288 
1189;287 
1208;287 
1369;287 
862;287 
1448;287 
978;287 
1693;287 
1163;287 
2001;287 
1325;287 
1903;287 
1335;287 
1447;287 
1075;287 
3107;287 
1316;287 
965;287 
1477;287 
1307;287 
1005;287 
1053;287 
978;287 
967;287 
1211;288 
1218;287 
2914;287 
1290;287 
2017;287 
1022;287 
1816;287 
1203;287 
1658;287 
971;287 
1482;287 
1477;287 
950;288 
1446;287 
1082;287 
1663;287 
1262;287 
1648;287 
3387;287 
1274;287 
1707;287 
3442;287 
1026;287 
2558;287 
1329;287 
1019;287 
1268;287 
2133;287 
1186;287 
1756;287 
1679;287 
1675;288 
1224;287 
1097;288 
1263;287 
3831;287 
1401;287 
1286;287 
996;287 
1141;287 
2110;287 
1248;287 
1062;287 
1430;287 
1011;287 
735;287 
1385;287 
1575;288 
1429;287 
1068;287 
1378;287 
1241;287 
2080;287 
1565;287 
1174;287 
1560;287 
1774;287 
977;287 
1373;287 
1702;287 
2792;288 
1469;287 
2515;287 
1598;287 
1643;288 
1924;287 
1411;287 
3746;287 
753;287 
1159;287 
1384;287 
2885;287 
1646;287 
1399;287 
1190;287 
1495;287 
1277;287 
765;287 
1825;287 
1176;287 
922;287 
3497;288 
1570;287 
1436;287 
1653;287 
1296;287 
3014;287 
1172;287 
1783;287 
1566;287 
1578;287 
1063;287 
1240;287 
1300;287 
1442;287 
1592;287 
1593;287 
1929;287 
796;287 
1343;287 
3106;287 
1336;287 
1792;287 
1035;287 
1202;287 
1260;287 
1581;287 
1862;287 
1235;287 
1636;287 
846;287 
1202;287 
1703;287 
1480;287 
1621;287 
2345;287 
1002;288 
1188;287 
1852;287 
2806;287 
1781;287 
1892;287 
1098;287 
2670;287 
2094;287 
1199;287 
1257;287 
1347;287 
756;287 
2158;287 
931;287 
1571;288 
1203;288 
889;287 
1150;287 
1107;287 
1310;287 
1740;287 
1405;287 
1143;287 
1180;287 
1150;287 
1338;287 
3701;287 
1295;287 
1086;287 
1515;287 
1218;287 
1686;288 
1237;287 
2138;287 
1226;287 
987;287 
2298;287 
1754;287 
1823;287 
1534;287 
1408;287 
1826;287 
1322;287 
1178;287 
1165;287 
1935;287 
1350;287 
1352;287 
2108;287 
1707;287 
1259;287 
1076;287 
1468;287 
2854;287 
2901;287 
860;287 
1215;287 
1979;287 
1152;287 
1300;287 
1220;287 
954;287 
1475;288 
1523;287 
1157;287 
2899;287 
1212;287 
1090;287 
1452;287 
1512;287 
1437;287 
1166;287 
1208;287 
2298;287 
1128;287 
3338;287 
894;288 
1025;287 
3430;287 
2198;288 
1360;287 
898;287 
1424;287 
1638;287 
1149;287 
1029;287 
1199;287 
1538;287 
1292;288 
3136;287 
1730;287 
1436;287 
1262;287 
1280;287 
1719;287 
1896;287 
1245;287 
1193;287 
1309;287 
1502;288 
1686;287 
1115;287 
1411;287 
1528;287 
1714;287 
893;287 
1917;287 
1125;287 
1465;287 
767;287 
1644;287 
1168;287 
1691;287 
1099;287 
3387;287 
842;287 
1490;287 
1090;287 
1045;287 
1979;287 
1349;287 
891;287 
1443;287 
1234;287 
3287;287 
1481;287 
1126;288 
1456;287 
1466;287 
1788;287 
1669;287 
1720;288 
1728;287 
1417;287 
3067;287 
1078;287 
1362;287 
1628;287 
1454;287 
773;287 
3070;288 
1029;287 
1174;287 
2152;287 
717;287 
1245;288 
1076;287 
1282;287 
1256;287 
2683;287 
1378;287 
1118;287 
893;287 
3518;287 
3269;287 
1675;287 
1983;287 
1601;287 
1166;287 
1179;287 
1275;287 
1400;287 
1446;287 
1098;288 
1183;287 
953;287 
1717;287 
1918;287 
881;287 
1125;287 
918;287 
1915;287 
1017;287 
1255;287 
1132;287 
1075;287 
2945;287 
1141;288 
1744;287 
