CYCLES;INS
1039;288 
952;287 
1068;287 
1318;287 
1006;287 
1045;287 
3672;287 
1394;287 
1012;287 
1361;287 
1130;287 
1573;287 
1594;287 
1349;287 
1970;287 
1304;287 
1324;287 
2036;287 
1470;287 
1355;287 
1068;287 
908;287 
1322;287 
1380;287 
1911;287 
1010;287 
1304;287 
1225;287 
1349;287 
1268;287 
1579;287 
1737;287 
1232;287 
1036;287 
1216;287 
1056;287 
1411;287 
1339;289 
1051;287 
1218;287 
1506;287 
1397;287 
868;287 
1198;287 
1565;287 
1533;287 
1515;288 
1209;287 
1155;287 
1578;287 
740;287 
771;287 
1850;287 
929;287 
3033;287 
1146;287 
2994;287 
1243;287 
2023;287 
1146;287 
1436;288 
1076;287 
1010;287 
801;287 
1023;287 
860;287 
1360;287 
1221;287 
2161;287 
1125;288 
3164;287 
1894;287 
1049;287 
1754;287 
3131;287 
3065;288 
1181;287 
972;287 
1342;287 
1989;287 
846;287 
1611;287 
1024;287 
1447;288 
1143;288 
1117;287 
1110;287 
1285;287 
1515;287 
1154;287 
1123;288 
1373;288 
1129;287 
1665;287 
1170;287 
1724;287 
1201;287 
1237;287 
1293;287 
1345;287 
1138;287 
1337;287 
1039;288 
1254;288 
943;287 
3391;287 
1131;287 
1304;287 
1299;287 
1719;287 
1270;287 
1692;287 
971;287 
1167;287 
1499;287 
1413;287 
763;287 
1307;287 
1644;288 
1019;287 
1013;288 
1049;287 
1219;287 
1123;287 
1350;287 
1801;287 
1105;287 
1296;287 
1644;287 
951;287 
1490;288 
1423;287 
1156;287 
1047;287 
1613;287 
1449;287 
2033;287 
1052;288 
1126;287 
1422;287 
1342;287 
1857;287 
1125;287 
2556;287 
1739;287 
1409;287 
894;287 
1028;287 
1481;287 
980;287 
1195;287 
2557;287 
1118;287 
2273;287 
752;287 
999;287 
619;287 
1082;287 
1348;287 
993;287 
727;287 
1382;287 
1043;287 
1000;287 
1058;287 
1813;287 
1332;287 
1446;287 
1444;287 
1030;287 
1009;287 
1200;287 
777;287 
792;287 
1422;287 
1357;287 
1138;287 
1128;287 
1547;287 
1202;287 
1494;288 
1266;287 
1276;287 
977;287 
1706;287 
855;287 
1572;289 
1436;287 
962;287 
1164;287 
1838;288 
897;287 
3029;287 
1477;287 
1216;287 
1688;287 
1648;287 
3027;287 
768;288 
2036;287 
744;287 
1457;287 
1610;288 
1281;287 
1124;287 
1647;287 
1119;287 
1350;287 
995;287 
1321;287 
1307;287 
906;287 
1357;287 
1207;287 
1791;287 
1401;287 
3055;288 
1321;287 
1707;287 
968;287 
769;287 
1141;287 
1392;288 
1516;287 
1614;287 
1157;287 
903;287 
1121;287 
975;287 
1018;287 
1028;288 
1380;287 
2394;287 
2476;287 
1772;287 
1249;287 
3882;287 
1690;287 
1324;288 
1699;287 
1710;287 
2466;287 
1316;287 
875;287 
1145;287 
1364;287 
1437;287 
1580;287 
1153;287 
1511;287 
1066;287 
1459;287 
1422;287 
1210;287 
1260;287 
1281;287 
2228;287 
1018;287 
1015;287 
1319;287 
3446;287 
1209;287 
968;287 
1612;287 
1126;287 
1684;287 
1255;287 
1424;287 
1241;287 
1095;287 
883;288 
879;287 
984;287 
905;287 
1236;287 
1438;287 
1017;287 
1164;287 
1010;287 
1545;287 
982;287 
1337;287 
1088;287 
1012;287 
1098;287 
864;287 
1114;287 
881;287 
1429;287 
896;287 
1241;287 
1631;287 
1005;287 
886;287 
1609;287 
