CYCLES;INS
783;288 
1395;287 
1181;287 
1402;287 
1155;287 
1162;288 
1539;288 
1334;287 
1414;288 
1325;287 
1360;287 
1448;287 
1330;287 
1005;287 
3720;287 
1229;287 
1049;287 
1754;288 
1031;287 
2092;288 
779;287 
1315;287 
1416;287 
1523;287 
1916;287 
952;287 
1647;287 
1307;288 
1297;287 
1018;287 
3393;287 
1525;287 
880;287 
1429;288 
1107;287 
3981;287 
916;287 
1023;287 
3593;287 
1147;287 
1001;287 
1311;287 
888;287 
1338;287 
1252;287 
1184;287 
1184;287 
1472;287 
1302;287 
1192;287 
1152;287 
1474;287 
1484;287 
1216;287 
1145;287 
934;288 
1352;287 
1295;287 
1301;287 
1393;287 
1611;287 
2421;287 
1520;287 
1660;287 
1255;287 
1632;288 
1282;287 
2004;287 
1180;287 
977;287 
1466;287 
3080;287 
1823;287 
1511;287 
2086;287 
1395;287 
917;287 
1598;287 
3069;288 
1213;287 
742;287 
1782;287 
1285;287 
3741;287 
1250;287 
1673;287 
3521;287 
1814;287 
1557;287 
1163;287 
1121;287 
1478;287 
1451;287 
1870;287 
1112;287 
3951;287 
981;287 
1765;287 
1479;287 
1158;287 
1298;287 
1292;287 
1540;287 
1163;287 
1170;287 
1316;287 
1193;287 
1321;288 
2997;287 
1452;287 
1785;287 
1588;287 
1200;287 
1287;288 
2572;287 
1184;287 
2756;288 
1300;287 
2090;287 
1236;287 
3092;287 
1092;287 
1822;287 
1845;287 
1131;287 
2014;287 
1244;287 
1079;287 
1438;287 
1891;287 
1020;287 
1611;287 
988;287 
1193;287 
1914;287 
1765;287 
1276;287 
1138;287 
959;287 
1721;287 
1159;287 
1852;287 
1218;287 
1740;288 
1849;287 
1123;287 
1586;287 
996;287 
867;287 
1707;287 
1333;287 
1634;287 
904;287 
3512;287 
1846;287 
1176;287 
1502;287 
1532;287 
1756;287 
3458;287 
1237;287 
1336;287 
1170;287 
1918;287 
1705;289 
1414;287 
1001;287 
1621;287 
1865;287 
1270;287 
1304;287 
1142;287 
1110;287 
1194;287 
1360;287 
1070;287 
1269;287 
1015;287 
3802;287 
724;287 
1771;287 
1738;287 
1903;289 
2080;287 
1025;288 
1713;287 
880;287 
1163;287 
1674;288 
1046;287 
1158;287 
1014;287 
1276;287 
1073;287 
1312;287 
1412;287 
3686;287 
1687;287 
1213;287 
1021;287 
1580;287 
1984;287 
1744;287 
1373;287 
1345;287 
1380;288 
1827;287 
1533;287 
1536;287 
1314;287 
1197;287 
792;287 
1108;287 
1044;287 
1832;287 
1887;287 
1107;288 
1801;288 
1155;287 
2277;287 
1449;287 
1177;287 
1514;288 
876;287 
1128;287 
1111;287 
1255;287 
2246;287 
1396;287 
1435;287 
2379;287 
1287;287 
1543;287 
998;287 
1354;287 
1284;287 
1793;287 
1125;287 
1144;287 
1757;287 
1155;287 
1123;287 
1657;287 
1668;287 
2477;287 
1440;287 
2028;287 
1144;288 
1087;287 
1086;287 
1575;287 
1936;287 
1382;287 
1854;287 
1389;287 
963;288 
1433;287 
1582;287 
1321;287 
727;287 
2040;287 
1133;288 
1709;287 
1058;287 
1474;287 
1550;287 
1959;287 
1395;287 
1400;287 
1548;287 
1125;287 
918;287 
1547;288 
2125;287 
896;288 
1559;287 
2705;287 
1055;287 
1597;287 
3623;288 
1284;287 
875;287 
1217;287 
1251;287 
776;287 
1636;287 
1428;288 
1121;287 
1915;287 
1190;287 
2368;287 
1654;287 
1524;287 
1693;287 
1642;287 
1159;287 
1154;287 
1996;287 
3103;288 
793;287 
3482;287 
1391;287 
875;287 
1515;287 
1023;287 
1028;288 
3681;287 
1161;287 
1707;287 
783;287 
1414;287 
1344;287 
1507;287 
1107;287 
1177;287 
1143;287 
1639;287 
1549;287 
1538;287 
1125;287 
1534;287 
1833;287 
888;287 
1665;287 
1167;287 
1233;287 
1242;287 
1125;287 
1462;287 
1782;287 
1129;287 
1968;288 
1328;287 
1185;287 
1610;287 
1162;287 
1164;287 
1527;287 
1214;287 
1770;287 
1554;287 
993;287 
1241;287 
1724;287 
1257;287 
1493;287 
980;287 
1430;288 
1373;287 
1497;287 
1074;287 
1703;287 
1107;287 
1127;287 
1172;287 
1638;287 
2697;287 
1542;288 
1030;287 
716;287 
1622;287 
1117;287 
1175;287 
1644;287 
934;287 
1231;287 
1965;287 
1712;288 
1796;287 
1770;287 
962;287 
892;287 
1765;287 
2913;287 
1196;287 
1110;287 
1232;288 
884;287 
857;287 
1128;287 
1140;287 
1152;287 
1089;287 
1309;287 
1460;287 
1431;287 
1358;287 
879;287 
1466;287 
1525;287 
1042;287 
781;287 
2100;287 
637;288 
1584;287 
1752;287 
3360;287 
1295;287 
1461;287 
1025;288 
977;287 
1373;287 
1666;287 
1106;287 
1307;287 
1144;287 
1325;287 
1152;287 
1141;287 
1734;288 
1651;287 
1224;287 
1333;287 
1040;287 
1884;288 
1855;287 
1345;287 
1213;287 
1510;287 
1273;287 
1012;287 
1546;287 
1400;287 
897;288 
1038;287 
1210;287 
1157;287 
1011;287 
1525;287 
3825;287 
1269;287 
1522;287 
1256;287 
1326;288 
1017;287 
1469;287 
1242;287 
1301;287 
1681;287 
1230;287 
909;287 
999;287 
1654;287 
1046;287 
1147;287 
1575;287 
1271;287 
748;287 
3279;287 
1604;287 
1664;287 
729;287 
1088;287 
1152;287 
1747;287 
1030;287 
1430;287 
1976;287 
1227;287 
1153;287 
1498;287 
3263;288 
1269;287 
1437;287 
857;287 
1512;287 
3438;287 
1711;289 
1114;287 
1336;287 
1097;287 
1274;287 
1683;287 
1465;287 
740;287 
1471;288 
1282;287 
1191;287 
1281;287 
846;287 
1195;288 
1647;287 
1048;287 
1600;287 
1130;287 
1171;287 
1475;287 
3481;288 
1222;287 
996;287 
1446;287 
1099;287 
1184;287 
1638;287 
1143;287 
1162;287 
861;287 
987;287 
1130;287 
1224;287 
1210;287 
1260;287 
1281;288 
1024;287 
1454;288 
2296;287 
1275;287 
1736;287 
1406;287 
1250;287 
2058;287 
1966;287 
1205;287 
1746;287 
1412;287 
1229;287 
1352;287 
2096;287 
1006;287 
772;287 
865;287 
1105;287 
2904;287 
3761;287 
1126;287 
2131;287 
1286;287 
1050;287 
1206;287 
1761;287 
1711;287 
1123;287 
1400;288 
1581;289 
1195;287 
3857;287 
1162;288 
1234;287 
1681;287 
1132;287 
1101;287 
1624;287 
1617;288 
1171;287 
970;287 
1318;288 
1482;287 
1036;288 
1460;287 
1357;287 
1771;287 
972;288 
875;288 
1218;287 
1173;287 
1399;287 
765;287 
2157;287 
1275;287 
3022;287 
1764;287 
1433;287 
1614;287 
1125;288 
1274;287 
1658;287 
1141;287 
1010;287 
1291;287 
1275;287 
3521;287 
768;287 
1273;287 
1239;287 
1025;287 
1147;287 
1050;287 
1349;287 
888;287 
1726;288 
1126;287 
1118;287 
1632;287 
1491;287 
1492;287 
1848;287 
3088;287 
1112;287 
1265;287 
1268;287 
3549;287 
1050;287 
1692;287 
1698;287 
1014;287 
1520;288 
1220;287 
1142;287 
1567;287 
3782;287 
1594;287 
1390;287 
1799;287 
1421;287 
1437;287 
1150;287 
1781;287 
2101;287 
1132;287 
1331;287 
1014;287 
2961;287 
1289;287 
2080;287 
1571;287 
1710;287 
1590;287 
1554;287 
1202;287 
1270;287 
1300;288 
1399;287 
1518;287 
1356;287 
1280;287 
1760;288 
1360;287 
2158;287 
922;287 
1327;287 
2126;287 
1264;287 
1194;287 
1080;287 
1058;287 
1021;288 
1217;287 
885;287 
1339;287 
963;287 
1243;287 
1260;287 
1396;287 
1182;287 
1103;287 
1779;287 
1812;287 
1598;287 
1438;287 
1251;287 
1706;287 
1337;287 
987;287 
1468;287 
1027;287 
1252;287 
1500;288 
1243;287 
1138;287 
1389;287 
1429;287 
1030;287 
1189;287 
1336;287 
1443;289 
1721;287 
1032;287 
1000;287 
876;287 
2989;288 
1484;287 
1416;287 
1995;287 
1262;287 
1496;287 
1349;287 
881;287 
1150;287 
1417;287 
1201;287 
1265;287 
1758;287 
880;287 
1588;287 
1532;287 
1672;287 
3002;287 
955;287 
1674;287 
1286;287 
1384;287 
1560;287 
1284;287 
1908;288 
