CYCLES;INS
1361;288 
1014;288 
752;287 
828;287 
1390;287 
1297;287 
1236;287 
997;287 
1116;287 
1638;287 
1529;287 
1148;287 
1150;288 
1046;287 
1077;287 
946;287 
1319;287 
1241;287 
3151;287 
1209;287 
1059;287 
1534;287 
1787;287 
869;287 
1409;287 
862;287 
974;287 
1484;287 
1409;287 
1171;287 
953;287 
1584;287 
1249;287 
1810;287 
900;287 
1594;287 
1402;287 
1023;287 
1172;287 
1254;287 
1116;287 
1391;287 
1578;287 
1342;288 
1175;287 
1268;287 
1105;287 
1181;287 
866;287 
737;288 
864;287 
1627;287 
1245;287 
1760;287 
1145;287 
1009;287 
1037;287 
1188;287 
869;287 
1552;287 
1046;287 
1329;287 
993;287 
1581;287 
3099;287 
1015;287 
821;288 
1040;287 
1397;287 
1289;287 
1414;288 
920;287 
1023;287 
1362;287 
1159;288 
1667;287 
1683;287 
1014;287 
995;287 
1318;287 
2428;287 
1451;287 
1164;287 
960;287 
1146;287 
1540;287 
1614;287 
1429;287 
956;287 
3719;287 
2372;287 
1008;287 
1615;287 
1374;287 
1121;287 
893;287 
2002;287 
1440;287 
1540;287 
856;287 
1026;287 
887;287 
858;287 
1384;287 
1489;288 
886;287 
1262;287 
987;287 
1163;287 
1177;287 
1431;287 
991;287 
1070;287 
1294;287 
1059;287 
1661;287 
2628;287 
762;287 
1176;287 
1088;287 
872;287 
1443;287 
818;287 
2320;287 
1338;287 
912;287 
1584;287 
866;287 
1758;287 
1017;287 
1410;287 
1433;288 
1372;287 
1231;287 
1363;287 
1616;287 
1035;287 
1083;287 
2762;287 
1033;287 
1089;287 
1754;287 
1176;288 
646;288 
864;287 
1379;287 
2187;288 
1094;287 
897;287 
800;287 
1051;287 
979;287 
1632;287 
3852;287 
1231;287 
1003;287 
1729;287 
3694;287 
1113;287 
3009;287 
764;287 
1267;287 
1162;287 
1002;287 
1411;287 
1631;287 
1357;287 
1522;287 
1429;287 
3478;287 
1017;287 
1449;287 
1067;288 
1470;287 
1220;287 
1870;287 
1912;287 
1055;287 
1251;287 
877;287 
1041;288 
965;287 
1018;287 
1377;287 
902;287 
1768;287 
1708;287 
1178;287 
1433;287 
1325;287 
931;287 
1809;287 
1533;287 
1173;287 
1438;287 
1918;287 
2200;288 
1387;287 
1233;287 
1640;287 
1331;288 
1525;287 
1175;287 
2900;287 
1012;287 
1263;287 
882;287 
1522;288 
1363;287 
1061;287 
1360;287 
1852;287 
1130;287 
1129;287 
1690;287 
1175;287 
1030;287 
993;287 
1115;287 
911;287 
1167;287 
1262;287 
1994;287 
2925;287 
1135;287 
916;287 
1555;287 
1291;288 
1084;287 
1152;288 
754;287 
1667;287 
920;287 
1255;287 
1432;287 
905;287 
1740;287 
1545;287 
1172;288 
1186;287 
1141;287 
741;287 
1662;288 
1150;287 
1557;287 
1401;287 
1435;287 
2200;287 
2174;287 
1477;287 
1485;287 
2334;287 
1676;287 
1184;287 
1029;287 
1622;287 
1140;287 
1513;287 
1522;287 
1016;287 
882;287 
1032;287 
1419;287 
864;287 
1547;288 
735;287 
1191;287 
993;287 
1459;287 
1414;287 
1191;287 
981;287 
774;287 
1415;287 
1621;287 
1350;287 
1256;287 
1488;287 
3455;287 
1172;287 
2962;287 
890;287 
2877;287 
887;287 
886;287 
1290;287 
1109;287 
999;287 
1625;287 
2115;287 
1217;287 
896;287 
2989;287 
784;287 
1476;287 
2485;287 
1132;287 
1143;287 
1455;287 
975;287 
1694;287 
1249;287 
955;287 
925;287 
1638;287 
1371;287 
1337;287 
983;287 
1711;287 
1125;287 
1297;287 
945;287 
1158;287 
1622;287 
1224;287 
990;287 
1589;287 
1171;287 
1566;287 
1236;287 
1017;287 
992;287 
1703;287 
1279;287 
1565;287 
745;287 
3062;287 
1159;287 
1258;288 
1069;287 
746;287 
1274;287 
1494;287 
1024;287 
1192;288 
989;287 
1164;287 
1134;287 
1528;287 
1425;287 
1153;287 
1012;287 
1136;287 
1230;288 
1193;287 
1457;287 
1176;287 
873;287 
1614;287 
1130;287 
1179;287 
1422;287 
1094;287 
998;288 
1146;287 
1330;287 
1068;287 
2015;287 
2861;287 
1191;287 
1595;287 
1440;287 
1223;287 
999;287 
883;287 
930;287 
1916;287 
1095;287 
1200;287 
1182;287 
760;288 
1527;287 
1613;287 
1131;287 
3127;287 
1300;287 
1180;287 
1165;287 
1895;287 
768;288 
1098;287 
1299;287 
1206;287 
754;287 
