CYCLES;INS
1857;288 
1221;287 
898;287 
1250;287 
1768;287 
1462;287 
2975;287 
1049;287 
2776;287 
1401;287 
1683;287 
1078;287 
1195;287 
1502;287 
2693;287 
952;287 
947;288 
1025;287 
2215;287 
1845;287 
1367;287 
1088;287 
1457;287 
1600;287 
1050;287 
1826;287 
3046;287 
1347;287 
1117;287 
1087;287 
1512;287 
1544;287 
987;289 
1380;287 
1049;287 
1160;287 
1196;287 
1243;287 
1520;288 
1065;287 
1184;287 
3737;287 
938;287 
1547;287 
1357;287 
1734;287 
1509;287 
1048;287 
1383;287 
1092;287 
857;287 
711;287 
996;287 
1813;287 
1324;287 
1544;287 
1569;287 
2572;287 
3881;287 
3595;287 
3888;287 
752;288 
1574;287 
1648;287 
1808;287 
1506;287 
1263;287 
1214;287 
1202;287 
928;287 
1470;287 
1866;287 
1552;287 
1409;288 
1638;287 
1227;287 
1472;287 
1191;287 
1648;287 
1044;287 
2984;287 
1479;287 
1265;287 
978;287 
1746;287 
942;287 
1729;287 
1183;287 
1764;287 
2051;290 
2121;287 
1138;287 
1546;287 
1009;287 
1589;287 
1044;287 
1360;287 
1121;287 
1426;287 
1401;287 
3244;287 
1620;287 
1068;287 
860;287 
1699;287 
1652;287 
1158;287 
3060;287 
885;287 
1220;287 
1568;287 
1431;287 
1142;287 
1764;287 
1447;287 
1289;287 
1033;287 
907;287 
1048;287 
3316;287 
918;287 
1815;287 
1101;287 
1037;287 
1314;287 
1454;287 
872;287 
1026;287 
1687;287 
1180;287 
1181;287 
1096;287 
1128;287 
1338;287 
929;288 
1206;287 
1474;287 
3823;287 
1365;287 
1056;287 
1359;287 
1586;287 
1600;287 
1211;287 
1250;287 
1232;287 
885;287 
1655;287 
948;287 
1964;287 
3700;287 
1083;287 
3090;287 
2193;287 
1321;287 
1437;287 
2120;287 
1545;287 
1777;287 
1561;287 
1584;287 
1087;287 
744;287 
1790;288 
1478;287 
1689;287 
999;287 
1014;287 
1036;287 
1427;287 
1701;287 
741;287 
1463;287 
1192;287 
1889;287 
1354;288 
1056;287 
1654;287 
1681;287 
1279;287 
1809;287 
1241;287 
2072;287 
752;287 
1070;287 
1508;287 
1672;287 
1477;287 
1198;288 
1839;287 
1105;288 
1327;287 
3522;287 
1025;287 
1725;287 
1084;287 
1863;288 
737;287 
1223;287 
777;287 
1133;287 
982;288 
777;288 
1474;287 
1290;287 
1600;287 
1216;287 
1292;287 
1168;287 
1507;287 
1603;287 
1276;287 
1036;287 
1501;287 
1220;288 
1507;287 
1761;287 
1659;287 
1759;287 
1591;287 
1835;287 
1937;287 
1201;287 
1556;288 
1321;288 
1752;287 
1626;287 
1317;287 
1570;287 
1209;287 
1316;287 
1572;287 
1032;288 
1201;287 
1489;287 
1072;287 
1740;287 
1162;287 
1506;287 
1818;287 
902;288 
1700;287 
1036;287 
1087;288 
1198;287 
850;287 
999;287 
1329;287 
2122;287 
1176;287 
1381;287 
1555;287 
881;287 
1158;287 
1526;287 
1393;287 
1595;287 
1820;287 
1450;287 
1058;287 
1419;287 
1109;287 
1622;287 
1555;287 
1478;287 
972;288 
1262;287 
3518;287 
1454;288 
889;287 
1356;287 
1179;287 
1823;287 
1150;287 
1146;287 
1501;287 
1364;287 
1435;287 
781;287 
1317;287 
1189;287 
1793;287 
3209;287 
1515;287 
1355;289 
1529;287 
924;287 
1472;287 
1478;287 
1806;287 
2113;288 
1991;287 
1400;287 
1594;287 
1472;287 
1212;287 
1213;287 
1365;287 
913;287 
1804;287 
1558;287 
1706;287 
1445;287 
1814;289 
1116;287 
1470;287 
1559;288 
1587;288 
1090;287 
1542;287 
992;287 
1787;287 
955;288 
1167;287 
1069;287 
1280;287 
922;287 
1375;287 
1767;287 
982;287 
1153;287 
1014;287 
2157;287 
1002;287 
840;287 
987;287 
1894;287 
1400;287 
1377;288 
1224;287 
1067;288 
1131;287 
1332;287 
1827;287 
1281;287 
1339;287 
1765;288 
1132;288 
1202;287 
1702;287 
1253;287 
1562;287 
1162;287 
2818;287 
1461;287 
3004;287 
1589;287 
1179;287 
1173;287 
1045;287 
1164;287 
1311;287 
4011;287 
1589;287 
1836;287 
950;287 
897;287 
1509;287 
1035;287 
1205;287 
1343;287 
1527;287 
2306;287 
1138;287 
1397;287 
1546;287 
2896;287 
987;287 
1399;287 
1179;287 
1794;287 
918;287 
1706;287 
1061;287 
1745;287 
957;287 
1714;287 
1842;287 
1605;287 
1023;287 
931;287 
1071;287 
915;287 
1180;288 
1861;287 
1042;287 
1051;287 
1398;288 
1196;287 
980;287 
1420;287 
1250;287 
1627;287 
970;288 
1504;287 
3305;287 
2745;287 
1447;287 
924;287 
1341;287 
1775;287 
1060;287 
955;287 
1569;287 
1167;288 
1569;287 
3514;287 
1376;288 
1439;287 
1700;287 
1034;288 
1648;287 
979;287 
1468;287 
2659;288 
1704;287 
2043;287 
1309;287 
2913;287 
1222;287 
890;287 
1918;287 
1417;287 
1547;287 
1105;287 
1628;287 
1181;287 
2301;287 
1089;287 
1780;287 
1249;287 
1199;287 
1123;287 
2793;287 
1620;287 
1064;287 
1136;287 
1653;287 
1223;287 
1551;287 
1430;287 
1355;287 
796;287 
1323;288 
1657;287 
3487;287 
1507;287 
785;287 
1813;287 
1693;287 
1347;287 
1319;288 
1696;287 
1369;287 
1391;287 
1266;287 
998;287 
3016;287 
957;287 
1668;287 
1186;287 
1160;287 
1297;287 
1828;287 
868;287 
1462;287 
871;287 
3043;288 
1765;287 
1660;287 
3091;287 
1352;287 
2445;287 
1144;288 
2110;288 
1382;287 
1583;287 
1383;287 
1040;287 
939;287 
1308;287 
1629;287 
1372;287 
932;287 
1231;287 
1753;287 
1049;287 
1200;288 
896;287 
1558;287 
1006;287 
1279;287 
1481;287 
740;287 
1180;287 
3313;287 
1722;287 
1481;287 
1406;287 
3106;287 
1679;287 
1586;287 
1157;287 
1218;289 
1056;287 
1615;287 
1586;288 
1168;287 
3433;287 
1155;287 
1727;287 
1037;287 
1312;287 
1630;287 
1690;287 
1528;287 
1938;287 
975;287 
995;288 
937;287 
1562;287 
1175;287 
1559;287 
3349;287 
1925;287 
1540;287 
1218;287 
1014;288 
1740;287 
1424;287 
1308;287 
1402;287 
1218;287 
1170;287 
1710;287 
903;287 
4056;288 
1309;288 
1744;287 
1742;288 
1340;287 
1065;287 
1337;287 
1229;287 
1325;287 
1223;287 
1439;287 
1467;287 
1515;287 
1223;287 
1590;287 
1069;287 
1049;287 
1860;287 
897;287 
1235;288 
1605;287 
1766;287 
1897;287 
1273;287 
1708;288 
1330;287 
1364;287 
1347;287 
908;287 
1441;287 
912;287 
1682;287 
2509;287 
1167;287 
1036;287 
1799;287 
955;287 
2960;287 
1522;287 
1568;287 
907;287 
1526;287 
1161;287 
1425;287 
1433;287 
1713;287 
