CYCLES;INS
3674;287 
1317;287 
2671;287 
1398;287 
1215;287 
1348;288 
1332;287 
1147;287 
1653;287 
1073;287 
1284;287 
1827;288 
1531;287 
1129;287 
1394;287 
1027;287 
1441;287 
1098;287 
1386;287 
1366;287 
897;287 
1044;287 
1017;287 
1124;287 
1048;288 
1304;288 
716;287 
1152;287 
2619;287 
1309;287 
1966;287 
1077;287 
779;287 
2629;287 
1107;287 
1583;287 
1545;288 
1964;287 
1100;287 
1194;288 
2895;287 
920;287 
1309;287 
939;287 
888;287 
1464;287 
1930;287 
1181;287 
992;287 
1024;287 
1101;287 
1599;287 
1257;287 
1142;287 
1195;287 
1579;287 
1906;287 
1299;287 
1136;287 
866;287 
1258;287 
909;287 
1175;287 
1588;288 
1113;287 
1305;287 
994;287 
1262;287 
1228;287 
1165;288 
1355;287 
1275;287 
1088;287 
1278;287 
1157;287 
1829;287 
863;287 
1419;287 
2319;287 
1602;288 
1307;287 
886;287 
1201;287 
1231;287 
1377;287 
1047;287 
1125;287 
1171;287 
1631;287 
1012;287 
1364;287 
1349;287 
1875;287 
876;287 
1151;287 
1379;288 
1270;287 
1287;287 
955;287 
1559;287 
1286;287 
1854;287 
1166;287 
3708;288 
1306;287 
1334;287 
3408;287 
1270;288 
1806;287 
1290;287 
1290;287 
1059;287 
2542;287 
2147;287 
1123;287 
1503;287 
1225;287 
906;287 
1661;287 
1676;287 
831;287 
1747;287 
1005;287 
1389;287 
862;287 
1297;287 
1770;287 
1311;287 
2954;287 
1766;287 
2012;287 
1986;287 
1672;287 
872;287 
1081;287 
1412;287 
1369;287 
1276;287 
1097;287 
1331;287 
1404;287 
1403;287 
1050;287 
915;288 
1541;287 
1725;288 
1296;287 
1806;287 
1433;287 
875;287 
1630;287 
1929;287 
906;287 
1351;287 
1109;287 
1008;287 
1673;287 
2003;287 
3044;287 
1259;287 
765;287 
1195;287 
1637;287 
1287;287 
1531;288 
1173;287 
1707;287 
1002;288 
1167;287 
1062;287 
1220;287 
2188;287 
1843;287 
890;287 
1566;287 
1374;287 
870;287 
1430;288 
1236;287 
1422;287 
1563;288 
768;287 
1153;287 
1242;287 
1285;287 
1046;287 
1272;287 
1849;288 
1329;287 
1423;287 
908;288 
1235;287 
984;287 
1266;287 
1391;287 
1134;288 
1019;288 
1085;287 
1161;287 
1308;287 
1017;288 
619;287 
1018;288 
1780;288 
1215;287 
3018;289 
1133;287 
2584;287 
1509;288 
1644;287 
1096;287 
1293;287 
1730;287 
623;288 
1353;287 
1318;287 
750;287 
1522;287 
1254;287 
3633;287 
1598;287 
617;287 
2218;288 
1820;287 
1024;288 
1561;287 
1277;287 
1128;288 
713;287 
920;287 
897;287 
1554;287 
742;287 
1117;287 
1834;287 
1239;287 
891;287 
1035;287 
1288;287 
2714;287 
1166;288 
1353;287 
3278;287 
1175;287 
993;287 
1305;287 
1577;287 
1437;287 
1178;287 
952;287 
1151;287 
1792;287 
720;287 
735;287 
1467;287 
730;287 
1358;287 
1452;287 
1378;287 
3492;287 
1129;288 
1576;287 
1463;287 
1690;289 
1224;287 
757;287 
1059;287 
762;287 
1517;288 
1003;287 
1371;287 
1205;289 
1042;287 
1392;287 
1217;287 
1447;287 
1240;287 
1013;287 
1499;287 
1163;287 
743;287 
1269;287 
1136;287 
1622;287 
1291;287 
998;287 
2380;287 
1586;287 
2069;287 
1032;287 
1266;288 
3723;287 
1908;287 
1332;287 
2036;287 
2442;287 
767;287 
1489;289 
1132;287 
868;287 
908;287 
1061;287 
1769;288 
916;287 
1282;287 
885;287 
1613;287 
902;287 
2489;288 
1413;287 
2058;287 
1018;287 
1807;287 
1306;287 
1262;287 
1335;287 
2446;287 
1044;287 
1066;287 
1418;289 
1284;287 
1174;287 
2042;288 
898;287 
1493;287 
2085;287 
1185;287 
1180;288 
1705;287 
1203;289 
1390;287 
1367;287 
1529;287 
1163;287 
2464;287 
1291;288 
1883;287 
1064;287 
1026;287 
1312;287 
1151;287 
604;287 
1430;287 
1043;287 
1153;287 
1259;288 
3418;287 
1741;287 
970;287 
1480;287 
900;287 
908;287 
1623;287 
1021;287 
1575;287 
1185;287 
1325;287 
1279;287 
1681;287 
1674;287 
1169;287 
1927;287 
1486;287 
1086;287 
975;287 
1718;287 
2861;287 
1538;287 
894;288 
1189;287 
1068;287 
1901;288 
949;287 
1221;287 
911;287 
1143;287 
1457;287 
1288;287 
1694;287 
906;288 
1763;288 
1859;287 
888;287 
1127;287 
1141;287 
1487;287 
886;287 
2353;287 
1064;288 
1572;287 
1027;287 
2975;287 
1131;287 
1805;287 
786;288 
753;288 
1588;287 
1130;287 
1550;287 
1377;287 
1273;287 
849;287 
1205;287 
1402;287 
1483;287 
1315;287 
1732;287 
986;287 
1541;288 
1289;287 
1187;287 
1730;287 
1640;287 
1033;287 
1680;287 
1500;287 
1832;288 
756;287 
771;287 
1599;287 
1862;287 
3518;287 
1482;287 
1025;287 
777;288 
1220;287 
1471;287 
1658;287 
1012;287 
887;287 
1377;287 
946;287 
1588;287 
907;287 
3154;287 
1222;287 
1459;287 
1126;287 
1010;287 
1067;287 
1037;287 
1665;287 
870;287 
1216;287 
1288;287 
1732;288 
1413;287 
1643;287 
1904;287 
746;287 
936;287 
4325;287 
901;287 
1040;287 
1330;287 
1022;287 
1145;287 
2697;288 
1943;287 
1026;287 
2147;287 
1551;287 
1027;287 
1483;287 
1131;287 
2060;287 
1290;287 
1744;287 
1320;287 
1235;287 
1120;287 
1690;287 
1197;288 
1192;287 
1788;287 
1124;288 
1166;287 
1627;287 
1472;287 
1186;287 
739;287 
1161;287 
1047;287 
832;287 
1058;287 
1996;287 
1799;287 
1247;287 
1224;287 
1100;287 
781;287 
1175;287 
995;287 
1664;287 
1619;287 
1056;288 
3487;287 
1124;287 
2812;287 
1824;287 
1047;287 
1018;287 
1573;287 
1028;287 
1776;287 
821;288 
1444;287 
997;287 
1028;287 
903;287 
884;287 
1576;287 
1955;289 
1050;287 
1157;287 
1027;287 
1469;288 
3511;287 
767;287 
1352;287 
903;287 
880;287 
1576;287 
1238;287 
1213;287 
1506;287 
3642;287 
1129;287 
1481;287 
1669;287 
1131;287 
897;287 
1220;287 
895;287 
998;287 
903;287 
1198;287 
1391;287 
1272;288 
961;287 
1898;287 
1025;287 
988;287 
1395;287 
1354;288 
1019;287 
1728;287 
1666;287 
1152;287 
1250;287 
755;287 
1186;287 
1298;287 
1577;288 
1385;287 
1158;287 
1280;287 
792;287 
1451;287 
1207;287 
1790;288 
1317;287 
1125;287 
1204;287 
1406;287 
1178;287 
918;287 
919;287 
903;287 
1191;287 
881;287 
1826;287 
854;287 
1523;287 
1772;287 
1170;287 
1147;287 
1902;287 
1106;287 
1120;287 
1015;287 
1548;287 
1326;287 
1019;287 
1014;287 
1457;287 
1705;287 
990;287 
1429;287 
2404;287 
959;287 
1884;287 
1404;287 
1185;287 
980;288 
1589;287 
1030;287 
1595;287 
1212;287 
1882;288 
1069;287 
2293;287 
1257;287 
1088;288 
895;287 
866;287 
890;287 
1040;288 
925;287 
1091;287 
1665;287 
1443;288 
1015;287 
927;287 
1440;287 
1191;287 
1167;287 
1383;287 
612;287 
870;287 
1011;287 
1235;287 
1939;287 
1732;287 
1935;287 
995;287 
1625;287 
1708;288 
1311;287 
1615;287 
1512;287 
1169;288 
1133;288 
1052;288 
1913;287 
1064;288 
990;287 
1458;288 
1525;287 
1430;287 
1756;287 
632;287 
2297;288 
1568;288 
791;288 
1464;287 
1559;287 
3765;287 
729;287 
901;287 
758;287 
891;287 
1000;287 
1561;287 
1421;287 
1208;288 
1044;287 
1280;288 
1398;287 
924;288 
1163;288 
1407;287 
1037;287 
1377;287 
879;287 
841;287 
1120;287 
1697;287 
1537;287 
2083;287 
1715;287 
823;287 
1704;287 
643;287 
1131;287 
1293;287 
1606;287 
1061;287 
1325;287 
951;288 
1292;287 
1354;287 
2562;287 
1266;287 
1328;287 
1239;287 
1023;287 
1087;287 
1333;287 
980;287 
1250;287 
2030;287 
825;287 
1345;287 
1373;287 
1607;287 
1394;287 
1982;287 
1786;288 
1138;287 
1397;288 
1573;287 
1153;287 
3627;287 
1225;287 
1715;287 
2079;287 
1290;287 
1365;287 
2698;287 
