CYCLES;INS
1938;287 
1604;287 
1839;287 
1462;287 
735;287 
1004;287 
1380;288 
3322;288 
1500;287 
1422;287 
775;287 
1198;287 
974;287 
1501;287 
1081;288 
2802;287 
1940;287 
1417;287 
1639;287 
1403;287 
1438;287 
1272;287 
1313;287 
1541;287 
1455;287 
1156;287 
745;287 
1765;288 
1175;287 
1708;287 
997;287 
1171;287 
1533;287 
1243;287 
1048;287 
1412;287 
1653;287 
1976;287 
1316;287 
1902;287 
1294;287 
1833;287 
1137;287 
1258;287 
871;287 
1560;287 
1011;287 
1220;287 
1280;287 
1348;287 
1902;287 
1090;287 
3359;287 
1974;287 
1001;287 
1008;287 
978;287 
1761;287 
1144;287 
776;287 
1134;287 
2781;287 
3193;287 
1399;287 
944;287 
1204;287 
1242;287 
1382;288 
1287;287 
995;287 
1158;287 
1871;287 
1045;288 
838;287 
741;287 
1345;287 
612;287 
1224;287 
1458;287 
1327;287 
1392;287 
1317;287 
1152;287 
1058;287 
1040;287 
1032;287 
987;287 
1263;287 
1216;287 
1180;287 
1554;287 
1546;288 
1041;287 
874;287 
1542;287 
1045;288 
1266;287 
1258;287 
1394;287 
1512;287 
1489;287 
3435;287 
1020;287 
1377;287 
1279;287 
1505;287 
3531;287 
1054;287 
745;287 
1154;287 
897;287 
1414;287 
1857;288 
3831;287 
1691;287 
1228;288 
1439;287 
1071;287 
1120;287 
1460;287 
775;287 
1366;287 
1007;287 
2683;287 
1619;287 
1287;288 
1791;287 
1324;287 
2857;287 
2446;287 
1485;287 
1572;287 
987;287 
2403;287 
1329;287 
1146;288 
987;288 
1522;287 
1179;287 
1409;287 
1242;287 
797;287 
1274;287 
1011;287 
1397;287 
977;287 
967;287 
1201;287 
1396;287 
1136;287 
925;287 
1768;287 
1227;287 
1635;288 
1242;287 
760;287 
812;287 
1016;288 
1287;287 
989;287 
1088;287 
1352;288 
1017;287 
1045;287 
1315;287 
1832;288 
1340;287 
1302;287 
1311;287 
1001;287 
1326;287 
882;287 
1397;287 
1109;287 
767;288 
1059;287 
1735;287 
1122;287 
1144;287 
1109;287 
1714;287 
1194;287 
1316;288 
725;287 
1567;287 
1584;287 
1374;287 
1001;287 
1781;287 
1110;287 
1321;287 
1026;288 
2846;287 
1120;287 
1113;287 
775;287 
1467;287 
893;287 
1554;287 
1215;287 
1184;287 
1034;287 
1372;287 
1282;287 
1025;288 
960;287 
1147;287 
2063;287 
1267;287 
2393;287 
1860;287 
1212;287 
999;287 
1656;287 
1210;287 
1174;287 
1455;287 
1203;287 
1026;287 
1062;287 
1573;287 
1658;288 
1016;287 
1767;287 
1100;287 
1188;287 
1788;287 
1040;288 
1352;287 
1082;287 
1048;287 
1835;287 
1238;287 
1140;288 
1036;287 
983;287 
1553;288 
1279;287 
1033;288 
1488;288 
1514;287 
1186;287 
1685;287 
1008;287 
1312;287 
880;287 
1304;287 
1511;287 
1499;287 
1236;288 
772;287 
1887;287 
1279;289 
1222;288 
1779;287 
855;287 
1986;287 
1292;287 
1468;287 
729;287 
1231;287 
1070;287 
2886;288 
1478;287 
1364;287 
1068;287 
1565;287 
1604;287 
1459;287 
965;288 
982;287 
804;287 
1911;287 
2869;287 
1739;287 
964;287 
1904;287 
3835;287 
1247;287 
1495;287 
1841;287 
1400;288 
1611;287 
1280;287 
1342;287 
1286;287 
1011;287 
1651;287 
1168;288 
1562;287 
1529;287 
1106;287 
1580;287 
1617;287 
935;287 
1288;287 
1306;287 
1049;287 
1088;288 
1324;287 
1167;287 
1163;287 
1265;287 
1520;287 
1023;287 
1292;287 
1744;287 
1304;288 
1338;287 
1160;287 
890;287 
1690;287 
1343;287 
2144;287 
1735;287 
1364;287 
1559;287 
2891;287 
2057;287 
1687;287 
1259;287 
1015;287 
1284;287 
877;287 
1066;287 
756;287 
1285;287 
916;287 
1412;287 
1259;287 
1675;287 
1406;287 
1576;287 
821;287 
917;287 
1684;287 
1890;287 
761;287 
1072;287 
1215;287 
1354;287 
1252;287 
737;288 
1073;287 
1070;287 
1643;287 
3117;287 
1443;287 
1583;288 
1159;287 
1402;287 
1470;287 
1128;287 
1325;287 
756;287 
1253;287 
1524;287 
1654;287 
1029;288 
1835;287 
1110;287 
1348;287 
1344;288 
1058;287 
1260;287 
1749;287 
1223;287 
1684;287 
1176;287 
940;287 
1355;287 
2533;287 
1771;287 
1530;287 
1369;287 
847;287 
1796;287 
1137;287 
884;288 
1106;287 
2648;287 
1327;287 
1748;287 
1134;287 
1335;287 
611;287 
1506;287 
1197;287 
1425;287 
1139;287 
917;287 
1647;287 
772;287 
1309;287 
710;287 
3245;287 
1003;287 
1021;287 
878;287 
1355;287 
1298;287 
1108;287 
1531;287 
1157;287 
3531;287 
1081;287 
873;287 
1000;287 
1600;287 
1683;287 
1932;287 
1562;287 
1571;287 
1210;287 
1276;288 
1207;287 
1047;287 
619;287 
1152;287 
1615;287 
1737;287 
1645;287 
2759;287 
979;287 
3817;287 
1116;287 
756;287 
1633;287 
1011;287 
1435;287 
1928;287 
993;289 
837;287 
1330;287 
1024;287 
997;287 
1169;288 
790;287 
1154;287 
1575;287 
1392;287 
1519;287 
1298;287 
1416;287 
1109;287 
1178;287 
1454;287 
1988;287 
1431;287 
1381;287 
1392;287 
1412;287 
1026;287 
1529;287 
997;287 
836;287 
1316;287 
2525;287 
3397;288 
1427;287 
1184;288 
1237;287 
833;287 
1283;287 
952;287 
736;287 
1060;287 
1000;287 
853;287 
1485;287 
1047;287 
1523;288 
1063;287 
1010;287 
1305;287 
969;287 
1145;287 
1360;287 
1527;287 
1295;287 
1021;287 
1297;287 
1242;288 
1119;287 
1031;287 
716;287 
976;287 
1671;287 
889;287 
1015;287 
1408;287 
1202;287 
1495;287 
1435;287 
1233;287 
611;287 
1247;287 
1535;287 
998;288 
1308;287 
1337;287 
3060;287 
758;287 
1574;287 
3152;287 
3329;287 
1162;288 
1042;287 
1206;287 
1155;287 
1274;287 
1471;287 
1903;287 
906;287 
2068;287 
902;287 
1113;288 
1014;287 
1350;287 
1437;287 
1873;288 
2200;287 
766;287 
1351;287 
1554;287 
1093;287 
1039;287 
1078;287 
1237;287 
1684;287 
996;287 
1591;287 
3740;287 
