CYCLES;INS
1364;287 
2273;287 
791;287 
1395;287 
2233;287 
1370;287 
1174;287 
1378;287 
1292;287 
914;287 
1650;287 
1205;287 
3331;287 
1505;287 
1758;287 
1003;287 
1057;287 
1676;287 
1119;287 
928;287 
908;287 
1526;287 
1315;287 
1400;287 
1689;287 
1071;287 
1065;287 
1301;287 
1374;287 
1127;287 
1422;287 
1442;287 
1148;288 
1322;287 
1520;287 
1192;288 
898;287 
1126;287 
1286;287 
999;287 
1701;287 
1640;287 
2750;287 
1252;287 
1497;287 
903;287 
1519;287 
899;287 
1020;287 
1221;288 
1158;288 
1127;288 
1283;287 
1289;287 
1154;287 
1037;287 
1043;287 
894;287 
1172;287 
1029;287 
1412;287 
856;287 
1275;287 
1289;287 
1108;287 
1605;287 
1063;287 
1856;287 
1433;287 
1264;287 
1329;287 
1411;287 
1413;287 
1802;287 
1168;287 
1328;287 
1307;287 
767;288 
1345;287 
2330;287 
2393;287 
2121;287 
1298;287 
896;287 
1349;287 
1301;287 
892;289 
1752;287 
3803;287 
639;287 
1189;287 
3125;287 
2459;287 
872;287 
865;287 
1639;287 
1890;287 
1345;287 
1517;287 
1738;287 
941;287 
1386;287 
1813;287 
1633;287 
1829;287 
1809;287 
2083;287 
1397;287 
1057;287 
1403;287 
1675;288 
901;287 
3220;288 
1508;287 
1238;287 
1241;287 
1529;287 
1446;287 
1149;287 
2871;287 
1461;287 
1242;288 
1781;288 
1388;288 
1986;287 
973;287 
1668;287 
1405;287 
884;287 
1434;287 
1135;287 
1156;287 
1576;287 
1403;287 
3458;287 
1531;287 
1288;287 
1334;287 
2019;287 
1141;287 
1499;288 
1605;287 
1180;287 
1168;287 
1160;287 
998;287 
2385;287 
1182;287 
1167;287 
1142;287 
2165;287 
1011;287 
1343;287 
1426;287 
1941;287 
1634;287 
1770;287 
1420;287 
1188;287 
1015;287 
1806;288 
910;287 
1044;287 
1221;287 
1131;287 
1216;287 
1217;287 
1342;287 
1679;287 
1122;287 
995;287 
602;287 
1520;287 
902;287 
1204;287 
1921;287 
1323;287 
884;287 
1256;287 
1462;287 
2285;287 
3430;287 
1369;287 
1345;287 
1340;287 
1204;288 
1500;287 
889;287 
1094;287 
2762;287 
1128;287 
1744;287 
1382;287 
1396;287 
1376;287 
1428;287 
868;287 
1104;287 
1991;287 
1306;287 
1023;287 
914;287 
990;287 
993;287 
1641;288 
1750;287 
894;287 
1156;287 
1349;287 
1442;287 
1162;287 
918;287 
1447;287 
2737;287 
993;287 
1572;287 
1131;287 
1124;287 
1241;287 
1544;287 
1285;288 
3439;287 
1474;287 
1371;287 
1749;287 
1416;287 
1066;287 
1224;287 
1305;287 
1124;287 
1687;288 
1257;287 
3654;287 
973;287 
1042;287 
3670;287 
2241;287 
1155;287 
830;287 
743;287 
1598;287 
2132;287 
2448;287 
1512;287 
1727;287 
1353;287 
1572;287 
1850;287 
935;287 
1047;287 
963;287 
1373;287 
1946;289 
1257;287 
1339;287 
1528;287 
1033;287 
1287;287 
1019;288 
1102;287 
1691;287 
1008;288 
1065;287 
1358;287 
1291;288 
1912;287 
919;287 
1650;287 
1510;287 
1011;287 
1748;287 
3060;287 
1320;287 
870;287 
1752;287 
1023;287 
1144;287 
937;287 
1668;287 
1450;287 
3332;287 
1530;287 
1407;287 
1427;287 
1403;287 
1213;287 
1333;287 
1623;287 
1563;287 
1020;287 
987;287 
1789;288 
1198;287 
1104;287 
1566;287 
3116;287 
1502;287 
1820;287 
1010;287 
1299;287 
1166;287 
1328;287 
1907;287 
1001;287 
1455;287 
1540;287 
1217;287 
1133;287 
1180;287 
932;287 
865;287 
1077;287 
1213;287 
1360;287 
1595;287 
1124;287 
3991;287 
1310;287 
1372;287 
968;287 
1083;287 
1008;287 
1131;287 
1286;287 
1466;287 
1134;287 
1401;287 
2036;287 
1190;287 
813;287 
1201;287 
1218;287 
1254;287 
1199;287 
2346;287 
899;287 
1135;287 
1155;287 
1308;287 
1597;287 
1177;287 
1641;287 
1500;287 
1436;287 
3767;287 
1310;287 
1564;287 
2030;288 
1015;287 
765;287 
1245;287 
1052;287 
2254;287 
1852;288 
1171;287 
1048;287 
1235;287 
885;287 
1695;287 
1122;288 
1207;287 
1694;287 
1513;287 
1285;287 
1024;287 
1025;287 
2385;287 
3063;287 
1903;287 
1485;287 
1950;288 
2155;287 
1057;287 
3227;287 
1453;287 
1276;287 
948;287 
1003;287 
985;287 
1210;287 
1422;287 
1401;287 
2440;287 
1304;287 
1325;287 
1346;288 
1480;287 
991;287 
1459;288 
1220;287 
1553;287 
1525;287 
1104;287 
1339;287 
1234;287 
2150;287 
1414;287 
1154;287 
1238;287 
1598;287 
1418;287 
853;287 
624;287 
1538;287 
2199;287 
1412;287 
2088;287 
1260;287 
947;287 
1090;287 
1306;287 
1616;287 
856;288 
1194;287 
863;287 
1282;287 
1748;287 
3636;289 
967;287 
866;287 
1341;287 
1191;287 
1649;287 
1465;287 
1155;287 
1392;287 
1122;287 
746;287 
1452;287 
2690;287 
1030;287 
927;287 
1271;287 
1908;288 
1147;288 
1445;288 
1410;287 
1765;287 
1629;287 
1264;287 
1423;287 
964;287 
1328;287 
989;287 
1877;287 
1178;287 
863;287 
1416;287 
1234;288 
996;287 
997;287 
1171;287 
985;287 
1399;287 
911;287 
2986;287 
1071;287 
1359;287 
1014;287 
1509;287 
1162;287 
1177;287 
1555;287 
1730;287 
1510;287 
1312;287 
1360;288 
1062;288 
1178;287 
1218;287 
1408;287 
1029;288 
1030;287 
790;287 
1201;287 
1010;287 
1578;287 
1342;287 
1162;287 
1312;287 
1082;287 
1182;287 
1579;287 
1245;287 
969;287 
1383;287 
1015;287 
1361;287 
1145;287 
1614;287 
1152;287 
1162;287 
1505;287 
1564;287 
893;287 
1507;287 
1369;287 
1271;287 
983;287 
1334;288 
1262;288 
872;287 
1043;287 
977;287 
1248;287 
1021;287 
1391;287 
1579;287 
3395;287 
893;287 
1381;287 
1520;287 
1398;287 
1514;287 
1733;288 
1236;287 
1059;287 
1007;287 
2280;287 
1074;287 
1141;287 
1315;287 
1454;287 
1466;288 
903;287 
1499;287 
1114;287 
1062;287 
1968;287 
982;287 
1168;287 
1107;287 
1578;287 
1337;287 
1037;287 
1651;287 
1368;287 
1279;287 
1083;287 
1147;287 
1434;287 
1850;287 
826;287 
1648;287 
1534;287 
1285;287 
1432;287 
896;287 
1170;287 
763;287 
1187;287 
1411;287 
1198;287 
1326;287 
1579;287 
1630;287 
1180;287 
1296;287 
1505;287 
1147;287 
616;287 
1522;287 
853;287 
2484;287 
1260;287 
1512;287 
1241;287 
1488;287 
1492;288 
3330;287 
1309;287 
1400;287 
1622;287 
1309;287 
2089;287 
1030;288 
1277;287 
859;287 
1596;287 
2087;287 
1318;287 
1031;287 
999;287 
770;287 
1411;287 
1056;287 
1022;287 
895;288 
884;288 
1212;287 
2889;287 
1326;287 
1505;287 
2809;287 
1570;287 
1401;287 
1413;287 
1238;287 
1679;287 
1168;287 
1118;287 
1137;287 
