CYCLES;INS
1018;287 
2335;287 
1310;287 
1156;287 
1276;287 
1722;287 
1795;288 
1348;288 
3526;287 
1749;287 
1160;287 
1029;287 
1441;287 
873;287 
1266;287 
1123;287 
2453;287 
976;287 
1297;287 
1072;287 
1036;287 
987;287 
1062;288 
1160;287 
1103;287 
1774;287 
1035;287 
757;287 
1633;287 
1657;287 
1478;287 
1095;287 
3490;287 
1006;287 
972;287 
3900;287 
1235;287 
617;287 
902;287 
1382;287 
734;287 
1713;288 
1574;287 
1538;287 
1004;287 
1397;287 
1520;287 
781;287 
1322;287 
3476;287 
2130;287 
2104;287 
1816;287 
1420;287 
1193;287 
1259;287 
884;287 
2409;287 
1372;287 
1325;288 
1105;287 
3323;287 
1284;287 
1281;287 
1137;287 
1545;287 
2146;287 
1184;287 
957;288 
2135;287 
1274;287 
1296;287 
898;287 
1528;287 
3473;287 
1293;287 
1027;287 
1656;287 
1143;287 
971;287 
1182;287 
1133;287 
1001;287 
1260;288 
1223;287 
3699;287 
1210;287 
1315;287 
1901;287 
1309;287 
1342;287 
1062;287 
1842;287 
1227;287 
955;287 
1503;287 
862;287 
1777;287 
894;287 
1768;287 
1026;287 
1651;287 
1111;287 
1279;287 
1542;287 
871;287 
1444;287 
1184;287 
3165;287 
1247;287 
1286;287 
1168;287 
1075;287 
2157;287 
2315;287 
1154;287 
916;287 
989;287 
1414;288 
1085;287 
966;287 
1171;287 
1231;288 
1016;287 
1660;288 
1265;287 
1408;287 
1181;287 
990;287 
1122;287 
1181;287 
1735;287 
1540;287 
1280;287 
1307;287 
1321;287 
1267;288 
1340;287 
1423;287 
1123;287 
757;287 
922;288 
1497;287 
1006;288 
1620;287 
770;287 
1113;287 
1155;288 
1293;287 
1423;287 
992;287 
1530;287 
1033;287 
1634;287 
1461;287 
1143;287 
774;287 
1262;287 
1140;287 
1277;287 
1287;287 
1620;287 
3280;287 
3011;288 
961;287 
1189;287 
866;287 
1266;287 
1383;287 
1158;287 
1056;287 
1002;287 
1091;287 
890;287 
1938;287 
1861;287 
1445;287 
972;287 
2424;287 
1146;287 
1298;287 
1578;287 
1136;287 
1307;287 
1123;287 
1980;287 
1430;287 
1251;288 
1828;287 
1171;287 
1274;287 
1176;287 
1149;287 
1221;287 
866;287 
1683;287 
3564;287 
1050;287 
1159;287 
1043;287 
1229;287 
996;287 
1869;287 
1142;287 
1202;287 
2453;287 
1550;287 
2968;287 
1427;287 
1583;287 
1671;288 
1320;287 
1494;287 
1093;287 
1320;287 
1763;287 
1168;287 
1376;287 
1767;287 
1297;287 
1487;287 
1327;287 
3188;288 
1335;287 
1399;287 
1441;287 
1525;287 
887;287 
1359;287 
1328;287 
1666;287 
1493;287 
1021;287 
1161;287 
1101;287 
1041;287 
1296;287 
1278;287 
1067;287 
1350;287 
990;287 
1546;287 
1375;287 
1394;287 
1227;287 
1186;287 
886;287 
986;287 
1176;287 
1073;287 
1321;287 
1155;287 
1853;287 
1037;287 
1811;287 
1641;287 
1742;287 
1116;287 
1672;287 
1386;287 
931;287 
1531;287 
1398;287 
1208;287 
1654;287 
758;287 
1558;288 
1271;287 
2014;287 
1163;287 
1535;287 
1181;287 
1247;287 
1291;287 
1172;287 
1150;287 
1321;287 
745;287 
1074;287 
1135;287 
886;287 
1157;287 
1018;287 
1310;287 
1518;287 
1114;288 
1309;287 
1278;287 
1623;287 
1126;287 
1157;287 
1174;287 
1357;287 
2184;287 
1423;287 
940;287 
1653;287 
1107;287 
1272;287 
1373;287 
1167;287 
1287;287 
1137;287 
1572;287 
1495;287 
1015;287 
1211;287 
3442;287 
3505;287 
1254;287 
1100;287 
1391;287 
3936;287 
2976;287 
990;287 
1659;287 
1345;287 
892;287 
1734;287 
863;287 
1119;287 
1348;287 
1485;287 
1221;287 
1198;288 
1113;287 
1040;287 
984;287 
1729;287 
1257;287 
1388;287 
1310;287 
1791;287 
942;287 
1033;287 
1422;287 
1112;287 
1650;287 
1349;287 
1549;287 
1539;287 
1391;287 
1542;287 
1313;287 
1066;287 
1210;287 
1264;287 
1405;287 
1350;288 
1863;288 
1696;288 
1367;287 
1379;287 
1680;288 
1174;287 
1091;287 
1983;287 
2999;287 
1147;288 
1527;287 
777;288 
1013;287 
1507;287 
900;287 
1519;287 
1061;287 
1410;287 
1537;287 
1138;287 
1008;287 
1430;287 
1017;287 
1706;287 
1230;287 
1264;288 
1367;287 
1201;287 
1228;287 
1612;287 
1574;287 
1554;287 
1160;288 
906;287 
1266;287 
993;287 
1416;287 
1412;287 
1645;287 
1575;287 
1174;287 
1790;287 
1049;287 
1177;287 
1680;287 
1302;287 
1234;287 
879;287 
1399;288 
1864;287 
1249;287 
1038;287 
1138;287 
1666;287 
1397;288 
1322;287 
781;287 
1285;287 
852;287 
1276;287 
1589;287 
1004;287 
1685;287 
1754;287 
833;287 
