CYCLES;INS
27948352;20022744 
27948915;20022742 
27947424;20022743 
27948244;20022751 
27948611;20022741 
27947799;20022740 
27948259;20022739 
27948522;20022745 
27948677;20022745 
27948541;20022736 
27948003;20022745 
27948311;20022749 
27948276;20022752 
27948438;20022744 
27947708;20022743 
27948502;20022770 
27947982;20022750 
27948324;20022744 
27948404;20022753 
27947309;20022745 
27946993;20022741 
27948733;20022741 
27948417;20022741 
27948625;20022750 
27948386;20022747 
27948399;20022744 
27947198;20022746 
27948716;20022741 
27948610;20022741 
27948199;20022745 
27948090;20022747 
27948267;20022742 
27947821;20022741 
27947442;20022750 
27948047;20022743 
27947715;20022740 
27948059;20022739 
27949210;20022746 
27948423;20022749 
27947882;20022743 
27947978;20022741 
27948638;20022746 
27948215;20022745 
27947432;20022746 
27947457;20022754 
27948078;20022751 
27947866;20022741 
27948012;20022739 
27947760;20022750 
27947398;20022746 
27948031;20022746 
27948562;20022743 
27948046;20022743 
27948169;20022746 
27948154;20022740 
27948609;20022743 
27948111;20022751 
27948098;20022742 
27948361;20022741 
27948965;20022743 
27948616;20022752 
27948196;20022748 
27948602;20022745 
27948026;20022753 
27948500;20022749 
27947615;20022742 
27948103;20022739 
27948305;20022746 
27947989;20022744 
27948292;20022748 
27948493;20022741 
27949056;20022747 
27948048;20022738 
27948684;20022738 
27948246;20022750 
27947347;20022746 
27948042;20022741 
27948332;20022742 
27948091;20022741 
27948379;20022739 
27948407;20022747 
27948008;20022748 
27948640;20022747 
27947003;20022739 
27948356;20022741 
27948418;20022746 
27948244;20022755 
27948295;20022747 
27947844;20022743 
27947679;20022752 
27947767;20022746 
27948139;20022742 
27948615;20022746 
27948175;20022741 
27948811;20022744 
27947530;20022736 
27947973;20022747 
27948762;20022745 
27948000;20022743 
27948115;20022744 
27948522;20022741 
27947368;20022738 
27948224;20022745 
27947311;20022744 
27949051;20022744 
27947794;20022745 
27948454;20022745 
27948396;20022750 
27948641;20022751 
27948280;20022745 
27947774;20022743 
27948310;20022754 
27947736;20022742 
27948495;20022740 
27947956;20022746 
27948617;20022746 
27948597;20022747 
27948542;20022746 
27947977;20022738 
27946892;20022741 
27948173;20022748 
27948609;20022746 
27948254;20022743 
27948506;20022750 
27948092;20022743 
27947379;20022750 
27947781;20022744 
27947998;20022743 
27948669;20022739 
27948009;20022743 
27947828;20022745 
27947771;20022744 
27948584;20022748 
27947549;20022745 
27948189;20022746 
27948334;20022743 
27948831;20022746 
27948104;20022747 
27947917;20022742 
27947928;20022740 
27948386;20022745 
27948387;20022744 
27948541;20022742 
27948511;20022751 
27948040;20022745 
27947847;20022749 
27947491;20022746 
27948181;20022747 
27947763;20022738 
27948203;20022747 
27948133;20022751 
27948369;20022746 
27947929;20022744 
27948213;20022744 
27948912;20022744 
27948319;20022738 
27948252;20022739 
27948391;20022745 
27949164;20022745 
27947369;20022738 
27947684;20022745 
27947990;20022748 
27948120;20022752 
27948105;20022745 
27949051;20022770 
27948646;20022749 
27948618;20022743 
27948050;20022745 
27948736;20022750 
27949060;20022739 
27947461;20022740 
27948586;20022747 
27947608;20022744 
27948806;20022753 
27948074;20022743 
27948452;20022744 
27947309;20022750 
27948207;20022752 
27948044;20022742 
27948809;20022739 
27947417;20022749 
27949208;20022746 
27948421;20022749 
27947881;20022745 
27948267;20022744 
27948618;20022753 
27947903;20022743 
27948031;20022736 
27947515;20022748 
27947540;20022744 
27950767;20022770 
27948497;20022744 
27947129;20022747 
27949267;20022743 
27948262;20022741 
27949904;20022747 
27947243;20022751 
27948856;20022744 
27947390;20022743 
27948024;20022754 
27948239;20022748 
27948441;20022740 
27947614;20022743 
27949319;20022748 
27948328;20022749 
27947635;20022741 
27948272;20022739 
27948667;20022747 
27948252;20022748 
27948374;20022742 
27948075;20022742 
27948078;20022745 
27947388;20022740 
27948446;20022747 
27948083;20022741 
27948082;20022739 
27948408;20022744 
27948186;20022748 
27948572;20022743 
27948474;20022740 
27948990;20022741 
27948393;20022749 
27947455;20022744 
27947971;20022750 
27948094;20022739 
27947624;20022752 
27948276;20022750 
27948412;20022741 
27947831;20022744 
27948476;20022742 
27948222;20022749 
27948651;20022742 
27949110;20022746 
27948155;20022742 
27948144;20022750 
27948597;20022752 
27948215;20022738 
27948466;20022741 
27948630;20022761 
