CYCLES;INS
27948454;20022744 
27948389;20022752 
27948143;20022742 
27947835;20022739 
27947768;20022750 
27946964;20022750 
27948525;20022746 
27947364;20022746 
27948579;20022744 
27947761;20022744 
27948053;20022749 
27950157;20022744 
27948235;20022742 
27947599;20022745 
27948371;20022752 
27947857;20022748 
27948491;20022741 
27947450;20022742 
27949610;20022748 
27948245;20022745 
27948040;20022737 
27946787;20022741 
27947610;20022749 
27948463;20022748 
27948064;20022743 
27948368;20022746 
27948750;20022753 
27948415;20022745 
27947875;20022748 
27948344;20022742 
27948005;20022742 
27947667;20022749 
27948400;20022744 
27947870;20022742 
27948253;20022748 
27949121;20022765 
27948573;20022741 
27948619;20022748 
27947633;20022744 
27948378;20022748 
27947611;20022742 
27948874;20022745 
27947638;20022742 
27947653;20022745 
27948577;20022748 
27948936;20022744 
27947159;20022744 
27948262;20022750 
27948145;20022749 
27947873;20022743 
27948105;20022748 
27948067;20022745 
27948207;20022748 
27949410;20022738 
27947920;20022742 
27948332;20022746 
27948387;20022737 
27948302;20022744 
27948653;20022747 
27947602;20022750 
27947183;20022739 
27947626;20022749 
27948730;20022742 
27950451;20022741 
27948659;20022744 
27947543;20022746 
27947849;20022748 
27948027;20022744 
27948039;20022746 
27947698;20022750 
27949131;20022751 
27948053;20022744 
27947915;20022748 
27948719;20022751 
27948502;20022743 
27947769;20022744 
27948210;20022750 
27947521;20022748 
27948156;20022739 
27948632;20022744 
27948231;20022746 
27949909;20022741 
27947649;20022744 
27947627;20022740 
27948953;20022752 
27947056;20022737 
27948657;20022745 
27949643;20022743 
27948666;20022746 
27947680;20022735 
27948204;20022746 
27947723;20022746 
27948799;20022744 
27950058;20022738 
27948717;20022748 
27948096;20022743 
27949126;20022739 
27947932;20022748 
27948566;20022750 
27947618;20022741 
27947596;20022743 
27947933;20022742 
27948500;20022745 
27947866;20022745 
27950494;20022740 
27947875;20022744 
27948102;20022747 
27947638;20022749 
27948696;20022742 
27948151;20022745 
27950061;20022747 
27948138;20022769 
27947233;20022741 
27947993;20022753 
27947685;20022746 
27948832;20022742 
27948920;20022752 
27948350;20022744 
27948166;20022747 
27947820;20022741 
27948083;20022745 
27948083;20022744 
27948092;20022745 
27948555;20022744 
27948360;20022750 
27948194;20022747 
27947803;20022743 
27947595;20022753 
27948825;20022744 
27948387;20022741 
27948555;20022742 
27948483;20022748 
27947811;20022752 
27947694;20022739 
27948495;20022747 
27949202;20022752 
27948897;20022742 
27948310;20022743 
27950562;20022748 
27948735;20022749 
27948090;20022744 
27947179;20022742 
27947650;20022745 
27948721;20022753 
27947496;20022742 
27948495;20022740 
27947938;20022744 
27948994;20022744 
27950080;20022744 
27948607;20022743 
27949104;20022740 
27948338;20022744 
27948392;20022750 
27948076;20022747 
27947723;20022740 
27948559;20022747 
27948005;20022741 
27948215;20022752 
27949300;20022736 
27947630;20022742 
27948551;20022748 
27949997;20022742 
27948352;20022738 
27948170;20022750 
27948930;20022747 
27948019;20022746 
27949775;20022746 
27948555;20022750 
27948802;20022749 
27948770;20022745 
27947327;20022749 
27948046;20022746 
27948722;20022751 
27948080;20022743 
27948629;20022744 
27948579;20022747 
27947864;20022743 
27948528;20022744 
27947602;20022749 
27947966;20022741 
27948573;20022750 
27948139;20022749 
27948599;20022751 
27947872;20022744 
