CYCLES;INS
27947384;20022742 
27947214;20022745 
27948182;20022737 
27947513;20022732 
27947528;20022738 
27948015;20022738 
27948209;20022741 
27947519;20022736 
27947796;20022742 
27947884;20022740 
27947990;20022741 
27947611;20022748 
27947625;20022739 
27947707;20022746 
27947234;20022740 
27947698;20022736 
27948033;20022739 
27947513;20022738 
27948311;20022743 
27947686;20022743 
27947983;20022741 
27947668;20022742 
27947353;20022740 
27947431;20022741 
27948016;20022733 
27947311;20022736 
27947925;20022738 
27947394;20022731 
27947969;20022740 
27947430;20022743 
27947583;20022741 
27947216;20022739 
27947899;20022735 
27947521;20022740 
27947259;20022740 
27947137;20022742 
27947268;20022740 
27947439;20022738 
27947744;20022738 
27947258;20022734 
27947673;20022743 
27947718;20022745 
27948188;20022740 
27947831;20022747 
27948047;20022742 
27948443;20022739 
27948189;20022739 
27947755;20022744 
27947053;20022737 
27947013;20022742 
27947490;20022745 
27948364;20022738 
27947775;20022739 
27947026;20022738 
27946697;20022732 
27947417;20022739 
27947007;20022736 
27947784;20022738 
27947740;20022766 
27948067;20022747 
27948120;20022738 
27947723;20022738 
27947601;20022748 
27948227;20022740 
27947506;20022740 
27947602;20022743 
27947792;20022748 
27948095;20022742 
27947697;20022746 
27947101;20022737 
27947586;20022739 
27948153;20022744 
27947299;20022740 
27947759;20022738 
27947261;20022745 
27947955;20022739 
27948125;20022743 
27947745;20022743 
27947886;20022740 
27947659;20022748 
27947283;20022735 
27948039;20022739 
27948123;20022743 
27947964;20022736 
27947759;20022745 
27948408;20022743 
27948055;20022734 
27948000;20022736 
27947515;20022744 
27947731;20022740 
27947962;20022737 
27947536;20022743 
27947910;20022736 
27946685;20022737 
27947934;20022741 
27947870;20022737 
27947897;20022735 
27948523;20022740 
27948009;20022737 
27947677;20022737 
27948120;20022747 
27947934;20022738 
27947389;20022738 
27948288;20022741 
27947759;20022739 
27947737;20022735 
27947811;20022739 
27948579;20022746 
27947652;20022736 
27948008;20022745 
27948113;20022738 
27947094;20022740 
27947491;20022744 
27947547;20022739 
27947242;20022735 
27947670;20022739 
27947671;20022738 
27947209;20022737 
27947651;20022743 
27947593;20022737 
27948231;20022744 
27947388;20022741 
27947326;20022737 
27947916;20022741 
27947305;20022739 
27947496;20022735 
27947284;20022738 
27947511;20022740 
27947785;20022742 
27947722;20022734 
27947430;20022743 
27947019;20022737 
27947204;20022733 
27948247;20022739 
27946904;20022734 
27947471;20022741 
27948031;20022772 
27948172;20022739 
27948071;20022742 
27947433;20022739 
27948135;20022743 
27947449;20022738 
27947524;20022742 
27947565;20022740 
27947420;20022744 
27947520;20022749 
27947594;20022738 
27947665;20022741 
27947318;20022744 
27948129;20022735 
27948322;20022742 
27948209;20022741 
27948013;20022738 
27947618;20022744 
27947573;20022739 
27947815;20022741 
27947528;20022740 
27947754;20022733 
27947771;20022735 
27948072;20022739 
27947842;20022740 
27947320;20022736 
27946923;20022741 
27948185;20022738 
27947927;20022738 
27947197;20022740 
27947704;20022743 
27947369;20022738 
27947438;20022741 
27947791;20022733 
27946379;20022738 
27947481;20022740 
27948027;20022733 
27947789;20022736 
27947745;20022742 
27947849;20022738 
27947706;20022735 
27947622;20022745 
27947538;20022735 
27947479;20022741 
27948176;20022743 
27947683;20022742 
27947107;20022738 
27950079;20022740 
27947367;20022740 
27947421;20022739 
27948302;20022748 
27947333;20022737 
27947712;20022738 
27947805;20022739 
27948135;20022739 
27947563;20022733 
27948238;20022743 
27947768;20022737 
27947177;20022741 
27948314;20022745 
27947861;20022734 
27948165;20022741 
27948410;20022738 
27948009;20022739 
27947382;20022736 
27947873;20022739 
27947730;20022738 
27947751;20022740 
27948370;20022743 
27948467;20022742 
27947624;20022735 
27948014;20022745 
27947637;20022741 
27948407;20022739 
27947682;20022747 
27948134;20022735 
27946779;20022741 
27947447;20022745 
27948275;20022755 
27947882;20022742 
27947626;20022735 
27948117;20022740 
27947614;20022736 
27947868;20022740 
27948051;20022739 
27947755;20022734 
27947532;20022740 
27948144;20022742 
27947451;20022735 
27947225;20022740 
27947561;20022742 
27947065;20022740 
27947441;20022740 
27948216;20022738 
27948144;20022738 
27948177;20022742 
27947278;20022741 
27947441;20022737 
27947222;20022741 
27946720;20022735 
27947468;20022738 
27948002;20022742 
27947196;20022735 
27947089;20022735 
27948120;20022745 
27948148;20022738 
27947534;20022742 
27947659;20022744 
27947823;20022738 
27947664;20022737 
27948470;20022748 
27948169;20022741 
27947902;20022735 
27947840;20022738 
27946562;20022737 
27947927;20022740 
27948218;20022744 
27947909;20022739 
27947435;20022741 
27947511;20022736 
27948023;20022730 
27947411;20022740 
27948687;20022746 
27948053;20022735 
27947679;20022738 
27948080;20022748 
27947584;20022743 
27947625;20022745 
27947870;20022750 
27949487;20022754 
27947417;20022744 
27947549;20022738 
27948006;20022734 
27947372;20022738 
27947867;20022740 
27947640;20022739 
27947770;20022739 
27947938;20022748 
27947789;20022736 
27947366;20022736 
27947981;20022741 
27947727;20022734 
27947843;20022740 
27947543;20022746 
27947903;20022740 
27947651;20022741 
27947465;20022740 
27946892;20022736 
27948035;20022743 
27947384;20022744 
27947912;20022741 
27947833;20022737 
27947432;20022745 
27947609;20022731 
27948131;20022748 
27947415;20022740 
27948516;20022761 
27947908;20022748 
27947023;20022738 
27948138;20022738 
27948040;20022741 
27947318;20022736 
27947600;20022735 
27948438;20022743 
27947988;20022734 
27947440;20022736 
27947359;20022740 
27947470;20022732 
27947555;20022737 
27947570;20022746 
27948326;20022738 
27947791;20022742 
27948348;20022740 
27947223;20022743 
27947728;20022738 
27947814;20022739 
27947762;20022736 
27947073;20022734 
27948142;20022741 
27947747;20022740 
27947090;20022745 
27948593;20022744 
27947588;20022742 
27946612;20022736 
27947973;20022740 
27947870;20022738 
27947923;20022736 
27948479;20022735 
27948089;20022737 
27947149;20022735 
27947690;20022743 
27948298;20022735 
27946893;20022741 
27948281;20022747 
27948014;20022734 
27948475;20022736 
27947699;20022745 
27947627;20022734 
27947769;20022737 
27947821;20022740 
27947515;20022739 
27948662;20022739 
27947190;20022743 
27948328;20022740 
27948236;20022742 
27947270;20022740 
27947931;20022741 
27948308;20022745 
27947184;20022738 
27948244;20022735 
27947608;20022744 
27947748;20022742 
