CYCLES;INS
27947491;20022745 
27947692;20022738 
27947718;20022742 
27950004;20022739 
27948895;20022741 
27947428;20022739 
27947798;20022743 
27947115;20022746 
27948069;20022737 
27948442;20022746 
27947688;20022740 
27948034;20022740 
27948335;20022738 
27947786;20022742 
27948430;20022743 
27948189;20022746 
27949411;20022745 
27948215;20022736 
27949426;20022739 
28095101;20022757 
27947531;20022745 
27968155;20022736 
28233313;20022749 
27949254;20022742 
27948269;20022744 
27948405;20022737 
27948184;20022743 
27947044;20022737 
27949669;20022743 
27948311;20022748 
27948650;20022740 
27948262;20022735 
27948283;20022738 
27948541;20022734 
27948489;20022742 
27947990;20022744 
27948360;20022737 
27948163;20022734 
27948506;20022751 
27949126;20022738 
27949917;20022738 
27950284;20022739 
27947912;20022739 
27947673;20022737 
27947531;20022736 
27947631;20022743 
27948262;20022738 
27947935;20022744 
27947337;20022737 
27948581;20022738 
27948244;20022736 
27948450;20022737 
27948656;20022740 
27947238;20022733 
27948125;20022740 
27950414;20022739 
27948493;20022742 
27948038;20022740 
27947777;20022745 
27949901;20022746 
27947869;20022736 
27948172;20022741 
27949032;20022758 
27948558;20022744 
27948164;20022741 
27948159;20022742 
27949365;20022735 
27946791;20022740 
27948095;20022747 
27948747;20022741 
27949618;20022740 
27947759;20022745 
27949515;20022741 
27947320;20022740 
27948305;20022744 
27948090;20022745 
27948200;20022740 
27948180;20022754 
27948251;20022741 
27948118;20022740 
27948260;20022738 
27948082;20022748 
28043490;20022805 
28226569;20022738 
28402316;20022741 
27995339;20022746 
27949053;20022741 
27969357;20022740 
27947690;20022734 
27947469;20022751 
27948214;20022748 
28394068;20022739 
28051147;20022740 
27948353;20022748 
27948049;20022739 
27970961;20022745 
27949866;20022740 
27947771;20022739 
27948286;20022741 
27948818;20022738 
28101486;20022737 
27948001;20022744 
27948842;20022742 
27947999;20022737 
27950571;20022740 
27949845;20022740 
27949107;20022746 
27948506;20022739 
27947881;20022741 
27948298;20022738 
27947924;20022738 
27948285;20022741 
27949808;20022741 
27948263;20022734 
27948676;20022753 
27948936;20022740 
27948382;20022738 
27948128;20022738 
27947685;20022735 
27948657;20022733 
27949524;20022735 
27948283;20022742 
27948052;20022739 
27948166;20022743 
27948356;20022746 
27948628;20022740 
27947768;20022738 
27948052;20022741 
27947916;20022738 
27947964;20022742 
27948338;20022736 
27947961;20022736 
27948585;20022740 
27948483;20022742 
27947825;20022737 
27947659;20022741 
27947774;20022738 
27946660;20022740 
27948106;20022738 
27949074;20022765 
27949283;20022739 
27946979;20022742 
27950259;20022738 
27948554;20022744 
27948239;20022746 
27948051;20022737 
27947868;20022735 
27948811;20022737 
27947684;20022738 
27947492;20022739 
27948599;20022736 
27950180;20022746 
27947847;20022746 
27947895;20022736 
27948739;20022738 
27947825;20022732 
27948400;20022736 
27949359;20022737 
27948274;20022736 
27947915;20022737 
27947371;20022735 
27947889;20022737 
27948341;20022741 
27948313;20022741 
27948910;20022742 
27948445;20022733 
27948183;20022739 
27948527;20022739 
27947370;20022739 
27947795;20022733 
27948719;20022743 
27949040;20022743 
27947795;20022739 
27948320;20022742 
27948034;20022741 
27947881;20022733 
27948478;20022748 
27948532;20022739 
27948119;20022733 
27948570;20022745 
27949902;20022733 
27947776;20022744 
27947986;20022740 
27947781;20022736 
27949714;20022740 
27947995;20022737 
27948286;20022742 
27948524;20022740 
27948014;20022737 
27948775;20022743 
27947749;20022743 
27947913;20022738 
27949073;20022744 
27947252;20022739 
27947730;20022738 
27947769;20022743 
27947999;20022740 
27947896;20022738 
27947818;20022745 
27948112;20022736 
27947601;20022739 
27947930;20022738 
27949572;20022738 
27948094;20022737 
27947594;20022741 
27948233;20022737 
27947650;20022738 
27947700;20022737 
27948078;20022735 
27947762;20022743 
27948735;20022737 
27947206;20022736 
27947767;20022737 
27948427;20022740 
27948084;20022739 
27948279;20022740 
27947674;20022740 
27948317;20022759 
27948223;20022738 
27948342;20022746 
27947776;20022744 
27947306;20022738 
27948097;20022735 
27947824;20022746 
27948037;20022739 
27948224;20022736 
27948930;20022736 
27948141;20022741 
27949785;20022744 
27948360;20022743 
27947713;20022737 
27947521;20022741 
27948291;20022744 
27948819;20022734 
27947805;20022741 
27948014;20022746 
27948048;20022740 
27947748;20022736 
27947356;20022737 
27948303;20022741 
27947831;20022738 
27950736;20022733 
27947244;20022740 
27947890;20022740 
27947850;20022742 
27948389;20022742 
27948567;20022743 
27947635;20022739 
27947679;20022746 
27948013;20022740 
27947906;20022738 
27947753;20022739 
27948506;20022738 
27948761;20022738 
27947974;20022742 
27948527;20022740 
27947979;20022735 
27947733;20022740 
27947812;20022740 
27949487;20022741 
27948160;20022738 
27947810;20022743 
27947484;20022740 
27948749;20022742 
27947848;20022743 
27947268;20022743 
27948317;20022734 
27948073;20022742 
27947052;20022738 
27947689;20022737 
27948385;20022738 
27948125;20022743 
27947974;20022747 
27949110;20022739 
27947630;20022742 
27948162;20022741 
27947238;20022738 
27947676;20022743 
27948215;20022740 
27947774;20022742 
27947948;20022735 
27947127;20022739 
27947518;20022739 
27947145;20022739 
27948226;20022744 
27948263;20022734 
27948238;20022747 
27948318;20022738 
27947489;20022739 
27947770;20022747 
27949390;20022736 
27947683;20022738 
27947930;20022743 
27948030;20022736 
27949047;20022758 
27947776;20022749 
27947504;20022739 
27950589;20022735 
