CYCLES;INS
27948464;20022752 
27948493;20022755 
27948688;20022753 
27947392;20022755 
27948417;20022758 
27947821;20022761 
27947808;20022751 
27948309;20022759 
27947266;20022760 
27947091;20022752 
27948919;20022755 
27948260;20022760 
27948199;20022753 
27947834;20022756 
27947839;20022753 
27947198;20022749 
27948213;20022753 
27948419;20022761 
27948279;20022750 
27947430;20022760 
27947923;20022760 
27948041;20022762 
27948585;20022757 
27947875;20022752 
27949342;20022751 
27948156;20022748 
27948470;20022758 
27949055;20022751 
27947810;20022757 
27948832;20022756 
27948151;20022757 
27948145;20022758 
27947852;20022758 
27948306;20022752 
27947494;20022751 
27950508;20022752 
27948623;20022757 
27947997;20022756 
27947472;20022764 
27948354;20022759 
27947447;20022764 
27947878;20022765 
27948067;20022749 
27947768;20022753 
27949091;20022762 
27948407;20022755 
27946940;20022750 
27947822;20022756 
27947953;20022759 
27949042;20022745 
27948891;20022758 
27949191;20022759 
27947803;20022751 
27947430;20022756 
27949202;20022758 
27950259;20022777 
27948334;20022754 
27947775;20022757 
27947261;20022748 
27948479;20022761 
27948540;20022751 
27947331;20022753 
27948226;20022757 
27949120;20022760 
27947860;20022754 
27948060;20022746 
27947740;20022768 
27948720;20022749 
27948456;20022754 
27949543;20022760 
27947962;20022753 
27948001;20022755 
27947840;20022753 
27947850;20022754 
27948298;20022746 
27951766;20022755 
27948051;20022757 
27948045;20022751 
27948096;20022753 
27948426;20022758 
27947751;20022758 
27948090;20022755 
27948729;20022757 
27948296;20022754 
27948242;20022753 
27948571;20022761 
27949292;20022753 
27947620;20022756 
27948440;20022758 
27948151;20022749 
27950602;20022758 
27948172;20022758 
27948156;20022751 
27947198;20022755 
27948538;20022751 
27948449;20022753 
27949457;20022757 
27947953;20022760 
27948477;20022755 
27947988;20022750 
27948082;20022752 
27947002;20022751 
27947321;20022758 
27947503;20022757 
27947897;20022755 
27947954;20022749 
27947431;20022756 
27950043;20022755 
27948050;20022762 
27948303;20022752 
27948135;20022752 
27948987;20022746 
27948085;20022753 
27947562;20022759 
27947877;20022747 
27947810;20022756 
27947714;20022758 
27948005;20022754 
27948478;20022757 
27947972;20022756 
27947887;20022754 
27947742;20022755 
27947922;20022761 
27947719;20022755 
27947779;20022755 
27949530;20022767 
27948218;20022755 
27947939;20022762 
27948799;20022756 
27949379;20022757 
27948357;20022746 
27947970;20022757 
27947244;20022754 
27947339;20022775 
27947669;20022760 
27947648;20022754 
27948595;20022760 
27947644;20022752 
27947780;20022755 
27948634;20022750 
27947849;20022753 
27947694;20022749 
27948816;20022750 
27947107;20022758 
27949741;20022756 
27948301;20022759 
27948800;20022754 
27948318;20022750 
27948305;20022753 
27948220;20022758 
27948087;20022750 
27948752;20022756 
27948429;20022755 
27947712;20022754 
27948696;20022751 
27948159;20022760 
27948043;20022760 
27948023;20022754 
27948546;20022751 
27948365;20022752 
27948606;20022753 
27947194;20022755 
27948671;20022768 
27947718;20022757 
27948483;20022759 
27948564;20022754 
27947101;20022758 
27947771;20022750 
27946950;20022753 
27947493;20022753 
27947724;20022756 
27949736;20022756 
27948093;20022753 
27946984;20022751 
27948273;20022758 
27947445;20022749 
27948055;20022756 
27947617;20022746 
27949152;20022752 
27948016;20022762 
27947544;20022757 
27951088;20022752 
27947791;20022753 
27949259;20022755 
27947349;20022757 
27948474;20022756 
27947923;20022754 
27947725;20022755 
27948724;20022754 
27948781;20022755 
27948238;20022751 
27948729;20022753 
27947526;20022753 
27948568;20022768 
27947652;20022755 
27948920;20022755 
27947948;20022752 
27948152;20022760 
27948076;20022762 
27947118;20022759 
27948245;20022754 
27948637;20022751 
27948469;20022752 
27948622;20022757 
27951361;20022765 
27948302;20022759 
27948261;20022760 
27947002;20022759 
27948083;20022753 
27949100;20022760 
27947450;20022767 
27947832;20022752 
27948060;20022761 
27947189;20022758 
27949660;20022755 
27949959;20022749 
27948702;20022745 
27947320;20022754 
27947727;20022753 
27948646;20022762 
27947721;20022757 
27947622;20022761 
27948061;20022752 
27948627;20022755 
27947210;20022752 
27948365;20022758 
27948047;20022752 
27947959;20022764 
