CYCLES;INS
27947506;20022756 
27948191;20022764 
27948228;20022760 
27948120;20022758 
27947857;20022756 
27948095;20022752 
27948687;20022775 
27949131;20022762 
27946497;20022755 
27948200;20022756 
27949267;20022761 
27947374;20022750 
27947813;20022748 
27948085;20022763 
27948506;20022747 
27948016;20022755 
27947800;20022758 
27948308;20022754 
27948406;20022752 
27948949;20022757 
27947458;20022752 
27949193;20022754 
27947340;20022755 
27946998;20022754 
27948922;20022752 
27947704;20022760 
27950558;20022759 
27947669;20022749 
27947710;20022762 
27947638;20022757 
27948810;20022753 
27947861;20022750 
27947933;20022748 
27948699;20022757 
27948736;20022753 
27947963;20022757 
27948316;20022748 
27947247;20022754 
27949307;20022755 
27947940;20022756 
27948053;20022757 
27948619;20022754 
27948049;20022756 
27947969;20022754 
27948042;20022758 
27949783;20022756 
27947559;20022751 
27948904;20022757 
27949032;20022754 
27949860;20022756 
27948630;20022751 
27948018;20022749 
27948721;20022757 
27948348;20022754 
27947768;20022751 
27948213;20022757 
27948170;20022768 
27948017;20022755 
27949313;20022756 
27947761;20022754 
27947640;20022757 
27947335;20022748 
27948200;20022747 
27947524;20022754 
27949919;20022758 
27947596;20022761 
27947504;20022751 
27948975;20022761 
27947790;20022754 
27947605;20022751 
27947569;20022753 
27948822;20022758 
27949707;20022760 
27948294;20022759 
27948783;20022754 
27947771;20022754 
27947840;20022754 
27948465;20022753 
27948211;20022762 
27950812;20022747 
27947138;20022749 
27948509;20022754 
27950666;20022764 
27946902;20022748 
27948299;20022759 
27948198;20022747 
27947928;20022761 
27947668;20022759 
27947115;20022747 
27948960;20022753 
27948463;20022750 
27946881;20022762 
27948366;20022749 
27949534;20022761 
27948667;20022759 
27948791;20022751 
27949265;20022760 
27949400;20022760 
27947690;20022754 
27948379;20022751 
27947583;20022755 
27947948;20022755 
27946936;20022751 
27948747;20022750 
27948494;20022755 
27947139;20022757 
27948050;20022747 
27948417;20022752 
27948862;20022752 
27950154;20022755 
27948123;20022754 
27947810;20022753 
27948481;20022754 
27948071;20022755 
