CYCLES;INS
27948053;20022739 
27948013;20022733 
27947995;20022744 
27948106;20022739 
27948131;20022743 
27948129;20022743 
27949220;20022738 
27949180;20022737 
27949665;20022739 
27949440;20022735 
27947957;20022740 
27947845;20022735 
27948211;20022746 
27948043;20022749 
27949757;20022742 
27948233;20022738 
27947834;20022738 
27949476;20022738 
27948015;20022741 
27947503;20022743 
27950276;20022739 
27948926;20022737 
27947434;20022743 
27948270;20022736 
27948627;20022737 
27949450;20022736 
27948326;20022732 
27948493;20022736 
27949208;20022767 
27948750;20022740 
27948260;20022741 
27949735;20022737 
27947839;20022734 
27948436;20022737 
27948185;20022737 
27947344;20022748 
27948399;20022737 
27948670;20022737 
27948681;20022739 
27948773;20022741 
27948059;20022739 
27948064;20022744 
27948158;20022740 
27948618;20022740 
27949545;20022734 
27948372;20022741 
27948170;20022739 
27950364;20022736 
27947705;20022740 
27948523;20022749 
27949155;20022741 
27948873;20022738 
27947660;20022734 
27948575;20022742 
27948426;20022740 
27947752;20022742 
27949583;20022742 
27948529;20022739 
27947658;20022741 
27948429;20022740 
27948315;20022733 
27946693;20022739 
27949316;20022738 
27947907;20022739 
27949266;20022745 
27948020;20022736 
27949721;20022734 
27949364;20022738 
27948059;20022749 
27949672;20022739 
27948073;20022740 
27947695;20022734 
27948018;20022741 
27948311;20022732 
27948264;20022738 
27948019;20022733 
27947760;20022739 
27948619;20022741 
27948582;20022737 
27947829;20022741 
27948039;20022740 
27947784;20022734 
27949089;20022737 
27948139;20022736 
27947132;20022738 
27946992;20022732 
27948260;20022749 
27948167;20022742 
27947251;20022739 
27948212;20022737 
27947206;20022736 
27948862;20022739 
27949417;20022738 
27947226;20022738 
27947778;20022736 
27948806;20022740 
27949292;20022738 
27948148;20022739 
27948667;20022737 
27948370;20022739 
27949153;20022737 
27949812;20022738 
27948357;20022742 
27948349;20022759 
27949061;20022741 
27949270;20022737 
27948277;20022739 
27948638;20022733 
27947670;20022741 
27947491;20022740 
27947877;20022739 
27948400;20022736 
27948059;20022740 
27948905;20022738 
27950118;20022740 
27948168;20022738 
27947515;20022737 
27947707;20022744 
27948470;20022742 
27947792;20022743 
27948841;20022740 
27948152;20022741 
27947590;20022743 
27948322;20022738 
27948872;20022739 
27948080;20022745 
27948244;20022740 
27948397;20022739 
27947780;20022735 
27948110;20022741 
27947670;20022737 
27950494;20022742 
27949765;20022739 
27948982;20022739 
27950350;20022732 
27948492;20022736 
27948644;20022739 
27948292;20022739 
27948311;20022741 
27948131;20022743 
27949619;20022746 
27947908;20022737 
27947343;20022739 
27948117;20022732 
27947776;20022738 
27948510;20022742 
27948985;20022744 
27947660;20022740 
27948591;20022734 
27948145;20022747 
27950238;20022744 
27949741;20022733 
27948027;20022741 
27948830;20022739 
27948741;20022743 
27949181;20022748 
27948786;20022738 
27948435;20022741 
27948628;20022742 
27947871;20022738 
27948079;20022744 
27947806;20022735 
27949564;20022733 
27947930;20022737 
27949684;20022740 
27948224;20022739 
27948365;20022742 
27947752;20022738 
27948418;20022740 
27949515;20022740 
27948000;20022740 
27947579;20022743 
27948091;20022741 
27948193;20022739 
27948812;20022739 
27950032;20022743 
27948451;20022763 
27950565;20022745 
27948820;20022743 
27948608;20022744 
27948737;20022737 
27949178;20022739 
27947917;20022740 
27947563;20022741 
27948920;20022736 
27947524;20022736 
27947792;20022743 
27949168;20022738 
27948042;20022736 
27948180;20022738 
27947964;20022741 
27948754;20022737 
27948355;20022742 
27948187;20022739 
27947918;20022739 
27947776;20022745 
27948042;20022739 
27947803;20022744 
27948181;20022737 
27948006;20022745 
27948986;20022737 
27949266;20022736 
27948294;20022739 
27948022;20022742 
27948686;20022748 
27947681;20022741 
27948557;20022741 
27948048;20022734 
27947999;20022745 
27947623;20022734 
27948508;20022740 
27948093;20022737 
27947342;20022736 
27949931;20022748 
27948012;20022738 
27947892;20022742 
27947792;20022737 
27948042;20022739 
27948657;20022734 
27949089;20022741 
27950258;20022737 
27948264;20022737 
27948557;20022738 
27947855;20022736 
27949925;20022745 
27949662;20022739 
27948143;20022733 
27948378;20022739 
27947688;20022738 
27948697;20022739 
27947847;20022740 
27948823;20022736 
27947958;20022740 
27949314;20022737 
27948013;20022740 
27948278;20022743 
27947727;20022742 
27947770;20022743 
27949252;20022741 
27947610;20022739 
27949750;20022741 
27948397;20022737 
27948046;20022738 
27947787;20022738 
27948971;20022742 
27948122;20022739 
27948239;20022737 
27948828;20022741 
27950096;20022737 
27947811;20022743 
27948200;20022743 
27950367;20022757 
27948560;20022743 
27950217;20022741 
27948256;20022744 
27948167;20022743 
27949293;20022744 
27948360;20022734 
27948228;20022742 
27947390;20022740 
27947338;20022739 
27948393;20022739 
27947272;20022737 
27948552;20022742 
27948015;20022736 
27948188;20022736 
27948468;20022742 
27948098;20022742 
27948538;20022745 
27947674;20022735 
27950211;20022738 
27948061;20022739 
27948579;20022742 
27947627;20022740 
27948426;20022741 
27948164;20022742 
27947972;20022737 
27949086;20022741 
27947899;20022740 
27948629;20022741 
27948050;20022739 
27947296;20022744 
27949357;20022742 
27947579;20022741 
27948350;20022743 
27947440;20022737 
27947765;20022733 
27948390;20022740 
27948653;20022737 
27947674;20022737 
27948403;20022739 
27948502;20022739 
27948098;20022743 
27950445;20022737 
27950211;20022734 
27948977;20022743 
27948011;20022744 
27948213;20022737 
27948048;20022738 
27950091;20022744 
27948556;20022734 
27948086;20022740 
27948238;20022742 
27948252;20022737 
27949359;20022739 
27947980;20022743 
27947378;20022744 
27947939;20022744 
27948213;20022734 
27947883;20022743 
27947791;20022744 
27948153;20022745 
27948041;20022740 
27948845;20022735 
27948793;20022745 
27947474;20022735 
27947671;20022741 
27948914;20022734 
27948214;20022737 
27948375;20022738 
27948574;20022736 
27949120;20022741 
27949557;20022740 
27948129;20022739 
27947766;20022740 
27947865;20022739 
27947902;20022739 
27949157;20022742 
27948050;20022741 
27948055;20022738 
27948360;20022743 
27947269;20022738 
27949148;20022739 
27947930;20022736 
27948797;20022740 
27948810;20022737 
27947683;20022747 
27949146;20022746 
27947622;20022737 
27948168;20022740 
27949116;20022734 
27948975;20022742 
27948736;20022745 
27947840;20022737 
27947717;20022738 
27949715;20022740 
27948455;20022736 
27947786;20022739 
27947860;20022739 
27947829;20022738 
27948246;20022740 
27949891;20022744 
27948580;20022741 
27948965;20022739 
27949127;20022740 
27948344;20022740 
27947599;20022735 
27948415;20022737 
27948127;20022736 
27947959;20022746 
27948908;20022743 
27948499;20022741 
27948385;20022740 
27948014;20022737 
27948408;20022746 
27948124;20022739 
27948313;20022741 
27948243;20022741 
27947992;20022742 
27948794;20022745 
27948357;20022747 
27948076;20022736 
27947848;20022736 
27948872;20022739 
27948608;20022744 
27948173;20022735 
27948039;20022735 
27948180;20022738 
27948624;20022736 
27948804;20022745 
27947675;20022739 
27948312;20022741 
27948131;20022740 
27947769;20022738 
27948377;20022752 
27948636;20022739 
27948577;20022739 
27947951;20022741 
27948403;20022742 
27949190;20022740 
27949433;20022736 
27949172;20022741 
27947884;20022738 
27948217;20022739 
27947740;20022741 
27948382;20022738 
27948880;20022739 
27948247;20022750 
27948315;20022738 
27948302;20022736 
27949141;20022759 
27948195;20022737 
27948189;20022733 
27949352;20022743 
27947714;20022743 
27951160;20022736 
27947672;20022739 
27948133;20022747 
27948869;20022747 
27947561;20022738 
27948488;20022733 
27949395;20022737 
27949198;20022738 
27948207;20022738 
27948197;20022744 
27948726;20022742 
27948047;20022739 
27950313;20022737 
27948229;20022736 
27948269;20022738 
27949353;20022739 
27951435;20022739 
27950174;20022741 
27948186;20022743 
27947382;20022738 
27948273;20022744 
27948399;20022733 
27948283;20022742 
27948349;20022736 
27948120;20022740 
27948130;20022734 
27948312;20022742 
27948426;20022737 
27948128;20022737 
27948537;20022748 
27948167;20022737 
27948732;20022737 
27950146;20022742 
27948386;20022739 
27947692;20022745 
27947611;20022736 
27948000;20022743 
27949806;20022740 
27949704;20022745 
27949423;20022743 
27947596;20022739 
27947923;20022741 
27948153;20022734 
27948888;20022741 
27948558;20022744 
27948710;20022744 
27948193;20022740 
27949038;20022740 
27947850;20022738 
27948612;20022749 
27950324;20022742 
27948141;20022743 
27947960;20022739 
27950128;20022741 
27947311;20022737 
27947987;20022741 
27949292;20022740 
27948246;20022742 
27950283;20022735 
27948569;20022743 
27948167;20022740 
27947916;20022737 
27949936;20022737 
27948382;20022742 
27948086;20022741 
27947475;20022737 
27950060;20022736 
27948757;20022742 
27948543;20022741 
27947910;20022742 
27948480;20022760 
27948453;20022739 
27949345;20022741 
27947689;20022744 
27949064;20022740 
27948600;20022752 
27948505;20022739 
27948579;20022743 
27950283;20022738 
27948713;20022738 
27948167;20022739 
27949956;20022748 
27950086;20022739 
27948274;20022742 
27949827;20022740 
27947611;20022730 
27948775;20022738 
27948232;20022737 
27948730;20022735 
27947502;20022740 
27948242;20022737 
27949050;20022742 
27947940;20022735 
27949021;20022738 
27947753;20022737 
27948244;20022740 
27947882;20022745 
27948564;20022741 
27948432;20022736 
27949757;20022738 
27948336;20022739 
27949184;20022745 
27948068;20022748 
27948665;20022735 
27947855;20022740 
27947984;20022738 
27947644;20022736 
27948767;20022739 
27949189;20022738 
27948450;20022744 
27947313;20022738 
27950484;20022740 
27948232;20022744 
27947928;20022743 
27949854;20022744 
27948102;20022736 
27948310;20022741 
27947580;20022735 
27948274;20022740 
27948747;20022746 
27949795;20022738 
27947700;20022747 
27948561;20022737 
27947839;20022734 
27948278;20022743 
27949125;20022744 
28465173;20022742 
28565447;20022741 
27948278;20022742 
27947989;20022738 
27949832;20022743 
27948934;20022732 
27948258;20022739 
27948317;20022739 
27950389;20022743 
27949111;20022739 
27947733;20022734 
27949607;20022745 
27948166;20022739 
27948018;20022747 
27948077;20022736 
27947413;20022734 
27948118;20022741 
27948507;20022737 
27949656;20022765 
27947468;20022748 
27950198;20022739 
27947646;20022741 
27948086;20022748 
27947947;20022740 
27950496;20022743 
27948752;20022738 
27948558;20022744 
27947740;20022737 
27948488;20022743 
27948436;20022738 
27948956;20022739 
27950125;20022744 
27951102;20022736 
27947738;20022738 
27948119;20022740 
27948345;20022735 
27948672;20022745 
27948366;20022744 
27948662;20022742 
27948458;20022737 
27948161;20022735 
27947967;20022742 
27947905;20022736 
27947700;20022740 
27948432;20022742 
27948061;20022740 
27948111;20022744 
27946974;20022734 
27948868;20022751 
27948402;20022743 
27947564;20022743 
27948607;20022745 
27948542;20022741 
27950982;20022739 
27948454;20022740 
27948033;20022738 
27947952;20022738 
27948316;20022734 
27948513;20022736 
27949135;20022742 
27948319;20022742 
27948006;20022737 
27949326;20022746 
27948519;20022739 
27947964;20022740 
27948233;20022744 
27947835;20022741 
27948459;20022739 
27948663;20022740 
27947398;20022737 
27947545;20022737 
27947898;20022741 
27948319;20022742 
27948996;20022738 
27948153;20022740 
27948064;20022734 
27949422;20022735 
27949505;20022742 
27949584;20022734 
27949499;20022735 
27949206;20022740 
27948794;20022736 
27948547;20022743 
27951577;20022738 
27949426;20022744 
27948045;20022740 
27948142;20022739 
27948385;20022739 
27947864;20022738 
27948909;20022738 
27948167;20022745 
27949830;20022741 
27947474;20022739 
27949218;20022762 
27947152;20022735 
27948347;20022740 
27948546;20022741 
27948764;20022741 
27948371;20022740 
27948349;20022737 
27949795;20022740 
27950261;20022737 
27948273;20022739 
27947744;20022735 
27947961;20022741 
27948330;20022741 
27948183;20022743 
27948984;20022739 
27948539;20022744 
27948455;20022739 
27949858;20022741 
27948392;20022737 
27948033;20022736 
27948267;20022738 
27948125;20022745 
27950222;20022740 
27949139;20022741 
27949000;20022741 
27948528;20022739 
27948811;20022743 
27948529;20022740 
27948264;20022739 
27948043;20022742 
27948719;20022741 
27947392;20022737 
27948004;20022738 
27948906;20022741 
27948095;20022739 
27948625;20022735 
27948081;20022741 
27949292;20022739 
27948324;20022738 
27948312;20022741 
27948365;20022742 
27948350;20022741 
27947979;20022743 
27949365;20022742 
27948367;20022745 
27947792;20022740 
27948403;20022736 
27948961;20022739 
27949326;20022739 
27947552;20022738 
27949963;20022741 
27948047;20022734 
27950422;20022740 
27950225;20022733 
27948761;20022737 
27949383;20022740 
27947717;20022745 
27948128;20022740 
27948713;20022740 
27947965;20022739 
27948318;20022742 
27948758;20022751 
27948950;20022747 
27948351;20022738 
27949597;20022735 
27948830;20022738 
27948232;20022734 
27949821;20022739 
27948472;20022737 
27950380;20022737 
27948988;20022746 
27948089;20022739 
27949613;20022742 
27949131;20022738 
27948318;20022737 
27950124;20022739 
28628504;20022748 
28412083;20022748 
27948225;20022739 
27948289;20022740 
27949253;20022734 
27948488;20022737 
27948832;20022738 
27948468;20022743 
27947890;20022734 
27948020;20022744 
27948864;20022745 
27950428;20022743 
27947878;20022741 
27948299;20022740 
27948071;20022740 
27950898;20022742 
27948320;20022747 
27947634;20022749 
27947529;20022742 
27948097;20022742 
27947301;20022742 
27948581;20022747 
27950466;20022738 
27948997;20022739 
