CYCLES;INS
27947580;20022741 
27946666;20022739 
27947218;20022745 
27948914;20022739 
27947261;20022739 
27947800;20022739 
27948002;20022736 
27947723;20022730 
27948031;20022733 
27948160;20022737 
27947333;20022739 
27947713;20022739 
27950276;20022747 
27947658;20022734 
27947256;20022742 
27947712;20022741 
27947267;20022735 
27948090;20022742 
27948513;20022736 
27947672;20022737 
27947471;20022733 
27948649;20022739 
27947221;20022745 
27949130;20022735 
27947405;20022738 
27948243;20022739 
27947291;20022742 
27948814;20022741 
28828004;20022743 
27948024;20022761 
27948789;20022735 
27946761;20022735 
27947201;20022740 
27947916;20022744 
27947461;20022735 
27947595;20022742 
27947303;20022738 
27947070;20022739 
27947605;20022744 
27947400;20022741 
27947651;20022740 
27947802;20022738 
27948029;20022739 
27947713;20022740 
27947724;20022741 
27948147;20022745 
27948320;20022737 
27948102;20022743 
27947663;20022739 
27948645;20022740 
27947652;20022741 
27947348;20022740 
27947463;20022741 
27947944;20022740 
27947440;20022741 
27947348;20022740 
27947890;20022737 
27949968;20022740 
27947748;20022743 
27949459;20022739 
27948146;20022735 
27946982;20022739 
27948740;20022742 
27947875;20022742 
27948294;20022743 
27947665;20022740 
27946562;20022741 
27947693;20022738 
27947336;20022738 
27947260;20022739 
27948187;20022742 
27947376;20022731 
27950464;20022740 
27947211;20022738 
27947339;20022733 
27948188;20022739 
27947531;20022739 
27948073;20022734 
27947189;20022739 
27948413;20022739 
27947070;20022742 
27947495;20022742 
27947726;20022736 
27947694;20022738 
27947472;20022739 
27947968;20022737 
27947825;20022739 
27947599;20022744 
27947628;20022741 
27948926;20022733 
27948041;20022741 
27947608;20022739 
27946808;20022741 
27947007;20022744 
27947279;20022738 
27947103;20022736 
27948393;20022739 
27947098;20022743 
27947413;20022735 
27948119;20022737 
27947175;20022736 
27948353;20022737 
27948371;20022739 
27947924;20022748 
27947327;20022740 
27947729;20022733 
27947382;20022738 
27947489;20022743 
27947108;20022743 
27948797;20022738 
27947198;20022740 
27947639;20022744 
27947719;20022734 
27948661;20022749 
27947606;20022741 
27947978;20022746 
27947547;20022739 
27948327;20022738 
27948559;20022740 
27948383;20022740 
27947961;20022739 
27947572;20022735 
27947438;20022740 
27947326;20022741 
27946635;20022735 
27946980;20022745 
27948387;20022742 
27947196;20022747 
27947469;20022736 
27948410;20022736 
27948196;20022737 
27947710;20022738 
27948072;20022747 
27948028;20022734 
27947511;20022733 
27949417;20022739 
27947178;20022740 
27948202;20022745 
27947863;20022737 
27947235;20022747 
27947582;20022740 
27948240;20022748 
27947724;20022738 
27947867;20022738 
27949121;20022738 
27947467;20022737 
27947893;20022737 
27947255;20022738 
27948239;20022737 
27949291;20022743 
27947537;20022737 
27947420;20022742 
27947482;20022736 
27947515;20022736 
27946780;20022741 
27947410;20022743 
27947336;20022736 
27947433;20022739 
27948707;20022739 
27946736;20022734 
27948086;20022744 
27946402;20022743 
27948015;20022751 
27947950;20022748 
27947685;20022734 
27947774;20022743 
27947483;20022740 
27947617;20022739 
27949993;20022735 
27946868;20022740 
27948471;20022744 
27947684;20022740 
27947531;20022740 
27946852;20022736 
27947667;20022743 
27947674;20022741 
27947207;20022733 
27947517;20022743 
27948082;20022739 
27947005;20022736 
27948089;20022761 
27946760;20022743 
27948795;20022743 
27947391;20022735 
27947787;20022734 
27947469;20022744 
27947362;20022737 
27947860;20022738 
27947905;20022743 
27948414;20022746 
27946822;20022738 
27948797;20022742 
27947167;20022739 
27946836;20022742 
27947521;20022737 
27947862;20022739 
27947430;20022741 
27947426;20022737 
27947860;20022744 
27947662;20022752 
27948291;20022740 
27947612;20022739 
27946684;20022737 
27947980;20022739 
27947748;20022745 
27946818;20022736 
27947616;20022739 
27948149;20022737 
27947309;20022744 
27947736;20022741 
27947925;20022737 
27947281;20022737 
27947301;20022743 
27949236;20022735 
27948067;20022742 
27948364;20022736 
27949536;20022739 
27947543;20022742 
27947118;20022741 
27947787;20022736 
27947270;20022737 
27947793;20022739 
27947594;20022740 
27948354;20022742 
27947269;20022742 
27947516;20022734 
27948183;20022739 
27948327;20022741 
27947556;20022743 
27947639;20022739 
27947641;20022737 
27947308;20022746 
27947825;20022740 
27948165;20022738 
27947166;20022740 
27949633;20022736 
27947222;20022731 
27947795;20022745 
27948061;20022742 
27946655;20022740 
27947169;20022741 
27947477;20022739 
27947872;20022734 
27947434;20022744 
27948282;20022741 
27947135;20022735 
27947953;20022746 
27947164;20022744 
27946742;20022740 
27948443;20022741 
27948741;20022743 
27947538;20022738 
27948059;20022737 
27947150;20022740 
27946974;20022740 
27948008;20022738 
27947503;20022747 
27948314;20022739 
27948689;20022753 
27947244;20022740 
27948921;20022747 
27948921;20022739 
27948690;20022740 
27947052;20022743 
27947340;20022736 
27947027;20022739 
27947010;20022744 
27947295;20022734 
27947582;20022737 
27947864;20022738 
27947960;20022737 
27946475;20022733 
27947523;20022737 
27948288;20022741 
27947858;20022743 
27948146;20022743 
27947846;20022738 
27947160;20022740 
27948462;20022737 
27947814;20022738 
27947314;20022739 
27947132;20022744 
27947490;20022736 
27947672;20022738 
27947447;20022746 
27947610;20022745 
27947483;20022742 
27947138;20022741 
27948046;20022737 
27947506;20022736 
27947951;20022741 
27948338;20022742 
27947896;20022740 
27947296;20022738 
27947982;20022744 
27947176;20022741 
27949366;20022739 
27947477;20022742 
27947479;20022736 
27948262;20022737 
27947111;20022741 
27946578;20022740 
27947489;20022746 
27947839;20022737 
27947299;20022744 
27947652;20022743 
27947275;20022737 
27948114;20022740 
27946784;20022739 
27948710;20022739 
27948131;20022739 
27947444;20022742 
27947362;20022735 
27947194;20022733 
27947666;20022740 
27947322;20022737 
27948750;20022739 
27947071;20022737 
27947430;20022737 
27947818;20022742 
27947738;20022737 
27947471;20022743 
27947586;20022741 
27947841;20022738 
27949143;20022736 
27947491;20022745 
27947694;20022737 
27946534;20022739 
27947220;20022741 
27947349;20022748 
27947220;20022736 
27947493;20022737 
27949333;20022745 
27947494;20022736 
27948029;20022738 
27946830;20022737 
27948103;20022738 
27947579;20022737 
27947879;20022741 
27947074;20022739 
27947508;20022739 
27946966;20022738 
27947972;20022736 
27947471;20022733 
27947155;20022737 
27947205;20022736 
27947340;20022738 
