CYCLES;INS
27947300;20022734 
27947685;20022746 
27948596;20022742 
27947926;20022745 
27948931;20022744 
27948238;20022739 
27948357;20022739 
27948779;20022747 
27948104;20022740 
27949688;20022739 
27947626;20022739 
27947580;20022741 
27947943;20022738 
27949224;20022741 
27948235;20022739 
27947346;20022733 
27949355;20022745 
27947997;20022741 
27947920;20022738 
27948193;20022743 
27949509;20022743 
27947323;20022736 
27948401;20022737 
27947797;20022737 
27947360;20022738 
27948089;20022743 
27948122;20022734 
27948105;20022738 
27947960;20022738 
27948734;20022743 
27947752;20022737 
27947555;20022736 
27947853;20022742 
27946598;20022739 
27948410;20022743 
27948092;20022735 
27947396;20022745 
27949391;20022739 
27949024;20022739 
27947031;20022739 
27949972;20022740 
27947928;20022742 
27946951;20022742 
27947917;20022739 
27947216;20022736 
27947767;20022741 
27949218;20022742 
27947814;20022741 
27947018;20022742 
27948147;20022738 
27948684;20022740 
27946690;20022742 
27947873;20022737 
27947870;20022739 
27947018;20022741 
27948628;20022737 
27947670;20022742 
27947718;20022741 
27948163;20022751 
27948341;20022741 
27947635;20022743 
27948664;20022739 
27948052;20022740 
27947791;20022739 
27948353;20022737 
27947896;20022745 
27947577;20022742 
27948615;20022743 
27947444;20022740 
27948257;20022740 
27947761;20022737 
27947742;20022742 
27947897;20022744 
27947841;20022740 
27949051;20022741 
27947945;20022738 
27947482;20022741 
27947784;20022741 
27947389;20022738 
27948637;20022738 
27948358;20022736 
27947127;20022744 
27947846;20022740 
27947503;20022742 
27947851;20022739 
27948534;20022741 
27950142;20022732 
27948840;20022742 
27948585;20022740 
27947877;20022732 
27949036;20022763 
27948186;20022743 
27950002;20022740 
27947913;20022742 
27948235;20022735 
27948292;20022739 
27947993;20022744 
27947448;20022737 
27947284;20022742 
27947583;20022744 
27947455;20022738 
27947541;20022735 
27948780;20022740 
27947938;20022744 
27947119;20022737 
27947770;20022740 
27949623;20022745 
27947996;20022744 
27947667;20022739 
27949405;20022739 
27947602;20022742 
27949272;20022738 
27947232;20022741 
27948146;20022738 
27948526;20022740 
27947608;20022744 
27948460;20022745 
27947671;20022731 
27948309;20022736 
27947718;20022737 
27947851;20022737 
27948112;20022742 
27948252;20022740 
27948341;20022736 
27947846;20022740 
27949125;20022740 
27948014;20022738 
27948094;20022741 
27949376;20022735 
27947320;20022740 
27947500;20022735 
27949609;20022736 
27948114;20022733 
27949753;20022736 
27947787;20022741 
27947966;20022732 
27948121;20022734 
27947458;20022738 
27947242;20022733 
27947472;20022733 
27947508;20022743 
27948071;20022737 
27948968;20022739 
27948304;20022739 
27946958;20022748 
27947956;20022741 
27948417;20022744 
27947732;20022747 
27947761;20022740 
27948332;20022742 
27948210;20022741 
27948498;20022741 
27948774;20022735 
27948228;20022743 
27947854;20022746 
27947893;20022738 
27948276;20022737 
27951236;20022736 
27948388;20022735 
27948708;20022742 
27949186;20022743 
27947903;20022739 
27947821;20022740 
27947423;20022742 
27948103;20022737 
27948076;20022742 
27948284;20022738 
27947238;20022743 
27948790;20022760 
27949581;20022739 
27947720;20022741 
27947350;20022736 
27948438;20022742 
27948248;20022745 
27947917;20022743 
27947818;20022741 
27948549;20022745 
27948199;20022747 
27949819;20022735 
27947515;20022738 
27948085;20022741 
27948559;20022740 
27948255;20022745 
27947938;20022744 
27947491;20022740 
27947115;20022744 
27949889;20022737 
27948050;20022734 
27948170;20022743 
27950103;20022740 
27947918;20022736 
27948029;20022736 
27948266;20022743 
27947188;20022738 
27947669;20022740 
27947098;20022737 
27948868;20022739 
27948700;20022737 
27948848;20022742 
27947758;20022741 
27947713;20022740 
27947505;20022735 
27951501;20022740 
27947735;20022740 
27947478;20022741 
27948220;20022736 
27947330;20022736 
27947321;20022743 
27947864;20022743 
27948828;20022737 
27947768;20022740 
27949888;20022746 
27949263;20022737 
27948165;20022737 
27948544;20022741 
27947857;20022735 
27948945;20022740 
27948082;20022740 
27947378;20022737 
27949891;20022736 
27948504;20022740 
27948696;20022743 
27948722;20022739 
27947954;20022740 
27947940;20022733 
27948335;20022740 
27948058;20022740 
27947537;20022740 
27947155;20022738 
