CYCLES;INS
27948097;20022758 
27949759;20022755 
27947540;20022752 
27947914;20022754 
27948287;20022762 
27947824;20022755 
27948283;20022755 
27947603;20022756 
27948906;20022747 
27948324;20022750 
27947727;20022758 
27948123;20022760 
27948136;20022755 
27947747;20022758 
27948080;20022754 
27947549;20022757 
27948697;20022752 
27947095;20022760 
27948431;20022757 
27947989;20022753 
27948211;20022766 
27947477;20022751 
27948009;20022753 
27947584;20022758 
27947280;20022755 
27947771;20022753 
27948826;20022766 
27947082;20022752 
27947472;20022751 
27950351;20022752 
27947494;20022747 
27949290;20022750 
27948064;20022755 
27948138;20022756 
27947785;20022747 
27947670;20022752 
27949279;20022752 
27947694;20022753 
27948843;20022752 
27948159;20022756 
27948334;20022759 
27949003;20022769 
27948478;20022760 
27947844;20022748 
27948657;20022753 
27948789;20022755 
27947663;20022746 
27948548;20022758 
27947067;20022762 
27948071;20022753 
27947972;20022752 
27947492;20022760 
27948276;20022757 
27947448;20022749 
27948677;20022753 
27948656;20022755 
27948867;20022757 
27947325;20022753 
27947254;20022750 
27948046;20022746 
27948369;20022761 
27949759;20022751 
27947873;20022752 
27947899;20022756 
27947536;20022750 
27947804;20022756 
27948112;20022758 
27948379;20022754 
27948208;20022755 
27947309;20022757 
27947848;20022752 
27950469;20022752 
27947252;20022754 
27949123;20022754 
27948323;20022754 
27947520;20022759 
27948269;20022752 
27948106;20022751 
27949128;20022751 
27948056;20022760 
27947305;20022753 
27947449;20022751 
27947823;20022755 
27947808;20022754 
27948752;20022751 
27948280;20022759 
27951386;20022775 
27947986;20022752 
27947791;20022755 
27948913;20022757 
27948642;20022751 
27948400;20022758 
27948233;20022754 
27947157;20022753 
27948185;20022759 
27948539;20022756 
27948206;20022753 
27948473;20022764 
27949388;20022764 
27947621;20022746 
27947627;20022756 
27948789;20022750 
27947575;20022751 
27947568;20022754 
27948450;20022754 
27947747;20022747 
27948947;20022755 
27948418;20022756 
27947576;20022753 
27950343;20022748 
27947310;20022759 
27947844;20022747 
27948116;20022749 
27948769;20022758 
27948067;20022762 
27947600;20022753 
27947952;20022760 
27948158;20022751 
27948835;20022750 
27948117;20022758 
27949987;20022747 
27947654;20022762 
27949487;20022760 
27948603;20022753 
27948020;20022747 
27948167;20022758 
27948793;20022760 
27947727;20022751 
27947799;20022752 
27949936;20022757 
27947640;20022750 
27948600;20022759 
27948306;20022760 
27947674;20022748 
27948304;20022750 
27947759;20022762 
27947940;20022747 
27946972;20022753 
27947354;20022764 
27947833;20022756 
27947661;20022745 
27947825;20022747 
27948492;20022755 
27948226;20022753 
27947818;20022757 
27947939;20022756 
27947732;20022755 
27947826;20022757 
27949879;20022764 
27947803;20022753 
27948219;20022756 
27947929;20022761 
27947874;20022746 
27947791;20022756 
27948137;20022757 
27948689;20022751 
27948347;20022752 
27947482;20022760 
27948014;20022751 
27948000;20022747 
27948462;20022748 
27947871;20022761 
27948531;20022753 
27948527;20022772 
27947693;20022754 
27948335;20022760 
27949544;20022757 
27947301;20022760 
27948735;20022757 
27947105;20022755 
27947695;20022759 
27947804;20022751 
27948368;20022762 
27947878;20022751 
27948048;20022753 
27947672;20022753 
27949162;20022752 
27948079;20022752 
27949849;20022755 
27948588;20022751 
27947912;20022759 
27947950;20022752 
27947589;20022763 
27949153;20022755 
27948023;20022751 
27947855;20022759 
27948135;20022758 
27947967;20022751 
27948566;20022758 
27949092;20022758 
27947034;20022754 
27947983;20022761 
27947900;20022766 
27948816;20022760 
27948159;20022752 
27948672;20022760 
27947337;20022758 
27948488;20022755 
27950371;20022754 
27949651;20022751 
27948228;20022753 
27947477;20022759 
27949569;20022750 
27947397;20022755 
27948698;20022750 
27947126;20022756 
27948756;20022754 
27948137;20022750 
27947580;20022754 
27947897;20022754 
27947936;20022753 
27948326;20022762 
27948574;20022755 
27948950;20022751 
27948486;20022763 
27947682;20022751 
27948883;20022758 
27948314;20022754 
27947781;20022750 
27948870;20022749 
27948024;20022754 
27948832;20022752 
27947954;20022757 
27948575;20022753 
27948443;20022753 
27947129;20022750 
27946734;20022762 
27949313;20022755 
27948259;20022756 
27948565;20022755 
27949530;20022748 
27948367;20022754 
27947735;20022752 
27949023;20022753 
27949244;20022749 
27947193;20022748 
27949009;20022761 
27948128;20022754 
27949495;20022756 
27948245;20022754 
27947970;20022768 
27948899;20022758 
27950201;20022760 
27948214;20022753 
27946946;20022755 
27948956;20022761 
27947505;20022754 
27948338;20022753 
27947642;20022749 
27948734;20022757 
27948017;20022759 
27947996;20022757 
27948640;20022753 
27948745;20022761 
27948865;20022757 
27947901;20022748 
27948186;20022762 
27948700;20022755 
27947933;20022762 
27947992;20022755 
27947501;20022753 
27948939;20022758 
27948256;20022753 
27947333;20022751 
27948049;20022758 
27948763;20022756 
27947381;20022753 
27947779;20022758 
27947824;20022753 
27948048;20022751 
27948118;20022757 
27948090;20022753 
27947973;20022758 
27949424;20022756 
27948235;20022752 
27947955;20022753 
27948614;20022754 
27948014;20022758 
27948924;20022762 
27950549;20022758 
27948437;20022750 
27947847;20022754 
27947594;20022763 
27947548;20022757 
27948667;20022754 
27947976;20022758 
27948039;20022755 
27947585;20022753 
27948204;20022761 
27948166;20022760 
27947894;20022749 
27947732;20022754 
27948326;20022757 
27947152;20022745 
27947728;20022764 
27947785;20022756 
27946830;20022758 
27947902;20022759 
27947933;20022761 
27947703;20022747 
27948784;20022752 
27948637;20022761 
27947072;20022749 
27948350;20022753 
27948593;20022758 
27949005;20022749 
27947792;20022752 
27948143;20022758 
27948571;20022746 
27948284;20022751 
27947963;20022758 
27949339;20022756 
27948608;20022760 
27947182;20022754 
27947787;20022751 
27947690;20022755 
27948105;20022760 
27947629;20022766 
27947466;20022774 
27947858;20022757 
27948203;20022760 
27947910;20022753 
27948168;20022754 
27948657;20022764 
27948963;20022747 
27947944;20022754 
27948675;20022766 
27947824;20022749 
27950384;20022757 
27947717;20022756 
27948462;20022756 
27947439;20022746 
27949309;20022753 
27948416;20022751 
27948076;20022752 
27947471;20022750 
27951005;20022758 
27948191;20022754 
27948239;20022751 
27947696;20022751 
27947874;20022760 
27947409;20022757 
27948510;20022748 
27949061;20022743 
27948370;20022756 
27947569;20022756 
27947887;20022752 
27947411;20022749 
27947691;20022755 
27948831;20022754 
27947651;20022753 
27946634;20022755 
27947840;20022755 
27947206;20022751 
27947569;20022753 
27947322;20022757 
27950393;20022749 
27948070;20022752 
27948724;20022756 
27947631;20022752 
27947195;20022754 
27948325;20022752 
27947676;20022757 
27949723;20022757 
27948402;20022758 
27948028;20022750 
27947734;20022746 
27947855;20022749 
27948226;20022748 
27948529;20022754 
27947612;20022759 
27948873;20022751 
27947965;20022754 
27948375;20022754 
27949937;20022758 
27948162;20022760 
27949133;20022764 
27948625;20022759 
27947526;20022756 
27948797;20022764 
27947749;20022756 
27948020;20022747 
27947202;20022757 
27947838;20022753 
27948210;20022760 
27948719;20022755 
27947795;20022746 
27948509;20022748 
27947851;20022754 
27948208;20022756 
27946796;20022759 
27948591;20022755 
27948188;20022754 
27948559;20022754 
27948046;20022749 
27949287;20022782 
27948088;20022753 
27947679;20022756 
27947797;20022752 
27948647;20022764 
27949605;20022753 
27951755;20022761 
27948087;20022763 
27947899;20022748 
27947830;20022759 
27948267;20022760 
27947573;20022758 
27947844;20022757 
27948026;20022764 
27949051;20022752 
27948009;20022759 
27948088;20022755 
27947809;20022764 
27947270;20022756 
27948311;20022758 
27948080;20022752 
27949024;20022752 
27948074;20022757 
27948065;20022749 
27947888;20022756 
27948280;20022759 
27951285;20022755 
27949149;20022754 
27947279;20022753 
27948225;20022756 
27949778;20022753 
27950387;20022757 
27947911;20022760 
27949355;20022751 
27948572;20022754 
27949728;20022755 
27947983;20022757 
27949476;20022754 
27947683;20022758 
27948003;20022745 
27947759;20022760 
27948500;20022754 
27949373;20022757 
27947308;20022754 
27947841;20022762 
27947635;20022750 
27947639;20022760 
27949309;20022762 
27949902;20022752 
27949720;20022760 
27947776;20022751 
27949138;20022757 
27948453;20022754 
27948426;20022750 
27948122;20022760 
27947754;20022755 
27948142;20022755 
27947660;20022763 
27947973;20022756 
27949324;20022757 
27948022;20022751 
27950080;20022756 
27948011;20022753 
27948538;20022761 
27949117;20022770 
27947538;20022752 
27948594;20022749 
27948714;20022759 
27947962;20022752 
27949909;20022752 
27948613;20022763 
27947657;20022760 
27947742;20022753 
27949012;20022757 
27948471;20022751 
27949341;20022749 
27948515;20022775 
27948041;20022757 
27948815;20022754 
27946797;20022764 
27950993;20022750 
27949530;20022750 
27947729;20022756 
27948728;20022752 
27948050;20022755 
27948482;20022760 
27948846;20022761 
27947890;20022749 
27951493;20022753 
27948202;20022765 
27947591;20022752 
27949137;20022745 
27947971;20022762 
27949326;20022757 
27947781;20022758 
27947893;20022754 
27948460;20022750 
27948274;20022756 
27947966;20022757 
27947622;20022753 
27948207;20022754 
27947618;20022753 
27949612;20022758 
27948007;20022752 
27947877;20022754 
27948450;20022760 
27947988;20022753 
27947536;20022748 
27950589;20022756 
27948346;20022750 
27948455;20022752 
27947489;20022759 
27948191;20022754 
27950398;20022754 
27947907;20022755 
27947777;20022752 
27948332;20022756 
27947588;20022751 
27947752;20022759 
27950078;20022750 
27948263;20022758 
27948677;20022763 
27950351;20022751 
27949081;20022754 
27948663;20022751 
27948337;20022748 
27947642;20022758 
27948345;20022754 
27948240;20022755 
27948165;20022749 
27947479;20022756 
27948519;20022758 
27949062;20022758 
27947914;20022750 
27947635;20022756 
27947987;20022754 
27948663;20022754 
27947637;20022749 
27948047;20022754 
27947658;20022761 
27951075;20022759 
27948076;20022762 
27948683;20022761 
27947676;20022753 
27948710;20022754 
27947651;20022755 
27947771;20022755 
27949076;20022750 
27948695;20022764 
27948997;20022759 
27947751;20022748 
27949737;20022759 
27948471;20022756 
27949636;20022775 
27950090;20022756 
27947790;20022751 
27948340;20022753 
27950513;20022752 
27948275;20022760 
27948971;20022753 
27948919;20022752 
27947784;20022755 
27948487;20022748 
27947732;20022753 
27947033;20022763 
27948090;20022753 
27949228;20022757 
27948479;20022753 
27948321;20022753 
27948386;20022757 
27947891;20022756 
27948605;20022757 
27947968;20022761 
27948201;20022751 
27949549;20022758 
27948315;20022744 
27947178;20022754 
27949100;20022756 
27947892;20022753 
27947771;20022752 
27948707;20022757 
27946827;20022750 
27946980;20022757 
27948709;20022757 
27947344;20022746 
27948228;20022757 
27947766;20022760 
27948159;20022757 
27947266;20022756 
27948315;20022751 
27948069;20022750 
27949247;20022748 
27948782;20022758 
27948933;20022757 
27948228;20022753 
27948370;20022760 
27950083;20022756 
27949165;20022753 
27948632;20022756 
27948557;20022762 
27947922;20022760 
27947474;20022756 
27947792;20022755 
27947489;20022758 
27947471;20022754 
27947966;20022749 
27948597;20022751 
27948833;20022749 
27947656;20022758 
27948325;20022751 
27948580;20022756 
27948101;20022748 
28840174;20022753 
27947179;20022758 
27947762;20022763 
28201415;20022771 
28854746;20022759 
27949836;20022755 
27947396;20022751 
27948067;20022753 
27948422;20022756 
27948204;20022756 
27948413;20022750 
27947518;20022752 
27947677;20022757 
27949240;20022759 
27947952;20022751 
27949085;20022754 
27948510;20022749 
27947500;20022753 
27949553;20022783 
27948878;20022751 
27947658;20022762 
27947958;20022761 
