CYCLES;INS
27950147;20022767 
27947860;20022760 
27947053;20022749 
27948208;20022757 
27948159;20022762 
27947156;20022759 
27947744;20022760 
27948063;20022761 
27949935;20022757 
27947334;20022750 
27947813;20022761 
27948325;20022752 
27948362;20022754 
27949351;20022759 
27947642;20022754 
27948263;20022760 
27948553;20022757 
27947583;20022755 
27948044;20022757 
27948655;20022765 
27948339;20022753 
27949181;20022746 
27948284;20022755 
27948109;20022749 
27947998;20022754 
27948270;20022756 
27947567;20022746 
27948587;20022757 
27947913;20022752 
27948244;20022767 
27951097;20022761 
27948059;20022751 
27947583;20022759 
27948064;20022743 
27948009;20022754 
27947750;20022761 
27948617;20022753 
27948752;20022764 
27949327;20022761 
27947550;20022749 
27950043;20022760 
27947967;20022760 
27947293;20022755 
27947590;20022755 
27947065;20022757 
27948381;20022747 
27948086;20022762 
27947783;20022754 
27947453;20022752 
27948361;20022752 
27947243;20022760 
27947061;20022758 
27947977;20022754 
27949793;20022755 
27949133;20022749 
27947647;20022754 
27947327;20022759 
27948317;20022754 
27947681;20022757 
27948134;20022756 
27948658;20022756 
27947766;20022755 
27948507;20022756 
27948174;20022757 
27947636;20022754 
27949420;20022756 
27948148;20022752 
27948512;20022752 
27949032;20022755 
27948411;20022762 
27947921;20022753 
27947564;20022757 
27948293;20022753 
27947145;20022753 
27948134;20022754 
27949737;20022760 
27947647;20022755 
27948724;20022785 
27947618;20022752 
27948025;20022746 
27950515;20022749 
27947976;20022760 
27948651;20022758 
27948486;20022743 
27947864;20022751 
27946660;20022756 
27948161;20022750 
27948412;20022750 
27948366;20022748 
27947750;20022753 
27948517;20022754 
27948394;20022754 
27948630;20022762 
27946840;20022756 
27948026;20022753 
27947670;20022759 
27947457;20022756 
27948535;20022754 
27947257;20022753 
27950318;20022765 
27947174;20022754 
27947954;20022761 
27947948;20022749 
27949600;20022759 
27948379;20022759 
27947398;20022755 
27950656;20022752 
27947835;20022753 
27947867;20022753 
27948388;20022760 
27947571;20022754 
27948598;20022760 
27950276;20022761 
27947620;20022756 
27948224;20022757 
27948713;20022753 
27948022;20022756 
27947797;20022756 
27947577;20022754 
27948220;20022745 
