CYCLES;INS
309939;214413 
308130;214411 
309459;214410 
312195;214411 
310657;214411 
308848;214410 
308349;214411 
310622;214415 
309564;214411 
308346;214412 
306655;214413 
307511;214412 
309802;214412 
307261;214412 
310349;214413 
306818;214412 
308032;214413 
310085;214409 
307916;214410 
309746;214409 
311035;214411 
308293;214414 
307986;214411 
309809;214414 
308516;214414 
309757;214413 
306967;214412 
307413;214410 
309720;214410 
306980;214412 
308203;214411 
307571;214414 
313350;214413 
307860;214411 
307209;214410 
308418;214413 
309897;214409 
307794;214412 
307880;214412 
310270;214411 
311623;214412 
308067;214412 
308370;214413 
309333;214412 
307600;214411 
306534;214413 
308562;214410 
308956;214414 
310189;214408 
308781;214412 
307739;214412 
308017;214413 
306743;214413 
307873;214415 
310911;214416 
308612;214409 
311699;214409 
309521;214412 
310777;214412 
308294;214411 
307038;214412 
309756;214411 
309194;214409 
309810;214411 
310720;214413 
308473;214411 
310234;214412 
311284;214412 
306606;214411 
309192;214412 
307048;214412 
312647;214412 
310822;214412 
313513;214412 
309016;214412 
307835;214410 
309338;214411 
307981;214412 
307624;214414 
308678;214409 
308478;214414 
310272;214413 
307122;214413 
312975;214412 
305909;214412 
307991;214411 
310863;214412 
308265;214414 
307538;214410 
311255;214413 
307214;214413 
307878;214412 
309247;214411 
310552;214412 
307972;214412 
307048;214410 
308420;214411 
307399;214412 
306239;214408 
306643;214414 
312565;214412 
307368;214409 
310919;214411 
308445;214412 
308200;214410 
310062;214412 
306839;214412 
308161;214413 
310360;214411 
312005;214411 
309107;214412 
307252;214410 
306751;214410 
308814;214411 
308277;214413 
308932;214412 
307663;214414 
308752;214411 
314420;214412 
312051;214410 
308512;214412 
307560;214411 
312562;214412 
312477;214411 
308354;214408 
307703;214416 
309515;214412 
311690;214412 
309387;214410 
309380;214410 
307613;214414 
307574;214411 
308374;214411 
306889;214411 
308125;214413 
312009;214412 
308560;214409 
307983;214412 
310831;214413 
312285;214410 
309206;214411 
312775;214413 
308157;214413 
310394;214409 
308505;214412 
307396;214409 
309492;214410 
306499;214412 
309077;214411 
309683;214411 
308290;214411 
309060;214413 
308776;214412 
307524;214412 
309829;214409 
309383;214411 
307520;214412 
309543;214411 
307809;214410 
308303;214412 
309388;214416 
310894;214412 
309077;214415 
311124;214414 
307773;214410 
307868;214411 
307938;214410 
309332;214411 
308012;214413 
311642;214411 
316660;214413 
