CYCLES;INS
311627;214413 
312255;214410 
310725;214413 
309286;214411 
306305;214409 
307218;214409 
311889;214413 
311291;214410 
306740;214409 
304546;214409 
306976;214412 
308720;214413 
312423;214412 
308183;214410 
305462;214412 
306893;214410 
311082;214411 
306377;214412 
315306;214410 
309583;214410 
315818;214412 
313264;214413 
306903;214414 
305770;214410 
311530;214411 
314120;214411 
310696;214411 
309765;214413 
309755;214413 
318656;214413 
308179;214412 
309847;214411 
304422;214411 
307005;214416 
310996;214409 
310512;214411 
307299;214413 
311742;214414 
304007;214410 
307806;214412 
306740;214411 
310112;214411 
309928;214410 
310973;214412 
310444;214411 
312242;214410 
310680;214411 
308514;214413 
306201;214413 
318700;214411 
309564;214413 
309652;214413 
307766;214411 
306698;214411 
309954;214409 
307815;214415 
308425;214412 
315765;214414 
310714;214410 
313543;214415 
311777;214410 
316242;214411 
306944;214410 
308568;214410 
304793;214412 
309399;214413 
309693;214411 
311474;214409 
309781;214415 
310373;214410 
314929;214412 
306644;214411 
311087;214409 
311756;214412 
309399;214411 
310488;214412 
309540;214411 
314069;214411 
313655;214412 
313635;214416 
311163;214412 
308079;214414 
308911;214413 
311598;214411 
311869;214410 
308432;214411 
309923;214412 
322574;214412 
309425;214412 
310270;214409 
312467;214413 
317359;214412 
312881;214412 
306569;214412 
316555;214412 
312551;214412 
315997;214410 
307254;214411 
312649;214410 
308213;214412 
308881;214414 
309327;214413 
308639;214411 
310133;214410 
307129;214413 
312642;214413 
313044;214411 
307123;214410 
308491;214413 
310823;214412 
304877;214410 
304892;214410 
311976;214412 
304722;214412 
311260;214413 
310621;214412 
318222;214414 
310987;214412 
312031;214410 
307335;214412 
312281;214414 
312790;214412 
309764;214413 
311102;214410 
309202;214410 
311238;214414 
306896;214413 
309125;214417 
312732;214412 
311279;214410 
309979;214414 
312205;214411 
308611;214409 
315783;214409 
310804;214410 
306045;214411 
309901;214413 
308896;214410 
309503;214411 
309362;214412 
307814;214411 
304957;214411 
306881;214412 
311029;214411 
308467;214413 
306380;214411 
311494;214410 
309796;214416 
309442;214411 
310682;214414 
311642;214411 
307981;214412 
311189;214412 
305968;214415 
312320;214411 
307136;214413 
310548;214410 
312922;214412 
312288;214412 
307297;214411 
314697;214410 
312166;214413 
311056;214412 
310678;214411 
316636;214413 
