CYCLES;INS
310649;214410 
308388;214411 
304455;214411 
304814;214412 
312051;214411 
307976;214412 
309317;214412 
312222;214411 
312166;214410 
313753;214413 
310358;214415 
310016;214410 
309074;214409 
310639;214411 
306991;214410 
313571;214414 
304445;214410 
309137;214410 
309443;214411 
307988;214412 
313408;214410 
312574;214415 
307837;214412 
319178;214412 
312095;214410 
305810;214412 
308780;214411 
307689;214414 
307846;214410 
308383;214410 
310741;214410 
320919;214410 
311387;214416 
312915;214409 
310224;214411 
310877;214410 
312031;214410 
310822;214413 
306546;214412 
308454;214412 
314197;214408 
307867;214411 
308435;214411 
306621;214418 
309383;214411 
313672;214414 
311968;214412 
310218;214410 
314917;214412 
312674;214411 
308660;214413 
313074;214409 
309882;214413 
305739;214411 
306683;214414 
314412;214411 
310828;214413 
310244;214411 
309299;214411 
308973;214410 
312521;214413 
309342;214414 
312776;214412 
311789;214410 
311752;214410 
309345;214412 
310578;214410 
306760;214413 
308537;214412 
310158;214414 
311816;214411 
311083;214412 
309319;214415 
313065;214409 
306855;214412 
309458;214410 
309283;214412 
310046;214411 
310390;214409 
311094;214409 
312399;214412 
308898;214411 
310389;214412 
311682;214410 
311016;214412 
312920;214413 
311476;214411 
308010;214411 
311472;214410 
312956;214412 
310665;214413 
310362;214413 
310485;214410 
312788;214411 
305178;214412 
313423;214413 
306739;214410 
308817;214414 
307938;214412 
308331;214410 
307226;214413 
310112;214413 
312847;214411 
306301;214411 
305314;214411 
311393;214411 
305456;214410 
310089;214412 
311686;214413 
309727;214410 
305901;214410 
309417;214415 
314592;214410 
312393;214410 
310229;214412 
310796;214410 
308820;214411 
308348;214411 
309656;214412 
306770;214412 
310338;214410 
313433;214414 
309452;214413 
308220;214410 
312038;214413 
315925;214411 
305905;214412 
310129;214409 
311903;214413 
310620;214414 
312864;214412 
306186;214413 
310337;214409 
317477;214413 
311741;214413 
307773;214411 
308967;214411 
311347;214411 
310383;214416 
306984;214414 
312602;214411 
312815;214413 
308931;214414 
304520;214413 
307949;214416 
309388;214411 
312877;214411 
312229;214411 
311902;214411 
304896;214411 
307946;214410 
309464;214410 
308348;214412 
308765;214410 
315038;214409 
307216;214412 
310880;214413 
308721;214414 
311797;214411 
307598;214412 
313724;214414 
307776;214409 
305747;214411 
308217;214410 
306473;214411 
305023;214412 
305905;214416 
309341;214413 
309679;214411 
313216;214412 
308814;214411 
307039;214413 
309235;214412 
310879;214412 
308434;214413 
307507;214411 
307169;214410 
306627;214411 
307129;214411 
313546;214410 
310837;214412 
311247;214413 
315058;214409 
307497;214413 
311477;214411 
312156;214410 
304567;214410 
313672;214411 
310554;214413 
308915;214412 
313567;214413 
311338;214410 
310368;214412 
311555;214415 
308078;214411 
322397;214411 
307473;214411 
313650;214412 
310675;214410 
310627;214413 
311617;214412 
310150;214411 
308855;214411 
310325;214410 
309912;214410 
309675;214411 
311974;214414 
309253;214410 
308975;214411 
307529;214411 
311170;214413 
312770;214411 
308846;214411 
309108;214410 
310688;214411 
312150;214411 
311616;214411 
305905;214411 
319313;214411 
310732;214410 
309082;214411 
307508;214414 
308840;214411 
308128;214411 
311244;214411 
308148;214413 
312671;214411 
304957;214411 
307461;214412 
310335;214413 
312196;214412 
308399;214410 
310035;214416 
307924;214411 
314882;214413 
310712;214410 
311965;214412 
311311;214410 
307322;214413 
308463;214412 
309532;214411 
307652;214412 
309839;214412 
312888;214413 
309161;214411 
312835;214412 
310213;214411 
304718;214414 
313503;214414 
315140;214413 
311167;214414 
312862;214411 
308236;214412 
309924;214411 
310927;214412 
308180;214413 
310588;214410 
307671;214412 
309436;214415 
305728;214411 
313682;214415 
308235;214412 
313285;214411 
307894;214410 
306299;214412 
307507;214410 
312404;214411 
308055;214411 
315541;214411 
311174;214411 
313532;214413 
311591;214409 
310016;214411 
313915;214409 
316424;214411 
312650;214412 
310201;214409 
312360;214409 
312667;214413 
307787;214410 
310604;214413 
313521;214410 
310917;214412 
317550;214415 
305888;214412 
311175;214414 
312923;214412 
306673;214411 
307569;214408 
312566;214413 
307221;214411 
309421;214411 
312737;214411 
317262;214411 
305631;214411 
316991;214411 
306315;214412 
308957;214414 
313464;214413 
305627;214411 
310666;214412 
308108;214411 
310922;214413 
306771;214412 
314306;214412 
307549;214411 
305153;214410 
308101;214410 
307958;214410 
312339;214410 
311199;214414 
310329;214415 
305138;214409 
309330;214409 
310504;214413 
312378;214413 
310837;214412 
310922;214412 
309671;214412 
305303;214412 
313603;214413 
307806;214412 
312718;214415 
312228;214411 
318411;214413 
306650;214409 
312711;214409 
311069;214410 
312273;214409 
312068;214413 
310966;214415 
310757;214410 
307431;214409 
311780;214410 
312766;214410 
312469;214413 
310846;214411 
305082;214413 
310968;214413 
307661;214411 
309159;214410 
307283;214413 
310467;214408 
308525;214409 
312938;214412 
309515;214413 
313031;214413 
306200;214411 
312087;214410 
309353;214413 
313503;214412 
312809;214411 
309792;214415 
309280;214414 
309272;214410 
314199;214412 
307301;214412 
304624;214411 
317708;214410 
320632;214411 
305820;214410 
309113;214410 
308874;214411 
311962;214413 
312595;214411 
309439;214411 
312766;214412 
314689;214410 
311180;214414 
308357;214411 
309355;214411 
311097;214410 
311807;214411 
310261;214413 
318705;214413 
315452;214411 
304974;214412 
314068;214411 
309227;214410 
309754;214410 
309974;214410 
308102;214411 
311863;214412 
311685;214411 
310049;214411 
308409;214413 
309044;214413 
308878;214413 
309342;214409 
312047;214411 
309346;214414 
304683;214411 
316876;214411 
307874;214409 
305299;214410 
312152;214411 
308703;214411 
304259;214410 
309540;214410 
311219;214412 
307187;214411 
308043;214410 
309147;214410 
310999;214411 
305522;214413 
311257;214413 
310557;214411 
311269;214410 
308272;214411 
307613;214411 
305944;214413 
308726;214413 
310488;214412 
305264;214411 
309513;214411 
310517;214411 
307344;214412 
310265;214411 
307965;214410 
309015;214410 
308730;214410 
306731;214414 
315280;214413 
316184;214411 
310997;214410 
309420;214414 
306115;214409 
304714;214412 
308546;214412 
308448;214412 
310463;214411 
310338;214413 
307813;214413 
312542;214410 
310875;214412 
311826;214410 
317002;214412 
307383;214411 
307755;214411 
310928;214410 
310296;214411 
312268;214411 
314782;214411 
310696;214412 
310644;214413 
311398;214410 
309666;214411 
310251;214416 
311776;214412 
310693;214411 
308202;214412 
307990;214410 
310095;214409 
309698;214416 
310486;214410 
310728;214416 
309511;214409 
308507;214410 
307943;214413 
319705;214409 
307297;214410 
317229;214411 
310668;214412 
309792;214410 
305497;214416 
310474;214409 
315447;214414 
309803;214410 
308591;214414 
310579;214414 
310508;214411 
306412;214411 
308537;214409 
307128;214412 
310114;214412 
305957;214414 
308480;214412 
312093;214412 
306188;214412 
309899;214411 
314882;214411 
307877;214409 
308455;214411 
310399;214412 
310622;214413 
307492;214411 
309099;214412 
309527;214410 
309706;214412 
305911;214409 
314381;214410 
313364;214412 
305061;214414 
306124;214410 
311955;214412 
308966;214411 
313088;214412 
314435;214412 
312145;214411 
310463;214410 
310554;214412 
310593;214413 
313279;214413 
305294;214411 
312449;214411 
308080;214411 
308446;214412 
311848;214410 
311357;214411 
310070;214412 
307324;214413 
311263;214411 
309796;214410 
309853;214412 
313841;214412 
310004;214411 
308099;214415 
307938;214411 
313299;214409 
307627;214413 
306576;214410 
307736;214410 
315888;214413 
310109;214411 
309353;214409 
307940;214412 
310933;214411 
311152;214413 
312001;214411 
310734;214411 
311405;214412 
307119;214411 
311838;214414 
304976;214411 
318399;214412 
312774;214411 
305424;214412 
310247;214412 
306838;214410 
309343;214410 
309142;214410 
309947;214412 
309106;214412 
310747;214412 
312579;214413 
310074;214413 
308012;214411 
309635;214415 
310761;214415 
305647;214411 
307297;214412 
307747;214410 
306464;214410 
306815;214410 
309430;214411 
312037;214410 
310423;214416 
308194;214413 
315362;214410 
305764;214410 
307699;214413 
312864;214413 
315441;214412 
308821;214414 
308895;214411 
306157;214409 
311341;214411 
311397;214410 
306406;214409 
305433;214412 
309550;214413 
312260;214411 
305180;214412 
309987;214411 
307551;214410 
312340;214411 
312530;214413 
306903;214411 
309042;214413 
318000;214409 
310109;214410 
308333;214414 
308445;214410 
305088;214412 
307718;214412 
315995;214411 
313631;214411 
312660;214410 
311974;214411 
312205;214411 
316038;214411 
309799;214410 
308696;214413 
307762;214414 
315790;214410 
311260;214412 
307353;214411 
311264;214413 
308833;214415 
308506;214412 
317682;214413 
313050;214413 
313440;214411 
313021;214411 
308189;214412 
306770;214411 
305525;214411 
307426;214412 
310867;214412 
313730;214414 
309387;214411 
311620;214410 
310799;214410 
308952;214412 
310488;214410 
305882;214410 
306631;214411 
312143;214410 
311852;214412 
306276;214410 
308293;214416 
307573;214411 
309351;214410 
319427;214411 
316620;214412 
309963;214415 
309874;214413 
308142;214411 
312572;214410 
306134;214412 
307096;214411 
313591;214411 
311170;214412 
305486;214410 
306594;214410 
312532;214412 
311677;214410 
306144;214410 
311681;214412 
306066;214409 
308608;214411 
316696;214412 
307784;214412 
307442;214412 
308272;214411 
313446;214413 
309567;214413 
310697;214411 
312230;214409 
309701;214411 
308729;214411 
305127;214410 
306548;214411 
305435;214413 
307695;214410 
312094;214411 
311364;214412 
310785;214413 
305261;214414 
312512;214413 
306243;214412 
308889;214410 
310619;214412 
308459;214412 
308076;214411 
310819;214411 
307836;214412 
309881;214411 
309984;214412 
309115;214411 
310406;214412 
317877;214414 
310374;214411 
311254;214410 
307832;214412 
307722;214410 
311133;214411 
308835;214411 
312722;214411 
312593;214416 
316822;214412 
310155;214410 
310936;214410 
312503;214411 
317529;214412 
311764;214410 
311735;214413 
312815;214414 
311320;214413 
312380;214412 
313771;214410 
315956;214411 
305143;214410 
308811;214413 
309960;214412 
310344;214412 
312531;214412 
312430;214413 
304481;214410 
315773;214415 
309653;214412 
315516;214412 
311455;214412 
311433;214411 
311035;214410 
310981;214410 
312967;214409 
304402;214413 
306064;214411 
312293;214410 
307985;214415 
311567;214412 
312000;214413 
318403;214410 
307179;214411 
315367;214410 
308805;214414 
310020;214410 
310006;214411 
307120;214411 
311679;214413 
309798;214415 
311563;214411 
309475;214412 
312396;214412 
311672;214413 
307373;214411 
311402;214413 
310071;214413 
307412;214413 
305799;214411 
308955;214411 
307435;214412 
306666;214413 
313134;214411 
307768;214412 
310814;214413 
311667;214410 
308644;214414 
309936;214412 
313480;214409 
309987;214411 
307463;214412 
314553;214413 
309881;214410 
307458;214413 
308504;214411 
311801;214412 
310921;214412 
309369;214415 
309953;214412 
308435;214410 
305920;214412 
306366;214410 
312587;214410 
308718;214415 
310070;214409 
312302;214410 
314507;214414 
312623;214413 
312071;214411 
305163;214412 
307166;214413 
312803;214412 
310778;214411 
307590;214410 
313110;214411 
308888;214410 
305256;214411 
313566;214414 
311469;214413 
315268;214409 
310070;214414 
309617;214411 
317078;214409 
312212;214411 
312571;214410 
308433;214411 
314161;214410 
312819;214412 
309248;214413 
308031;214411 
311931;214410 
308315;214412 
305266;214412 
304622;214413 
306528;214412 
311082;214412 
310191;214412 
312454;214411 
305644;214410 
319647;214412 
309398;214411 
315054;214410 
308322;214410 
308814;214413 
309099;214412 
312347;214410 
307005;214411 
308471;214410 
307007;214412 
305634;214411 
313854;214412 
308545;214410 
311449;214412 
307765;214412 
309351;214410 
311638;214413 
310287;214410 
313104;214411 
306458;214412 
312299;214410 
308142;214414 
309573;214410 
309863;214410 
308645;214414 
311013;214411 
306987;214412 
308097;214411 
311886;214411 
312787;214410 
312128;214412 
314595;214414 
310216;214411 
309506;214410 
312064;214411 
310345;214411 
308934;214412 
311516;214409 
314227;214413 
314046;214411 
306600;214411 
316109;214413 
312750;214414 
311592;214412 
309841;214409 
305971;214410 
311708;214414 
306464;214411 
314548;214411 
316621;214411 
311920;214413 
307931;214412 
313923;214412 
311541;214410 
306667;214415 
306835;214414 
307067;214411 
309736;214412 
308701;214413 
309619;214413 
316986;214414 
307046;214410 
308882;214412 
308182;214410 
316939;214411 
310186;214416 
312712;214413 
309812;214411 
310653;214413 
314621;214409 
310782;214411 
307038;214409 
306181;214411 
308817;214413 
312269;214409 
308231;214411 
313728;214411 
306215;214413 
310008;214411 
308883;214410 
310910;214411 
311349;214410 
305989;214412 
309621;214410 
306418;214413 
311596;214413 
310031;214412 
308453;214410 
310079;214412 
305281;214413 
311609;214409 
309271;214410 
311721;214411 
306474;214411 
311863;214413 
311083;214411 
310233;214410 
307000;214414 
309164;214411 
307778;214411 
311144;214411 
307137;214411 
309297;214409 
309875;214412 
310573;214413 
306605;214412 
308188;214411 
309869;214410 
308306;214416 
309642;214410 
309071;214411 
311806;214416 
311745;214412 
308384;214415 
307331;214412 
309565;214411 
308705;214412 
306975;214412 
311089;214411 
307842;214414 
308191;214409 
312776;214414 
307633;214410 
309475;214410 
311211;214414 
308312;214411 
310289;214410 
307717;214415 
307729;214412 
310501;214411 
306219;214416 
312295;214413 
307331;214414 
309808;214411 
306230;214411 
305986;214413 
309381;214410 
307789;214413 
310207;214414 
312180;214412 
311191;214410 
311398;214410 
310549;214411 
308367;214410 
309163;214411 
306762;214412 
314687;214411 
309552;214409 
311999;214411 
306889;214412 
317178;214412 
309027;214411 
316578;214414 
314760;214413 
309466;214412 
314282;214412 
307940;214411 
305541;214412 
307868;214413 
310724;214410 
309768;214410 
310889;214412 
309002;214411 
313358;214414 
309507;214411 
309040;214410 
311200;214415 
314095;214411 
313866;214412 
308754;214411 
311206;214412 
307620;214411 
310697;214413 
307488;214412 
309107;214413 
310530;214411 
310653;214410 
309119;214411 
306089;214412 
307412;214412 
309740;214409 
310109;214410 
309638;214413 
310925;214410 
312472;214412 
308328;214412 
310013;214412 
308715;214410 
312656;214413 
309648;214411 
311492;214410 
311271;214410 
311082;214409 
311538;214410 
311702;214413 
308991;214410 
310496;214418 
311485;214413 
311437;214413 
311454;214411 
307340;214412 
312244;214414 
308363;214410 
306563;214411 
310157;214410 
310917;214414 
308038;214410 
313008;214412 
317168;214411 
314788;214412 
307966;214410 
311561;214412 
317732;214412 
312439;214410 
307730;214412 
308959;214412 
306864;214410 
306627;214409 
308178;214414 
316212;214409 
314515;214413 
311358;214411 
310149;214410 
313062;214412 
310912;214413 
307645;214411 
311286;214416 
305230;214411 
317569;214410 
309763;214414 
315147;214409 
307345;214410 
311513;214415 
311598;214410 
309883;214410 
305547;214411 
311293;214410 
311856;214409 
309034;214412 
310485;214410 
314065;214413 
307099;214411 
309612;214411 
312472;214410 
308564;214412 
311266;214412 
311459;214412 
313132;214411 
306739;214410 
313307;214411 
305477;214412 
308887;214412 
310193;214412 
311038;214412 
311302;214412 
310340;214412 
312197;214411 
312328;214411 
310461;214413 
307466;214414 
306747;214412 
323569;214413 
313449;214413 
309277;214413 
312014;214411 
307142;214411 
312075;214411 
311424;214412 
310575;214413 
314526;214410 
313547;214411 
310338;214410 
319803;214413 
305093;214411 
308706;214412 
307945;214413 
306009;214415 
309310;214412 
306205;214412 
307609;214410 
310106;214411 
311414;214410 
305221;214412 
314755;214411 
308551;214411 
305871;214411 
312830;214410 
313599;214414 
318469;214415 
316952;214410 
310412;214410 
312031;214415 
311102;214410 
311482;214411 
309397;214413 
314717;214413 
305436;214410 
310621;214411 
310686;214411 
309564;214414 
312555;214411 
307680;214411 
306893;214412 
307478;214413 
308314;214414 
312450;214412 
312154;214412 
309510;214411 
306880;214409 
312919;214413 
310773;214413 
306526;214412 
307172;214412 
311389;214414 
310343;214415 
310285;214410 
313135;214413 
311222;214415 
307098;214411 
305665;214410 
307635;214412 
310668;214411 
309586;214410 
307693;214410 
307313;214413 
310096;214411 
308022;214410 
311930;214411 
308131;214412 
314282;214410 
309611;214411 
313813;214412 
311338;214413 
307252;214413 
311686;214414 
307896;214413 
305651;214412 
313135;214412 
309541;214409 
314852;214412 
307405;214411 
308839;214411 
311366;214410 
309505;214417 
311086;214412 
308968;214413 
312737;214411 
308104;214412 
307457;214411 
312769;214410 
308593;214413 
304691;214410 
310153;214413 
310649;214411 
307281;214413 
310983;214413 
311364;214410 
310386;214415 
305785;214412 
312160;214410 
312327;214414 
308063;214411 
310543;214411 
308704;214416 
315439;214410 
316101;214413 
307772;214410 
310712;214412 
307995;214412 
310354;214412 
313295;214413 
309342;214412 
309588;214409 
310866;214409 
305684;214416 
310056;214411 
313248;214412 
311086;214413 
308823;214410 
310218;214412 
308252;214414 
307627;214411 
311670;214410 
307218;214412 
307420;214410 
312564;214412 
308714;214409 
