CYCLES;INS
308589;214414 
312815;214411 
308835;214412 
311969;214412 
306147;214410 
307525;214413 
308798;214413 
308697;214410 
311504;214410 
313363;214415 
311588;214411 
310779;214411 
311400;214410 
308515;214411 
310710;214409 
313827;214410 
307713;214411 
311098;214409 
309161;214414 
309178;214411 
312432;214417 
310794;214410 
313358;214413 
309144;214410 
311896;214411 
312077;214412 
305326;214410 
305494;214410 
303694;214411 
307329;214412 
310480;214410 
308283;214415 
310755;214411 
308356;214413 
313906;214410 
308097;214409 
305437;214411 
308423;214410 
310679;214413 
312196;214410 
311445;214409 
310338;214410 
309399;214415 
308979;214411 
313602;214415 
308444;214410 
308011;214414 
314781;214410 
312559;214411 
311930;214412 
311571;214411 
310791;214411 
309153;214410 
313143;214416 
309986;214411 
312383;214414 
312832;214410 
312169;214411 
312484;214409 
313302;214412 
309996;214411 
309613;214411 
313057;214409 
309143;214410 
310312;214414 
310975;214410 
309953;214412 
313016;214413 
304158;214409 
309252;214415 
310496;214411 
309664;214412 
310168;214412 
307367;214413 
308503;214411 
307151;214412 
307867;214409 
313386;214412 
307927;214410 
309777;214414 
309272;214412 
307222;214411 
309999;214413 
309344;214410 
308623;214410 
316004;214413 
308526;214414 
309446;214414 
311668;214415 
309871;214410 
312337;214411 
311169;214412 
311416;214408 
311703;214410 
306524;214411 
305670;214411 
308353;214410 
311854;214411 
306423;214410 
312440;214412 
307644;214409 
314570;214415 
308659;214411 
315460;214411 
310984;214414 
305580;214411 
310182;214411 
308581;214411 
312570;214413 
304521;214412 
310376;214419 
306632;214411 
309937;214414 
309697;214412 
309659;214415 
309721;214411 
307109;214412 
314474;214413 
313118;214410 
311911;214411 
308986;214410 
311140;214417 
311067;214412 
306713;214411 
310769;214412 
309438;214412 
318420;214412 
311272;214412 
305385;214410 
308672;214410 
317806;214411 
312253;214409 
311335;214415 
306478;214411 
309523;214415 
305749;214411 
308669;214409 
309050;214413 
310102;214414 
305198;214412 
311986;214411 
312451;214412 
308058;214409 
315945;214417 
308733;214410 
309886;214413 
310315;214410 
309357;214411 
309098;214413 
310181;214413 
308347;214413 
306353;214413 
308018;214412 
311622;214411 
308139;214416 
305504;214411 
307674;214413 
310417;214413 
309011;214409 
309298;214411 
308026;214411 
308280;214413 
317357;214413 
306300;214413 
306858;214409 
308539;214417 
306414;214412 
313845;214410 
310564;214412 
308038;214412 
306395;214414 
311176;214411 
313202;214412 
309940;214412 
308388;214410 
317201;214411 
312629;214411 
311092;214412 
307201;214412 
307902;214412 
310921;214414 
308285;214411 
310685;214412 
323696;214414 
312488;214412 
307936;214413 
309051;214412 
309051;214411 
307311;214412 
308900;214411 
305170;214413 
308891;214411 
313980;214411 
306893;214412 
306421;214413 
308875;214412 
311091;214410 
309258;214410 
310179;214411 
312299;214411 
309560;214411 
311078;214413 
314273;214412 
306787;214411 
309941;214410 
308662;214413 
307248;214411 
309751;214411 
310362;214411 
306565;214412 
307952;214409 
306952;214410 
315045;214412 
306559;214415 
311621;214411 
314369;214412 
306245;214414 
310738;214413 
312989;214413 
309586;214410 
308968;214411 
311707;214412 
310724;214412 
310620;214413 
311665;214415 
310321;214412 
308130;214411 
309932;214412 
311381;214411 
304428;214411 
309039;214414 
311023;214414 
309165;214413 
316769;214414 
308875;214412 
309976;214413 
306446;214410 
307915;214410 
308144;214412 
308775;214411 
310160;214411 
309282;214412 
309259;214413 
304810;214411 
308015;214414 
308849;214412 
308383;214411 
309129;214410 
311829;214411 
307960;214414 
306010;214412 
304920;214411 
306138;214414 
309116;214413 
308768;214411 
314993;214413 
311285;214411 
310805;214415 
310831;214410 
310718;214409 
309737;214412 
312478;214412 
310098;214411 
312294;214412 
309467;214412 
308096;214413 
308409;214413 
307512;214413 
311204;214412 
304460;214412 
309703;214409 
310745;214414 
306466;214409 
311545;214412 
308715;214411 
304298;214412 
307827;214410 
308662;214413 
306672;214412 
308134;214411 
311447;214411 
305788;214411 
307412;214411 
308358;214410 
307608;214412 
310256;214410 
308942;214412 
311756;214410 
310989;214416 
307540;214412 
311119;214409 
313177;214412 
314213;214410 
308122;214412 
305690;214413 
310512;214413 
313388;214414 
309103;214414 
309867;214413 
309126;214415 
309794;214411 
312497;214411 
310550;214411 
309836;214408 
309252;214410 
312129;214414 
310977;214411 
306032;214414 
306336;214412 
312649;214412 
312783;214416 
311453;214411 
308483;214410 
308899;214413 
309209;214416 
311674;214409 
307327;214410 
311219;214410 
311061;214411 
313904;214412 
312778;214412 
305142;214412 
310273;214409 
310348;214413 
312598;214410 
310948;214413 
308843;214412 
310494;214413 
310504;214415 
312476;214411 
304958;214412 
303522;214410 
309909;214412 
308447;214411 
307239;214411 
312357;214412 
310074;214416 
312337;214411 
308812;214411 
313655;214411 
308565;214413 
312346;214412 
312012;214411 
310963;214413 
310301;214411 
310562;214411 
305773;214411 
312302;214412 
310245;214412 
312682;214410 
308763;214417 
307782;214412 
306646;214412 
313917;214409 
312939;214412 
312093;214411 
310806;214417 
308686;214411 
312560;214412 
305373;214412 
305745;214413 
311107;214411 
311240;214411 
308218;214413 
310738;214412 
307314;214411 
311412;214411 
307242;214415 
312474;214412 
307419;214412 
308505;214411 
307173;214409 
307228;214413 
312532;214410 
305919;214413 
307390;214413 
304968;214412 
306064;214412 
308180;214413 
308081;214412 
313144;214412 
305661;214412 
306127;214412 
312935;214414 
307756;214412 
304258;214412 
308680;214410 
305413;214412 
307431;214412 
311965;214414 
311408;214412 
310502;214411 
312690;214411 
312130;214411 
308577;214412 
314349;214413 
306533;214412 
308997;214411 
312055;214412 
305795;214410 
313375;214413 
305827;214412 
312960;214411 
312970;214412 
311357;214411 
309459;214412 
305390;214410 
310339;214412 
310236;214411 
307977;214413 
306816;214410 
313701;214416 
310537;214413 
311270;214412 
309946;214412 
309551;214411 
309546;214409 
310963;214412 
309795;214412 
309819;214411 
306549;214412 
311627;214410 
306938;214413 
311797;214415 
310417;214411 
307601;214411 
307553;214410 
311076;214411 
307876;214409 
304952;214412 
307532;214411 
310583;214412 
311629;214413 
308412;214413 
314971;214409 
308547;214410 
309163;214411 
312701;214409 
305943;214412 
309492;214413 
310972;214411 
313402;214411 
306335;214411 
309598;214411 
306954;214415 
305467;214410 
307501;214412 
312728;214414 
305530;214412 
309989;214413 
309712;214412 
308810;214414 
308444;214409 
310815;214411 
310415;214410 
311359;214418 
313281;214411 
306689;214409 
307248;214411 
307643;214413 
307236;214411 
309638;214413 
310248;214412 
308545;214412 
305202;214410 
306957;214413 
310217;214416 
311258;214411 
313142;214411 
308928;214410 
310990;214412 
307806;214411 
315573;214413 
308365;214411 
307666;214413 
308810;214411 
310003;214409 
312149;214418 
310828;214410 
315295;214412 
