CYCLES;INS
314075;214410 
313022;214413 
310263;214412 
310434;214413 
308464;214410 
307281;214411 
309966;214410 
319711;214413 
303842;214414 
309507;214411 
307273;214410 
308800;214411 
310165;214410 
308709;214410 
308982;214413 
312736;214411 
305111;214411 
310006;214414 
312220;214414 
314946;214411 
311160;214410 
310242;214410 
308670;214411 
307095;214411 
304065;214411 
308698;214417 
308965;214410 
310927;214412 
312408;214411 
306691;214411 
312653;214411 
310484;214410 
315933;214411 
310063;214409 
311323;214410 
313752;214410 
309261;214417 
306241;214413 
310525;214409 
308880;214409 
307322;214409 
309474;214411 
305241;214410 
307502;214411 
312042;214411 
306242;214411 
312732;214411 
307381;214416 
309465;214413 
311606;214412 
310185;214410 
308545;214410 
306275;214412 
315449;214412 
308984;214410 
306172;214414 
308684;214412 
311083;214412 
311726;214418 
307493;214413 
308362;214409 
310205;214412 
308972;214412 
309608;214415 
306252;214409 
304131;214410 
310371;214409 
309865;214412 
311604;214413 
309628;214414 
305476;214412 
317831;214413 
306173;214413 
310772;214412 
309890;214411 
314654;214411 
306100;214413 
305805;214410 
309807;214413 
305084;214410 
310997;214410 
311594;214410 
305303;214410 
307237;214411 
306616;214409 
310707;214410 
310559;214411 
314949;214416 
308525;214413 
314501;214411 
309081;214415 
309568;214411 
305732;214411 
308832;214412 
312682;214412 
312592;214412 
308650;214412 
310190;214410 
313209;214413 
306136;214411 
309817;214414 
311157;214410 
311552;214414 
312572;214411 
309361;214411 
315805;214410 
317798;214414 
310804;214411 
314685;214412 
309516;214414 
308054;214411 
308794;214411 
311636;214409 
310210;214413 
308888;214412 
309857;214413 
311262;214413 
312219;214412 
310461;214413 
304791;214410 
307897;214413 
309008;214411 
309945;214410 
312327;214411 
311083;214412 
307577;214410 
313464;214411 
308113;214411 
307152;214411 
312068;214411 
305073;214410 
318151;214415 
304941;214411 
308059;214413 
309380;214412 
312274;214411 
310848;214411 
305732;214412 
308450;214411 
309788;214413 
310689;214416 
308987;214410 
306819;214411 
305912;214411 
305484;214410 
310839;214413 
314265;214411 
308525;214412 
310456;214410 
308161;214414 
308717;214409 
306717;214414 
310227;214411 
308019;214422 
306979;214411 
308124;214414 
310665;214413 
310353;214411 
308349;214412 
312988;214410 
309375;214411 
310925;214410 
307519;214410 
307254;214411 
311495;214411 
311973;214411 
308629;214413 
309629;214411 
314071;214410 
308219;214412 
309747;214412 
309442;214412 
309442;214411 
314536;214411 
310281;214412 
310901;214411 
309359;214411 
312326;214411 
307227;214411 
310776;214412 
312386;214418 
310190;214411 
316088;214411 
309648;214410 
311186;214410 
309329;214413 
315500;214410 
311667;214409 
309698;214410 
308977;214411 
320769;214411 
311084;214410 
308673;214415 
310879;214411 
312897;214412 
308562;214412 
306968;214413 
308671;214412 
311107;214409 
307865;214412 
310437;214412 
312249;214412 
307420;214413 
312012;214411 
316047;214413 
310933;214415 
306019;214412 
312252;214410 
308396;214412 
309895;214409 
307502;214416 
308385;214411 
312859;214413 
310883;214412 
314298;214411 
311210;214412 
313296;214411 
317149;214411 
310111;214413 
307984;214417 
304686;214413 
310701;214414 
308271;214411 
312046;214412 
307268;214413 
312177;214412 
306568;214414 
313325;214411 
311933;214413 
309404;214413 
315789;214413 
311985;214409 
311696;214410 
310196;214412 
309970;214410 
310909;214411 
312578;214411 
308259;214411 
310352;214413 
311530;214410 
311396;214411 
309046;214412 
304243;214410 
307631;214410 
310002;214413 
310930;214413 
309781;214410 
317185;214409 
308188;214413 
307149;214415 
312800;214412 
309768;214412 
306246;214412 
308119;214410 
311096;214413 
313173;214414 
316503;214413 
307571;214412 
311294;214414 
307346;214409 
310420;214414 
313668;214411 
311003;214412 
308547;214412 
309492;214413 
309385;214413 
316267;214412 
310249;214411 
311671;214411 
309837;214410 
312098;214415 
311521;214412 
308982;214411 
311447;214410 
311951;214411 
314536;214411 
312207;214412 
312307;214412 
313800;214411 
311253;214411 
313356;214412 
309507;214410 
309953;214413 
310183;214411 
307335;214412 
310886;214413 
310534;214414 
309945;214411 
308687;214412 
310060;214416 
311647;214414 
311989;214412 
310302;214412 
311832;214413 
315846;214412 
310966;214411 
310319;214413 
307497;214413 
305910;214412 
312209;214413 
308867;214412 
307315;214412 
310258;214411 
303299;214413 
307320;214410 
307251;214409 
311632;214409 
310700;214411 
305123;214412 
310297;214410 
313087;214413 
310969;214411 
308664;214413 
321848;214409 
307918;214411 
318381;214415 
307791;214410 
310812;214411 
307960;214412 
310674;214412 
310886;214410 
304549;214411 
307054;214414 
309044;214411 
310448;214413 
309268;214413 
307196;214411 
310493;214411 
310653;214410 
310027;214411 
314948;214411 
309797;214413 
309032;214411 
307734;214412 
311347;214410 
308364;214410 
312142;214412 
310853;214412 
311081;214410 
310202;214409 
312109;214411 
310405;214410 
306445;214410 
309432;214412 
307970;214412 
312910;214412 
310741;214411 
306551;214414 
312860;214411 
310059;214414 
306170;214411 
309525;214412 
312257;214411 
311085;214412 
308771;214414 
308415;214413 
311781;214413 
309783;214409 
308661;214413 
312472;214412 
310196;214413 
309432;214411 
309867;214410 
306014;214411 
311893;214413 
312264;214413 
313668;214414 
305598;214415 
307909;214410 
311500;214412 
313566;214410 
311501;214411 
309039;214410 
305026;214414 
311736;214413 
314166;214412 
309711;214411 
312589;214412 
311235;214410 
308012;214411 
307766;214410 
309421;214411 
305876;214412 
305560;214413 
311617;214411 
310616;214416 
312498;214412 
311297;214412 
308314;214410 
310219;214411 
314919;214412 
309207;214410 
315729;214411 
311221;214412 
308570;214413 
312570;214410 
311933;214416 
307937;214410 
310157;214412 
308761;214412 
307906;214411 
308599;214410 
310330;214411 
310496;214412 
307338;214412 
314882;214412 
307558;214414 
307113;214417 
309931;214412 
311081;214412 
312343;214413 
312633;214413 
310151;214412 
308637;214411 
309543;214412 
311124;214411 
312439;214414 
310338;214412 
309448;214412 
308532;214413 
310017;214412 
305453;214414 
311872;214410 
309296;214412 
312303;214412 
317436;214412 
311683;214413 
309543;214415 
309442;214411 
305887;214411 
308813;214413 
309121;214415 
309182;214414 
309355;214412 
311471;214411 
310678;214411 
309665;214411 
310980;214410 
305814;214414 
312309;214413 
309678;214411 
309950;214409 
312792;214413 
312732;214411 
309009;214412 
312641;214411 
315148;214413 
315278;214413 
310726;214411 
309316;214415 
307596;214411 
307267;214412 
306282;214409 
309485;214412 
308847;214413 
310101;214412 
310209;214412 
310403;214412 
312846;214413 
307916;214410 
308164;214414 
311432;214415 
309105;214412 
313210;214409 
311114;214414 
311741;214413 
306818;214411 
306961;214412 
307415;214410 
306093;214414 
312205;214410 
311799;214414 
307054;214412 
311502;214415 
310417;214412 
306350;214412 
307718;214412 
307489;214411 
306255;214411 
312509;214411 
307679;214410 
308663;214414 
310922;214411 
309344;214412 
312451;214415 
304631;214412 
309153;214413 
311535;214412 
312879;214409 
307079;214411 
310837;214412 
310879;214409 
310138;214409 
311871;214409 
311715;214412 
305635;214415 
307035;214412 
310353;214412 
307612;214411 
310330;214409 
311168;214413 
306295;214411 
311176;214412 
310293;214412 
309241;214412 
310585;214409 
309851;214412 
306471;214410 
312284;214412 
309793;214411 
314316;214412 
309538;214415 
306640;214411 
312413;214410 
310476;214411 
310598;214412 
312191;214412 
311783;214414 
312267;214410 
307578;214412 
310852;214411 
306922;214417 
309579;214411 
311856;214410 
310004;214412 
311353;214411 
305485;214412 
312755;214411 
306724;214415 
311572;214412 
309905;214411 
309664;214410 
308901;214409 
310505;214412 
310012;214411 
309487;214412 
312526;214413 
307694;214411 
310593;214409 
307215;214411 
308527;214413 
310283;214410 
310810;214410 
304299;214408 
304788;214413 
306329;214411 
316864;214416 
307508;214411 
306505;214412 
311649;214412 
309674;214410 
315814;214412 
312451;214412 
308359;214414 
309846;214412 
311102;214411 
311076;214412 
313740;214412 
309854;214409 
313913;214411 
311879;214409 
310427;214410 
312637;214410 
304537;214413 
312749;214412 
310485;214411 
314277;214410 
306461;214412 
313167;214414 
306238;214413 
315804;214411 
312217;214412 
309388;214412 
311472;214410 
311665;214413 
305775;214413 
312153;214411 
304989;214413 
306018;214411 
312058;214417 
311839;214412 
309697;214410 
309687;214411 
313064;214412 
311995;214412 
307961;214411 
