CYCLES;INS
311477;214413 
309245;214410 
312036;214409 
307681;214413 
310027;214411 
309972;214413 
309646;214409 
310809;214411 
308112;214414 
308668;214413 
304771;214409 
306221;214410 
307130;214413 
314387;214411 
309174;214418 
306680;214411 
311301;214414 
313444;214411 
309214;214410 
309954;214412 
308411;214414 
308767;214415 
310203;214413 
308823;214413 
310597;214410 
308265;214410 
310725;214411 
310932;214410 
311231;214410 
305393;214410 
307905;214410 
317461;214413 
309821;214412 
309791;214411 
307930;214412 
305307;214413 
313747;214412 
313362;214414 
306961;214413 
311263;214411 
307649;214409 
309602;214413 
311423;214410 
310966;214411 
311001;214411 
312065;214411 
304051;214409 
310773;214410 
310130;214411 
305503;214411 
309280;214412 
308093;214413 
312389;214413 
305363;214412 
307405;214411 
308514;214413 
309135;214413 
311655;214414 
310193;214410 
306966;214412 
313309;214411 
307060;214412 
308576;214411 
307789;214409 
309131;214411 
307169;214412 
311241;214413 
310712;214409 
309190;214412 
304785;214412 
305324;214412 
311745;214409 
307747;214415 
308938;214411 
311252;214412 
310808;214410 
306815;214414 
307881;214411 
305523;214412 
308641;214412 
306214;214410 
313071;214415 
303909;214412 
311604;214412 
310348;214410 
306777;214413 
304228;214411 
313027;214413 
307388;214414 
314447;214410 
315268;214413 
312569;214411 
309922;214414 
309404;214413 
308826;214412 
311326;214415 
304339;214411 
305684;214412 
308136;214411 
309749;214413 
310418;214414 
310883;214412 
308337;214410 
305675;214410 
315592;214410 
308897;214410 
312337;214414 
308275;214412 
314534;214411 
307325;214413 
306433;214411 
309082;214411 
309339;214411 
305030;214413 
305793;214409 
314061;214412 
314093;214411 
309731;214413 
311807;214410 
308464;214412 
311283;214412 
308581;214413 
310299;214413 
307435;214413 
304691;214411 
314031;214412 
308279;214410 
308268;214412 
312055;214413 
311042;214415 
308051;214415 
311407;214414 
309195;214412 
308316;214411 
310773;214410 
310015;214413 
309878;214411 
309960;214415 
305806;214414 
310629;214413 
308700;214413 
307541;214410 
308389;214412 
313831;214413 
306799;214411 
308109;214411 
310208;214411 
309968;214412 
309323;214413 
309906;214413 
309906;214412 
309598;214414 
305187;214413 
308265;214413 
311102;214411 
308913;214412 
312388;214411 
310325;214414 
308814;214410 
307406;214410 
312553;214412 
306725;214411 
310540;214412 
309793;214414 
314563;214412 
309575;214414 
309603;214411 
310057;214413 
311248;214411 
306647;214415 
305979;214411 
306525;214413 
310438;214409 
307549;214410 
308649;214410 
306042;214416 
311695;214411 
311378;214413 
311515;214409 
307813;214411 
310016;214412 
305651;214414 
310238;214411 
313139;214411 
307863;214415 
307796;214412 
310540;214415 
312773;214412 
311091;214410 
307549;214410 
311082;214412 
310143;214413 
311596;214410 
305247;214410 
305908;214412 
309666;214413 
305105;214411 
312674;214413 
308899;214411 
307690;214417 
308611;214411 
306322;214412 
307052;214413 
306782;214410 
304843;214414 
310812;214411 
310301;214409 
308631;214410 
310914;214410 
307870;214409 
312222;214412 
312689;214412 
313550;214409 
305525;214412 
309287;214410 
310086;214411 
310975;214412 
310333;214412 
308239;214410 
311967;214410 
311702;214410 
311147;214411 
307226;214409 
311709;214410 
309905;214411 
310563;214411 
317686;214411 
308924;214411 
307289;214411 
305553;214412 
310458;214413 
308770;214411 
305030;214411 
312280;214414 
306328;214411 
307293;214412 
306777;214414 
312977;214412 
312005;214413 
311405;214412 
310753;214412 
311508;214411 
318308;214414 
310847;214410 
307368;214409 
311512;214412 
309389;214411 
311880;214412 
310981;214410 
305954;214411 
308085;214410 
310537;214413 
318523;214412 
306974;214411 
303122;214412 
310917;214411 
308788;214411 
311891;214410 
311152;214414 
313281;214411 
306455;214412 
310483;214411 
309237;214411 
311998;214413 
309725;214410 
306294;214412 
308037;214410 
308692;214415 
311234;214408 
312248;214414 
313360;214413 
311391;214408 
309033;214413 
307109;214410 
307829;214410 
307560;214409 
310482;214413 
310885;214409 
310614;214413 
313208;214412 
308327;214411 
306879;214413 
310551;214411 
311027;214411 
308703;214409 
312673;214414 
310001;214412 
309549;214413 
304567;214413 
310688;214410 
311867;214414 
306972;214411 
309583;214412 
316093;214410 
307671;214414 
306272;214411 
303212;214411 
308531;214413 
309486;214408 
315892;214412 
307595;214412 
312330;214414 
304163;214410 
310923;214411 
308481;214412 
307385;214412 
311528;214414 
310207;214412 
309311;214410 
307043;214412 
303477;214412 
306406;214412 
314190;214411 
307079;214411 
307797;214412 
305292;214413 
305418;214414 
309832;214410 
311229;214412 
310658;214413 
310192;214412 
310801;214411 
307453;214411 
307402;214414 
306968;214412 
308396;214411 
308133;214411 
310175;214408 
310368;214412 
306305;214413 
309404;214412 
306018;214411 
309730;214415 
312568;214411 
308927;214411 
309337;214411 
311407;214409 
307506;214411 
304356;214410 
308417;214411 
309457;214411 
308964;214415 
311005;214413 
310963;214410 
312307;214410 
312302;214411 
311128;214412 
310343;214411 
306269;214413 
311728;214409 
304994;214415 
308732;214413 
312782;214410 
311518;214413 
307482;214410 
312131;214413 
305939;214410 
304071;214412 
306717;214409 
310194;214417 
316825;214412 
308382;214411 
310242;214412 
309741;214410 
310592;214412 
309525;214411 
309326;214414 
311069;214410 
308837;214415 
309383;214411 
310630;214410 
303533;214413 
309756;214413 
310133;214410 
309489;214412 
317536;214414 
307676;214415 
310489;214410 
307156;214412 
310751;214411 
309988;214411 
306989;214410 
308472;214413 
309948;214410 
311019;214409 
309507;214410 
306614;214413 
311787;214409 
306152;214409 
308234;214412 
309962;214412 
314029;214410 
311193;214411 
309749;214412 
308935;214411 
313174;214412 
308248;214410 
311778;214412 
310259;214410 
318740;214412 
309409;214412 
308541;214409 
310946;214411 
310422;214409 
311197;214412 
309083;214412 
311577;214411 
313591;214412 
308056;214412 
310447;214413 
311547;214412 
310138;214412 
309206;214411 
308572;214414 
307416;214411 
307799;214416 
315969;214411 
311472;214410 
308640;214412 
312187;214411 
308412;214411 
310358;214409 
310268;214410 
315475;214411 
304754;214412 
310578;214411 
308699;214409 
305886;214414 
308440;214411 
308179;214411 
305309;214411 
307722;214411 
305058;214413 
313030;214411 
308561;214413 
306511;214412 
312909;214412 
307033;214410 
309497;214413 
308537;214410 
308663;214410 
310083;214411 
306628;214411 
311302;214411 
307311;214410 
307367;214411 
308904;214411 
310913;214409 
308987;214413 
311891;214411 
309785;214412 
309545;214411 
311904;214409 
309567;214415 
304640;214411 
307954;214415 
308699;214412 
311299;214413 
308731;214411 
310900;214411 
308115;214410 
305346;214410 
307694;214414 
309302;214410 
306162;214410 
311870;214410 
310022;214410 
308182;214409 
311169;214413 
311311;214413 
312872;214409 
314870;214410 
309044;214411 
311588;214413 
311676;214412 
309540;214410 
309695;214411 
310733;214411 
310208;214414 
305787;214412 
310683;214417 
307673;214412 
312198;214414 
307583;214410 
310608;214411 
310521;214412 
314911;214408 
316997;214414 
305887;214412 
307161;214415 
312361;214410 
310672;214414 
308595;214409 
310582;214411 
310293;214415 
307474;214410 
304834;214414 
308180;214412 
311084;214413 
308050;214412 
310518;214408 
307115;214411 
308048;214411 
309069;214410 
309853;214414 
310948;214415 
307744;214411 
310343;214415 
311409;214413 
313031;214412 
310694;214410 
306238;214410 
306117;214412 
310786;214410 
311350;214414 
310943;214410 
313552;214411 
308177;214411 
310167;214411 
312391;214411 
312302;214411 
305421;214411 
304898;214413 
308209;214414 
312676;214409 
308814;214411 
306440;214412 
310595;214413 
309828;214411 
312937;214414 
310684;214413 
306035;214412 
309781;214410 
309269;214415 
309700;214411 
305072;214413 
312744;214411 
310255;214411 
311328;214409 
310735;214411 
308744;214412 
310807;214412 
306923;214412 
309261;214411 
310825;214410 
310911;214411 
307806;214412 
308464;214412 
304517;214411 
305125;214412 
310081;214412 
307247;214412 
308394;214411 
310178;214411 
312557;214411 
304460;214412 
311189;214413 
305119;214411 
309124;214409 
309607;214412 
308248;214409 
313972;214413 
312868;214411 
304550;214412 
307258;214411 
316614;214412 
310680;214412 
311520;214411 
309933;214413 
308614;214411 
307456;214413 
311257;214412 
311065;214413 
309096;214413 
311649;214411 
310532;214412 
314723;214412 
316389;214411 
312267;214413 
313371;214411 
310024;214410 
310187;214414 
304460;214415 
307562;214411 
304398;214410 
308487;214409 
311079;214411 
308193;214410 
305679;214411 
308259;214412 
309388;214413 
309351;214410 
308460;214413 
309865;214411 
305392;214411 
312632;214414 
305868;214412 
311156;214411 
306561;214412 
305346;214411 
315791;214411 
311431;214414 
308268;214413 
307731;214410 
311397;214412 
310203;214411 
310987;214411 
310059;214409 
310031;214410 
307536;214408 
312056;214413 
308970;214411 
309683;214410 
324992;214411 
309282;214411 
307432;214411 
309127;214411 
310781;214416 
308260;214412 
311278;214414 
306896;214413 
304211;214409 
309287;214412 
312428;214412 
311646;214411 
307470;214411 
306133;214411 
310844;214410 
309544;214409 
312335;214412 
304817;214413 
310924;214409 
318668;214412 
309547;214411 
310172;214411 
310757;214413 
312402;214412 
311157;214412 
308915;214411 
312472;214411 
309057;214410 
304937;214412 
305207;214414 
309171;214411 
312258;214412 
308424;214411 
304661;214411 
308841;214412 
310648;214412 
311890;214412 
308194;214412 
307576;214416 
311375;214410 
309183;214412 
308635;214412 
310875;214413 
310007;214411 
306398;214410 
309696;214412 
310544;214412 
304590;214412 
309575;214408 
310212;214414 
309761;214412 
305193;214414 
311823;214413 
312752;214414 
311502;214411 
308490;214411 
307962;214410 
304875;214410 
307474;214412 
307736;214412 
306939;214412 
303539;214411 
309468;214413 
309131;214410 
310259;214412 
312196;214411 
307273;214409 
308740;214413 
308926;214412 
314841;214412 
310567;214412 
311171;214413 
308984;214410 
307214;214409 
307169;214410 
318235;214411 
307153;214412 
306740;214412 
309099;214415 
311424;214412 
309599;214412 
310548;214412 
314967;214412 
308200;214410 
308770;214416 
310941;214413 
310377;214412 
311245;214411 
310859;214412 
307181;214411 
311513;214412 
312755;214411 
311287;214410 
307102;214411 
312413;214414 
309006;214411 
310932;214413 
309396;214413 
306533;214414 
313808;214411 
310552;214409 
305432;214411 
312185;214410 
305476;214411 
308989;214412 
311771;214410 
305869;214413 
310780;214413 
310488;214415 
309898;214413 
313130;214413 
311706;214411 
308445;214410 
309450;214411 
308162;214414 
308659;214413 
311677;214411 
305666;214411 
312272;214414 
308140;214411 
309055;214413 
311244;214412 
308413;214413 
310927;214410 
308968;214414 
309499;214410 
307902;214412 
310292;214410 
312221;214411 
312834;214412 
306366;214409 
315214;214411 
307505;214410 
309537;214411 
309120;214410 
312327;214415 
307885;214411 
309346;214412 
311107;214414 
312241;214409 
310211;214408 
306443;214411 
310526;214414 
311719;214411 
307848;214414 
312472;214412 
309323;214412 
310973;214414 
310523;214411 
307873;214412 
306422;214412 
311356;214412 
316091;214412 
308003;214412 
309409;214411 
307765;214411 
306773;214409 
311858;214410 
305079;214411 
311857;214412 
310175;214414 
308607;214412 
307451;214412 
310981;214410 
310595;214413 
309451;214412 
310380;214409 
311785;214412 
306092;214413 
311877;214410 
311038;214411 
308301;214413 
318981;214410 
310364;214415 
312518;214414 
308662;214412 
307818;214411 
309984;214411 
310051;214413 
306408;214410 
307780;214412 
311728;214412 
313992;214417 
311272;214411 
308071;214410 
306719;214412 
312097;214412 
306697;214411 
309605;214413 
310275;214414 
309372;214410 
312867;214418 
309524;214411 
309076;214414 
309262;214410 
311187;214413 
309443;214411 
309437;214413 
312850;214414 
308477;214412 
308553;214410 
312875;214410 
305549;214409 
309354;214410 
311919;214412 
306880;214412 
311247;214410 
311710;214413 
307852;214414 
305926;214412 
311128;214414 
309206;214412 
310261;214412 
308570;214410 
309239;214413 
309312;214410 
314359;214412 
310910;214411 
303597;214410 
306871;214412 
311784;214412 
306660;214411 
309591;214411 
309203;214411 
308238;214412 
307513;214412 
310527;214413 
309088;214412 
311215;214412 
309234;214412 
310226;214411 
304442;214410 
308160;214411 
304695;214411 
311401;214414 
309190;214409 
305669;214412 
312410;214411 
309704;214413 
305596;214413 
310589;214413 
311678;214412 
303783;214410 
307557;214410 
308424;214411 
311773;214413 
307953;214411 
306852;214411 
304409;214410 
308092;214411 
309954;214414 
310273;214413 
307592;214411 
309209;214412 
307546;214412 
308524;214410 
310358;214413 
308925;214413 
310653;214411 
306645;214412 
307031;214412 
309559;214413 
306366;214410 
311156;214412 
304716;214410 
307116;214412 
312575;214411 
309257;214411 
311321;214411 
312052;214411 
308139;214412 
306977;214414 
310595;214414 
309401;214413 
310675;214413 
313538;214413 
309138;214412 
310532;214416 
308408;214412 
311709;214411 
309649;214413 
307882;214412 
309121;214412 
309458;214413 
307832;214412 
309268;214409 
307013;214410 
311062;214412 
306036;214412 
311020;214412 
304051;214409 
312313;214412 
308934;214409 
311290;214411 
310462;214412 
311702;214415 
309245;214411 
306563;214413 
306069;214409 
309495;214412 
307284;214411 
310573;214412 
308655;214411 
307151;214412 
305607;214411 
308949;214412 
307349;214410 
306890;214411 
309719;214410 
306753;214413 
307937;214413 
309686;214410 
310862;214416 
309531;214410 
308170;214412 
309067;214410 
308553;214413 
309304;214412 
305487;214411 
309878;214410 
311312;214408 
309791;214412 
310125;214413 
312448;214414 
307936;214411 
311290;214410 
307331;214414 
309899;214409 
312135;214411 
309574;214409 
306975;214412 
311157;214411 
309992;214411 
310431;214411 
308489;214412 
308183;214413 
310413;214411 
307174;214413 
306863;214410 
310076;214414 
312057;214410 
307676;214411 
312258;214411 
309632;214413 
305793;214412 
312626;214410 
307894;214410 
311940;214411 
308048;214413 
311095;214408 
303725;214412 
306690;214411 
312395;214409 
309945;214411 
313591;214412 
306156;214414 
311147;214411 
313419;214415 
305624;214412 
307193;214412 
305430;214411 
311354;214411 
306473;214412 
312844;214412 
307940;214415 
304010;214412 
313543;214410 
310313;214411 
308102;214411 
308939;214409 
311287;214410 
311299;214415 
320289;214412 
304615;214412 
310364;214410 
307241;214414 
311351;214411 
312452;214409 
312484;214411 
311686;214411 
305184;214412 
310702;214412 
311243;214417 
312323;214414 
317255;214412 
307807;214413 
306850;214413 
308118;214411 
310313;214409 
311450;214411 
310398;214410 
306736;214411 
307866;214409 
308948;214413 
309071;214412 
313702;214409 
310839;214412 
311990;214409 
306837;214411 
309041;214411 
310599;214413 
309121;214412 
311826;214410 
309818;214410 
310864;214409 
308111;214411 
309563;214412 
311735;214413 
305685;214413 
308085;214412 
305625;214410 
310163;214412 
306672;214409 
318016;214411 
308298;214411 
310637;214411 
313403;214410 
308976;214412 
312116;214410 
308074;214411 
305614;214409 
314003;214409 
305215;214412 
312736;214411 
311848;214413 
309862;214412 
305645;214413 
309244;214409 
310316;214409 
310126;214409 
313394;214409 
308022;214410 
304043;214412 
306667;214411 
306843;214412 
311651;214410 
307691;214411 
310551;214414 
309186;214413 
310493;214411 
307149;214414 
307708;214410 
314359;214410 
309793;214411 
309414;214410 
308961;214410 
310913;214412 
308437;214413 
310703;214410 
313764;214412 
310924;214411 
303407;214410 
310730;214413 
305128;214410 
311789;214415 
312676;214410 
307432;214409 
306223;214411 
311493;214414 
305945;214412 
307340;214409 
305956;214412 
311990;214412 
312661;214411 
308169;214411 
310271;214410 
310661;214409 
314458;214412 
312373;214410 
307842;214409 
316102;214413 
310959;214411 
312050;214413 
304986;214410 
309284;214411 
309069;214410 
308165;214410 
309768;214410 
310461;214410 
313120;214411 
314408;214408 
305747;214409 
310285;214409 
304914;214411 
308993;214412 
310842;214411 
305579;214412 
310596;214411 
310603;214411 
308112;214409 
313469;214410 
310115;214413 
311279;214410 
313707;214412 
311713;214411 
305316;214412 
311466;214410 
310973;214410 
311439;214410 
311223;214411 
305593;214415 
306377;214411 
309857;214410 
307073;214413 
309003;214410 
304392;214415 
308252;214410 
309248;214409 
309879;214410 
308801;214410 
307156;214412 
306625;214411 
310102;214412 
308522;214411 
308253;214412 
307552;214409 
309009;214411 
309802;214413 
310146;214409 
308993;214410 
308180;214412 
309983;214413 
309094;214411 
307651;214412 
309201;214410 
310850;214411 
309204;214410 
307211;214411 
311667;214411 
307689;214413 
312214;214414 
313369;214412 
307648;214414 
313279;214412 
306411;214412 
310855;214411 
309906;214411 
307283;214413 
303632;214411 
308095;214413 
309011;214411 
306344;214412 
308911;214412 
309523;214409 
315457;214410 
308539;214411 
308838;214412 
311296;214411 
305832;214414 
305353;214409 
304965;214415 
310332;214413 
309829;214412 
313004;214411 
310432;214409 
309607;214412 
307882;214412 
309520;214413 
307188;214414 
309927;214410 
307058;214411 
304726;214411 
306653;214413 
310620;214412 
307440;214411 
309795;214411 
306611;214412 
309256;214410 
307533;214409 
309395;214413 
307899;214409 
310889;214411 
309791;214413 
315227;214414 
308649;214409 
309777;214411 
308153;214411 
311976;214413 
313841;214409 
307392;214414 
306479;214410 
305261;214413 
310523;214413 
304796;214412 
312638;214411 
311437;214414 
308988;214413 
311125;214411 
307547;214410 
311042;214413 
306529;214409 
303904;214412 
311603;214411 
308208;214413 
311958;214411 
306295;214411 
311763;214412 
312578;214411 
312255;214411 
306007;214409 
311084;214410 
311925;214413 
312983;214413 
313128;214410 
309855;214413 
304608;214412 
308253;214412 
309849;214411 
310356;214409 
310234;214411 
313031;214411 
310881;214412 
307067;214411 
306634;214412 
308429;214411 
311527;214410 
308109;214413 
309128;214410 
310499;214413 
310061;214411 
311673;214412 
310097;214411 
310646;214416 
306890;214412 
306419;214413 
310056;214410 
307372;214410 
308330;214413 
307023;214413 
309670;214412 
309174;214412 
309766;214412 
313329;214411 
308332;214410 
310739;214414 
308673;214410 
310060;214412 
308351;214410 
311160;214414 
309764;214413 
310790;214414 
307524;214411 
309822;214413 
309558;214410 
309778;214412 
306448;214410 
311651;214409 
311861;214413 
308394;214409 
311827;214412 
310749;214412 
312267;214412 
305005;214411 
311819;214409 
304720;214410 
309820;214411 
306870;214409 
308197;214410 
313567;214414 
310610;214412 
306985;214409 
309155;214411 
310328;214408 
311623;214410 
305214;214412 
308545;214411 
317758;214411 
308672;214410 
313145;214411 
311295;214412 
308516;214412 
308014;214410 
310195;214414 
309396;214411 
307471;214408 
309475;214410 
310475;214412 
313596;214410 
307081;214413 
310348;214414 
310571;214413 
307497;214412 
305971;214415 
307233;214414 
309393;214415 
315789;214411 
310843;214415 
313413;214412 
309383;214410 
308485;214412 
311210;214409 
310794;214412 
310384;214410 
307504;214409 
310359;214413 
309090;214409 
311511;214413 
308050;214412 
309579;214410 
308459;214410 
307702;214412 
309695;214411 
307715;214413 
311628;214413 
310378;214412 
308244;214413 
308387;214413 
309246;214412 
309273;214412 
306176;214411 
310210;214413 
310600;214412 
310816;214412 
305275;214411 
313308;214412 
306348;214411 
308489;214412 
306815;214411 
307125;214410 
308658;214411 
307041;214412 
310237;214413 
309866;214410 
308643;214412 
305683;214413 
305243;214413 
311485;214414 
305340;214413 
312405;214412 
314056;214410 
303361;214410 
320350;214412 
309188;214410 
311658;214415 
310572;214414 
310550;214413 
311865;214413 
310983;214411 
307569;214409 
309444;214411 
311109;214410 
305187;214410 
308460;214411 
307951;214410 
306899;214413 
310738;214410 
308658;214411 
314632;214410 
311333;214410 
309157;214411 
312174;214412 
307782;214409 
309227;214413 
308293;214411 
308939;214410 
307188;214413 
310058;214411 
307559;214411 
307388;214413 
307198;214412 
308970;214410 
308839;214414 
313817;214412 
309105;214411 
309742;214410 
312290;214411 
307066;214411 
309864;214414 
309063;214413 
311235;214412 
309794;214412 
309952;214412 
309957;214411 
312407;214411 
306139;214412 
309476;214413 
310610;214411 
308933;214412 
312741;214409 
307594;214415 
308492;214412 
309225;214409 
308063;214412 
308171;214414 
311047;214411 
314958;214411 
313449;214411 
309035;214410 
305246;214412 
306244;214411 
310217;214411 
313043;214413 
305763;214414 
307003;214412 
