CYCLES;INS
308346;214415 
304911;214411 
309771;214409 
308834;214410 
310993;214411 
310175;214410 
309779;214412 
310471;214411 
309383;214410 
311503;214413 
311067;214413 
308040;214409 
310184;214411 
308354;214412 
309377;214414 
306542;214413 
312341;214412 
307862;214412 
304813;214411 
309302;214410 
311813;214413 
308514;214411 
310655;214412 
306294;214411 
309203;214410 
311576;214415 
311829;214412 
314468;214410 
313662;214412 
308934;214412 
311619;214412 
316070;214415 
313356;214412 
309893;214410 
309334;214411 
307939;214411 
309983;214414 
310737;214411 
315688;214409 
306646;214409 
311282;214412 
305645;214412 
311122;214412 
305042;214412 
309397;214412 
311956;214412 
312103;214410 
308506;214410 
307392;214413 
311703;214413 
303501;214410 
313343;214412 
308937;214409 
309882;214413 
308130;214410 
310107;214410 
311641;214411 
308263;214411 
311917;214413 
309032;214412 
308991;214412 
310443;214411 
311194;214410 
313841;214413 
312198;214412 
314440;214413 
306190;214413 
306714;214412 
312977;214410 
308939;214413 
305929;214413 
307205;214414 
307829;214409 
310146;214412 
307183;214412 
310248;214410 
310831;214413 
306349;214413 
315020;214414 
314604;214411 
311421;214411 
313153;214413 
309909;214414 
305229;214412 
307675;214411 
313472;214413 
309546;214412 
306484;214413 
310302;214410 
314043;214417 
306944;214411 
308135;214414 
308809;214413 
312660;214413 
306548;214414 
311225;214410 
309366;214410 
306802;214411 
312629;214412 
305833;214415 
308634;214416 
305677;214412 
309906;214411 
306848;214409 
316329;214412 
314154;214412 
310753;214412 
309018;214410 
304999;214411 
309726;214413 
306656;214410 
310491;214416 
311415;214411 
309741;214409 
310486;214410 
310381;214413 
307263;214412 
307613;214413 
309237;214411 
310395;214411 
307900;214411 
308012;214409 
314379;214411 
310806;214411 
311255;214411 
305352;214412 
311105;214413 
309204;214411 
307714;214411 
314477;214413 
315340;214410 
307922;214414 
305926;214412 
313263;214410 
305480;214412 
312185;214413 
308289;214411 
311792;214412 
315208;214417 
307297;214410 
311169;214411 
309151;214410 
310959;214413 
317903;214412 
311206;214409 
309945;214412 
309519;214412 
311396;214411 
309899;214412 
307338;214410 
305436;214410 
308492;214415 
306242;214409 
312146;214412 
311324;214411 
307573;214409 
307774;214410 
312076;214410 
310252;214412 
308417;214410 
311215;214415 
311452;214409 
312702;214412 
311098;214410 
306896;214410 
309767;214411 
313177;214412 
317053;214413 
311331;214413 
310206;214412 
307960;214410 
309928;214410 
312098;214414 
311153;214412 
310019;214410 
310473;214413 
308798;214411 
304517;214411 
306911;214415 
310827;214411 
312329;214412 
309740;214410 
314061;214411 
307874;214411 
310158;214412 
309494;214411 
312305;214411 
310728;214415 
313646;214412 
308419;214412 
311710;214410 
305978;214410 
307408;214413 
313413;214408 
315543;214412 
312665;214413 
307157;214412 
310962;214410 
311422;214410 
308830;214411 
319261;214410 
312149;214412 
309807;214413 
310084;214410 
309511;214411 
308976;214410 
313993;214413 
311054;214415 
307984;214412 
306979;214413 
311595;214413 
310569;214412 
308068;214413 
314800;214410 
308795;214411 
308955;214411 
309949;214414 
308783;214413 
310291;214412 
312812;214413 
307579;214411 
311023;214412 
309255;214410 
310160;214410 
308329;214410 
312918;214413 
308662;214410 
308903;214412 
307704;214412 
306777;214414 
308259;214411 
312037;214410 
313702;214414 
310303;214412 
309215;214412 
305171;214412 
310870;214414 
307222;214411 
316176;214410 
311378;214411 
310391;214415 
308036;214413 
313387;214409 
303667;214410 
309200;214410 
309256;214412 
307654;214411 
312775;214414 
307587;214410 
308654;214414 
308830;214411 
308242;214411 
311151;214410 
312149;214408 
313363;214411 
310402;214412 
313919;214413 
305988;214409 
312317;214411 
304638;214409 
314803;214410 
310470;214412 
305923;214411 
312893;214412 
310510;214412 
309389;214411 
310059;214410 
309466;214413 
311182;214414 
309704;214415 
307875;214410 
309480;214411 
308136;214411 
310020;214412 
312631;214412 
