CYCLES;INS
310675;214411 
307796;214410 
310405;214410 
307797;214414 
315249;214410 
305784;214410 
310085;214413 
306703;214410 
307767;214409 
307113;214411 
308842;214411 
311652;214413 
309555;214413 
311905;214412 
310896;214412 
309906;214413 
310845;214411 
305408;214412 
303654;214410 
310081;214413 
310378;214413 
312958;214411 
309199;214416 
310941;214413 
311612;214412 
311262;214412 
308734;214412 
313110;214412 
310594;214413 
310905;214410 
311216;214414 
310094;214411 
309498;214409 
318184;214412 
314226;214411 
313363;214414 
310598;214409 
308108;214411 
307607;214411 
308555;214411 
309494;214412 
303939;214410 
307845;214412 
307503;214409 
308979;214412 
311710;214411 
314793;214413 
313668;214409 
308962;214411 
309396;214413 
312461;214411 
313221;214413 
309346;214411 
309406;214412 
307946;214411 
306937;214411 
311022;214413 
313951;214415 
309981;214412 
310007;214410 
309519;214412 
313267;214410 
308181;214409 
310435;214412 
308378;214411 
310036;214410 
310173;214413 
308456;214410 
305903;214411 
307326;214412 
306681;214412 
309901;214410 
310546;214410 
309112;214411 
308200;214408 
311107;214413 
305486;214410 
309394;214411 
305597;214415 
310311;214412 
309132;214412 
311144;214409 
310802;214412 
315003;214411 
308765;214410 
310643;214410 
309602;214413 
315136;214411 
309179;214412 
316251;214411 
312268;214410 
308929;214413 
305458;214408 
305587;214411 
314100;214411 
308756;214411 
310014;214409 
314563;214417 
309984;214412 
312322;214410 
311327;214412 
306989;214411 
309325;214411 
306543;214411 
310008;214409 
311154;214409 
310339;214411 
304544;214412 
308901;214418 
310600;214410 
313267;214411 
311075;214412 
310807;214410 
309959;214413 
309909;214408 
312090;214411 
312133;214411 
311440;214412 
310662;214412 
305668;214414 
307098;214412 
309917;214410 
309973;214411 
307864;214411 
305434;214413 
309318;214411 
305102;214411 
311116;214409 
307441;214411 
309587;214410 
314100;214418 
306030;214410 
305254;214416 
312549;214411 
314514;214410 
314574;214413 
308526;214409 
311217;214411 
310988;214413 
312991;214410 
305226;214413 
310001;214415 
306216;214412 
304909;214412 
309558;214411 
311460;214412 
