CYCLES;INS
306854;214411 
308598;214411 
307577;214410 
306828;214412 
309300;214412 
306381;214413 
310219;214413 
307834;214410 
307549;214411 
309823;214410 
310326;214409 
314058;214412 
308035;214409 
308833;214409 
308854;214410 
307859;214413 
309907;214414 
311401;214413 
309085;214409 
308773;214412 
310606;214411 
308682;214412 
306876;214410 
309329;214411 
308404;214414 
307011;214413 
307572;214412 
306366;214409 
307060;214412 
308826;214411 
307131;214412 
307832;214413 
308353;214415 
308762;214412 
307553;214413 
306786;214412 
309982;214419 
309255;214408 
308100;214412 
310900;214410 
308589;214414 
308297;214413 
307570;214411 
306164;214412 
307809;214413 
309180;214410 
313603;214412 
307242;214411 
308269;214411 
309823;214414 
308748;214409 
311825;214410 
315334;214419 
311100;214412 
313277;214410 
307043;214412 
307731;214412 
307110;214410 
308567;214413 
308516;214410 
308529;214413 
312578;214413 
307615;214412 
309481;214410 
309581;214410 
308988;214416 
311928;214410 
308070;214413 
310149;214411 
309139;214415 
308562;214410 
311494;214411 
307955;214411 
309666;214411 
309479;214411 
308886;214413 
307976;214413 
311199;214416 
307513;214414 
308577;214410 
309994;214413 
309761;214414 
309851;214410 
307634;214409 
309525;214411 
306331;214410 
308081;214413 
310006;214413 
308738;214411 
307776;214410 
308656;214412 
310687;214411 
309007;214411 
308263;214415 
306848;214411 
307561;214409 
310548;214410 
308243;214411 
309509;214413 
307040;214412 
309407;214409 
307584;214411 
310404;214415 
308171;214411 
310638;214411 
308374;214411 
308719;214410 
311084;214412 
308151;214409 
309928;214412 
306735;214411 
307658;214413 
307442;214409 
309403;214410 
307738;214413 
308007;214411 
308492;214411 
305800;214409 
308697;214414 
306099;214411 
309296;214412 
308241;214412 
311185;214415 
310551;214412 
310474;214413 
316100;214409 
307735;214412 
308071;214412 
308194;214412 
312194;214413 
309395;214411 
307983;214414 
313124;214411 
306795;214410 
309934;214411 
307638;214413 
307325;214412 
307672;214411 
308265;214410 
306747;214413 
307453;214410 
307144;214411 
312349;214414 
308192;214413 
309193;214411 
308501;214411 
307348;214416 
308271;214409 
310922;214412 
313780;214412 
307045;214410 
310584;214413 
307479;214413 
308023;214411 
309294;214413 
310958;214411 
308395;214409 
311542;214414 
309750;214414 
308954;214411 
313189;214410 
307429;214412 
307157;214411 
307566;214412 
310220;214412 
308423;214411 
309638;214411 
309711;214414 
309120;214415 
307791;214413 
309452;214412 
308253;214412 
307467;214411 
310509;214411 
312761;214413 
312467;214412 
313258;214411 
307944;214411 
308385;214411 
309973;214410 
308302;214411 
310619;214410 
308873;214411 
312108;214417 
308855;214413 
308534;214411 
306321;214412 
308266;214417 
308122;214412 
307174;214412 
314156;214410 
313934;214412 
311989;214409 
307697;214411 
309873;214409 
309747;214412 
307941;214413 
310656;214412 
310461;214411 
308549;214414 
307975;214412 
312062;214411 
306869;214411 
306958;214410 
308493;214410 
308951;214412 
309832;214412 
310712;214412 
311000;214410 
308318;214410 
308067;214414 
308133;214411 
307922;214412 
306731;214410 
307318;214411 
307849;214412 
306799;214411 
308628;214414 
310967;214412 
307660;214412 
307666;214409 
312556;214410 
309641;214413 
307639;214414 
310288;214413 
308707;214414 
312087;214410 
308980;214412 
306264;214412 
307738;214411 
308661;214411 
309325;214412 
311502;214412 
308491;214412 
308334;214411 
308820;214412 
306396;214412 
308867;214410 
309383;214411 
308513;214408 
308634;214411 
310417;214412 
307685;214410 
309104;214410 
311279;214411 
308653;214415 
308593;214412 
309756;214413 
307581;214410 
307812;214412 
307661;214411 
308081;214409 
306319;214409 
309856;214412 
307614;214412 
307748;214412 
306801;214411 
310938;214417 
308774;214410 
308706;214411 
309079;214411 
309391;214414 
309390;214409 
309737;214413 
308255;214410 
307962;214411 
309375;214410 
308150;214411 
309034;214411 
309043;214412 
309655;214412 
306772;214411 
307296;214413 
311494;214413 
307441;214412 
307922;214410 
308036;214411 
308531;214412 
309477;214414 
309026;214411 
307879;214411 
306353;214410 
308442;214409 
308037;214412 
308305;214409 
309536;214411 
307510;214414 
307475;214411 
310478;214410 
310271;214411 
306362;214412 
309346;214411 
309861;214412 
307963;214410 
307459;214410 
309139;214411 
310372;214411 
307297;214413 
310354;214416 
307693;214412 
310380;214411 
307287;214411 
309962;214414 
308668;214410 
309162;214410 
312437;214409 
307791;214413 
308608;214411 
307978;214409 
308123;214410 
309327;214411 
308293;214411 
307799;214413 
307788;214408 
308570;214416 
308898;214414 
308707;214409 
308728;214411 
307189;214412 
312803;214411 
309042;214414 
307588;214411 
307308;214410 
309544;214412 
307353;214410 
307286;214411 
307527;214409 
308565;214409 
308446;214411 
307997;214411 
309648;214412 
315256;214410 
308011;214410 
306481;214411 
308948;214413 
308988;214410 
308097;214417 
308307;214411 
311866;214412 
306929;214414 
307409;214410 
309109;214411 
307449;214411 
306725;214413 
307299;214413 
310076;214411 
308630;214410 
308992;214409 
308148;214412 
308316;214411 
306088;214413 
310900;214412 
307519;214413 
307804;214410 
307755;214413 
306828;214409 
307647;214412 
311136;214410 
307393;214412 
309336;214410 
309087;214410 
310400;214412 
310152;214412 
307113;214412 
307641;214412 
311916;214413 
306848;214411 
309604;214411 
307074;214412 
308653;214411 
309969;214412 
312463;214414 
311961;214410 
306510;214409 
307781;214410 
306586;214414 
307427;214411 
310109;214411 
309111;214411 
309655;214412 
308906;214412 
307296;214411 
308518;214410 
306965;214408 
308607;214410 
307485;214410 
308187;214410 
307415;214413 
307752;214412 
308544;214411 
308612;214411 
310821;214415 
308667;214412 
307990;214411 
306521;214411 
306751;214412 
307483;214410 
309596;214411 
314298;214411 
308834;214409 
313763;214414 
308554;214412 
308592;214411 
305682;214409 
307784;214409 
308284;214411 
308974;214413 
310119;214408 
308456;214411 
308414;214412 
308454;214410 
309037;214412 
309627;214414 
308580;214411 
308200;214411 
310584;214412 
310383;214411 
306650;214408 
307707;214411 
309545;214411 
308659;214412 
310225;214412 
309156;214412 
307156;214413 
308595;214411 
309882;214411 
306959;214409 
307359;214409 
313231;214415 
306414;214409 
308269;214410 
309540;214410 
307408;214413 
309457;214413 
310200;214414 
309119;214413 
307647;214412 
311563;214412 
309322;214410 
307672;214410 
309486;214411 
308460;214411 
308225;214412 
307639;214410 
308517;214416 
308816;214412 
308149;214410 
310579;214410 
307181;214411 
309673;214410 
308728;214409 
308821;214409 
306077;214411 
308434;214412 
309338;214415 
306774;214411 
310135;214411 
309467;214414 
309198;214409 
309175;214411 
307552;214413 
307904;214412 
309449;214412 
316671;214412 
309893;214413 
311240;214410 
307127;214409 
308429;214412 
308517;214409 
311866;214412 
306485;214413 
309469;214411 
309835;214411 
313466;214411 
307053;214413 
313046;214411 
309771;214414 
307927;214412 
308191;214412 
306723;214411 
316450;214413 
308885;214409 
308523;214408 
310212;214412 
310023;214412 
308733;214409 
312222;214410 
309388;214413 
311448;214410 
307198;214412 
307126;214409 
307142;214413 
309673;214413 
306905;214411 
307876;214409 
308116;214412 
313457;214411 
306915;214412 
309891;214409 
307673;214416 
316501;214411 
309744;214411 
307578;214410 
308383;214411 
309015;214412 
308581;214413 
309679;214411 
312975;214412 
308977;214412 
307849;214411 
307131;214410 
313224;214412 
307772;214416 
307574;214410 
309343;214413 
308165;214414 
307083;214410 
307101;214411 
309587;214417 
309514;214412 
312221;214411 
306489;214412 
308870;214411 
306912;214410 
308545;214412 
307751;214410 
308388;214411 
310372;214413 
306540;214412 
307424;214410 
306290;214412 
308063;214412 
307350;214412 
306998;214408 
309578;214410 
307499;214411 
308176;214412 
307261;214412 
306946;214409 
309120;214413 
311559;214414 
308345;214412 
311343;214411 
308904;214412 
307560;214411 
310318;214411 
309258;214414 
310512;214411 
307698;214414 
311481;214409 
309798;214411 
307653;214409 
313861;214410 
308316;214413 
308913;214411 
307517;214412 
307152;214414 
308363;214412 
309946;214413 
308126;214410 
310759;214411 
309057;214415 
309693;214410 
306805;214411 
307734;214413 
308146;214417 
305518;214412 
308692;214413 
306647;214413 
308291;214413 
311409;214412 
308749;214409 
308720;214409 
306672;214411 
309904;214411 
308208;214410 
309466;214410 
308288;214410 
307646;214411 
308725;214409 
307995;214412 
308840;214415 
308702;214412 
308543;214411 
313217;214416 
307937;214414 
308399;214412 
307869;214410 
315232;214412 
307753;214410 
315134;214413 
308144;214412 
309908;214412 
308120;214413 
306643;214411 
308798;214409 
311760;214411 
309551;214414 
308074;214410 
307568;214415 
306594;214411 
310690;214411 
307144;214409 
311375;214411 
310967;214409 
308797;214409 
312878;214412 
309862;214410 
306748;214412 
307997;214411 
308125;214412 
309355;214410 
312456;214412 
310929;214410 
307564;214409 
307964;214411 
307413;214410 
307631;214413 
307778;214410 
308221;214412 
308156;214412 
310850;214411 
308149;214414 
311551;214413 
308396;214411 
306726;214414 
308285;214413 
309000;214409 
310210;214411 
307333;214410 
307678;214410 
307104;214411 
307065;214412 
306715;214412 
307907;214411 
308651;214410 
308179;214410 
307694;214412 
309522;214412 
308037;214412 
308145;214412 
312227;214411 
306722;214414 
307334;214410 
308347;214413 
307750;214412 
308443;214412 
308770;214409 
307401;214413 
307560;214411 
311461;214411 
308089;214411 
306569;214414 
309063;214410 
308411;214410 
308528;214411 
308707;214412 
305616;214409 
307689;214411 
306303;214411 
308919;214412 
310630;214412 
