CYCLES;INS
309788;214412 
307709;214411 
315044;214409 
310427;214415 
313856;214414 
313835;214411 
311367;214408 
306781;214412 
308317;214412 
308985;214412 
310516;214412 
312793;214414 
308033;214412 
311216;214411 
314284;214411 
313847;214410 
307537;214413 
311835;214411 
309397;214410 
311925;214411 
311660;214409 
309975;214413 
313061;214414 
306685;214412 
311544;214411 
312814;214412 
306439;214410 
310426;214413 
308494;214410 
310309;214410 
308446;214410 
308141;214411 
308632;214412 
311424;214414 
306758;214412 
311950;214412 
315429;214411 
304643;214410 
313011;214415 
311657;214411 
315125;214411 
309230;214411 
309622;214410 
304500;214409 
312411;214417 
307687;214411 
310684;214413 
313356;214410 
319050;214410 
304909;214413 
306292;214411 
307458;214411 
313127;214411 
311039;214410 
308145;214412 
306876;214414 
310318;214412 
310800;214412 
312057;214411 
310882;214412 
311277;214412 
309871;214410 
310113;214413 
307773;214411 
305845;214412 
305158;214414 
310636;214416 
310355;214412 
312825;214412 
313588;214410 
308483;214410 
309444;214411 
308147;214410 
313294;214413 
313731;214411 
312306;214410 
308494;214411 
308657;214416 
311987;214412 
312533;214413 
310983;214410 
309785;214411 
307493;214415 
309258;214412 
304646;214411 
310840;214412 
306378;214410 
307796;214409 
307745;214413 
310129;214411 
314783;214411 
308728;214410 
311585;214408 
309710;214411 
311899;214414 
303927;214410 
307448;214409 
313263;214413 
310205;214411 
308562;214412 
313189;214411 
312408;214416 
311949;214409 
316627;214410 
310446;214414 
317262;214412 
311392;214412 
310629;214411 
311184;214410 
304615;214410 
314807;214410 
307160;214412 
308378;214412 
311895;214410 
309346;214410 
307559;214413 
311415;214413 
311845;214411 
310352;214410 
309672;214410 
308092;214413 
309295;214414 
310546;214412 
309223;214414 
310714;214414 
312102;214411 
309718;214412 
309569;214410 
310161;214411 
311395;214411 
306021;214410 
306021;214413 
307893;214413 
306973;214411 
308128;214415 
306138;214411 
312582;214411 
311735;214410 
312204;214410 
310805;214412 
309192;214413 
311527;214413 
308072;214411 
307018;214409 
311827;214411 
310046;214412 
312062;214412 
310169;214412 
310397;214411 
305751;214415 
307715;214410 
312279;214411 
304147;214414 
314948;214411 
309641;214410 
311372;214411 
313922;214413 
309160;214412 
306406;214411 
309023;214412 
310779;214411 
310919;214413 
313515;214411 
314943;214412 
310678;214411 
318222;214414 
308560;214411 
309963;214410 
314836;214413 
311516;214412 
310063;214411 
309809;214411 
305342;214413 
315398;214413 
307848;214414 
308647;214412 
314288;214412 
309793;214409 
307382;214411 
315528;214411 
310560;214413 
314762;214413 
310034;214413 
311342;214416 
312600;214410 
310660;214412 
310652;214411 
311819;214411 
311335;214413 
309174;214416 
320883;214411 
305121;214413 
308931;214414 
305304;214412 
311403;214413 
311020;214414 
309386;214412 
307191;214411 
309266;214410 
309327;214411 
310321;214414 
305092;214412 
307534;214412 
308371;214413 
310372;214413 
307760;214410 
306162;214412 
304987;214411 
311087;214412 
310939;214411 
310557;214411 
311241;214412 
315853;214409 
307192;214412 
308519;214412 
312436;214409 
310663;214412 
310360;214412 
311583;214412 
310966;214413 
311586;214410 
310671;214413 
307422;214414 
311605;214412 
305465;214411 
311312;214414 
311523;214414 
312188;214413 
305749;214411 
311374;214412 
309903;214411 
310790;214413 
307561;214411 
316252;214411 
315969;214410 
310007;214413 
312627;214411 
310546;214411 
307031;214412 
310777;214410 
312917;214411 
307578;214409 
308499;214410 
309677;214412 
309257;214412 
312754;214410 
314427;214410 
306749;214412 
311407;214410 
305135;214411 
311712;214416 
311520;214413 
310463;214412 
314131;214409 
311483;214412 
310656;214414 
311051;214412 
310981;214411 
309753;214411 
309903;214413 
311817;214412 
307796;214411 
311206;214413 
308732;214410 
306275;214411 
308810;214409 
309648;214411 
311507;214412 
312264;214414 
307962;214412 
305386;214413 
306605;214414 
307548;214414 
306407;214416 
310606;214411 
317216;214410 
312951;214410 
307541;214409 
309764;214410 
308869;214413 
312800;214410 
312424;214411 
309308;214414 
308043;214408 
313023;214412 
311944;214414 
313180;214411 
311854;214408 
309035;214411 
315344;214411 
310366;214412 
309890;214411 
309336;214413 
315171;214411 
311429;214412 
310249;214414 
312310;214411 
313211;214411 
312284;214411 
307755;214411 
304577;214410 
311364;214411 
310489;214412 
308547;214411 
308239;214412 
308947;214411 
313945;214414 
311976;214413 
309099;214411 
308468;214411 
311831;214411 
313220;214411 
310014;214411 
312432;214411 
309327;214411 
311939;214413 
303831;214411 
309067;214415 
308586;214411 
317140;214411 
310286;214412 
310350;214412 
312051;214414 
311399;214411 
309742;214413 
311039;214410 
309340;214413 
311539;214411 
311146;214414 
313821;214413 
307614;214413 
312961;214415 
308311;214410 
312707;214415 
310321;214412 
310234;214410 
308068;214410 
309966;214412 
308880;214410 
308481;214411 
310689;214412 
309981;214412 
310075;214410 
309915;214411 
308821;214411 
310194;214413 
307379;214411 
311469;214410 
