CYCLES;INS
195797;135417 
196962;135418 
195590;135419 
195625;135419 
195306;135417 
195167;135416 
195856;135422 
197188;135417 
195225;135418 
195616;135419 
197014;135417 
197051;135417 
195481;135416 
195154;135419 
197716;135418 
195827;135418 
195542;135417 
195856;135416 
197233;135417 
194970;135421 
196683;135422 
196047;135420 
195839;135419 
195812;135419 
196125;135419 
195258;135422 
197669;135419 
195302;135421 
197663;135418 
195837;135418 
197769;135419 
196753;135418 
195693;135419 
195628;135418 
196947;135418 
197570;135418 
195412;135418 
196964;135417 
195824;135418 
195596;135417 
196100;135417 
198109;135420 
195623;135417 
197063;135419 
197120;135416 
195249;135420 
195336;135416 
195746;135417 
197144;135420 
196450;135417 
196844;135418 
197622;135418 
195360;135418 
197608;135417 
195600;135417 
195526;135416 
197252;135418 
195182;135417 
195135;135418 
196340;135416 
195609;135418 
198347;135415 
196752;135415 
195141;135419 
195699;135420 
196645;135417 
195236;135418 
195050;135418 
197278;135422 
195423;135417 
195203;135417 
195776;135418 
195773;135417 
195363;135417 
197572;135418 
197377;135419 
195590;135418 
197438;135419 
195758;135421 
195091;135418 
196649;135422 
197643;135419 
195653;135416 
195172;135418 
196702;135420 
195302;135418 
195816;135416 
195986;135418 
197171;135418 
199952;135419 
196105;135420 
195594;135419 
196553;135417 
195990;135416 
195314;135418 
195841;135419 
195016;135419 
195278;135417 
195717;135420 
195290;135418 
196152;135419 
195569;135419 
196397;135417 
195354;135415 
195081;135418 
195414;135418 
196864;135417 
196576;135418 
194864;135419 
195393;135417 
195451;135416 
194961;135417 
197673;135419 
197173;135416 
195479;135418 
195689;135419 
200412;135420 
195324;135416 
196196;135418 
196337;135418 
196847;135420 
197759;135420 
197984;135418 
195834;135419 
197107;135418 
194803;135419 
197811;135417 
195178;135418 
195961;135418 
194747;135416 
195275;135417 
195338;135416 
196192;135417 
195821;135419 
194806;135417 
195463;135418 
195305;135417 
197765;135417 
195552;135417 
196509;135419 
196672;135417 
195172;135418 
195475;135418 
196816;135417 
196068;135419 
197591;135419 
197623;135418 
195501;135416 
196236;135417 
196275;135419 
195193;135417 
196854;135416 
195146;135418 
197441;135420 
195048;135417 
197479;135420 
195668;135417 
195514;135418 
195747;135421 
194980;135417 
197257;135419 
197214;135419 
195514;135417 
195814;135417 
197202;135417 
197242;135417 
195239;135417 
197939;135419 
198467;135419 
195576;135418 
195732;135418 
194986;135418 
195392;135420 
195061;135417 
197822;135416 
197312;135418 
196890;135417 
197031;135417 
195409;135417 
195564;135417 
195688;135415 
196078;135417 
198056;135418 
196333;135419 
195892;135418 
196617;135418 
195021;135419 
197410;135417 
195541;135418 
195032;135417 
195411;135417 
195075;135417 
197231;135418 
196176;135417 
196552;135416 
195717;135415 
196331;135419 
195155;135418 
196461;135416 
195949;135417 
195018;135416 
195488;135418 
194909;135419 
195717;135418 
195229;135418 
195467;135419 
196652;135418 
197325;135418 
197555;135418 
195143;135417 
195804;135417 
197443;135417 
196457;135417 
195805;135419 
196944;135420 
196732;135418 
196644;135418 
196649;135416 
198227;135420 
195265;135418 
197410;135417 
195514;135419 
196728;135418 
198423;135419 
195192;135418 
195707;135418 
198971;135420 
196557;135416 
195446;135417 
195293;135421 
197445;135418 
195500;135419 
196732;135416 
195837;135417 
195365;135419 
195830;135419 
197358;135418 
195775;135418 
195998;135419 
197418;135417 
196430;135417 
196385;135418 
196001;135419 
195258;135419 
197288;135418 
195345;135418 
196728;135417 
195149;135418 
195831;135418 
195561;135419 
195942;135417 
195066;135417 
195138;135418 
195204;135415 
196224;135423 
195474;135417 
194716;135417 
195733;135418 
197864;135417 
196306;135419 
195727;135419 
195852;135420 
195267;135419 
195651;135419 
197227;135440 
196002;135419 
195464;135419 
194997;135417 
197589;135415 
195969;135417 
195250;135416 
195323;135419 
195405;135417 
195792;135416 
196593;135417 
198085;135418 
196318;135420 
197500;135418 
196887;135418 
195323;135417 
195682;135417 
195376;135420 
196797;135418 
195553;135418 
195962;135420 
194939;135416 
201131;135417 
195134;135417 
198512;135417 
197149;135416 
197372;135419 
195394;135418 
195330;135418 
195674;135417 
196243;135420 
197500;135418 
195607;135417 
195315;135420 
196938;135420 
196000;135418 
194740;135418 
196276;135419 
195366;135417 
195320;135417 
195661;135418 
196622;135418 
194883;135417 
196187;135419 
195529;135418 
198580;135422 
195634;135419 
195589;135418 
196099;135418 
198179;135421 
195337;135416 
195043;135417 
195418;135417 
197019;135419 
195181;135417 
195325;135417 
197817;135419 
196798;135417 
197194;135419 
196682;135419 
198559;135421 
196651;135418 
195776;135418 
195609;135420 
195255;135417 
196398;135418 
196858;135415 
195683;135417 
195625;135421 
196082;135417 
194711;135420 
195897;135418 
195424;135420 
196201;135419 
195830;135417 
196800;135418 
194700;135416 
195708;135419 
196090;135416 
195835;135419 
195296;135419 
198265;135419 
195514;135418 
195473;135417 
195546;135421 
195437;135417 
195037;135417 
195565;135418 
195469;135419 
195548;135418 
195599;135419 
196311;135418 
195908;135419 
195911;135417 
196017;135418 
198311;135417 
197139;135417 
195416;135417 
195701;135421 
197532;135419 
197239;135420 
194679;135416 
195694;135418 
195194;135418 
195301;135421 
195357;135418 
196147;135417 
197326;135419 
196157;135418 
195700;135417 
196309;135416 
198130;135417 
195590;135418 
195100;135420 
198037;135420 
194963;135418 
194944;135416 
197869;135419 
195432;135417 
195889;135419 
195358;135416 
197756;135419 
195179;135417 
197150;135419 
197203;135418 
197382;135420 
197368;135419 
195461;135420 
195305;135418 
197074;135418 
195604;135416 
197292;135417 
195253;135417 
196798;135416 
196464;135419 
194945;135417 
195609;135416 
195410;135418 
195724;135416 
195240;135421 
196004;135418 
198340;135418 
196159;135418 
196684;135417 
197213;135417 
195776;135417 
195679;135416 
195582;135419 
195499;135417 
197901;135418 
197525;135419 
195045;135418 
196227;135419 
195197;135418 
195029;135418 
194763;135417 
195842;135419 
195479;135420 
198744;135416 
195078;135420 
195774;135417 
195998;135417 
195049;135418 
197669;135419 
195662;135417 
195863;135418 
196279;135418 
195380;135418 
195827;135417 
195154;135417 
195357;135417 
194997;135417 
195557;135419 
195384;135417 
194846;135418 
200234;135417 
195371;135417 
195592;135420 
197772;135419 
195843;135418 
195468;135420 
195649;135418 
195739;135418 
195202;135417 
195368;135418 
196023;135417 
195142;135422 
195016;135420 
195759;135418 
195152;135417 
195451;135418 
195886;135421 
195657;135418 
195341;135418 
197049;135418 
195397;135418 
198079;135417 
195835;135416 
195166;135419 
194887;135417 
195901;135418 
196716;135419 
197509;135421 
195923;135419 
196082;135419 
195544;135419 
195454;135420 
196219;135419 
194940;135418 
197599;135418 
196789;135416 
195143;135417 
195100;135417 
197274;135417 
196383;135419 
195370;135418 
196486;135419 
194613;135417 
198622;135418 
196427;135417 
195849;135418 
195516;135417 
195864;135421 
195234;135421 
197348;135419 
195689;135419 
194493;135419 
195159;135416 
196622;135418 
196575;135420 
196029;135419 
195497;135419 
195321;135419 
197572;135418 
196053;135418 
195003;135418 
195247;135421 
196196;135419 
196882;135418 
198767;135418 
195640;135418 
196954;135420 
195942;135416 
195182;135418 
195721;135416 
197460;135418 
195340;135418 
194835;135418 
195663;135419 
194874;135417 
195431;135418 
195529;135419 
196498;135420 
195264;135417 
194972;135418 
195813;135417 
195818;135419 
195609;135417 
194661;135418 
195915;135418 
195615;135418 
194756;135416 
195088;135417 
195636;135418 
196105;135422 
197832;135417 
195546;135417 
195334;135422 
197729;135421 
196174;135417 
195414;135418 
195559;135417 
195218;135419 
195396;135417 
196242;135416 
196198;135418 
195679;135421 
196058;135418 
198088;135418 
195004;135418 
195524;135419 
195185;135417 
195200;135418 
195948;135419 
195916;135420 
197559;135420 
194659;135416 
197185;135417 
194393;135418 
198089;135420 
195677;135418 
195708;135419 
195800;135418 
194890;135420 
195471;135418 
195578;135420 
196548;135418 
197306;135418 
197773;135417 
197712;135417 
196345;135416 
194888;135417 
195433;135419 
196471;135421 
196824;135417 
195303;135418 
198931;135416 
195230;135416 
195091;135418 
194922;135418 
199273;135416 
197281;135417 
195264;135419 
197223;135418 
195588;135417 
195514;135420 
197551;135418 
196203;135421 
194953;135419 
195432;135420 
195042;135418 
195937;135418 
194764;135419 
194970;135420 
195850;135420 
195527;135418 
195190;135420 
196880;135417 
195894;135420 
197023;135418 
195775;135418 
195409;135416 
195426;135419 
196622;135419 
195823;135418 
197111;135418 
195938;135416 
195563;135417 
195698;135418 
196033;135418 
195876;135417 
196719;135417 
195149;135420 
195979;135419 
195698;135421 
195193;135417 
195973;135418 
197458;135418 
195240;135418 
196083;135418 
198394;135418 
195619;135418 
195931;135418 
195350;135417 
195574;135418 
195456;135417 
195576;135419 
195628;135417 
195603;135421 
195873;135418 
195787;135418 
197886;135421 
197834;135419 
195518;135419 
197222;135417 
195525;135420 
196507;135419 
195496;135417 
195183;135417 
197352;135420 
195764;135418 
195420;135418 
195157;135419 
195417;135417 
195439;135418 
195638;135418 
195477;135417 
194964;135417 
196572;135419 
198434;135418 
195501;135417 
197815;135421 
195172;135418 
198194;135417 
197700;135418 
196169;135419 
194934;135418 
195545;135419 
195611;135417 
197695;135418 
195404;135418 
195458;135417 
195648;135418 
196270;135421 
195897;135419 
197618;135417 
195220;135418 
198645;135419 
197222;135417 
195890;135418 
195438;135419 
195119;135418 
195366;135419 
195701;135419 
195654;135417 
196681;135417 
196425;135419 
198062;135417 
197388;135418 
196458;135418 
194897;135418 
197112;135419 
195179;135417 
196556;135417 
197192;135416 
196550;135417 
196228;135421 
195725;135422 
195566;135417 
195760;135418 
196463;135416 
196107;135417 
195098;135417 
197219;135418 
194839;135420 
197535;135418 
196764;135417 
196847;135416 
195399;135417 
196320;135416 
195883;135419 
195266;135418 
198401;135419 
196082;135420 
195249;135418 
195278;135419 
195823;135419 
195508;135419 
197094;135417 
197894;135419 
199602;135420 
196056;135421 
195258;135417 
195721;135416 
195395;135417 
195996;135417 
195030;135417 
197640;135420 
196190;135417 
196695;135418 
198653;135419 
197693;135419 
195464;135419 
195413;135418 
196367;135418 
195765;135419 
194918;135420 
197632;135416 
194820;135418 
197333;135421 
196588;135417 
196646;135418 
197865;135417 
195482;135418 
195059;135418 
197914;135419 
196083;135419 
194962;135417 
195529;135419 
195175;135417 
195260;135418 
194565;135416 
195089;135421 
196675;135417 
198149;135416 
195869;135416 
195796;135416 
208138;135416 
196094;135416 
197418;135418 
197192;135419 
195083;135418 
197925;135417 
195578;135416 
195034;135419 
195568;135417 
195387;135418 
195526;135418 
197066;135417 
196985;135418 
195018;135418 
196575;135420 
196946;135418 
196867;135418 
196179;135416 
195775;135419 
195567;135418 
195265;135418 
195014;135418 
195562;135417 
197978;135419 
195216;135419 
196000;135420 
195409;135419 
196010;135419 
195113;135418 
197548;135419 
195443;135419 
195315;135418 
195773;135420 
196075;135420 
195925;135418 
195305;135417 
195189;135418 
195930;135417 
195955;135418 
197719;135418 
195114;135418 
200860;135420 
194983;135417 
195698;135417 
196754;135418 
195784;135419 
195312;135417 
195411;135417 
195030;135418 
195547;135417 
195255;135417 
195281;135417 
194975;135418 
197387;135424 
196751;135418 
197122;135417 
195191;135417 
195522;135418 
195261;135416 
194706;135419 
195751;135418 
196120;135419 
195312;135416 
195524;135418 
196429;135416 
195844;135419 
197137;135417 
196956;135418 
194538;135418 
195815;135421 
194782;135417 
199279;135421 
195719;135418 
198758;135419 
195262;135418 
198357;135419 
195740;135419 
195684;135418 
195250;135418 
196317;135418 
196654;135418 
195373;135419 
195237;135418 
196087;135418 
195574;135419 
196465;135418 
194975;135417 
195425;135416 
196087;135421 
196105;135417 
195921;135419 
195812;135420 
196906;135423 
196373;135419 
195737;135418 
196216;135418 
194974;135419 
196149;135417 
195397;135419 
195992;135417 
196062;135416 
197906;135417 
195237;135419 
196202;135417 
195233;135418 
195221;135417 
196030;135418 
195202;135418 
197493;135420 
195228;135418 
196842;135419 
197321;135420 
197267;135419 
195805;135419 
197528;135419 
195560;135419 
195452;135417 
197738;135419 
194945;135418 
196533;135418 
195356;135417 
194591;135417 
195816;135417 
198033;135419 
196033;135419 
195715;135420 
197013;135420 
195561;135417 
195462;135418 
198045;135419 
196833;135416 
196219;135422 
194889;135419 
194810;135416 
198131;135418 
197551;135420 
195916;135419 
195502;135418 
198175;135420 
195104;135419 
197300;135417 
195113;135420 
197335;135419 
197487;135417 
195361;135419 
196474;135418 
195749;135417 
195721;135419 
195228;135417 
197237;135421 
195220;135417 
195140;135418 
195284;135416 
195395;135417 
195479;135416 
195208;135417 
195016;135419 
195439;135417 
196178;135417 
196691;135419 
195379;135416 
195020;135417 
195371;135417 
196891;135418 
195419;135419 
195253;135416 
195317;135417 
197752;135420 
195170;135418 
194908;135416 
196146;135420 
196248;135420 
197437;135420 
195539;135420 
195822;135418 
198910;135421 
197370;135419 
196304;135417 
194919;135419 
195130;135419 
197481;135417 
196334;135417 
198468;135416 
195254;135418 
195358;135417 
196630;135417 
195858;135420 
198056;135417 
195150;135418 
195626;135417 
196432;135420 
198603;135417 
195412;135417 
195247;135419 
196816;135418 
197284;135420 
195193;135415 
195426;135419 
196745;135418 
196020;135417 
198034;135417 
195311;135418 
196263;135421 
195004;135416 
198266;135418 
194991;135416 
195875;135419 
197196;135419 
195114;135417 
196425;135418 
195910;135419 
195875;135419 
196863;135417 
197969;135419 
195957;135416 
197130;135416 
197873;135418 
196490;135417 
198171;135419 
195441;135418 
195687;135419 
197405;135418 
194865;135418 
196582;135418 
197823;135419 
197638;135418 
197771;135416 
196226;135417 
196079;135417 
196923;135420 
196269;135418 
197205;135417 
198089;135418 
195296;135418 
195045;135417 
195281;135418 
197771;135417 
195501;135418 
195097;135419 
196119;135417 
196953;135423 
195588;135419 
195163;135418 
195656;135418 
195323;135418 
195415;135420 
197169;135418 
194921;135417 
195338;135419 
196551;135419 
196214;135418 
194968;135419 
197611;135419 
195142;135417 
197418;135419 
197739;135419 
195684;135417 
196602;135422 
196207;135418 
196166;135417 
195377;135421 
196199;135421 
197294;135419 
197290;135418 
197340;135418 
194493;135419 
196821;135418 
195504;135418 
195546;135418 
195738;135418 
196939;135419 
195564;135419 
195246;135421 
198449;135421 
197539;135416 
197592;135417 
195757;135420 
196533;135417 
196680;135418 
195494;135422 
195934;135418 
195530;135419 
196136;135417 
195639;135419 
195757;135416 
196062;135416 
196164;135417 
198692;135420 
196003;135418 
195862;135418 
194775;135418 
195481;135419 
197497;135418 
195675;135417 
195922;135415 
195267;135418 
196061;135419 
196806;135417 
195600;135417 
195325;135417 
197429;135418 
198280;135418 
195304;135416 
197438;135420 
199105;135418 
195455;135418 
196081;135418 
195788;135418 
195280;135419 
195217;135417 
195896;135418 
195151;135417 
196369;135419 
195782;135417 
195656;135418 
195214;135417 
197180;135419 
198793;135419 
195698;135417 
195450;135420 
197338;135420 
195647;135419 
195260;135419 
195731;135419 
195771;135418 
196335;135419 
195581;135419 
195980;135416 
195239;135419 
195409;135415 
196506;135418 
195084;135415 
195687;135418 
195406;135418 
195172;135416 
195072;135418 
196317;135417 
196327;135418 
197141;135418 
195970;135418 
195784;135418 
196094;135418 
196430;135420 
195564;135416 
197240;135419 
196115;135419 
196216;135419 
196047;135418 
195696;135416 
197358;135417 
195202;135416 
195650;135418 
197656;135418 
195288;135416 
196035;135417 
195312;135417 
194936;135416 
