CYCLES;INS
194616;135419 
196425;135423 
195108;135417 
197213;135417 
196038;135418 
196131;135418 
195440;135419 
195798;135422 
196733;135424 
196059;135419 
198381;135420 
195496;135417 
196088;135418 
195818;135417 
195992;135420 
197181;135419 
197551;135417 
194930;135418 
195997;135421 
196295;135421 
197557;135420 
197413;135417 
197813;135419 
195723;135418 
196119;135421 
197187;135420 
200702;135420 
197187;135418 
196550;135417 
197497;135419 
198103;135420 
195422;135417 
195480;135421 
195334;135416 
195851;135422 
195304;135418 
195817;135419 
196991;135417 
198874;135420 
197468;135417 
195121;135418 
196191;135417 
196615;135419 
196030;135419 
195117;135420 
195372;135419 
195343;135418 
195380;135417 
197925;135420 
195237;135417 
195624;135416 
196813;135418 
197538;135419 
196420;135415 
197614;135417 
194694;135417 
195684;135415 
195694;135418 
198622;135416 
197665;135418 
196214;135420 
198694;135419 
195416;135419 
195873;135418 
197222;135419 
195054;135418 
195132;135418 
196311;135418 
195540;135417 
197772;135417 
198140;135418 
195378;135417 
196483;135419 
195641;135418 
196246;135419 
199759;135420 
195356;135417 
196621;135418 
197976;135418 
195912;135417 
196946;135418 
195469;135417 
195597;135418 
195874;135417 
195916;135416 
195198;135421 
196900;135418 
195298;135419 
197089;135418 
195454;135418 
195430;135420 
198137;135416 
195520;135420 
195877;135417 
196118;135418 
195949;135419 
196867;135419 
195859;135419 
194936;135416 
196451;135417 
195614;135417 
196551;135421 
194981;135418 
195398;135417 
197251;135418 
197359;135419 
195249;135417 
195284;135419 
196238;135420 
196336;135419 
195365;135420 
195056;135418 
195555;135420 
195479;135417 
197357;135416 
196981;135418 
195446;135418 
198760;135418 
197319;135418 
195870;135420 
195531;135419 
195505;135419 
197700;135416 
195518;135417 
195782;135418 
196027;135419 
195553;135419 
196765;135419 
195436;135415 
195151;135418 
197926;135420 
195777;135417 
196527;135418 
196743;135416 
195514;135418 
194952;135416 
196999;135418 
197990;135417 
195779;135420 
198313;135417 
196024;135416 
195387;135417 
196523;135417 
195727;135418 
196353;135416 
195656;135420 
197910;135417 
196509;135419 
195430;135419 
195452;135418 
197771;135416 
195703;135416 
197481;135420 
195302;135418 
195936;135417 
196013;135418 
195193;135418 
197890;135416 
197697;135418 
195643;135421 
198110;135417 
196091;135419 
194853;135418 
196321;135419 
195998;135420 
195840;135420 
196355;135419 
195618;135418 
197212;135419 
196164;135417 
197428;135417 
196427;135416 
196749;135422 
195813;135419 
195463;135417 
195949;135418 
197789;135418 
197742;135419 
196042;135418 
195881;135420 
195869;135421 
195857;135421 
196764;135418 
197871;135417 
195163;135422 
195961;135419 
196744;135419 
195594;135419 
195841;135417 
195885;135418 
196734;135418 
197549;135419 
195467;135417 
196093;135420 
197313;135418 
195014;135421 
196091;135419 
196289;135418 
199185;135417 
196202;135417 
196180;135418 
195263;135418 
196064;135421 
197439;135418 
196196;135417 
195519;135419 
194890;135418 
195420;135419 
196924;135419 
195659;135419 
195616;135419 
196165;135418 
197033;135418 
195180;135416 
196976;135419 
196283;135417 
195725;135419 
195125;135417 
196930;135419 
195825;135416 
196989;135415 
195544;135418 
195557;135419 
197447;135418 
196108;135419 
197031;135419 
197430;135419 
195007;135420 
196106;135420 
195623;135420 
195841;135419 
195383;135417 
195426;135418 
197933;135419 
195168;135418 
196010;135419 
196068;135420 
197055;135419 
196236;135419 
197420;135418 
195226;135419 
194750;135416 
195355;135420 
195560;135417 
195219;135419 
195686;135417 
195840;135419 
196854;135417 
196072;135419 
195477;135419 
195839;135421 
194856;135419 
195643;135418 
195687;135417 
195362;135421 
195128;135420 
195817;135418 
195700;135417 
197837;135420 
195724;135417 
195382;135419 
195534;135419 
199323;135420 
198652;135419 
196459;135419 
195660;135420 
196486;135419 
195891;135416 
195020;135416 
195846;135418 
196887;135418 
195055;135418 
197275;135418 
197258;135416 
197373;135419 
195681;135418 
195468;135418 
197193;135418 
196087;135418 
195460;135417 
196929;135420 
195246;135417 
195574;135417 
195724;135419 
198385;135419 
195361;135417 
196396;135417 
197522;135420 
195178;135420 
195616;135417 
195621;135418 
195566;135419 
195830;135423 
196446;135419 
195606;135417 
197755;135418 
195454;135417 
198118;135417 
197673;135419 
196667;135418 
198230;135417 
195366;135418 
197701;135421 
196058;135418 
196121;135418 
197688;135417 
195570;135420 
195762;135420 
195455;135419 
198194;135419 
195566;135418 
195463;135417 
197156;135418 
196446;135419 
197683;135418 
196565;135418 
196775;135417 
196911;135419 
195419;135417 
196304;135417 
195330;135417 
197206;135417 
196127;135418 
196148;135420 
195300;135417 
195554;135417 
196356;135417 
195391;135422 
195923;135419 
198202;135420 
195381;135417 
195578;135419 
195636;135418 
195086;135419 
195185;135418 
195203;135419 
197029;135419 
195034;135417 
195144;135420 
198003;135421 
197232;135419 
195787;135422 
195443;135420 
197051;135420 
197244;135418 
196249;135418 
197974;135420 
195514;135417 
195455;135419 
194780;135418 
197972;135420 
197801;135420 
195856;135421 
196933;135418 
195746;135418 
196549;135417 
195936;135417 
195620;135417 
196541;135419 
198139;135417 
195599;135421 
195682;135416 
197193;135419 
195794;135420 
195855;135417 
195040;135415 
195709;135419 
195081;135415 
195372;135416 
195649;135419 
195296;135421 
195849;135418 
195610;135420 
196640;135421 
198166;135420 
195442;135417 
197068;135416 
196844;135417 
196973;135418 
196771;135418 
196799;135417 
197143;135417 
196224;135423 
196488;135421 
195896;135417 
195740;135418 
195129;135419 
197761;135418 
195291;135418 
