CYCLES;INS
197800;135420 
195612;135418 
196845;135419 
196368;135417 
196867;135419 
195710;135418 
195424;135418 
197914;135417 
195814;135417 
195954;135418 
196489;135419 
195795;135423 
196268;135420 
196611;135419 
196017;135417 
197517;135421 
197251;135418 
196234;135423 
195942;135418 
197926;135418 
196180;135418 
195808;135417 
196514;135418 
198618;135420 
195182;135417 
196347;135417 
197938;135418 
198211;135418 
195862;135419 
194942;135416 
196761;135421 
198285;135419 
196283;135418 
197871;135418 
196028;135418 
195397;135417 
195944;135418 
196248;135417 
195906;135416 
195954;135420 
195835;135417 
196428;135415 
195900;135418 
195622;135417 
199195;135418 
195491;135418 
195529;135416 
195521;135417 
197766;135418 
196118;135418 
198462;135422 
196047;135419 
195627;135418 
197750;135419 
196902;135417 
197559;135418 
196422;135420 
195630;135417 
196154;135418 
195971;135418 
198132;135419 
201314;135420 
197896;135419 
196036;135417 
197697;135417 
198344;135418 
196131;135418 
195546;135418 
195770;135419 
198780;135417 
196331;135419 
198148;135417 
195565;135417 
195611;135419 
196389;135417 
196618;135419 
198520;135417 
195955;135418 
196463;135418 
197952;135417 
196103;135418 
195889;135419 
196367;135419 
197749;135418 
195860;135419 
195714;135417 
196358;135419 
196027;135419 
197284;135418 
195405;135419 
195365;135421 
195886;135418 
195453;135419 
195790;135417 
196104;135418 
196764;135419 
195811;135417 
195697;135418 
199281;135419 
195882;135420 
199958;135417 
195235;135418 
195522;135419 
196175;135418 
195591;135417 
196139;135419 
195957;135420 
198019;135417 
198186;135418 
196976;135417 
195644;135420 
196272;135421 
196368;135417 
195602;135418 
196667;135417 
198717;135417 
195993;135419 
195112;135417 
195712;135419 
196742;135419 
196488;135417 
195406;135418 
195216;135418 
198975;135419 
195980;135418 
197367;135419 
196040;135423 
195788;135416 
196612;135417 
199115;135417 
196919;135417 
196343;135417 
195839;135418 
195943;135418 
197564;135420 
195949;135417 
196004;135417 
195762;135416 
195714;135417 
195672;135417 
197838;135419 
196160;135418 
195972;135417 
197608;135417 
196699;135419 
196096;135422 
196571;135420 
195953;135418 
196456;135419 
198463;135420 
197547;135418 
195957;135419 
196312;135417 
197177;135420 
197411;135417 
197570;135418 
198316;135416 
197458;135417 
196103;135420 
195814;135415 
198494;135421 
195570;135419 
197187;135417 
197796;135418 
196282;135420 
194843;135416 
197561;135418 
197738;135418 
197252;135419 
195920;135421 
195430;135419 
196040;135416 
197634;135419 
196845;135417 
195062;135418 
194916;135417 
196325;135419 
196292;135418 
195986;135419 
197799;135419 
196543;135419 
195761;135417 
198593;135417 
196883;135416 
195786;135417 
198110;135417 
197809;135417 
195187;135419 
197493;135417 
196125;135418 
196020;135418 
196730;135418 
198212;135418 
196185;135415 
196088;135417 
196398;135420 
196556;135417 
195785;135419 
196439;135418 
195970;135419 
195613;135418 
196338;135420 
198265;135419 
198508;135418 
198642;135419 
195838;135419 
195779;135418 
195862;135419 
196073;135417 
195451;135417 
195420;135419 
196247;135418 
196797;135421 
195808;135421 
195692;135417 
197353;135418 
195816;135417 
197245;135416 
195769;135419 
198087;135416 
195696;135417 
195859;135417 
196019;135420 
196405;135419 
195705;135418 
198971;135419 
197593;135417 
195424;135417 
196601;135417 
198078;135420 
198244;135420 
195657;135417 
196176;135420 
195545;135419 
197784;135418 
196447;135419 
195449;135417 
198078;135417 
195990;135419 
197660;135416 
195147;135418 
196187;135420 
197513;135417 
195815;135416 
196272;135418 
196950;135417 
195782;135418 
195942;135416 
195509;135418 
195961;135418 
196808;135418 
195264;135416 
198199;135419 
197640;135419 
195557;135417 
195699;135417 
196262;135420 
196119;135418 
195861;135416 
196125;135418 
198020;135421 
196238;135417 
196034;135417 
197877;135420 
198421;135419 
196589;135418 
197789;135419 
195986;135421 
195765;135418 
195927;135417 
195913;135417 
195890;135419 
195658;135417 
195976;135419 
196584;135417 
195902;135417 
195668;135418 
195955;135418 
195880;135418 
195818;135418 
197587;135420 
195637;135416 
196042;135421 
197937;135420 
196790;135420 
195545;135419 
195833;135419 
195875;135419 
195541;135418 
197832;135417 
196150;135419 
195694;135417 
195598;135420 
196211;135418 
196115;135418 
196410;135420 
195796;135418 
195757;135418 
195520;135420 
195929;135417 
195922;135417 
196901;135419 
195861;135415 
195805;135418 
196087;135418 
196791;135418 
195688;135418 
196267;135420 
195814;135419 
195746;135418 
197314;135418 
195786;135419 
196314;135419 
196023;135420 
196533;135419 
195420;135417 
195343;135419 
195661;135418 
197722;135420 
195753;135418 
198192;135420 
196070;135416 
196163;135418 
195618;135418 
195576;135418 
196218;135418 
195194;135416 
195826;135418 
197884;135419 
197056;135420 
195106;135421 
196287;135418 
197233;135421 
196087;135418 
197885;135418 
196189;135417 
196140;135417 
196214;135418 
196128;135417 
195434;135416 
196865;135417 
195477;135417 
195908;135416 
195802;135418 
198707;135417 
198514;135418 
195938;135420 
195702;135417 
195735;135417 
196516;135417 
197188;135419 
196966;135418 
196432;135418 
195259;135417 
196366;135418 
197440;135418 
196269;135417 
195750;135418 
195234;135418 
197213;135418 
195443;135420 
196274;135417 
195966;135418 
196321;135420 
196483;135418 
195839;135416 
196696;135417 
195862;135419 
195723;135418 
195682;135417 
196447;135419 
196363;135419 
195235;135417 
196210;135417 
195485;135418 
197315;135419 
196295;135419 
197032;135417 
196529;135421 
195632;135416 
197403;135419 
195543;135416 
195867;135418 
196480;135421 
198662;135418 
195585;135417 
195848;135420 
199007;135419 
195531;135417 
198327;135417 
195351;135421 
195424;135417 
195839;135418 
195753;135418 
197298;135418 
195608;135416 
198036;135419 
196070;135421 
195869;135420 
196396;135419 
197969;135419 
197395;135419 
195663;135418 
195884;135420 
198115;135419 
195048;135418 
197088;135420 
195919;135418 
195804;135421 
195696;135418 
196363;135418 
195881;135417 
195930;135417 
195908;135418 
197972;135419 
195689;135417 
197022;135417 
196410;135418 
196098;135418 
197557;135418 
195969;135417 
196235;135417 
197421;135419 
195675;135420 
195395;135419 
197546;135419 
197694;135418 
195941;135420 
195357;135417 
195945;135417 
195592;135421 
195576;135419 
198714;135419 
196267;135418 
199556;135420 
195220;135417 
196745;135416 
195487;135419 
196226;135418 
195676;135418 
196245;135416 
198103;135420 
196295;135418 
197406;135420 
195758;135418 
196254;135418 
195538;135417 
197217;135419 
196037;135419 
196079;135419 
196119;135418 
196074;135420 
195772;135419 
196503;135419 
196024;135419 
195667;135418 
197148;135418 
195909;135417 
196099;135421 
195890;135417 
197762;135417 
196016;135420 
195575;135419 
197743;135418 
198053;135418 
195909;135420 
197861;135419 
198799;135418 
199131;135421 
195976;135416 
196182;135419 
195883;135418 
196003;135420 
198562;135418 
195514;135418 
195939;135417 
197935;135418 
195680;135417 
198130;135418 
195999;135419 
195863;135419 
195349;135418 
195846;135420 
195967;135419 
197767;135418 
195662;135418 
195935;135416 
197787;135418 
195451;135417 
195879;135417 
197787;135418 
198509;135421 
197398;135417 
196366;135417 
195247;135417 
195830;135418 
198749;135422 
197027;135417 
195930;135419 
196206;135419 
198092;135419 
196590;135417 
194973;135419 
197389;135418 
195711;135418 
196191;135417 
196612;135420 
195987;135418 
197883;135417 
196376;135418 
196342;135419 
196119;135418 
198166;135418 
199394;135420 
197359;135421 
197628;135420 
206577;135418 
197563;135417 
196691;135418 
196484;135419 
198155;135417 
198861;135418 
196895;135419 
196152;135415 
197835;135417 
197607;135418 
196330;135418 
206856;135419 
198060;135419 
196191;135418 
195887;135419 
195944;135421 
196023;135418 
197361;135419 
197497;135418 
196111;135418 
195929;135417 
195859;135417 
195962;135418 
197350;135418 
195964;135417 
195189;135417 
198041;135419 
196301;135421 
196000;135420 
195932;135419 
195574;135418 
196058;135419 
195854;135416 
195404;135418 
196884;135419 
196687;135421 
195922;135418 
195711;135418 
195736;135419 
195706;135414 
197217;135417 
195986;135416 
195604;135417 
195487;135419 
196319;135418 
195738;135421 
196275;135419 
196691;135419 
196903;135418 
196744;135416 
197749;135416 
196161;135417 
197973;135424 
195721;135416 
195865;135420 
197617;135418 
195572;135417 
197789;135418 
196855;135418 
195737;135417 
196689;135417 
196385;135416 
195737;135419 
195818;135418 
197789;135418 
196064;135419 
195647;135418 
195749;135416 
195582;135418 
198012;135421 
195764;135420 
195647;135419 
198373;135419 
196404;135416 
196748;135416 
198352;135418 
195765;135419 
195581;135419 
195826;135417 
195829;135418 
196226;135418 
197637;135419 
198018;135416 
197964;135417 
196005;135418 
198688;135418 
