CYCLES;INS
197491;135417 
195183;135418 
195275;135416 
197259;135420 
195629;135418 
195466;135420 
197207;135419 
195329;135417 
197076;135417 
195682;135418 
197900;135419 
195228;135417 
197355;135418 
198667;135418 
194975;135418 
195756;135419 
195768;135418 
197261;135420 
196830;135421 
196871;135418 
195938;135419 
195965;135420 
196249;135419 
197593;135417 
197664;135418 
196411;135417 
195909;135421 
195804;135420 
195064;135418 
195535;135417 
195908;135418 
197347;135418 
195347;135416 
195317;135418 
195521;135418 
196456;135418 
195980;135418 
197063;135417 
195604;135420 
195553;135416 
196381;135416 
195807;135418 
196996;135417 
197104;135416 
195254;135417 
195750;135420 
198614;135420 
196114;135418 
195677;135418 
197141;135422 
195841;135418 
196779;135422 
195375;135419 
195919;135420 
197608;135417 
196463;135416 
195789;135418 
195399;135419 
195238;135418 
196523;135417 
195594;135417 
195790;135417 
195422;135418 
195711;135419 
195577;135416 
195927;135419 
195251;135415 
196568;135421 
195314;135419 
195103;135415 
195302;135418 
197627;135416 
196137;135419 
195852;135418 
195676;135417 
196312;135419 
196892;135418 
195844;135418 
195512;135418 
194995;135417 
195918;135416 
195238;135417 
196576;135418 
198432;135418 
196151;135417 
198214;135415 
195443;135417 
195572;135418 
195760;135417 
195023;135416 
197240;135418 
199221;135418 
194973;135417 
195506;135417 
196382;135417 
195848;135419 
196392;135418 
195834;135418 
197332;135418 
196093;135418 
197414;135421 
195030;135419 
197964;135418 
198282;135416 
195353;135418 
195627;135417 
195900;135421 
195515;135419 
195652;135418 
195318;135420 
196222;135419 
196215;135418 
196185;135419 
195382;135419 
197909;135420 
195070;135417 
195353;135417 
195516;135417 
198577;135417 
195928;135420 
197752;135418 
196204;135418 
196254;135416 
198053;135417 
195677;135415 
195375;135417 
195379;135417 
195316;135420 
197031;135417 
195983;135417 
195657;135417 
195601;135418 
197429;135419 
198117;135417 
195974;135417 
195641;135418 
197066;135419 
195799;135419 
195990;135418 
195692;135417 
195413;135418 
195719;135418 
196726;135419 
196306;135421 
195854;135417 
194996;135419 
196086;135417 
196315;135418 
195798;135418 
197962;135416 
197388;135417 
195787;135417 
196515;135418 
195405;135418 
196681;135417 
195666;135416 
196035;135418 
195924;135419 
195345;135418 
195294;135418 
197031;135420 
195471;135418 
197647;135421 
195481;135417 
195515;135417 
195798;135419 
195458;135419 
195124;135416 
195818;135424 
196454;135417 
195100;135419 
196017;135417 
196547;135416 
196368;135416 
196916;135416 
196122;135419 
197499;135417 
195767;135415 
196139;135417 
195255;135419 
195228;135418 
195732;135418 
195925;135418 
195426;135418 
194866;135419 
197642;135419 
195585;135418 
197647;135418 
197383;135417 
195842;135420 
195916;135421 
196341;135420 
196544;135419 
196823;135417 
195782;135417 
195333;135418 
195404;135418 
196087;135418 
197262;135417 
195596;135419 
195561;135418 
195436;135419 
195514;135420 
195948;135419 
195566;135416 
195290;135416 
195107;135418 
195807;135422 
195773;135418 
198514;135417 
197819;135417 
194782;135416 
197286;135417 
197012;135420 
198273;135420 
196980;135417 
195601;135418 
197292;135418 
195942;135420 
195783;135417 
196631;135416 
197460;135419 
197762;135418 
197530;135417 
195692;135419 
195432;135418 
195320;135418 
195868;135418 
195542;135419 
196033;135419 
198165;135421 
195924;135418 
197409;135417 
195481;135418 
195457;135416 
195678;135418 
195686;135419 
196556;135418 
197033;135418 
195807;135418 
195554;135422 
194997;135419 
196780;135420 
195533;135417 
197778;135419 
197659;135417 
195311;135422 
197042;135419 
197167;135417 
196433;135418 
195926;135418 
196563;135418 
195309;135419 
195376;135417 
196039;135416 
195489;135416 
196170;135421 
195545;135416 
195145;135418 
195583;135418 
197179;135418 
197572;135418 
196682;135417 
195952;135420 
197223;135419 
195231;135418 
198030;135417 
197084;135421 
196162;135417 
195086;135419 
197323;135419 
197877;135419 
195977;135419 
196234;135417 
194598;135416 
198068;135417 
195831;135417 
196544;135421 
196171;135419 
195673;135418 
195300;135418 
195419;135419 
195733;135420 
197795;135421 
196437;135415 
198366;135421 
195572;135421 
196403;135419 
195881;135419 
196742;135419 
198029;135418 
195509;135417 
195501;135417 
195612;135418 
195240;135419 
195740;135417 
196754;135416 
196782;135419 
195899;135418 
195563;135420 
195850;135419 
198231;135420 
196333;135421 
195370;135420 
196119;135418 
195325;135418 
195734;135419 
196423;135417 
197840;135421 
195960;135419 
195710;135421 
196172;135417 
195376;135419 
195258;135419 
197574;135417 
196867;135417 
195481;135417 
197258;135418 
195576;135418 
195452;135420 
195376;135417 
196638;135417 
195526;135417 
195314;135419 
197485;135422 
195946;135419 
196811;135416 
195781;135416 
195577;135418 
195684;135417 
196632;135420 
197450;135417 
195790;135418 
197949;135417 
196807;135422 
197321;135419 
194913;135418 
195846;135418 
197838;135419 
196114;135418 
196484;135418 
195409;135419 
195917;135419 
197672;135418 
198054;135418 
195700;135420 
195506;135419 
196145;135422 
196971;135418 
196193;135417 
198524;135417 
195089;135417 
197701;135418 
195308;135419 
196637;135417 
195966;135420 
195776;135418 
195375;135417 
195520;135416 
196153;135419 
195447;135417 
196860;135418 
195752;135418 
196624;135421 
196545;135418 
195186;135417 
195638;135419 
198159;135423 
198254;135417 
196583;135415 
196023;135417 
195730;135418 
195862;135418 
197544;135421 
195644;135418 
195892;135420 
198264;135416 
197522;135422 
195524;135418 
197409;135421 
195367;135417 
196513;135418 
198013;135420 
195725;135418 
195669;135418 
195634;135417 
195504;135419 
196304;135420 
195561;135418 
196840;135423 
195486;135420 
195446;135419 
196197;135419 
197100;135420 
195602;135418 
195227;135416 
195665;135418 
196885;135417 
197327;135417 
195245;135417 
195934;135422 
196302;135418 
196883;135420 
195605;135419 
195103;135419 
195131;135419 
195434;135420 
195807;135419 
195406;135417 
195647;135417 
196394;135415 
195272;135417 
195642;135421 
195933;135418 
195896;135418 
196862;135416 
195246;135417 
198409;135417 
196747;135418 
197403;135416 
196009;135417 
195803;135418 
194749;135418 
197190;135418 
195556;135419 
197544;135419 
195254;135418 
195341;135417 
197178;135421 
196584;135417 
195534;135422 
196570;135419 
196684;135420 
196233;135419 
196970;135419 
196821;135419 
196615;135417 
195800;135417 
195576;135419 
195138;135418 
196352;135418 
195219;135417 
195727;135417 
195481;135418 
198416;135418 
195278;135416 
197647;135418 
195439;135419 
197618;135417 
195742;135417 
196838;135420 
196338;135418 
197165;135420 
196891;135418 
196906;135421 
196837;135418 
196020;135418 
194962;135417 
195321;135418 
195160;135418 
195269;135418 
197760;135420 
196050;135419 
195291;135419 
195362;135417 
195432;135416 
195772;135417 
196088;135419 
195578;135419 
195399;135418 
197820;135416 
197376;135419 
195732;135417 
195810;135417 
195176;135418 
195515;135418 
196233;135418 
196391;135419 
194916;135416 
196120;135418 
196537;135418 
197965;135420 
195656;135416 
195059;135419 
196402;135418 
196207;135420 
197083;135421 
195112;135419 
196039;135422 
195628;135418 
195318;135417 
195726;135416 
196911;135419 
196290;135420 
197957;135419 
194909;135418 
195413;135417 
195512;135419 
197778;135419 
197130;135419 
195639;135419 
195755;135420 
195979;135418 
195863;135416 
195381;135422 
195320;135419 
195474;135419 
195925;135420 
196044;135418 
196371;135417 
195343;135416 
197252;135419 
195580;135420 
195552;135418 
197317;135419 
195110;135417 
195352;135421 
197079;135418 
197413;135419 
196165;135417 
194797;135420 
195827;135418 
195258;135417 
196696;135418 
196263;135417 
197190;135418 
194864;135416 
195213;135418 
197493;135417 
195367;135417 
195331;135417 
197361;135417 
195480;135418 
197303;135417 
194804;135417 
194896;135420 
196613;135418 
195786;135416 
195793;135417 
196057;135419 
195856;135417 
196042;135418 
195757;135417 
195964;135419 
198423;135418 
196985;135424 
196329;135420 
195982;135418 
194954;135419 
194925;135417 
196596;135420 
195733;135416 
195270;135419 
195803;135419 
195750;135420 
195383;135422 
195268;135416 
195987;135418 
195148;135417 
197587;135421 
195752;135420 
198270;135420 
197473;135421 
196519;135417 
197361;135417 
195599;135419 
195500;135421 
195627;135418 
197019;135419 
195530;135417 
196811;135419 
195584;135419 
198186;135419 
195955;135419 
196413;135418 
196517;135416 
198455;135418 
195379;135418 
194690;135419 
195197;135416 
204398;135418 
195601;135419 
196209;135417 
198523;135419 
197430;135420 
195572;135417 
195577;135420 
198298;135417 
195529;135417 
196756;135419 
197610;135419 
195429;135419 
198080;135417 
