CYCLES;INS
195812;135417 
196972;135420 
195454;135418 
195879;135417 
195540;135420 
196210;135419 
195102;135420 
196001;135419 
195290;135419 
195586;135419 
194963;135417 
197192;135419 
195764;135421 
196491;135418 
195558;135421 
197091;135419 
198349;135418 
197592;135418 
199522;135419 
195134;135416 
196720;135418 
195863;135418 
197469;135419 
195061;135418 
199752;135421 
195791;135419 
197721;135422 
197678;135421 
195071;135417 
196828;135419 
196257;135418 
195792;135420 
196064;135417 
196329;135419 
197259;135417 
195053;135416 
195436;135417 
195809;135417 
195203;135417 
195987;135417 
195723;135419 
195899;135419 
195156;135418 
195558;135420 
194919;135420 
196598;135417 
195781;135419 
195229;135421 
195231;135419 
195393;135417 
195404;135418 
196013;135419 
196875;135418 
195291;135417 
196217;135419 
195229;135418 
195520;135418 
196018;135418 
195335;135419 
195396;135421 
195600;135419 
195864;135418 
195179;135416 
196071;135418 
195404;135418 
197494;135422 
195439;135420 
197407;135415 
196277;135419 
197730;135416 
195496;135420 
197811;135420 
197351;135419 
197886;135419 
195409;135419 
196057;135423 
197762;135416 
195582;135418 
196094;135417 
196341;135419 
197648;135418 
195475;135418 
197087;135418 
195323;135419 
196137;135418 
198153;135421 
197257;135418 
195670;135417 
198148;135417 
196822;135415 
195200;135417 
198665;135419 
195373;135416 
195609;135419 
196851;135420 
196453;135418 
197440;135418 
195094;135419 
195444;135418 
197013;135421 
197197;135420 
195988;135417 
196781;135416 
195619;135419 
196041;135421 
195713;135419 
194999;135419 
197333;135420 
195171;135414 
194678;135415 
196851;135418 
197283;135423 
198389;135419 
198735;135422 
197940;135419 
195748;135418 
196628;135419 
197738;135417 
195568;135420 
195538;135419 
195053;135418 
198181;135419 
194888;135419 
195432;135421 
198567;135419 
196236;135416 
197968;135418 
195799;135419 
195119;135418 
195301;135416 
195878;135419 
196881;135418 
196007;135416 
195571;135418 
197107;135422 
198610;135418 
197906;135418 
196378;135418 
195026;135419 
195170;135418 
197482;135417 
195634;135419 
195669;135418 
195643;135419 
196827;135416 
195525;135418 
195103;135422 
195677;135418 
197475;135419 
195700;135420 
195294;135421 
