CYCLES;INS
197027;135419 
195192;135419 
197158;135421 
197197;135419 
195479;135419 
196874;135418 
197603;135419 
198715;135420 
195036;135420 
195322;135420 
196357;135420 
197347;135420 
195597;135417 
195233;135419 
198515;135416 
196011;135415 
195331;135418 
197333;135418 
196550;135417 
195646;135417 
197350;135419 
195749;135418 
196725;135419 
196257;135418 
196160;135418 
195523;135420 
195817;135417 
195726;135419 
195677;135421 
197395;135419 
195506;135418 
196428;135418 
195641;135421 
195936;135416 
196705;135416 
195216;135418 
195220;135419 
195489;135419 
195030;135417 
196546;135421 
195653;135418 
197678;135420 
198013;135419 
196102;135416 
195507;135417 
195815;135417 
195114;135417 
195899;135418 
195323;135415 
195389;135419 
195648;135416 
195262;135418 
195710;135420 
196581;135418 
195406;135420 
197108;135420 
195746;135421 
195819;135420 
195200;135420 
196916;135418 
195380;135418 
195384;135419 
196511;135418 
195394;135420 
195667;135419 
197643;135418 
195586;135418 
196853;135418 
195581;135416 
195258;135421 
195619;135418 
197155;135418 
197058;135419 
197544;135419 
195576;135418 
198309;135418 
195350;135419 
196574;135422 
197750;135418 
196242;135419 
196305;135418 
196351;135418 
196887;135417 
195091;135417 
196010;135421 
195592;135418 
196430;135418 
195131;135417 
195777;135415 
195629;135418 
195670;135416 
198207;135421 
197942;135420 
195062;135416 
197379;135419 
195691;135417 
197406;135418 
196611;135417 
195490;135418 
197169;135418 
195322;135417 
197266;135419 
196032;135419 
197259;135419 
196394;135419 
194793;135418 
197006;135418 
198265;135418 
196240;135420 
196791;135417 
196520;135419 
194923;135416 
195333;135419 
195086;135420 
195927;135419 
195828;135417 
197664;135420 
195475;135418 
195532;135420 
195464;135420 
197218;135417 
198407;135417 
195859;135418 
195059;135418 
195770;135418 
195578;135417 
197051;135416 
195364;135418 
197217;135423 
195874;135418 
196010;135417 
195718;135419 
195489;135418 
197640;135418 
198115;135417 
195519;135418 
195656;135417 
196798;135419 
196525;135418 
195424;135419 
198064;135418 
197049;135420 
195423;135418 
196605;135418 
195947;135418 
195584;135417 
196030;135417 
195579;135417 
198611;135417 
197368;135418 
195935;135418 
197673;135417 
195598;135417 
195663;135416 
195272;135417 
196666;135415 
196006;135419 
195332;135418 
196008;135416 
195436;135417 
196319;135416 
195357;135418 
194976;135418 
195953;135418 
195959;135419 
195411;135418 
195336;135417 
196489;135419 
195628;135419 
195944;135418 
195853;135419 
195128;135418 
195467;135417 
195074;135418 
195085;135418 
195232;135418 
195407;135419 
197622;135417 
196811;135417 
196694;135415 
195256;135418 
195347;135417 
196242;135418 
196744;135418 
195199;135418 
195235;135416 
195422;135418 
195816;135418 
196278;135419 
196093;135420 
195443;135417 
195084;135421 
196279;135418 
195297;135419 
197160;135418 
194988;135417 
195561;135418 
195507;135418 
199540;135421 
195328;135421 
197424;135416 
195462;135417 
194947;135417 
197257;135420 
196822;135418 
195687;135421 
196149;135417 
195740;135417 
196457;135418 
196952;135419 
197578;135417 
196374;135419 
195531;135420 
198064;135417 
195816;135419 
195549;135418 
195114;135418 
195233;135417 
196137;135419 
195133;135419 
195676;135418 
196579;135417 
195637;135418 
197603;135419 
197033;135418 
196401;135421 
195221;135420 
195271;135419 
195512;135418 
196767;135417 
194510;135416 
196301;135421 
195342;135418 
197031;135418 
195798;135419 
195372;135418 
195576;135417 
194834;135417 
197448;135417 
195687;135420 
195783;135419 
195546;135419 
197846;135418 
195623;135419 
198824;135418 
195389;135419 
196540;135418 
196071;135420 
195894;135419 
195273;135417 
195494;135418 
195507;135419 
195227;135418 
196413;135419 
195994;135419 
197613;135417 
197713;135419 
196984;135419 
195554;135419 
195273;135418 
195477;135420 
195713;135417 
195893;135418 
197818;135417 
198107;135419 
195911;135419 
196249;135418 
195273;135418 
195113;135421 
195627;135419 
197054;135417 
196422;135417 
196097;135419 
195535;135416 
194796;135417 
195538;135419 
196090;135419 
195671;135419 
197190;135420 
195541;135418 
194765;135418 
196144;135419 
198858;135423 
197059;135419 
196716;135420 
196291;135418 
197365;135418 
198222;135419 
195437;135418 
198588;135420 
196078;135418 
195291;135418 
198126;135419 
194632;135418 
197172;135420 
195961;135418 
197435;135418 
195615;135418 
195654;135419 
196401;135419 
195297;135419 
196225;135419 
198040;135418 
195311;135422 
196118;135419 
196538;135418 
195233;135417 
195493;135416 
196096;135418 
196330;135419 
196907;135418 
196102;135418 
195084;135417 
195784;135419 
195818;135418 
196336;135419 
195442;135418 
195039;135422 
197039;135419 
195395;135419 
195342;135420 
195052;135418 
197432;135421 
197184;135421 
198024;135420 
196349;135419 
196294;135418 
197226;135419 
195941;135417 
195985;135418 
195473;135420 
195850;135419 
200133;135417 
195318;135417 
197022;135422 
197473;135418 
195561;135418 
195531;135418 
195758;135418 
195735;135418 
195568;135417 
194851;135417 
195553;135419 
198118;135418 
196673;135419 
196074;135419 
197464;135417 
194996;135418 
196640;135418 
196506;135418 
196215;135418 
196812;135421 
197118;135417 
195071;135418 
195191;135417 
196131;135420 
195368;135419 
195846;135419 
195714;135419 
195242;135417 
195520;135418 
197287;135417 
195241;135419 
194949;135417 
195506;135419 
198030;135416 
196294;135419 
195300;135418 
197232;135419 
195758;135418 
194976;135418 
196353;135418 
196718;135418 
195461;135418 
195708;135419 
195663;135419 
195576;135423 
195790;135420 
197448;135418 
195220;135421 
198462;135418 
194901;135419 
195319;135419 
197699;135422 
196691;135419 
198554;135420 
197247;135417 
195673;135417 
196217;135418 
194870;135417 
195606;135421 
195609;135418 
195975;135418 
195817;135417 
197002;135418 
198000;135420 
196782;135416 
195575;135418 
194989;135415 
195600;135419 
195518;135417 
195919;135420 
197001;135417 
197682;135417 
195426;135419 
195805;135417 
195449;135418 
194931;135418 
195648;135417 
195837;135420 
195117;135417 
198988;135418 
195420;135418 
197217;135419 
195563;135419 
196608;135416 
196725;135418 
195166;135419 
195450;135417 
196148;135417 
197035;135418 
196844;135416 
196232;135416 
195942;135418 
196257;135418 
195624;135419 
195179;135419 
195623;135419 
196014;135416 
198530;135418 
196757;135419 
196134;135419 
195474;135418 
198369;135417 
196967;135417 
196548;135418 
196738;135416 
194916;135419 
197422;135422 
197915;135418 
195175;135416 
195367;135417 
195181;135416 
195305;135417 
194973;135417 
194922;135417 
196391;135420 
197464;135419 
198037;135420 
195543;135417 
196718;135420 
196041;135421 
195467;135417 
195407;135419 
195590;135419 
196457;135418 
196978;135418 
195452;135419 
195707;135419 
195064;135418 
196833;135419 
198662;135420 
197384;135418 
196040;135420 
195060;135417 
196574;135419 
195868;135420 
197085;135420 
195229;135415 
198424;135419 
195775;135416 
195063;135417 
197164;135418 
197179;135418 
195486;135419 
195176;135420 
196827;135417 
195626;135418 
195107;135417 
196322;135418 
195322;135418 
195592;135417 
196248;135421 
197762;135417 
196256;135418 
195551;135418 
198184;135419 
195075;135418 
197848;135420 
195198;135418 
196237;135418 
196311;135416 
194894;135418 
196413;135418 
195335;135418 
195293;135418 
195035;135419 
195356;135419 
195537;135417 
197828;135418 
196461;135417 
195532;135417 
195713;135416 
197900;135416 
196062;135419 
195678;135419 
196599;135420 
195738;135418 
196836;135419 
195299;135418 
196631;135417 
195158;135418 
195258;135421 
196571;135419 
197147;135419 
195126;135419 
195444;135419 
195476;135417 
195702;135418 
195738;135418 
196849;135421 
196108;135421 
197535;135419 
196093;135417 
195001;135418 
195587;135424 
196023;135419 
194834;135419 
196129;135420 
195702;135419 
196705;135419 
195688;135419 
195581;135420 
195500;135417 
195178;135418 
195425;135418 
195551;135417 
195741;135420 
195786;135416 
197536;135422 
196081;135418 
196084;135418 
198629;135418 
195646;135417 
196138;135419 
197784;135419 
197563;135419 
197835;135419 
195738;135418 
196809;135419 
195660;135418 
195514;135418 
195669;135418 
195476;135419 
196843;135419 
195596;135418 
196129;135419 
195088;135418 
195554;135417 
195818;135419 
195329;135424 
196269;135418 
196465;135416 
195612;135417 
195877;135417 
196459;135418 
195759;135419 
196076;135421 
196176;135417 
197576;135418 
195219;135417 
198961;135417 
198822;135416 
195390;135418 
197470;135419 
198326;135418 
194833;135417 
195740;135420 
195277;135418 
195163;135419 
196721;135416 
195001;135416 
195038;135415 
195481;135417 
196403;135421 
197219;135417 
197731;135417 
195297;135419 
196396;135423 
195988;135417 
195539;135417 
195712;135419 
196637;135419 
195435;135419 
195410;135418 
195273;135421 
195350;135418 
195370;135418 
