CYCLES;INS
197557;135418 
195313;135417 
196095;135417 
195165;135416 
195913;135418 
195666;135420 
197564;135421 
195945;135416 
195701;135421 
195259;135417 
197566;135417 
195167;135420 
195451;135420 
195913;135418 
195331;135417 
195827;135417 
195299;135418 
195528;135419 
195459;135420 
195331;135417 
197700;135418 
197472;135418 
196571;135418 
196217;135418 
195471;135418 
195437;135417 
195386;135415 
195999;135419 
196116;135418 
196012;135416 
195432;135420 
196439;135419 
195978;135418 
196044;135418 
195883;135419 
195416;135418 
197833;135420 
195778;135417 
196837;135417 
195588;135419 
195616;135420 
195279;135418 
195588;135417 
195492;135419 
195686;135419 
196373;135419 
195517;135416 
195516;135419 
197910;135418 
196694;135418 
195735;135417 
194801;135419 
197599;135419 
195224;135418 
198307;135419 
197996;135419 
198136;135418 
195947;135418 
197611;135417 
196220;135420 
196054;135416 
196231;135419 
197547;135417 
195491;135420 
195261;135418 
196399;135417 
195897;135419 
196858;135417 
195944;135419 
195568;135419 
197008;135417 
196525;135416 
196876;135420 
196680;135420 
195193;135416 
195365;135418 
196391;135418 
196242;135418 
197238;135417 
195440;135416 
195574;135417 
195015;135417 
198965;135419 
195233;135419 
196433;135420 
195673;135419 
195315;135422 
196205;135418 
195931;135419 
195920;135417 
197692;135417 
195370;135418 
198154;135419 
196273;135420 
195422;135417 
195891;135419 
196076;135418 
195825;135417 
198525;135420 
198816;135418 
195930;135418 
195924;135418 
195251;135419 
195690;135420 
197242;135417 
198544;135419 
195220;135416 
195529;135417 
196181;135419 
195602;135421 
195975;135418 
197713;135420 
197508;135417 
195630;135417 
195490;135418 
197206;135416 
195981;135415 
195429;135418 
197361;135421 
195193;135418 
195418;135418 
198269;135420 
195372;135418 
196118;135419 
197506;135418 
196901;135420 
195758;135420 
195547;135418 
195795;135422 
195015;135419 
196472;135417 
196072;135420 
195421;135420 
196828;135420 
195057;135417 
195775;135421 
195391;135417 
195298;135418 
195411;135420 
198465;135418 
196115;135418 
195089;135418 
196235;135417 
195228;135418 
195530;135419 
196950;135416 
196081;135419 
195672;135418 
196134;135420 
196141;135421 
195113;135419 
197088;135422 
195251;135418 
195574;135419 
195790;135419 
195600;135420 
195890;135418 
195883;135421 
195410;135418 
198123;135420 
196678;135418 
195475;135417 
196118;135420 
195775;135417 
197521;135418 
197220;135420 
196637;135418 
195510;135418 
198233;135422 
196117;135421 
197487;135417 
196211;135417 
195715;135420 
195582;135420 
195969;135419 
195501;135418 
195486;135418 
195753;135418 
195866;135418 
195238;135419 
196017;135419 
197616;135419 
195771;135421 
195751;135419 
194986;135417 
196234;135419 
195623;135420 
197786;135419 
194847;135417 
195996;135419 
197735;135417 
196914;135419 
196662;135420 
196412;135419 
195529;135418 
197315;135418 
195657;135419 
196879;135418 
195625;135421 
197915;135420 
195422;135418 
197453;135416 
196174;135421 
197474;135422 
194715;135415 
195596;135420 
195964;135420 
195318;135418 
195299;135417 
195639;135418 
198544;135417 
195881;135417 
195458;135419 
196063;135418 
195657;135419 
195170;135419 
197826;135418 
195621;135417 
195223;135417 
195132;135420 
197576;135419 
196367;135419 
195255;135418 
197295;135417 
195680;135418 
195191;135420 
197794;135423 
195710;135418 
195216;135419 
195627;135418 
195783;135416 
195868;135418 
198395;135418 
197276;135419 
195705;135418 
196221;135418 
195587;135421 
196874;135417 
196563;135420 
197507;135420 
197565;135418 
196591;135419 
198327;135417 
196578;135421 
195996;135420 
198227;135418 
196878;135419 
197909;135420 
195676;135417 
195900;135417 
196249;135416 
195429;135419 
195699;135419 
196121;135418 
195763;135417 
195630;135419 
194953;135417 
195397;135417 
196596;135419 
195788;135419 
196092;135419 
197987;135420 
195886;135420 
195922;135419 
197135;135417 
195239;135424 
198061;135418 
195295;135418 
195780;135416 
196548;135419 
195780;135420 
198027;135417 
196116;135418 
195501;135419 
196488;135417 
195617;135418 
196123;135421 
197944;135420 
197165;135418 
196394;135416 
195681;135418 
196974;135420 
195109;135418 
195744;135419 
195948;135418 
195148;135419 
195505;135417 
196421;135420 
195870;135421 
195814;135418 
196087;135420 
195372;135417 
196359;135420 
196576;135419 
197637;135418 
196750;135421 
196335;135419 
196782;135418 
195424;135420 
196684;135418 
196034;135417 
197244;135418 
197228;135419 
195141;135416 
197838;135420 
195624;135419 
195324;135424 
195232;135421 
195744;135419 
198743;135418 
195766;135418 
196060;135416 
195874;135421 
195704;135417 
197213;135419 
196380;135416 
196081;135419 
194928;135420 
195720;135418 
195498;135420 
195420;135420 
195374;135421 
197459;135418 
196667;135418 
196474;135418 
195835;135421 
195728;135418 
195543;135419 
195900;135419 
195893;135420 
195099;135418 
196313;135418 
196331;135420 
195760;135419 
196766;135419 
196101;135417 
195396;135418 
195985;135418 
195434;135417 
195925;135417 
196245;135417 
198130;135418 
198743;135419 
196976;135417 
196647;135418 
196263;135419 
195490;135419 
195485;135417 
195348;135421 
195580;135417 
195646;135420 
197170;135418 
195544;135420 
195619;135420 
198266;135418 
196137;135418 
197076;135419 
197345;135418 
197792;135418 
195904;135420 
195287;135418 
195980;135417 
195540;135421 
195175;135417 
195544;135419 
197957;135417 
196021;135419 
195734;135420 
196176;135417 
195471;135420 
195580;135418 
198009;135417 
195591;135418 
196581;135419 
195462;135419 
197744;135419 
195190;135419 
195964;135416 
196186;135419 
195112;135416 
195582;135420 
195353;135419 
197333;135419 
195658;135418 
196086;135417 
196881;135418 
194750;135417 
197812;135419 
194952;135416 
198234;135416 
195414;135419 
195783;135416 
195840;135415 
195841;135418 
196192;135417 
195388;135420 
194989;135419 
195759;135419 
195530;135421 
195385;135418 
197321;135418 
196004;135420 
195675;135416 
195230;135417 
195611;135418 
195033;135418 
195816;135419 
195546;135415 
195422;135420 
195745;135417 
197516;135419 
197394;135419 
196210;135419 
197233;135418 
195619;135417 
195457;135418 
196134;135419 
197936;135421 
197889;135418 
197044;135416 
194883;135418 
195626;135418 
196133;135418 
195854;135419 
195624;135418 
195289;135417 
194753;135416 
196134;135418 
196584;135420 
195653;135420 
198276;135419 
196336;135420 
195168;135417 
196797;135417 
196140;135421 
195322;135418 
195400;135418 
195169;135420 
198468;135417 
197373;135415 
196177;135417 
195692;135418 
196009;135418 
195326;135419 
195687;135420 
196510;135419 
196020;135417 
195666;135419 
195450;135418 
197809;135421 
195342;135418 
195320;135419 
195676;135419 
197797;135417 
195791;135417 
198069;135418 
197661;135419 
198624;135419 
197388;135417 
194928;135417 
195979;135419 
195685;135420 
198069;135418 
197290;135422 
196462;135418 
195883;135419 
195572;135419 
195435;135417 
195625;135419 
195567;135418 
196411;135418 
195336;135418 
195845;135419 
195185;135419 
195042;135415 
195475;135417 
195155;135419 
198129;135418 
197456;135418 
195383;135419 
195543;135418 
195232;135416 
195098;135416 
195352;135419 
195781;135418 
195513;135418 
196345;135417 
195004;135418 
198592;135419 
196194;135419 
195744;135417 
195935;135419 
195820;135420 
196763;135421 
197271;135418 
194783;135419 
196414;135419 
195095;135419 
196749;135417 
195236;135417 
196147;135418 
195723;135418 
195902;135420 
197436;135417 
195993;135417 
196142;135418 
195677;135418 
197741;135420 
197596;135417 
196453;135418 
195947;135418 
195453;135419 
197556;135421 
195594;135416 
195920;135418 
195257;135418 
195926;135419 
195622;135419 
195671;135418 
195617;135420 
198765;135418 
195447;135418 
195958;135419 
196979;135417 
196954;135418 
196151;135417 
198470;135417 
195255;135419 
195762;135419 
195383;135416 
197080;135421 
195209;135418 
196636;135418 
197362;135418 
195058;135419 
198232;135419 
197644;135415 
197296;135417 
195700;135418 
195587;135416 
195785;135418 
197966;135419 
196519;135419 
195995;135419 
196089;135418 
195823;135420 
196209;135420 
195575;135417 
195288;135419 
197349;135418 
195836;135419 
195748;135418 
196730;135419 
195294;135419 
195762;135419 
197680;135416 
195871;135415 
197713;135416 
195874;135419 
195537;135416 
196885;135418 
195836;135421 
198644;135420 
195925;135419 
196758;135418 
195384;135419 
195234;135417 
195088;135418 
198131;135418 
197551;135420 
196039;135420 
197635;135419 
197341;135418 
195805;135419 
196211;135418 
198052;135420 
195583;135418 
197738;135418 
194719;135417 
196144;135421 
195564;135419 
199157;135420 
195398;135419 
197390;135418 
196641;135419 
196636;135418 
195582;135419 
195864;135420 
195597;135418 
195486;135418 
195885;135417 
195515;135419 
197055;135418 
196274;135418 
196508;135417 
197473;135418 
196918;135419 
195356;135419 
197704;135418 
195600;135417 
195560;135417 
197552;135417 
195438;135419 
195513;135421 
196816;135423 
195949;135418 
195402;135418 
196489;135420 
195397;135419 
196223;135419 
195889;135419 
195399;135419 
195637;135418 
195388;135419 
195300;135417 
194911;135416 
196274;135420 
195016;135418 
195741;135420 
195423;135418 
197221;135416 
200007;135420 
195728;135417 
196332;135420 
195023;135418 
196044;135418 
197005;135418 
199773;135422 
196420;135418 
196098;135418 
196682;135417 
195003;135417 
195849;135417 
197679;135416 
196077;135421 
197276;135418 
196345;135417 
196237;135418 
195962;135418 
196730;135418 
195621;135418 
195575;135418 
195208;135419 
195082;135417 
195431;135418 
195223;135418 
195579;135420 
195748;135419 
197324;135419 
196630;135419 
194966;135418 
195671;135420 
195719;135419 
195952;135421 
196895;135418 
197518;135417 
197808;135419 
196052;135417 
197425;135418 
196996;135417 
195809;135418 
196016;135416 
195434;135420 
197266;135422 
196312;135417 
197632;135417 
197404;135420 
195566;135418 
195066;135419 
195717;135418 
195297;135416 
195916;135417 
195419;135418 
197229;135418 
195549;135418 
198568;135417 
196561;135418 
194944;135417 
196315;135416 
195349;135421 
195712;135419 
196061;135418 
195809;135417 
194674;135418 
198412;135418 
197675;135418 
196037;135418 
195614;135419 
196939;135417 
195208;135419 
195588;135419 
195320;135418 
197262;135416 
195459;135417 
195064;135419 
197131;135419 
197327;135422 
197060;135418 
195713;135418 
195921;135418 
195015;135418 
197206;135419 
195990;135420 
196385;135420 
197143;135419 
196221;135419 
195602;135419 
195955;135419 
195993;135418 
196006;135418 
196801;135423 
196014;135418 
196061;135418 
197712;135418 
198141;135420 
195432;135416 
195463;135419 
196558;135418 
196938;135417 
196098;135418 
198202;135418 
195721;135417 
198249;135420 
195623;135418 
195759;135416 
195625;135417 
196194;135420 
196027;135417 
195143;135415 
196693;135420 
195367;135418 
195548;135416 
196622;135418 
195941;135420 
198263;135418 
195080;135418 
195740;135419 
195211;135418 
195948;135417 
196108;135417 
197339;135418 
196383;135418 
195569;135418 
195608;135420 
198047;135418 
197754;135417 
195680;135417 
195538;135421 
198249;135419 
196328;135418 
195308;135418 
194936;135417 
195341;135419 
196973;135420 
197077;135418 
195317;135419 
195473;135421 
197387;135420 
195064;135418 
196762;135420 
195253;135418 
198051;135415 
196011;135418 
195983;135419 
196711;135419 
195270;135419 
196094;135420 
195351;135418 
197093;135419 
195608;135418 
195669;135419 
195063;135419 
195334;135419 
196131;135422 
195923;135417 
196177;135419 
196744;135417 
196107;135417 
197539;135419 
195250;135417 
195625;135417 
196236;135418 
195915;135420 
195571;135418 
195943;135420 
195356;135419 
196575;135417 
195487;135418 
196757;135421 
196017;135417 
195364;135418 
195202;135417 
197521;135420 
195618;135418 
194580;135417 
195399;135418 
196413;135417 
196388;135416 
195357;135418 
197547;135417 
195572;135417 
195264;135418 
195914;135419 
198575;135418 
197159;135419 
198079;135419 
195157;135416 
196230;135420 
197400;135419 
196115;135419 
195492;135418 
195225;135419 
196551;135420 
195316;135419 
196551;135416 
195818;135419 
196228;135421 
195714;135417 
196172;135417 
197241;135419 
195417;135419 
195201;135417 
196131;135418 
195574;135416 
196342;135417 
195038;135419 
196910;135418 
195448;135417 
196041;135419 
198188;135418 
197409;135418 
195841;135418 
197240;135416 
199120;135418 
195324;135417 
195482;135417 
195730;135419 
195805;135417 
195263;135417 
196769;135419 
198147;135419 
195855;135419 
195825;135420 
195495;135418 
196498;135418 
195094;135418 
195601;135420 
196522;135418 
196778;135418 
196891;135419 
196168;135418 
197311;135418 
195797;135420 
198738;135420 
195503;135419 
196764;135418 
195891;135417 
195058;135419 
195858;135418 
195586;135420 
196167;135420 
195221;135419 
195295;135420 
196070;135420 
195281;135418 
196224;135420 
196649;135418 
196033;135417 
198184;135418 
195546;135421 
195449;135419 
195140;135418 
195903;135417 
195708;135420 
196270;135417 
196109;135418 
196500;135418 
195538;135417 
195333;135418 
195449;135418 
195677;135420 
196030;135418 
196277;135420 
197129;135418 
196456;135418 
195368;135418 
195506;135419 
195028;135418 
195952;135418 
195536;135418 
197879;135418 
197237;135418 
195759;135421 
196614;135418 
196068;135417 
196445;135418 
197254;135418 
194834;135417 
195500;135421 
195614;135417 
195710;135418 
196413;135418 
195331;135418 
196984;135419 
195735;135418 
196804;135419 
195670;135418 
197275;135418 
197499;135416 
196419;135420 
194971;135418 
195933;135421 
195451;135418 
195977;135417 
195945;135416 
195430;135419 
195319;135418 
198242;135418 
196921;135417 
196577;135421 
198987;135419 
195450;135418 
195977;135419 
195014;135418 
195376;135418 
195991;135419 
198285;135418 
195347;135420 
196351;135420 
195710;135419 
198174;135419 
195408;135417 
196922;135419 
195609;135418 
197450;135419 
195646;135419 
195813;135419 
195762;135417 
194437;135416 
195409;135422 
195272;135418 
196535;135418 
195766;135419 
195731;135417 
197380;135418 
195627;135418 
197284;135417 
195290;135416 
195676;135418 
195188;135417 
196058;135418 
195986;135419 
195989;135420 
195799;135419 
195846;135420 
195443;135416 
194734;135415 
195984;135421 
195312;135416 
197716;135418 
195994;135419 
195656;135418 
195968;135421 
195573;135418 
199003;135420 
196630;135417 
195793;135417 
195914;135418 
196593;135421 
197555;135421 
195099;135418 
194755;135416 
198035;135418 
197842;135416 
197108;135419 
195623;135417 
196284;135418 
196060;135418 
196882;135417 
196251;135421 
195705;135419 
195958;135418 
196283;135418 
196423;135417 
195415;135418 
195910;135421 
195209;135418 
195298;135421 
196067;135418 
195478;135419 
197652;135419 
195825;135419 
198214;135419 
195750;135418 
197362;135417 
197304;135417 
196313;135419 
194937;135416 
195443;135420 
197871;135417 
195440;135418 
196592;135419 
196669;135420 
195846;135419 
197029;135417 
195190;135421 
195862;135422 
194782;135418 
196605;135420 
195627;135418 
196666;135418 
195641;135420 
196508;135418 
196584;135417 
195254;135420 
195457;135417 
195717;135420 
197995;135419 
195895;135417 
196547;135416 
195900;135418 
195756;135419 
195989;135419 
196678;135418 
195901;135418 
196530;135418 
197570;135419 
195663;135420 
195984;135420 
196621;135421 
196140;135418 
198397;135423 
195608;135417 
198379;135420 
195760;135418 
195986;135416 
197571;135421 
196935;135422 
195954;135417 
196866;135417 
195603;135419 
195916;135420 
195700;135418 
195449;135419 
196436;135419 
195645;135419 
196088;135418 
195687;135421 
195665;135418 
195074;135419 
196854;135418 
196076;135418 
195795;135420 
197826;135417 
197771;135416 
195556;135416 
196701;135419 
196840;135417 
196140;135418 
195088;135419 
199154;135422 
195883;135418 
195683;135418 
195207;135420 
195838;135418 
196920;135417 
195159;135418 
196959;135419 
195443;135418 
195429;135418 
195791;135419 
196060;135416 
195795;135421 
196138;135419 
197422;135418 
195583;135421 
195674;135419 
196305;135419 
196700;135418 
195485;135420 
195414;135417 
195535;135419 
195748;135418 
197418;135419 
195441;135419 
195531;135415 
197447;135420 
196363;135418 
195878;135418 
195347;135419 
195945;135418 
195407;135419 
195453;135416 
195404;135419 
196306;135419 
195680;135419 
195338;135417 
195404;135418 
195691;135419 
195201;135418 
195462;135419 
197616;135419 
197529;135420 
196647;135418 
197789;135418 
195057;135418 
197745;135418 
195440;135418 
195725;135416 
196149;135417 
194982;135417 
196939;135419 
198004;135418 
196176;135419 
195289;135418 
196545;135417 
196589;135418 
195381;135418 
198160;135418 
197912;135418 
196012;135420 
195834;135419 
195538;135419 
196813;135418 
197354;135417 
195415;135420 
195411;135419 
195439;135417 
195931;135418 
196471;135420 
195519;135418 
197261;135418 
195314;135419 
196703;135417 
195280;135418 
196149;135417 
195604;135418 
197543;135417 
197605;135417 
197912;135419 
195561;135417 
205457;135420 
195497;135420 
196313;135419 
196356;135418 
196882;135417 
198112;135418 
195996;135418 
196638;135420 
195762;135422 
197542;135417 
197021;135417 
195888;135418 
195907;135418 
195514;135418 
195386;135421 
194779;135417 
194890;135416 
195254;135418 
195445;135419 
195263;135418 
196163;135419 
195897;135418 
195548;135417 
196588;135420 
196120;135417 
197532;135418 
196491;135418 
194961;135417 
195228;135419 
196273;135419 
195521;135417 
195117;135419 
195582;135419 
195962;135416 
195484;135418 
195495;135420 
198003;135417 
196515;135417 
197425;135419 
196115;135417 
197141;135419 
194922;135421 
195481;135418 
196613;135418 
197405;135419 
197853;135419 
195352;135416 
195869;135418 
195080;135419 
195782;135419 
196298;135420 
197554;135419 
195158;135420 
195897;135418 
196699;135421 
195723;135418 
198950;135416 
195972;135418 
195474;135419 
195678;135416 
195205;135420 
196098;135418 
194971;135415 
195453;135418 
195382;135419 
198037;135420 
195516;135417 
195451;135421 
195268;135416 
195431;135419 
197055;135419 
197542;135418 
195835;135420 
195914;135417 
197257;135418 
197127;135420 
195150;135421 
195303;135417 
195289;135417 
195664;135419 
197213;135418 
195957;135423 
195853;135419 
196852;135419 
195818;135417 
195443;135418 
195889;135418 
195987;135417 
196088;135419 
195775;135418 
195350;135418 
197656;135419 
196486;135419 
197498;135420 
198054;135417 
195603;135418 
195534;135420 
195241;135417 
196763;135416 
196820;135419 
195773;135419 
195336;135417 
198677;135420 
195701;135421 
196707;135419 
195394;135418 
197008;135418 
196218;135419 
197792;135416 
198324;135416 
196399;135418 
197170;135417 
197017;135420 
196263;135421 
197700;135419 
195675;135417 
195839;135420 
195677;135418 
196052;135420 
195892;135417 
197002;135418 
195445;135419 
195485;135418 
195026;135417 
195901;135419 
195522;135419 
195305;135417 
197776;135421 
195557;135418 
195731;135417 
195239;135417 
196084;135419 
195799;135417 
197225;135419 
197042;135419 
195210;135418 
195015;135414 
197481;135419 
195309;135418 
196966;135419 
195505;135418 
198245;135418 
195428;135417 
198211;135418 
195707;135418 
196740;135418 
196775;135419 
197232;135419 
196148;135418 
195825;135416 
197861;135419 
195627;135417 
195081;135417 
196654;135419 
195874;135418 
196778;135419 
196032;135419 
198168;135419 
196115;135418 
195850;135417 
197581;135420 
195645;135418 
196203;135419 
195664;135418 
196255;135418 
196531;135419 
197397;135416 
195613;135417 
197250;135419 
195665;135420 
195028;135418 
195696;135419 
195630;135418 
197881;135419 
196005;135418 
196658;135419 
196649;135418 
196004;135422 
197348;135420 
197272;135421 
195173;135419 
195362;135419 
195491;135417 
195471;135418 
195183;135419 
195225;135419 
197593;135420 
197779;135418 
196694;135419 
195278;135417 
195871;135419 
195454;135417 
195557;135418 
195299;135418 
195908;135418 
196079;135419 
197570;135419 
198097;135419 
196172;135420 
197222;135419 
195353;135419 
196149;135418 
195196;135419 
197915;135419 
196963;135420 
195096;135416 
195436;135419 
195587;135418 
195047;135417 
197064;135417 
195700;135419 
196093;135421 
194588;135419 
