CYCLES;INS
195212;135420 
195704;135419 
195468;135418 
195062;135421 
198408;135416 
196847;135421 
195559;135419 
195462;135419 
196624;135417 
195468;135419 
196878;135418 
195336;135417 
197592;135422 
196371;135417 
195063;135417 
195189;135419 
195755;135418 
195238;135418 
195416;135418 
198318;135417 
194969;135417 
196868;135418 
194912;135418 
195551;135421 
195460;135419 
195524;135418 
196809;135418 
197875;135418 
195425;135418 
197255;135419 
197210;135419 
197643;135418 
195052;135418 
195426;135419 
196888;135419 
196639;135419 
197955;135417 
196539;135419 
195903;135417 
195565;135416 
195415;135419 
196963;135418 
195430;135420 
197298;135418 
195296;135417 
195838;135417 
199095;135417 
198000;135422 
196247;135421 
196778;135419 
195817;135417 
195150;135418 
195558;135418 
197414;135418 
195942;135418 
197605;135418 
195909;135418 
195515;135420 
195633;135419 
197881;135418 
195500;135419 
195365;135417 
195620;135421 
195398;135419 
198314;135419 
196050;135418 
195578;135417 
195739;135417 
195097;135417 
197072;135417 
198377;135419 
196841;135420 
195448;135418 
195731;135417 
196432;135418 
195354;135420 
195375;135418 
196456;135417 
197770;135417 
197033;135418 
195481;135418 
197056;135419 
195140;135419 
195644;135419 
195662;135421 
195886;135420 
195310;135418 
197148;135420 
195918;135418 
198287;135416 
195575;135416 
198040;135419 
194947;135416 
197812;135419 
197356;135419 
195410;135418 
195798;135417 
195505;135418 
195132;135418 
196526;135420 
197227;135418 
197856;135417 
195639;135416 
195279;135417 
195677;135420 
196566;135417 
198444;135419 
195592;135419 
197377;135420 
196021;135418 
196053;135419 
195580;135418 
196813;135419 
197241;135416 
195467;135421 
195737;135421 
195371;135417 
196008;135418 
195459;135417 
195802;135419 
195956;135420 
194949;135416 
197715;135418 
195638;135417 
198079;135418 
195571;135417 
195575;135419 
197558;135421 
195385;135418 
196096;135417 
195443;135417 
195699;135420 
195263;135418 
195068;135417 
196564;135418 
195369;135417 
195519;135418 
195730;135421 
198957;135422 
195096;135418 
196261;135420 
195592;135419 
196179;135417 
196656;135418 
195136;135417 
195425;135419 
195542;135418 
195518;135420 
197501;135419 
195267;135418 
197295;135419 
197655;135416 
198275;135420 
194945;135418 
195906;135423 
196049;135417 
195183;135415 
195218;135417 
197602;135417 
195673;135419 
195731;135419 
195735;135421 
197466;135418 
197651;135421 
195989;135419 
195759;135420 
195715;135418 
195390;135419 
197282;135420 
196298;135420 
195866;135419 
197127;135421 
195818;135421 
195620;135418 
195225;135415 
196928;135418 
196079;135416 
195551;135417 
196308;135420 
196681;135420 
198496;135421 
196088;135417 
195477;135418 
196793;135419 
195163;135419 
195210;135419 
196273;135418 
195532;135418 
195509;135419 
195536;135418 
195159;135418 
195550;135421 
195762;135419 
197272;135420 
196358;135417 
195347;135420 
197706;135418 
197813;135417 
195716;135418 
195819;135417 
195560;135418 
195490;135419 
197785;135417 
195996;135422 
195913;135416 
195509;135421 
196121;135418 
195885;135419 
196014;135417 
195100;135416 
197844;135418 
195591;135418 
197281;135418 
196158;135418 
197151;135417 
196927;135418 
198224;135419 
197570;135420 
196697;135416 
198066;135420 
197631;135417 
197667;135419 
197082;135418 
195561;135419 
196587;135417 
199503;135419 
196981;135420 
195291;135418 
197195;135417 
199025;135419 
195706;135418 
196889;135419 
196394;135417 
197952;135420 
195864;135417 
195555;135418 
195693;135418 
195358;135420 
195208;135418 
197251;135422 
195776;135419 
195776;135418 
195655;135419 
195582;135418 
196338;135418 
196442;135419 
197031;135418 
195328;135418 
195828;135417 
195676;135418 
195903;135417 
196694;135419 
195823;135417 
197712;135418 
195865;135419 
195950;135418 
197751;135418 
197804;135416 
196195;135418 
195619;135418 
197612;135420 
197011;135418 
197904;135421 
197247;135417 
195906;135417 
196767;135418 
197390;135417 
196206;135418 
197239;135419 
197633;135418 
196017;135419 
195584;135417 
196170;135417 
195660;135418 
197547;135420 
195634;135417 
194984;135420 
197646;135418 
195392;135418 
196441;135422 
194565;135417 
194977;135418 
195605;135419 
195853;135417 
195391;135418 
195439;135418 
195885;135420 
195590;135420 
195229;135418 
197734;135418 
194948;135419 
195864;135419 
195633;135419 
195688;135418 
195607;135417 
198105;135420 
195349;135417 
197452;135416 
195014;135419 
195533;135417 
195874;135419 
198198;135419 
195431;135417 
196220;135420 
196727;135418 
196117;135418 
195482;135420 
195347;135420 
194900;135418 
196927;135418 
197148;135418 
195151;135419 
197525;135417 
197350;135419 
196958;135418 
195165;135420 
