CYCLES;INS
195713;135417 
196209;135419 
194928;135419 
196124;135417 
196121;135417 
195520;135418 
196139;135416 
195901;135419 
195532;135416 
195756;135417 
195497;135418 
196194;135420 
195611;135417 
195956;135417 
195937;135418 
195421;135418 
195413;135418 
195876;135422 
195774;135416 
195477;135416 
195359;135417 
195760;135419 
195760;135418 
196022;135418 
195767;135417 
195955;135419 
195328;135419 
196597;135419 
195833;135418 
195645;135420 
195794;135419 
195365;135417 
195573;135418 
196468;135419 
196071;135417 
195983;135418 
195101;135416 
195474;135417 
195992;135416 
195709;135417 
195457;135417 
196049;135417 
195907;135416 
195957;135418 
195058;135417 
196301;135416 
195133;135415 
195306;135418 
195721;135421 
195712;135418 
195535;135419 
195653;135419 
196115;135420 
196098;135421 
195274;135416 
195827;135418 
195445;135419 
196073;135418 
195152;135419 
195685;135418 
195689;135417 
195912;135417 
195598;135416 
195150;135418 
195426;135418 
195622;135419 
195450;135417 
196097;135419 
195844;135418 
195538;135417 
195657;135419 
195944;135418 
197050;135420 
196370;135419 
196173;135417 
195923;135419 
195507;135417 
195567;135417 
195505;135417 
195766;135419 
196172;135417 
195848;135418 
195000;135420 
195396;135418 
196000;135418 
196066;135421 
196639;135418 
195581;135419 
195747;135417 
195651;135417 
195709;135418 
194097;135417 
195587;135418 
196187;135417 
195693;135418 
195188;135417 
195430;135418 
195705;135420 
195897;135417 
195714;135418 
195395;135417 
195935;135418 
195719;135416 
195671;135417 
195603;135417 
195373;135419 
195934;135415 
195537;135417 
196136;135417 
195831;135417 
196198;135418 
196131;135418 
195288;135421 
195853;135417 
196049;135418 
195921;135418 
195189;135416 
195240;135417 
195999;135418 
195661;135417 
196468;135419 
195303;135417 
195491;135417 
195533;135420 
195476;135417 
195707;135417 
195804;135419 
195796;135419 
196008;135418 
196152;135418 
195575;135416 
196129;135418 
196128;135415 
195725;135418 
195995;135418 
195333;135417 
195636;135419 
196005;135417 
195552;135416 
195871;135420 
195906;135421 
195757;135419 
195984;135418 
195919;135419 
196092;135416 
195717;135417 
195141;135419 
195490;135419 
195655;135418 
195322;135417 
195254;135417 
195722;135416 
195699;135417 
195454;135420 
195377;135418 
195803;135418 
196512;135418 
195443;135417 
195971;135417 
195966;135417 
195599;135416 
196312;135419 
195733;135418 
195784;135419 
196002;135418 
195739;135418 
195729;135417 
195999;135417 
195507;135420 
195713;135418 
195493;135418 
195236;135418 
195457;135417 
195077;135420 
196284;135423 
195565;135418 
195449;135418 
195806;135418 
196066;135417 
195599;135418 
195407;135417 
195848;135419 
195658;135416 
195457;135418 
196029;135419 
195749;135416 
195118;135417 
195813;135417 
195712;135416 
195962;135420 
195569;135419 
195026;135418 
195939;135416 
195410;135418 
196586;135420 
195280;135417 
195289;135418 
195860;135420 
195286;135417 
196065;135418 
196915;135423 
195342;135419 
195531;135421 
195459;135418 
196252;135417 
195629;135419 
195336;135418 
196192;135419 
195783;135418 
196657;135422 
195780;135418 
195758;135417 
196186;135418 
195383;135418 
196060;135421 
195561;135417 
195969;135419 
195848;135419 
195563;135417 
195672;135419 
195399;135420 
195086;135418 
195613;135418 
196339;135417 
195954;135420 
195806;135420 
195553;135418 
195486;135417 
196030;135418 
195377;135417 
195623;135418 
195986;135421 
195408;135418 
195628;135417 
195602;135418 
195971;135420 
195365;135418 
195810;135419 
195544;135417 
196395;135417 
195708;135419 
195349;135418 
195225;135416 
195862;135416 
196059;135420 
196001;135421 
195846;135418 
195881;135418 
196142;135418 
195928;135418 
196593;135420 
196160;135417 
195642;135418 
195239;135415 
195678;135417 
195910;135419 
194797;135418 
196193;135417 
196018;135420 
195330;135416 
196060;135418 
195672;135416 
195184;135419 
195959;135418 
195077;135418 
195066;135420 
194942;135421 
195255;135418 
195261;135421 
195752;135419 
195278;135418 
196270;135417 
194738;135417 
195859;135420 
195389;135418 
195920;135418 
195678;135419 
195944;135419 
195094;135419 
195737;135422 
195774;135417 
195842;135417 
195726;135422 
195859;135420 
196134;135418 
195167;135420 
196323;135421 
195701;135418 
196175;135421 
195495;135417 
195776;135416 
195998;135420 
196208;135421 
195165;135417 
195862;135421 
195781;135421 
195267;135419 
195863;135417 
196126;135416 
195521;135419 
195688;135418 
196063;135419 
195733;135417 
195410;135419 
196003;135420 
196370;135420 
195696;135420 
195157;135419 
195420;135419 
195941;135416 
195327;135417 
195647;135417 
195602;135419 
195898;135417 
196181;135419 
195450;135419 
196137;135420 
196135;135418 
194808;135420 
196234;135419 
195928;135421 
195992;135417 
196124;135420 
195189;135420 
195529;135420 
195790;135418 
195265;135418 
196156;135417 
195411;135418 
196211;135417 
195741;135418 
195485;135416 
196582;135419 
195585;135420 
195355;135419 
195966;135418 
195852;135421 
195401;135418 
195908;135421 
195621;135420 
195591;135420 
195466;135420 
195859;135418 
195507;135417 
196409;135419 
195909;135417 
196211;135422 
195249;135417 
196460;135420 
195488;135417 
195299;135418 
195207;135418 
196430;135420 
195609;135422 
195942;135419 
195356;135419 
195261;135418 
195708;135417 
195374;135418 
195968;135419 
195869;135419 
195776;135417 
195970;135420 
196032;135417 
195484;135417 
195312;135418 
195587;135418 
195734;135417 
195511;135418 
195163;135417 
196024;135418 
194830;135417 
195355;135418 
194759;135416 
195549;135422 
195729;135417 
196041;135421 
195273;135420 
195729;135419 
196359;135418 
196335;135420 
195311;135419 
195610;135416 
195758;135418 
195549;135417 
195758;135418 
195318;135418 
196174;135420 
195797;135417 
195958;135418 
195552;135421 
196033;135417 
195802;135418 
195719;135417 
194949;135419 
195463;135419 
196023;135418 
195741;135418 
194917;135416 
195172;135417 
195827;135419 
195424;135418 
195745;135417 
195855;135421 
196116;135420 
196100;135419 
195167;135417 
195539;135418 
196089;135420 
195423;135417 
195090;135418 
195750;135419 
195958;135418 
195186;135423 
195740;135419 
195363;135418 
195687;135419 
196067;135419 
195387;135419 
195719;135417 
195446;135418 
195150;135419 
195737;135418 
195953;135418 
195563;135420 
195983;135417 
195788;135416 
194980;135418 
195620;135417 
196071;135417 
195210;135417 
196187;135417 
195734;135416 
195920;135422 
196176;135418 
196361;135419 
194896;135418 
195989;135419 
194725;135416 
195656;135419 
195552;135418 
195508;135418 
195918;135418 
195570;135418 
195191;135418 
196008;135419 
196098;135421 
195615;135416 
195663;135417 
195860;135418 
195146;135418 
195681;135419 
196120;135421 
195301;135418 
196068;135418 
195884;135419 
195617;135418 
195412;135420 
196142;135418 
196014;135421 
195572;135419 
196048;135417 
195933;135418 
195763;135417 
194957;135419 
196233;135419 
194860;135416 
195979;135420 
195446;135418 
195735;135420 
195764;135418 
195644;135418 
195912;135418 
195506;135420 
195708;135420 
194976;135417 
195498;135419 
195667;135418 
195811;135419 
195678;135420 
195727;135419 
195014;135418 
196023;135418 
196071;135422 
196116;135421 
195430;135418 
195373;135419 
195600;135419 
195428;135418 
195635;135417 
195057;135417 
195735;135420 
195232;135419 
195546;135420 
195778;135418 
195416;135418 
195297;135418 
195870;135419 
195373;135418 
195380;135419 
195419;135418 
195780;135417 
195851;135418 
195901;135416 
196386;135419 
195499;135418 
195980;135419 
196128;135419 
195050;135418 
195206;135419 
195994;135419 
196117;135417 
195957;135419 
195272;135419 
196296;135419 
195698;135420 
195394;135419 
195857;135418 
195711;135420 
195394;135421 
196264;135417 
195641;135422 
195815;135417 
195697;135419 
196259;135418 
196203;135419 
194865;135418 
195356;135420 
195595;135416 
195631;135417 
194961;135419 
195975;135423 
196042;135420 
196186;135417 
195898;135420 
195880;135420 
196020;135419 
194858;135417 
196304;135417 
195909;135418 
195986;135418 
195783;135419 
196195;135419 
195902;135417 
195457;135421 
194846;135415 
196225;135418 
195866;135421 
195679;135418 
196372;135417 
195636;135416 
195468;135419 
194643;135417 
195562;135417 
195198;135418 
196022;135417 
195007;135418 
195693;135419 
195771;135417 
195706;135421 
195975;135420 
196207;135419 
195835;135416 
195885;135416 
196008;135423 
195046;135416 
196038;135418 
195071;135417 
195374;135418 
195981;135419 
196141;135417 
195249;135417 
195020;135418 
195023;135418 
195757;135419 
195810;135418 
195314;135419 
195828;135418 
195807;135417 
195445;135418 
195919;135418 
194698;135420 
196072;135420 
195543;135417 
195509;135417 
196271;135419 
194899;135417 
196181;135419 
195618;135422 
195166;135417 
195780;135420 
195885;135417 
195591;135420 
195401;135420 
195696;135420 
194852;135418 
195218;135418 
195606;135420 
195844;135422 
194997;135417 
194849;135417 
195202;135418 
194796;135417 
195592;135420 
196181;135420 
195519;135417 
195436;135418 
195865;135419 
195312;135418 
196051;135417 
195239;135417 
195895;135422 
195351;135418 
195982;135420 
195615;135422 
195620;135418 
195940;135418 
194539;135416 
195824;135420 
196115;135419 
195499;135419 
195491;135417 
195111;135418 
195962;135417 
195818;135418 
195164;135419 
195741;135419 
195671;135417 
195735;135419 
195843;135417 
195387;135418 
195792;135417 
196091;135417 
195855;135417 
195557;135418 
195420;135419 
195504;135418 
195533;135421 
195032;135417 
195524;135418 
195432;135419 
196597;135418 
196156;135416 
195863;135419 
195522;135418 
195365;135418 
195614;135417 
196091;135420 
195526;135419 
196104;135421 
195526;135420 
195541;135415 
195820;135421 
195350;135417 
195773;135417 
195619;135421 
195011;135419 
196342;135418 
195817;135418 
195943;135418 
194941;135416 
195604;135418 
195535;135416 
196221;135418 
195506;135418 
195888;135419 
196401;135418 
196464;135421 
195864;135420 
196017;135418 
195700;135419 
196065;135420 
196548;135422 
195415;135419 
196071;135419 
195652;135418 
195412;135419 
195606;135416 
195189;135419 
195557;135420 
195708;135419 
195720;135416 
195714;135420 
195635;135420 
195814;135420 
195913;135421 
196066;135419 
196263;135420 
195196;135417 
195493;135420 
194980;135417 
195790;135417 
195739;135419 
195302;135416 
195779;135419 
196390;135421 
196149;135420 
196423;135420 
195872;135418 
196070;135419 
195585;135418 
195824;135418 
195954;135419 
195391;135418 
195361;135418 
195266;135419 
195496;135417 
195515;135417 
195650;135419 
195437;135419 
195583;135419 
195355;135420 
195853;135418 
195106;135419 
195896;135418 
195545;135417 
195715;135419 
195296;135415 
196033;135418 
195583;135418 
195639;135419 
196230;135420 
195614;135418 
195588;135419 
196125;135421 
195190;135418 
195580;135418 
195568;135419 
195367;135418 
195010;135420 
195753;135421 
195321;135419 
195453;135418 
195249;135418 
196301;135419 
195637;135420 
195594;135417 
195741;135418 
196952;135419 
195540;135417 
195962;135418 
195944;135419 
195133;135418 
196181;135418 
195726;135417 
196221;135422 
195922;135418 
195759;135420 
195714;135417 
195861;135418 
195858;135420 
196377;135421 
195644;135417 
195796;135421 
195400;135418 
195644;135421 
196368;135420 
195788;135414 
195134;135418 
195918;135416 
195195;135417 
196145;135420 
195551;135418 
196057;135419 
196060;135419 
196555;135419 
195992;135418 
195232;135418 
195816;135418 
195403;135419 
195200;135418 
195701;135420 
196110;135418 
195810;135420 
195144;135419 
195605;135416 
195667;135421 
195693;135418 
195640;135417 
195910;135420 
195398;135419 
195677;135420 
195692;135418 
195789;135420 
195260;135419 
195909;135420 
195027;135418 
194652;135420 
195223;135418 
195837;135420 
195803;135418 
196098;135419 
195218;135418 
196012;135418 
195634;135419 
195970;135418 
195898;135420 
196078;135418 
196575;135419 
195229;135417 
195509;135418 
195819;135417 
195879;135422 
195318;135418 
195813;135417 
195262;135418 
195856;135417 
195409;135416 
195154;135420 
195183;135418 
195807;135421 
195819;135417 
195489;135417 
195740;135419 
195459;135417 
195626;135418 
195746;135418 
195846;135421 
196062;135419 
195568;135417 
195824;135419 
195222;135418 
196497;135419 
195382;135419 
195859;135418 
195857;135420 
195366;135418 
195873;135418 
196169;135419 
195117;135419 
195794;135420 
195350;135419 
195468;135418 
195598;135419 
195324;135417 
196308;135421 
195262;135419 
195512;135419 
196058;135419 
194869;135418 
195553;135419 
196730;135425 
195582;135417 
195930;135419 
195327;135419 
195579;135419 
195347;135420 
195450;135420 
196331;135422 
195213;135419 
195864;135418 
195584;135417 
195698;135417 
195593;135419 
195991;135418 
196448;135421 
195277;135416 
195782;135419 
195916;135420 
195825;135420 
195747;135418 
195962;135420 
195424;135417 
195411;135418 
195626;135417 
195897;135420 
195773;135418 
195574;135420 
195660;135418 
196336;135420 
195547;135420 
195829;135420 
194975;135420 
195469;135418 
195774;135419 
195485;135419 
195571;135419 
195827;135421 
196009;135418 
195989;135417 
195705;135419 
195622;135417 
196153;135420 
195419;135417 
195358;135417 
196159;135421 
195312;135418 
195988;135416 
195954;135417 
196733;135419 
196020;135419 
195970;135418 
195583;135417 
195207;135418 
195058;135417 
195862;135417 
195773;135418 
195955;135417 
196214;135423 
196080;135417 
196174;135419 
196117;135417 
195969;135420 
195267;135419 
195622;135420 
196268;135418 
195711;135418 
195503;135420 
196156;135423 
195744;135419 
196401;135418 
196023;135418 
196155;135419 
196597;135419 
195862;135418 
195651;135420 
195263;135418 
195871;135418 
195276;135418 
195915;135420 
196139;135418 
195930;135418 
195722;135418 
195390;135418 
194896;135417 
195749;135419 
195799;135418 
196200;135417 
196318;135419 
195739;135418 
196386;135417 
195463;135418 
195503;135419 
195782;135419 
195679;135419 
196190;135419 
196252;135421 
195413;135418 
195871;135418 
195405;135421 
195415;135418 
195731;135417 
195707;135417 
195082;135418 
195592;135419 
196254;135420 
194773;135418 
195464;135419 
195550;135419 
195805;135418 
195516;135418 
195510;135419 
195777;135418 
195881;135416 
195243;135418 
195611;135420 
195837;135420 
194904;135417 
195573;135420 
196096;135417 
195869;135416 
195633;135418 
197065;135423 
195792;135418 
195407;135418 
195704;135426 
195146;135416 
194932;135419 
195525;135416 
196451;135419 
196005;135416 
195613;135418 
195525;135418 
196348;135418 
195840;135419 
196271;135419 
195661;135421 
195087;135421 
195799;135418 
195778;135420 
196058;135418 
195395;135416 
195528;135419 
195165;135420 
196478;135419 
196346;135419 
195926;135419 
196185;135419 
195533;135418 
195235;135417 
195324;135420 
195751;135419 
195648;135421 
195935;135422 
195585;135418 
195266;135420 
195200;135418 
196246;135419 
196199;135420 
195933;135419 
196547;135419 
195782;135419 
195353;135418 
196335;135419 
196384;135422 
195443;135417 
195658;135420 
195922;135424 
195710;135418 
195562;135418 
195827;135417 
195897;135418 
196159;135418 
196316;135418 
195702;135418 
195428;135417 
195368;135421 
195912;135420 
196325;135419 
195309;135416 
195047;135417 
195354;135418 
195033;135418 
195437;135417 
195625;135419 
195451;135420 
196018;135419 
195003;135416 
195158;135418 
195543;135418 
195715;135417 
195331;135418 
196090;135419 
195509;135416 
196158;135416 
195290;135418 
195680;135418 
196010;135421 
195088;135418 
195504;135418 
195823;135418 
195846;135417 
195202;135418 
195738;135420 
195175;135417 
195854;135422 
195783;135419 
195570;135420 
195091;135419 
195328;135420 
195904;135416 
195387;135418 
195222;135420 
194743;135416 
196037;135417 
195978;135418 
195839;135419 
195689;135418 
195592;135418 
195580;135417 
195664;135419 
195154;135418 
195406;135418 
195412;135417 
195627;135419 
195242;135418 
196024;135418 
195362;135421 
195035;135419 
196150;135417 
195880;135418 
195778;135420 
195842;135417 
195493;135419 
195607;135418 
195784;135417 
195781;135420 
195652;135420 
195649;135422 
195178;135419 
195441;135416 
195703;135419 
196346;135417 
195609;135418 
196260;135420 
196265;135420 
195685;135421 
195184;135419 
195488;135418 
195421;135418 
195015;135416 
195907;135416 
195730;135417 
196110;135419 
195567;135418 
195984;135420 
196041;135418 
195621;135417 
196078;135420 
195542;135420 
195098;135417 
195804;135417 
195086;135421 
195445;135418 
195645;135420 
195602;135419 
195599;135419 
195581;135416 
195700;135417 
195910;135417 
195851;135421 
195925;135421 
195375;135419 
195298;135418 
196290;135420 
195411;135419 
194911;135418 
195900;135419 
195808;135418 
196583;135420 
196359;135420 
195258;135418 
195686;135417 
194975;135418 
195504;135417 
195786;135419 
195773;135418 
195592;135420 
195918;135419 
195325;135418 
195233;135420 
195838;135419 
196096;135424 
196696;135418 
196089;135417 
195580;135420 
195527;135419 
195063;135417 
195073;135415 
195880;135415 
195802;135419 
195661;135420 
195520;135419 
195897;135418 
195292;135419 
196163;135421 
195673;135420 
195910;135421 
195808;135418 
195440;135418 
195825;135418 
195709;135417 
195491;135418 
195862;135419 
196170;135417 
195774;135421 
195567;135417 
194420;135417 
195387;135420 
195534;135418 
195873;135420 
195106;135418 
195867;135419 
195787;135419 
196490;135418 
195442;135419 
195997;135422 
194990;135418 
195690;135418 
195078;135418 
195269;135418 
195657;135417 
195172;135419 
195628;135419 
195661;135417 
196200;135418 
195531;135418 
195833;135418 
195709;135421 
195936;135420 
195592;135417 
195618;135419 
195744;135417 
195870;135419 
196009;135417 
195964;135420 
196056;135422 
195748;135421 
195791;135419 
195698;135419 
195533;135416 
195491;135417 
195337;135420 
195506;135419 
195793;135420 
196000;135417 
195207;135418 
195411;135422 
195177;135416 
195906;135418 
195299;135417 
195884;135423 
196144;135420 
195348;135418 
196065;135419 
195091;135417 
195164;135418 
195641;135418 
196259;135419 
196208;135419 
195574;135420 
195212;135421 
195856;135418 
194883;135419 
195363;135422 
196239;135420 
196536;135418 
195670;135419 
195372;135420 
195671;135418 
195868;135419 
195797;135418 
195688;135417 
195466;135416 
195604;135420 
195357;135419 
195948;135419 
195818;135419 
195610;135418 
195706;135418 
195487;135417 
195695;135419 
195844;135420 
195667;135416 
195572;135417 
195817;135419 
195360;135420 
195669;135419 
195885;135420 
196154;135419 
195859;135418 
195826;135419 
195762;135417 
195201;135419 
195987;135421 
195889;135418 
195662;135418 
195111;135418 
196014;135418 
195637;135419 
196142;135420 
196147;135422 
195857;135420 
195890;135418 
195826;135421 
196094;135419 
195981;135419 
195802;135416 
196636;135420 
195549;135418 
195739;135420 
195871;135418 
194876;135420 
194789;135418 
196449;135423 
195594;135419 
196189;135419 
194692;135417 
196002;135419 
195858;135419 
195479;135420 
195857;135419 
195829;135418 
196076;135419 
196526;135418 
195605;135419 
194883;135417 
195603;135417 
195145;135418 
195619;135418 
195390;135417 
195755;135420 
196586;135418 
195591;135420 
196160;135417 
196205;135417 
195339;135418 
195046;135417 
195584;135419 
195335;135420 
195484;135420 
195862;135417 
196041;135420 
196044;135417 
195032;135417 
195817;135418 
195701;135417 
196052;135417 
195917;135418 
195450;135418 
196087;135417 
196485;135419 
195986;135418 
195582;135418 
194961;135417 
195785;135420 
195318;135417 
196367;135421 
195489;135422 
195788;135420 
195798;135418 
195460;135417 
195495;135419 
194728;135417 
195549;135419 
194990;135418 
195224;135419 
195553;135418 
194752;135419 
194853;135416 
195916;135419 
194802;135417 
196086;135417 
195650;135417 
195750;135419 
195895;135422 
195563;135418 
195860;135418 
195733;135420 
196222;135418 
195461;135418 
195652;135416 
195902;135419 
195606;135420 
195404;135417 
195710;135418 
195436;135418 
195799;135416 
195298;135419 
195984;135419 
196303;135420 
195906;135420 
195589;135419 
195254;135417 
195630;135420 
194855;135419 
196041;135418 
195107;135417 
195678;135420 
195429;135417 
195649;135417 
196118;135419 
195727;135419 
196343;135421 
195372;135418 
195032;135415 
196255;135418 
195323;135418 
195725;135418 
195792;135419 
195572;135419 
195426;135422 
195238;135417 
195883;135419 
196044;135420 
195891;135418 
195340;135417 
195099;135417 
195686;135418 
195715;135419 
195696;135418 
195982;135418 
196101;135417 
195408;135419 
195605;135420 
194517;135418 
195609;135418 
195720;135420 
195553;135418 
195483;135418 
195930;135419 
196414;135418 
195810;135419 
196275;135418 
196447;135418 
195588;135419 
195171;135417 
195398;135419 
195476;135417 
195697;135417 
195524;135418 
195767;135418 
195410;135417 
195229;135417 
196223;135418 
195813;135418 
195773;135421 
195375;135419 
196153;135420 
195354;135418 
195672;135419 
195725;135419 
196046;135420 
195201;135418 
196028;135420 
196041;135423 
195381;135417 
195415;135420 
195694;135419 
195394;135422 
195244;135418 
195550;135420 
195548;135421 
196197;135420 
195086;135419 
195913;135421 
195245;135417 
195527;135421 
195366;135420 
195016;135417 
196054;135417 
195453;135418 
196110;135417 
195340;135417 
195463;135417 
