CYCLES;INS
195511;135419 
197178;135418 
195343;135417 
195655;135416 
197081;135419 
195491;135420 
195574;135420 
196307;135419 
196788;135419 
195962;135418 
196084;135418 
197027;135418 
197102;135419 
197493;135417 
195163;135420 
197937;135418 
196363;135418 
195632;135418 
197524;135420 
197489;135420 
195766;135419 
195705;135418 
197580;135418 
195484;135418 
195140;135418 
197924;135417 
195685;135418 
195702;135420 
195593;135418 
195582;135417 
195086;135423 
196489;135418 
195643;135417 
195517;135418 
197843;135419 
195511;135416 
195473;135418 
198102;135419 
195402;135417 
197838;135420 
195210;135418 
195465;135419 
195702;135416 
195968;135419 
195890;135416 
196860;135418 
196100;135420 
195115;135417 
195372;135418 
195699;135418 
195697;135420 
195515;135418 
198749;135419 
196525;135419 
198854;135421 
195883;135417 
196754;135417 
197255;135418 
196639;135418 
197226;135419 
196221;135418 
195567;135416 
195990;135422 
196035;135418 
195038;135421 
195556;135417 
195502;135419 
198071;135416 
197808;135420 
195380;135418 
196179;135418 
195694;135418 
195239;135418 
195420;135418 
195163;135417 
199384;135418 
195379;135417 
197432;135419 
194757;135416 
197428;135417 
195179;135417 
194768;135417 
195544;135417 
195262;135418 
197803;135419 
197458;135419 
195739;135419 
198035;135418 
195616;135419 
197666;135419 
195317;135417 
195603;135420 
197203;135417 
195387;135418 
195147;135419 
195209;135420 
195467;135420 
195418;135417 
195543;135419 
195092;135416 
197393;135419 
195545;135419 
195701;135419 
196738;135417 
195626;135419 
195329;135419 
195370;135419 
196041;135417 
196958;135419 
196635;135419 
195507;135418 
195185;135416 
197659;135417 
197417;135420 
197683;135418 
195602;135420 
197601;135418 
195128;135418 
198360;135420 
197091;135418 
197227;135419 
195498;135418 
196941;135418 
195054;135417 
198231;135418 
195919;135420 
195495;135418 
195093;135419 
196830;135417 
196776;135418 
195378;135417 
195387;135418 
196672;135419 
195709;135419 
195818;135418 
196009;135418 
197136;135417 
196483;135419 
194873;135417 
196754;135418 
195332;135417 
195313;135420 
197147;135419 
195436;135420 
195781;135419 
195105;135418 
195703;135418 
196500;135418 
195296;135416 
196039;135419 
195115;135418 
196634;135419 
197181;135421 
195330;135421 
195531;135419 
196274;135418 
196421;135417 
204868;135419 
195889;135419 
198042;135420 
195859;135419 
196082;135420 
195805;135419 
195306;135418 
195775;135419 
195658;135420 
198454;135417 
195562;135419 
194993;135419 
195547;135420 
196869;135418 
195347;135417 
196796;135418 
195603;135418 
197479;135420 
195033;135420 
196090;135417 
194836;135416 
197325;135419 
195265;135416 
195444;135418 
195328;135419 
195398;135420 
