CYCLES;INS
296383;158148 
295867;158120 
296017;158133 
295854;158115 
297891;158135 
296326;158154 
296634;158122 
296528;158124 
296815;158153 
296205;158135 
296317;158147 
296393;158117 
296521;158154 
296127;158138 
298097;158129 
296027;158117 
296266;158137 
295807;158114 
296383;158129 
296117;158121 
296578;158148 
298376;158136 
297907;158130 
296195;158133 
296662;158131 
296001;158133 
296970;158116 
295977;158152 
296061;158136 
295818;158124 
296163;158121 
295773;158130 
296711;158117 
296033;158124 
298341;158157 
296098;158130 
296311;158133 
296221;158125 
296331;158118 
296416;158119 
296064;158112 
296679;158151 
295804;158140 
296738;158153 
296482;158147 
295796;158123 
298434;158119 
296844;158155 
297588;158126 
295933;158115 
296476;158159 
296644;158135 
296189;158122 
296083;158111 
296233;158116 
296108;158130 
295839;158130 
296766;158143 
296176;158133 
295670;158118 
296328;158149 
296235;158124 
296281;158117 
296329;158127 
296220;158139 
298476;158146 
296332;158126 
296587;158137 
296091;158134 
296143;158115 
296187;158116 
297910;158127 
296277;158117 
298185;158122 
296520;158130 
296143;158125 
296658;158151 
296388;158126 
296912;158160 
295980;158116 
296414;158132 
298551;158130 
296279;158124 
296821;158151 
296530;158162 
295797;158124 
296040;158128 
296063;158131 
296406;158140 
296312;158129 
296495;158149 
296687;158135 
296642;158150 
296097;158122 
296906;158137 
295996;158133 
296917;158156 
296745;158147 
296384;158162 
296330;158137 
295955;158117 
296297;158124 
296463;158134 
296283;158136 
296737;158143 
297402;158114 
296338;158126 
296083;158122 
296720;158133 
296611;158128 
298583;158121 
296381;158153 
295943;158124 
295757;158132 
298040;158120 
295897;158126 
296407;158139 
296481;158160 
296059;158126 
296378;158130 
296520;158125 
298516;158125 
298384;158120 
296371;158138 
296405;158136 
296605;158142 
296478;158160 
297063;158118 
295810;158126 
296163;158134 
298594;158133 
296419;158135 
296670;158151 
296064;158128 
296132;158137 
296385;158118 
296295;158147 
298241;158114 
296349;158158 
296373;158116 
296051;158125 
295981;158134 
298304;158130 
296040;158133 
296497;158121 
296852;158116 
296206;158138 
295774;158128 
296291;158125 
295874;158127 
296294;158122 
296524;158141 
296081;158125 
298499;158154 
296401;158133 
296170;158136 
296147;158127 
295980;158136 
297117;158154 
296884;158122 
296370;158148 
296405;158121 
297315;158134 
296052;158136 
296155;158130 
296288;158129 
296242;158130 
296137;158124 
296061;158122 
295721;158117 
296854;158163 
296668;158137 
296093;158130 
296218;158121 
296211;158115 
296214;158135 
296119;158124 
297494;158129 
296052;158115 
296547;158130 
296733;158127 
295921;158121 
296245;158120 
295873;158118 
296362;158138 
296269;158126 
296964;158147 
296037;158126 
296360;158112 
296546;158152 
296247;158131 
296558;158115 
296440;158123 
296214;158122 
296492;158138 
296318;158112 
296521;158135 
298743;158126 
296233;158129 
298294;158121 
298475;158157 
296119;158135 
296025;158126 
296862;158119 
296421;158129 
297134;158120 
296987;158155 
296116;158118 
296052;158121 
296241;158124 
296383;158142 
296206;158160 
296413;158138 
296471;158136 
296517;158150 
295919;158117 
296288;158133 
296433;158141 
296739;158140 
297448;158138 
296598;158138 
296310;158124 
296691;158144 
295949;158124 
296538;158153 
297373;158138 
296043;158134 
296307;158155 
297245;158124 
296243;158120 
295868;158136 
297329;158125 
296297;158115 
297034;158167 
296105;158133 
296197;158129 
296356;158119 
296959;158126 
296057;158121 
296100;158117 
296177;158116 
296281;158122 
297719;158137 
295925;158125 
296268;158130 
296711;158130 
296440;158123 
296007;158133 
296371;158149 
296600;158134 
296296;158131 
296124;158132 
296416;158121 
296170;158148 
296274;158121 
296534;158129 
296338;158165 
296429;158165 
296049;158125 
296006;158117 
296503;158137 
296169;158120 
296609;158124 
296649;158131 
296905;158137 
295985;158127 
296311;158135 
298856;158156 
296342;158136 
296192;158125 
295945;158125 
295722;158116 
296385;158149 
296850;158123 
295760;158119 
296054;158124 
296665;158115 
298336;158131 
296233;158121 
296222;158137 
295924;158122 
296385;158105 
297312;158116 
295894;158115 
296366;158147 
297630;158160 
296179;158135 
298729;158129 
296118;158120 
297362;158135 
296232;158159 
295973;158131 
298688;158141 
296343;158138 
296058;158125 
296354;158119 
296395;158129 
296284;158117 
296395;158131 
295787;158128 
296230;158115 
296446;158142 
296246;158126 
296565;158123 
296679;158129 
296447;158139 
297114;158142 
296423;158120 
296186;158119 
296534;158119 
296292;158122 
296185;158125 
296852;158121 
296434;158126 
296040;158142 
296199;158131 
296095;158122 
296522;158126 
296525;158125 
296295;158152 
296062;158124 
296592;158144 
297281;158136 
296762;158158 
296041;158127 
298418;158136 
296967;158134 
296602;158121 
296436;158141 
297804;158133 
296395;158124 
296260;158133 
296252;158118 
297090;158154 
296129;158111 
296311;158139 
296194;158122 
296202;158141 
296176;158151 
296258;158126 
296461;158127 
296836;158161 
296262;158135 
297216;158150 
295979;158134 
296852;158135 
296302;158113 
295928;158132 
296486;158123 
296518;158128 
296492;158147 
297498;158127 
297019;158139 
296132;158117 
296298;158115 
296336;158120 
296489;158160 
296476;158151 
296244;158127 
296432;158122 
296021;158128 
297242;158117 
296221;158114 
298327;158142 
296473;158150 
296100;158130 
296768;158121 
296356;158114 
296094;158126 
296116;158127 
296261;158152 
296321;158132 
295717;158125 
298276;158155 
296330;158120 
296231;158136 
297967;158147 
296455;158129 
296139;158126 
296127;158132 
296407;158140 
296304;158125 
296264;158130 
298083;158123 
297974;158132 
296712;158130 
297228;158158 
296598;158152 
296078;158120 
299046;158148 
296517;158156 
297253;158131 
297418;158168 
296581;158138 
296338;158122 
295963;158126 
297125;158150 
296020;158120 
296884;158132 
296374;158156 
296197;158120 
296292;158138 
297111;158158 
296096;158137 
296044;158128 
296246;158131 
296006;158156 
296325;158128 
296221;158131 
295908;158126 
296613;158162 
296411;158160 
298777;158158 
296447;158153 
296215;158122 
296278;158125 
298960;158157 
297042;158126 
295709;158118 
296552;158132 
296847;158153 
296245;158131 
297418;158150 
296045;158106 
295899;158120 
296251;158136 
296487;158164 
295788;158117 
