CYCLES;INS
296447;158122 
296077;158120 
296278;158119 
296034;158130 
296371;158164 
295992;158125 
296566;158125 
296255;158125 
295992;158137 
296309;158122 
295939;158128 
296291;158128 
295969;158136 
296390;158126 
296571;158151 
296261;158133 
296405;158115 
296746;158155 
295924;158130 
296025;158124 
296711;158141 
295605;158136 
296029;158129 
296585;158124 
296319;158111 
296114;158115 
296349;158149 
296232;158122 
296380;158133 
296121;158117 
296077;158127 
296214;158116 
296162;158131 
296831;158126 
295834;158120 
296168;158134 
296227;158132 
296613;158139 
296832;158163 
296150;158143 
296107;158126 
296285;158112 
296258;158104 
296526;158145 
296218;158141 
295806;158124 
296316;158155 
296170;158121 
296529;158128 
296471;158159 
295905;158124 
296047;158110 
296611;158149 
295892;158119 
296508;158138 
297484;158119 
298345;158109 
296791;158125 
296191;158148 
296860;158140 
296068;158124 
295837;158128 
295908;158112 
296533;158126 
296402;158123 
298992;158172 
296124;158130 
295953;158124 
297201;158121 
295886;158124 
297335;158132 
296008;158116 
296407;158129 
296807;158163 
296245;158125 
295927;158120 
296087;158147 
296821;158161 
296463;158159 
296515;158117 
295957;158111 
296083;158130 
298034;158111 
296130;158115 
297196;158128 
296795;158126 
296046;158128 
296030;158121 
296216;158126 
296541;158157 
297072;158125 
296873;158171 
296070;158120 
296103;158120 
296252;158144 
295872;158116 
296210;158124 
296212;158123 
295728;158126 
296717;158120 
296536;158141 
296050;158123 
296360;158135 
296216;158133 
296590;158148 
297973;158124 
295970;158113 
296063;158127 
296122;158138 
296038;158138 
296567;158138 
296292;158130 
295970;158130 
296414;158139 
296069;158132 
296912;158137 
297081;158125 
296342;158120 
297190;158117 
296395;158135 
295803;158113 
296631;158159 
295899;158124 
296522;158144 
297534;158154 
296057;158129 
296201;158139 
297826;158144 
296148;158119 
297654;158120 
296253;158115 
296232;158119 
296329;158119 
296419;158140 
296684;158157 
295993;158122 
296677;158132 
296136;158158 
296203;158125 
296017;158126 
297373;158147 
296274;158122 
296283;158154 
296835;158128 
295837;158113 
295956;158122 
296955;158127 
296122;158123 
296123;158125 
298325;158143 
296315;158143 
296466;158136 
296073;158119 
297640;158151 
298058;158126 
296148;158118 
297424;158131 
295919;158123 
296008;158125 
296447;158120 
295894;158118 
296244;158130 
296684;158135 
295926;158120 
296172;158136 
296351;158155 
296604;158149 
296208;158128 
295870;158129 
296245;158139 
295970;158143 
296402;158142 
296099;158125 
296151;158130 
296146;158122 
296421;158145 
298473;158147 
296068;158123 
296058;158127 
297512;158126 
296267;158115 
296400;158122 
297260;158124 
296755;158128 
296579;158120 
297125;158139 
296154;158116 
296286;158146 
296113;158136 
296130;158133 
296132;158118 
296159;158134 
296483;158138 
296205;158115 
296575;158125 
296947;158128 
296300;158147 
296192;158123 
296013;158120 
297858;158124 
297960;158158 
296317;158122 
296864;158132 
297913;158123 
295926;158128 
295843;158124 
296305;158111 
296110;158115 
295960;158105 
296452;158119 
296451;158162 
296459;158160 
296298;158122 
296705;158150 
296296;158131 
296273;158114 
296502;158132 
296614;158129 
298192;158127 
296053;158107 
296201;158128 
296677;158143 
295851;158122 
296021;158131 
296400;158118 
295866;158125 
295848;158122 
296442;158156 
296059;158126 
295975;158121 
298465;158135 
296452;158154 
296404;158125 
297165;158127 
296667;158149 
295917;158122 
296203;158149 
295948;158125 
296534;158129 
296409;158126 
296227;158119 
295920;158134 
298234;158143 
296196;158121 
296920;158125 
297626;158122 
297306;158128 
298238;158116 
295952;158133 
295975;158126 
296398;158119 
295792;158126 
298103;158128 
295871;158124 
298440;158113 
296129;158123 
296990;158125 
296009;158120 
297073;158162 
298440;158135 
295629;158116 
296099;158119 
296304;158119 
296155;158121 
296075;158122 
296462;158118 
297406;158133 
296486;158131 
297977;158127 
298509;158122 
296159;158123 
295961;158127 
296018;158116 
296764;158121 
295867;158131 
296621;158133 
296510;158134 
296530;158127 
297923;158114 
296453;158142 
296468;158135 
296415;158130 
297262;158126 
295783;158114 
296503;158158 
296173;158112 
295885;158108 
296240;158119 
295908;158122 
296344;158109 
297268;158165 
298328;158116 
295899;158127 
295936;158118 
296390;158133 
296287;158122 
297577;158159 
295793;158129 
296322;158120 
296455;158132 
296676;158153 
296669;158147 
296157;158129 
296147;158133 
296857;158168 
296266;158125 
295756;158123 
296802;158163 
295861;158138 
296445;158128 
295535;158111 
296583;158124 
297969;158144 
298598;158122 
296141;158155 
296772;158158 
296179;158122 
296278;158120 
296548;158164 
296241;158122 
296231;158112 
296468;158155 
296439;158143 
298476;158153 
295992;158132 
295996;158126 
295913;158130 
297457;158153 
296276;158124 
296323;158145 
296068;158129 
296184;158123 
296249;158127 
296120;158120 
297209;158145 
296101;158123 
297766;158142 
296413;158127 
296216;158130 
296517;158159 
295965;158122 
296166;158124 
296251;158140 
295968;158121 
296034;158125 
296099;158115 
296204;158132 
296468;158143 
295827;158125 
297059;158122 
296123;158131 
296876;158142 
296605;158133 
297231;158125 
296198;158119 
296251;158129 
296122;158135 
296236;158121 
296110;158125 
297385;158118 
295731;158115 
295984;158126 
297939;158113 
296508;158151 
297160;158136 
295967;158125 
296483;158165 
295952;158126 
296185;158134 
296055;158127 
295656;158134 
295816;158123 
296150;158130 
296809;158129 
297687;158154 
296303;158137 
295780;158128 
296155;158125 
296472;158124 
297270;158129 
296191;158141 
295937;158121 
297384;158116 
296236;158129 
297427;158140 
299651;158130 
296083;158120 
296329;158134 
296211;158134 
296213;158129 
295861;158131 
296413;158140 
296284;158119 
296617;158127 
296540;158125 
296118;158132 
298315;158119 
296172;158126 
296171;158119 
295818;158125 
295880;158118 
296342;158146 
296783;158157 
296204;158134 
296435;158160 
297719;158139 
298420;158144 
296522;158133 
296579;158116 
296943;158132 
295999;158129 
297527;158147 
296415;158128 
296079;158124 
298273;158147 
296574;158166 
296249;158162 
296401;158116 
295929;158123 
296069;158128 
296158;158124 
297147;158123 
296419;158134 
295870;158135 
296714;158113 
296439;158133 
296242;158137 
296493;158142 
296217;158131 
296696;158127 
296256;158128 
296297;158126 
297239;158127 
296770;158142 
296635;158156 
296225;158127 
296348;158154 
296403;158125 
295885;158116 
297836;158128 
296069;158123 
296225;158153 
295831;158128 
296433;158132 
295921;158131 
296347;158129 
296186;158130 
296130;158137 
295982;158131 
297955;158124 
296378;158132 
296272;158133 
295915;158116 
296063;158133 
296886;158125 
296542;158125 
296240;158154 
296584;158126 
296170;158118 
296694;158163 
296738;158137 
297105;158122 
296217;158127 
296244;158121 
299008;158129 
295942;158131 
296266;158118 
296294;158150 
296160;158122 
296128;158124 
295916;158126 
295939;158122 
296403;158137 
296273;158163 
296540;158136 
296819;158136 
296741;158124 
296345;158127 
296384;158118 
296029;158127 
296402;158122 
296424;158134 
296856;158157 
296339;158127 
295836;158137 
296411;158114 
296287;158152 
298043;158125 
296341;158129 
296524;158150 
295970;158124 
298202;158150 
296431;158138 
297275;158139 
296906;158131 
296024;158131 
296502;158157 
296324;158122 
296218;158133 
296880;158159 
296303;158132 
296440;158134 
296163;158118 
298176;158133 
296069;158130 
296120;158130 
296452;158144 
296327;158123 
296687;158141 
297205;158135 
295872;158123 
295929;158127 
296008;158134 
296428;158133 
296247;158121 
296168;158134 
296387;158155 
296774;158120 
296657;158139 
296124;158136 
296216;158109 
296250;158129 
296121;158126 
296172;158132 
295998;158128 
296624;158148 
295972;158126 
298322;158119 
296560;158145 
296532;158152 
298300;158159 
296252;158131 
296364;158154 
296525;158118 
296375;158147 
296188;158123 
296063;158138 
298502;158158 
295945;158139 
295832;158132 
298152;158135 
295797;158119 
295987;158128 
296426;158171 
297849;158143 
297328;158123 
296252;158110 
296578;158118 
295954;158123 
296441;158126 
296539;158154 
296417;158128 
295984;158122 
296015;158125 
295855;158116 
296129;158119 
297013;158131 
295845;158124 
296279;158124 
296455;158137 
296088;158122 
296426;158154 
296435;158161 
295971;158124 
296120;158118 
296704;158148 
296404;158155 
295902;158137 
297944;158122 
296057;158126 
295792;158126 
295878;158124 
296056;158120 
296199;158126 
295958;158126 
298445;158126 
296851;158151 
296491;158148 
296349;158116 
296450;158125 
296526;158124 
298402;158127 
296169;158115 
295817;158124 
296587;158149 
296108;158123 
296217;158133 
296334;158121 
298544;158121 
295933;158125 
297748;158145 
296320;158123 
298791;158145 
296031;158131 
296878;158134 
296175;158116 
296702;158120 
296085;158132 
298290;158129 
296358;158126 
296179;158127 
295876;158123 
296257;158125 
298241;158124 
296407;158136 
295913;158128 
295897;158128 
296400;158135 
296178;158128 
297559;158143 
296001;158125 
297081;158127 
296232;158128 
296022;158128 
296470;158130 
296045;158135 
296733;158116 
296194;158126 
296117;158127 
298252;158118 
296404;158130 
296447;158138 
297231;158139 
296189;158106 
296434;158135 
296117;158137 
295933;158117 
296412;158108 
296110;158121 
296116;158129 
295904;158119 
298669;158147 
296453;158141 
296183;158141 
296933;158164 
296754;158138 
296240;158124 
296533;158148 
298012;158115 
297077;158122 
295850;158125 
296505;158137 
296316;158137 
296772;158150 
295793;158130 
296622;158161 
296391;158138 
295980;158126 
296270;158111 
296035;158133 
