CYCLES;INS
296327;158139 
295948;158129 
296453;158127 
296410;158152 
296421;158145 
296029;158113 
296113;158141 
296174;158141 
296141;158123 
296554;158135 
296551;158147 
295929;158117 
296365;158126 
296492;158155 
296256;158120 
296222;158134 
296640;158143 
296535;158158 
296316;158135 
296214;158136 
296193;158147 
296483;158155 
296357;158107 
295926;158124 
295959;158128 
296316;158132 
296261;158135 
296121;158108 
296585;158145 
296133;158127 
296068;158134 
296011;158134 
296624;158144 
295997;158119 
296494;158128 
295838;158126 
296296;158121 
296240;158120 
296999;158138 
296362;158129 
296140;158136 
296320;158139 
296110;158124 
296098;158115 
296401;158127 
296414;158125 
296398;158131 
296506;158138 
296559;158119 
296010;158132 
296209;158107 
296160;158121 
296785;158152 
296308;158117 
296422;158150 
295645;158125 
296445;158134 
296564;158139 
296798;158156 
296321;158128 
296182;158117 
296176;158127 
296535;158121 
296349;158119 
296626;158146 
296373;158159 
296500;158162 
296273;158129 
296454;158144 
296450;158144 
296279;158121 
296183;158136 
295842;158131 
296015;158124 
295991;158123 
296379;158124 
296828;158139 
296315;158156 
296111;158132 
296320;158134 
296185;158139 
296262;158157 
296113;158126 
296271;158115 
295957;158118 
296263;158150 
296227;158165 
296245;158125 
296638;158140 
296384;158119 
295977;158123 
296380;158149 
295704;158122 
295800;158128 
296498;158174 
296621;158130 
296080;158130 
297067;158139 
296186;158133 
295796;158123 
296477;158138 
296149;158118 
295519;158129 
296051;158134 
297016;158156 
296051;158121 
296396;158126 
296218;158119 
296090;158136 
296779;158127 
296108;158131 
296624;158158 
296204;158128 
296362;158150 
296164;158126 
296137;158118 
295874;158122 
296088;158132 
296251;158125 
296235;158125 
296229;158140 
296510;158125 
296029;158112 
296209;158138 
296283;158115 
296597;158160 
295919;158145 
295941;158133 
296301;158133 
296157;158129 
296666;158158 
295880;158117 
296345;158132 
295882;158126 
296571;158143 
296440;158124 
296186;158140 
296568;158125 
296128;158136 
295805;158117 
296076;158136 
295994;158129 
296958;158132 
295854;158127 
295957;158136 
295976;158126 
296164;158124 
296268;158119 
296374;158157 
296231;158125 
296328;158124 
295973;158122 
296324;158119 
295707;158126 
296249;158123 
296172;158127 
296499;158150 
296287;158126 
295985;158109 
296057;158129 
296382;158130 
295706;158113 
296405;158153 
295877;158125 
296158;158130 
296554;158140 
296500;158130 
296039;158130 
296160;158124 
296146;158141 
295946;158126 
296028;158128 
295934;158140 
295869;158121 
295648;158120 
296212;158122 
296429;158133 
296739;158134 
295796;158123 
296281;158116 
296430;158127 
296240;158137 
296105;158124 
296181;158118 
296064;158148 
296035;158122 
296238;158129 
296626;158162 
296021;158128 
296088;158139 
296935;158150 
296459;158132 
296180;158123 
296001;158127 
296243;158137 
296784;158142 
296427;158145 
296364;158125 
296128;158121 
296567;158150 
295960;158115 
296327;158130 
296254;158122 
296609;158141 
295792;158129 
296419;158127 
296017;158119 
296089;158130 
296298;158124 
295902;158118 
296181;158139 
296202;158155 
296331;158127 
296112;158134 
296297;158129 
295992;158122 
296412;158150 
296545;158130 
296645;158119 
296198;158118 
296385;158127 
296173;158128 
296245;158121 
296170;158145 
296175;158134 
296063;158123 
296439;158149 
295819;158134 
295847;158129 
296178;158128 
296194;158123 
296154;158133 
295757;158109 
296238;158122 
296474;158138 
296244;158132 
296334;158151 
296214;158115 
296057;158132 
296463;158146 
296338;158119 
296151;158122 
295990;158126 
296424;158153 
296440;158128 
295988;158132 
296215;158122 
295975;158120 
296039;158131 
296030;158133 
296480;158131 
295917;158125 
296252;158127 
296512;158153 
296037;158118 
296381;158148 
296235;158130 
296013;158127 
296157;158143 
295975;158132 
296055;158115 
296652;158146 
296505;158126 
296443;158121 
296255;158132 
296223;158135 
296375;158144 
296658;158129 
295878;158119 
295517;158116 
296439;158164 
296050;158121 
296494;158118 
296218;158127 
296218;158133 
295838;158129 
296246;158148 
296140;158130 
296001;158131 
296292;158128 
296744;158152 
296101;158126 
296136;158118 
296612;158156 
297053;158167 
296417;158138 
295982;158121 
295897;158115 
296396;158128 
295836;158119 
295954;158116 
296955;158123 
296374;158115 
295868;158114 
296324;158123 
295946;158115 
296328;158121 
296191;158142 
296099;158122 
296199;158135 
296032;158128 
296005;158128 
296446;158125 
296328;158123 
296043;158140 
296121;158123 
295999;158118 
296515;158130 
295994;158132 
296354;158115 
296230;158135 
296124;158132 
295778;158126 
296288;158134 
296673;158135 
295965;158119 
296152;158118 
296302;158128 
296169;158127 
296062;158110 
296423;158124 
296182;158118 
296320;158127 
296291;158135 
296446;158135 
296105;158128 
296502;158138 
296089;158113 
296269;158136 
296444;158154 
295993;158131 
296309;158126 
296107;158121 
296287;158134 
296044;158125 
295652;158120 
296631;158153 
296219;158160 
296365;158136 
295953;158141 
295962;158121 
295765;158112 
296043;158124 
296283;158113 
296803;158131 
296104;158114 
296560;158135 
296603;158121 
296419;158135 
296072;158121 
296277;158124 
296135;158123 
295765;158134 
296733;158143 
296764;158125 
296379;158138 
296178;158120 
295947;158129 
295831;158126 
295891;158128 
296153;158131 
296559;158115 
296335;158135 
296629;158170 
296280;158121 
296098;158117 
296125;158127 
295953;158125 
296132;158135 
296562;158140 
296268;158129 
296103;158127 
296046;158123 
295934;158134 
296077;158124 
296046;158127 
296372;158139 
296060;158117 
296127;158120 
296342;158130 
296115;158116 
295818;158115 
296294;158138 
295955;158118 
296210;158123 
296433;158119 
296072;158121 
296034;158124 
296223;158127 
296178;158124 
296211;158128 
296350;158137 
296031;158137 
296376;158119 
296133;158124 
295899;158130 
296441;158144 
296012;158137 
295933;158115 
296090;158124 
295990;158131 
295961;158122 
296103;158121 
295670;158123 
296621;158116 
296640;158121 
295712;158130 
296728;158125 
295914;158140 
296012;158127 
295962;158138 
296028;158113 
295882;158119 
295858;158134 
296330;158153 
296381;158122 
296090;158124 
296546;158128 
296313;158148 
295892;158113 
296178;158120 
296447;158131 
296727;158173 
296344;158137 
296538;158128 
296591;158150 
296261;158117 
296516;158171 
296510;158133 
295968;158114 
296042;158127 
296476;158129 
296155;158113 
296383;158129 
296299;158132 
296583;158138 
296703;158155 
296380;158131 
296724;158148 
296299;158147 
296495;158159 
296152;158121 
296345;158153 
295883;158122 
296030;158140 
296434;158129 
296259;158137 
296053;158133 
296069;158122 
296335;158134 
295978;158115 
296548;158120 
295982;158128 
295884;158132 
295865;158117 
296417;158131 
295918;158130 
295829;158116 
296002;158136 
296357;158141 
296328;158155 
296565;158157 
296236;158125 
296162;158126 
296121;158146 
296646;158145 
296562;158156 
296540;158132 
296562;158123 
296217;158126 
296053;158136 
296310;158132 
296398;158132 
296097;158126 
296167;158122 
296287;158135 
296130;158119 
296149;158130 
296016;158131 
296294;158142 
295945;158143 
296340;158131 
296415;158154 
296032;158125 
296159;158121 
296415;158124 
295860;158118 
296329;158132 
296276;158153 
296130;158120 
296606;158138 
296311;158126 
296067;158126 
296486;158151 
296852;158159 
296203;158125 
296104;158130 
296370;158131 
296196;158125 
296038;158138 
296259;158128 
296603;158155 
296300;158124 
296493;158139 
296140;158135 
296368;158154 
296425;158141 
296716;158127 
296434;158154 
296338;158140 
296346;158154 
296377;158133 
296506;158143 
296714;158159 
296591;158155 
295939;158111 
296458;158128 
296256;158162 
295780;158111 
296237;158119 
296241;158131 
296198;158115 
296688;158128 
296045;158117 
296103;158135 
296318;158121 
296360;158122 
296116;158134 
