CYCLES;INS
296385;158129 
296339;158120 
296799;158142 
296235;158125 
296128;158113 
296291;158140 
296667;158147 
296161;158124 
296022;158116 
296027;158120 
296060;158125 
296374;158130 
296101;158131 
296262;158157 
296257;158128 
296285;158138 
296599;158133 
296057;158126 
296218;158125 
296297;158133 
296116;158117 
296127;158112 
296011;158125 
295861;158135 
296387;158121 
295894;158125 
296321;158133 
296263;158121 
296517;158124 
296040;158122 
296241;158122 
295890;158128 
295940;158131 
296181;158133 
296493;158131 
296805;158135 
296132;158127 
295834;158120 
296198;158118 
296464;158133 
295984;158130 
296216;158146 
296656;158112 
296183;158126 
296238;158127 
296251;158120 
296341;158140 
296470;158123 
296282;158130 
296144;158129 
296106;158135 
296348;158125 
296166;158131 
296035;158120 
296261;158119 
295957;158128 
296132;158122 
296443;158125 
296411;158135 
296347;158124 
296288;158109 
296363;158134 
296266;158110 
296241;158125 
296196;158118 
296510;158148 
296082;158120 
296173;158116 
296319;158163 
296174;158141 
296359;158156 
296311;158122 
296173;158121 
296235;158125 
296161;158129 
296658;158164 
295974;158133 
296191;158120 
296232;158140 
296563;158142 
296452;158166 
296537;158152 
296176;158128 
295870;158114 
296162;158133 
296453;158152 
296371;158135 
296216;158118 
296201;158126 
295956;158117 
295955;158129 
296303;158125 
296151;158128 
296413;158142 
296468;158147 
296259;158123 
296102;158123 
296287;158129 
295947;158122 
296114;158132 
296114;158116 
296120;158154 
296146;158128 
296462;158116 
296237;158123 
296379;158138 
296030;158114 
296569;158120 
296348;158135 
296076;158131 
296059;158128 
296168;158135 
296045;158156 
296733;158158 
296240;158150 
296050;158142 
296371;158116 
296451;158111 
296108;158131 
296544;158132 
296621;158153 
296218;158125 
296427;158126 
296382;158127 
296148;158133 
296285;158163 
296646;158116 
296246;158128 
295929;158119 
296288;158133 
296434;158131 
296258;158138 
296148;158122 
295832;158122 
296392;158129 
296193;158125 
296187;158123 
296194;158136 
295955;158126 
296492;158124 
295935;158131 
295941;158116 
295801;158111 
296848;158170 
296312;158127 
296762;158134 
296369;158153 
296584;158153 
296335;158149 
296290;158141 
296250;158126 
296348;158143 
295984;158133 
295988;158124 
296656;158151 
296565;158150 
296217;158131 
296313;158134 
296142;158136 
295943;158124 
296005;158127 
295910;158122 
296139;158126 
296106;158117 
296192;158134 
296091;158122 
296430;158138 
296088;158121 
295618;158133 
296164;158146 
296061;158127 
296201;158134 
296834;158140 
295776;158114 
295938;158117 
296168;158147 
296297;158157 
296109;158122 
295882;158122 
296361;158128 
296673;158158 
296662;158159 
295983;158132 
295884;158124 
296264;158156 
295795;158125 
296633;158134 
296334;158116 
296411;158139 
296484;158130 
296417;158150 
296054;158122 
296177;158120 
296157;158140 
296042;158119 
296229;158120 
295849;158124 
296076;158133 
296321;158117 
296367;158161 
296405;158131 
296246;158125 
296234;158132 
296288;158128 
295853;158126 
296673;158155 
296755;158143 
295920;158114 
296188;158150 
296198;158121 
296306;158150 
295951;158118 
296421;158136 
296342;158133 
296334;158116 
295869;158127 
296008;158129 
296144;158120 
296423;158154 
296093;158118 
296297;158130 
296345;158145 
296207;158116 
296182;158121 
296430;158123 
296171;158119 
295909;158132 
296147;158123 
296375;158132 
296607;158125 
296282;158118 
296133;158156 
295941;158123 
296188;158138 
295947;158119 
296210;158113 
296088;158124 
296576;158155 
296418;158156 
296676;158151 
296711;158150 
296030;158142 
296292;158157 
296074;158129 
295636;158118 
296318;158120 
296083;158113 
296447;158140 
295870;158108 
296453;158126 
296564;158127 
296397;158119 
295958;158133 
296393;158124 
296342;158116 
296292;158132 
295909;158136 
296193;158133 
295656;158119 
296596;158132 
296230;158123 
296406;158166 
296723;158158 
296871;158168 
296755;158147 
295780;158110 
296328;158115 
296148;158124 
296400;158163 
296326;158129 
296324;158152 
295817;158119 
295854;158118 
296423;158137 
296665;158138 
296465;158152 
295996;158123 
296293;158120 
296105;158117 
296070;158130 
296101;158120 
296035;158120 
296474;158133 
296310;158114 
296317;158143 
296746;158133 
296200;158125 
295847;158117 
296226;158136 
296642;158157 
296439;158119 
296334;158133 
295999;158132 
296108;158155 
296495;158127 
296624;158132 
296134;158112 
295759;158127 
296362;158131 
295926;158126 
296011;158129 
296829;158166 
295918;158132 
296045;158130 
296023;158145 
296073;158142 
296094;158130 
296302;158128 
297005;158169 
296038;158121 
296170;158124 
295786;158139 
295831;158117 
296327;158150 
296296;158153 
296037;158121 
296420;158140 
296000;158125 
296559;158140 
296213;158126 
296123;158121 
296145;158115 
296404;158155 
296101;158152 
296275;158120 
296245;158133 
296044;158123 
295866;158130 
296207;158104 
296375;158138 
295971;158123 
296332;158122 
296202;158136 
296130;158125 
296531;158140 
296260;158129 
296756;158138 
296111;158120 
296275;158117 
296635;158136 
296290;158118 
296616;158149 
296359;158113 
296313;158134 
295946;158117 
296648;158138 
296172;158138 
296313;158115 
296273;158120 
296152;158129 
296127;158128 
296463;158127 
296520;158126 
296804;158151 
296383;158132 
296359;158149 
296077;158126 
295992;158139 
296328;158151 
295877;158114 
296133;158134 
296231;158174 
296445;158156 
296209;158119 
295942;158118 
296291;158138 
295940;158117 
296531;158148 
295853;158125 
296652;158127 
295958;158121 
295932;158123 
296042;158131 
295968;158122 
296218;158146 
296505;158120 
296240;158134 
296068;158120 
295618;158139 
296054;158129 
296339;158130 
295894;158123 
296051;158125 
296708;158134 
296175;158122 
295778;158119 
296210;158140 
295880;158114 
295996;158127 
296078;158133 
296016;158137 
296422;158157 
296319;158124 
296138;158123 
296335;158124 
295989;158127 
296037;158135 
296322;158133 
296151;158127 
296066;158121 
296219;158140 
295921;158125 
296255;158131 
296103;158130 
296526;158137 
296327;158137 
296095;158141 
296055;158138 
296268;158129 
296860;158138 
296240;158112 
296769;158118 
296543;158159 
296015;158126 
295701;158123 
296117;158123 
295819;158130 
296162;158162 
296437;158135 
296078;158133 
295907;158131 
296305;158115 
296328;158145 
295998;158121 
295810;158122 
296104;158118 
295743;158117 
296284;158124 
296417;158137 
295940;158133 
296186;158124 
296386;158153 
295781;158125 
296242;158154 
296156;158126 
295971;158135 
295934;158128 
296338;158138 
295960;158111 
296301;158139 
295624;158115 
296288;158139 
296112;158132 
295943;158114 
296497;158151 
296022;158119 
296132;158121 
296202;158135 
296111;158121 
296134;158124 
296282;158136 
296077;158125 
296635;158141 
296378;158121 
296631;158153 
296356;158156 
296143;158128 
296053;158118 
296146;158115 
296113;158128 
296570;158156 
296106;158135 
296068;158123 
296293;158127 
296285;158127 
295748;158118 
296375;158141 
295791;158126 
296322;158127 
296303;158155 
296078;158150 
296352;158135 
295947;158118 
295859;158120 
296104;158122 
296490;158134 
296028;158130 
296522;158135 
296563;158162 
295732;158133 
296133;158124 
296575;158148 
295911;158125 
296181;158151 
296234;158130 
296045;158136 
296263;158131 
295938;158118 
296162;158118 
296161;158122 
296125;158137 
296173;158132 
296050;158146 
296096;158140 
295912;158125 
296335;158137 
296012;158136 
296045;158129 
295914;158120 
296450;158129 
296275;158125 
295978;158134 
296317;158136 
296546;158144 
296144;158129 
295975;158126 
295973;158127 
296127;158122 
296217;158133 
296063;158119 
296300;158129 
296163;158137 
296432;158124 
296189;158155 
296040;158116 
296274;158120 
295936;158131 
296227;158128 
296040;158125 
296262;158131 
296207;158131 
295723;158117 
295845;158113 
296180;158124 
296593;158134 
296024;158130 
296401;158153 
296725;158163 
296566;158152 
295954;158128 
296583;158154 
296321;158122 
296310;158112 
296270;158134 
296166;158133 
295723;158131 
296452;158137 
296414;158161 
296037;158127 
296068;158116 
296126;158139 
295933;158132 
296750;158155 
296443;158158 
296307;158133 
296029;158140 
296071;158129 
296210;158141 
296291;158131 
295924;158118 
296241;158115 
296359;158118 
295738;158118 
295960;158125 
296470;158131 
296081;158140 
296208;158133 
295924;158111 
296303;158136 
296331;158140 
296445;158139 
296472;158150 
296458;158150 
296256;158120 
296113;158139 
296238;158125 
296036;158128 
296888;158154 
296205;158125 
296765;158149 
296413;158116 
296486;158120 
295884;158120 
296887;158146 
295887;158113 
296077;158130 
296194;158137 
296001;158119 
297007;158120 
296167;158123 
295858;158118 
296516;158132 
296171;158124 
296390;158148 
296693;158163 
296116;158151 
295932;158113 
295750;158108 
295960;158123 
296136;158132 
296231;158124 
296552;158157 
296119;158128 
296129;158142 
296083;158126 
296014;158131 
296012;158110 
295884;158124 
296657;158147 
296063;158120 
296496;158166 
296305;158140 
296062;158136 
295964;158117 
296271;158125 
296062;158138 
296241;158126 
295871;158109 
296549;158151 
296061;158115 
295973;158118 
296465;158136 
296116;158128 
296417;158141 
296148;158133 
296162;158149 
296092;158121 
296259;158119 
295916;158134 
296188;158135 
296036;158112 
296057;158139 
296117;158129 
295926;158113 
296171;158145 
296283;158137 
295683;158111 
295983;158143 
296251;158128 
296239;158133 
296027;158129 
296178;158127 
296305;158129 
296377;158114 
296174;158123 
296361;158126 
296162;158133 
296011;158123 
296249;158149 
296390;158136 
295913;158130 
296071;158137 
295908;158138 
296296;158133 
296475;158162 
295978;158128 
296227;158142 
296495;158128 
296155;158135 
296071;158128 
297110;158136 
296285;158136 
296158;158133 
295882;158137 
295807;158135 
296248;158136 
296067;158130 
296223;158139 
296200;158150 
295849;158111 
296539;158154 
296470;158137 
296131;158156 
296150;158125 
296107;158137 
296066;158140 
296344;158164 
296070;158109 
295777;158119 
296262;158124 
296365;158135 
296054;158123 
296213;158129 
296062;158123 
296390;158151 
296407;158147 
296121;158121 
296011;158130 
296210;158129 
296173;158129 
296180;158131 
296690;158143 
296223;158118 
296283;158150 
296270;158131 
295915;158121 
295570;158114 
296057;158134 
296132;158119 
296223;158124 
296054;158132 
295910;158119 
295945;158124 
296148;158122 
296026;158117 
296263;158157 
295845;158129 
296395;158124 
296589;158148 
296020;158125 
296166;158121 
295543;158124 
295840;158116 
296384;158130 
296379;158156 
296260;158150 
296511;158155 
296175;158130 
296298;158163 
296526;158131 
296262;158146 
296626;158160 
295960;158126 
296392;158112 
296111;158116 
295956;158122 
296011;158118 
296420;158130 
296279;158126 
296240;158138 
296266;158129 
296690;158143 
296165;158122 
295874;158122 
295890;158114 
296030;158133 
296282;158133 
296340;158152 
296239;158133 
296315;158139 
296244;158128 
296492;158132 
296498;158131 
295903;158137 
296286;158142 
296284;158134 
296103;158135 
296109;158115 
296190;158129 
296180;158114 
296616;158136 
296145;158135 
296424;158161 
296340;158149 
296213;158128 
295919;158122 
296280;158146 
295854;158126 
296366;158138 
296496;158148 
295876;158123 
296079;158117 
295910;158132 
296002;158128 
295857;158121 
295922;158129 
296199;158148 
296108;158122 
296616;158149 
296092;158134 
295991;158123 
296486;158152 
295808;158122 
296127;158130 
295959;158131 
296351;158131 
296801;158152 
295857;158137 
296201;158141 
295840;158123 
296060;158114 
296241;158132 
296649;158139 
296154;158123 
296079;158151 
296438;158133 
296269;158119 
296514;158152 
296321;158119 
296430;158121 
296468;158149 
296100;158115 
295888;158122 
295850;158119 
296004;158134 
296156;158131 
296583;158156 
296117;158125 
296524;158154 
295901;158127 
296253;158132 
296166;158128 
295958;158116 
296148;158122 
296128;158138 
296691;158159 
295651;158132 
296212;158117 
295919;158131 
296826;158170 
296085;158123 
296253;158141 
296591;158129 
296508;158158 
295780;158120 
296365;158138 
295941;158129 
295780;158115 
295597;158117 
296366;158148 
296139;158138 
295927;158141 
296358;158152 
296458;158157 
296247;158126 
296364;158128 
296714;158138 
295943;158157 
295871;158133 
295874;158121 
295936;158133 
295896;158126 
296088;158135 
296509;158166 
296245;158150 
295992;158138 
296135;158144 
296683;158173 
296259;158153 
296173;158135 
296777;158122 
295823;158133 
296267;158115 
296340;158128 
296043;158115 
296600;158124 
296268;158153 
296029;158116 
295865;158124 
296098;158156 
296336;158119 
296103;158132 
295944;158131 
296325;158131 
296055;158122 
296073;158135 
296097;158134 
295809;158141 
295990;158116 
296390;158137 
295870;158128 
296082;158110 
295808;158115 
296393;158118 
296120;158131 
295930;158133 
296162;158136 
296444;158148 
296623;158154 
296411;158139 
295876;158127 
296271;158142 
296141;158136 
296477;158133 
296079;158124 
296386;158130 
296351;158161 
296105;158123 
296104;158119 
296496;158152 
296532;158119 
296107;158124 
295899;158123 
295836;158132 
296200;158127 
295656;158121 
296256;158128 
295949;158127 
296197;158127 
295907;158120 
296275;158129 
296040;158113 
296241;158150 
296121;158141 
296536;158133 
296094;158118 
295901;158116 
296880;158136 
296272;158139 
295815;158130 
296020;158120 
296089;158127 
296194;158120 
296235;158133 
295992;158128 
296220;158121 
296181;158121 
296625;158155 
296230;158155 
296398;158144 
296451;158139 
296260;158136 
296230;158129 
296369;158150 
296112;158123 
296381;158114 
295710;158119 
296188;158131 
296164;158131 
295870;158128 
296416;158150 
296370;158113 
296770;158162 
296210;158121 
295954;158130 
295813;158133 
295992;158125 
296531;158135 
296395;158125 
296642;158159 
296519;158143 
296085;158129 
296085;158118 
296199;158121 
295976;158156 
296579;158128 
295881;158128 
296191;158125 
296364;158117 
296369;158132 
296182;158133 
296089;158147 
295991;158129 
296848;158149 
296541;158133 
296294;158116 
296033;158133 
296201;158117 
295731;158115 
296102;158121 
295987;158115 
296285;158139 
296113;158119 
296151;158134 
296267;158169 
295792;158122 
295799;158119 
296263;158154 
296145;158150 
296144;158133 
296189;158124 
295906;158127 
296074;158126 
296257;158132 
295903;158132 
296879;158150 
296383;158145 
296268;158132 
296350;158125 
296191;158121 
296506;158152 
296454;158135 
296172;158154 
296083;158121 
295635;158130 
295797;158117 
295815;158110 
296239;158126 
296196;158119 
296399;158155 
296225;158123 
296491;158127 
295990;158132 
296623;158108 
296588;158138 
296081;158128 
296211;158116 
296278;158134 
296684;158152 
296325;158119 
296335;158155 
296466;158145 
296042;158133 
296534;158128 
295694;158118 
296573;158107 
296266;158150 
296319;158118 
296816;158160 
296067;158130 
296769;158151 
295763;158138 
296309;158125 
296742;158152 
295939;158127 
296285;158119 
296167;158146 
296415;158137 
296345;158149 
295935;158119 
296143;158126 
296438;158134 
296169;158126 
295861;158121 
297053;158150 
296283;158132 
296168;158150 
295955;158128 
296162;158130 
296434;158141 
296623;158152 
296615;158138 
296178;158130 
295917;158125 
296460;158129 
296808;158154 
296024;158142 
296059;158133 
295977;158122 
