CYCLES;INS
296613;158129 
296045;158143 
296666;158136 
296353;158133 
296085;158135 
296627;158126 
295980;158125 
296537;158140 
296110;158132 
295984;158123 
295911;158118 
296057;158117 
296194;158147 
296106;158126 
296238;158114 
296272;158138 
296698;158140 
296106;158127 
296301;158156 
296375;158105 
296432;158131 
296296;158124 
296640;158123 
296054;158122 
296096;158127 
296524;158146 
296068;158117 
296483;158143 
296725;158162 
296138;158125 
296178;158128 
296371;158129 
296171;158123 
295914;158147 
296525;158155 
296268;158108 
296415;158143 
296602;158158 
296757;158129 
296667;158151 
295896;158121 
295771;158114 
295862;158126 
295979;158127 
296556;158139 
296696;158119 
296120;158131 
296035;158133 
296042;158121 
296124;158128 
295994;158113 
296142;158127 
296096;158141 
295910;158121 
295858;158116 
296185;158128 
296121;158135 
296239;158155 
296015;158119 
296604;158137 
295874;158133 
296528;158149 
295838;158121 
296125;158135 
296188;158122 
296687;158156 
296094;158117 
296112;158117 
295976;158123 
296083;158130 
296438;158120 
295585;158119 
296098;158128 
296770;158150 
296537;158121 
296038;158124 
296452;158152 
296721;158117 
296591;158123 
296264;158131 
295899;158113 
295860;158122 
296890;158155 
296035;158120 
296365;158119 
296070;158121 
296537;158158 
296465;158126 
295840;158127 
296178;158125 
296821;158131 
296057;158126 
296204;158126 
296163;158130 
296258;158127 
295830;158141 
296193;158143 
296054;158127 
296507;158153 
296293;158128 
296019;158125 
296037;158129 
296707;158159 
296316;158120 
296220;158128 
296004;158127 
295925;158131 
296406;158125 
296690;158167 
296240;158131 
296262;158124 
296121;158154 
296417;158131 
296227;158137 
295957;158137 
295967;158136 
296024;158131 
296297;158124 
296055;158117 
296268;158126 
295803;158114 
296123;158127 
296406;158129 
296509;158136 
296312;158126 
295945;158130 
296362;158114 
295900;158120 
296150;158129 
296218;158129 
295995;158119 
296061;158121 
296010;158127 
296442;158129 
296168;158113 
296865;158154 
296009;158133 
296091;158129 
296178;158116 
296473;158126 
296817;158134 
296202;158135 
296129;158135 
296577;158137 
296336;158130 
295757;158131 
296576;158132 
296025;158127 
296244;158118 
296376;158137 
296624;158138 
296344;158139 
296381;158137 
296070;158129 
296021;158127 
295918;158131 
296170;158122 
295912;158113 
296346;158120 
296336;158140 
296320;158118 
296670;158149 
296375;158137 
296037;158109 
296625;158127 
296720;158153 
296310;158145 
296378;158133 
295712;158127 
296269;158132 
296770;158128 
296083;158125 
296453;158127 
295993;158128 
296453;158139 
296623;158156 
296325;158139 
296520;158124 
296327;158135 
296485;158129 
295928;158113 
296435;158161 
296254;158133 
296070;158120 
296504;158130 
296111;158152 
295840;158131 
296330;158105 
296137;158131 
296321;158129 
296524;158122 
296194;158135 
296254;158119 
296098;158121 
296158;158123 
296157;158121 
296575;158124 
296145;158132 
296259;158117 
296277;158125 
296748;158142 
296043;158129 
295902;158134 
296685;158126 
296110;158139 
296214;158159 
295868;158118 
296450;158129 
295814;158118 
296175;158141 
296390;158123 
296779;158155 
296285;158131 
296182;158124 
296454;158119 
296144;158152 
296089;158122 
296551;158165 
296022;158134 
296279;158127 
296105;158119 
295733;158121 
296380;158142 
295879;158124 
296104;158128 
296246;158129 
296169;158136 
296454;158157 
296052;158126 
296118;158124 
296528;158140 
296514;158140 
295919;158122 
296269;158123 
296121;158120 
296418;158132 
296717;158160 
296127;158135 
295651;158127 
296431;158149 
296116;158141 
296108;158127 
296562;158129 
296290;158114 
296123;158137 
296831;158156 
296196;158122 
296064;158119 
295941;158137 
295937;158124 
295879;158128 
296036;158123 
296447;158135 
295856;158124 
296589;158111 
296221;158138 
296497;158145 
296568;158137 
295927;158142 
296162;158130 
296398;158125 
296317;158118 
296123;158118 
296488;158122 
296234;158129 
295816;158116 
295961;158114 
295979;158141 
296196;158141 
295988;158114 
296053;158122 
296787;158163 
296025;158129 
296021;158131 
296292;158138 
296390;158123 
296242;158115 
296537;158137 
296473;158135 
296356;158131 
296510;158128 
295848;158138 
295970;158120 
296405;158142 
296207;158150 
296416;158141 
296611;158141 
296000;158149 
296348;158122 
296516;158147 
296718;158151 
296429;158116 
296271;158131 
296206;158122 
296745;158146 
296224;158127 
295878;158123 
296551;158115 
296327;158136 
296134;158123 
296411;158132 
296049;158132 
296159;158115 
296656;158135 
296561;158164 
296015;158123 
296117;158118 
296559;158128 
296236;158128 
296122;158122 
296012;158128 
296526;158135 
296288;158142 
295955;158114 
296511;158164 
296074;158128 
296582;158127 
296395;158130 
296494;158135 
296697;158150 
296239;158126 
295976;158138 
295999;158113 
295956;158128 
296023;158131 
296382;158139 
296179;158139 
296705;158164 
296584;158121 
296034;158131 
296562;158152 
296173;158122 
296112;158143 
296370;158151 
296321;158120 
296431;158128 
296174;158124 
295990;158126 
296142;158123 
296161;158113 
296504;158122 
296137;158128 
296810;158150 
296242;158118 
296423;158140 
296422;158140 
296204;158123 
295961;158124 
296245;158125 
295973;158117 
296337;158138 
296218;158125 
295873;158122 
296493;158119 
296092;158123 
296327;158122 
296839;158139 
296638;158140 
296004;158129 
296522;158136 
296193;158128 
296092;158122 
295655;158113 
296614;158152 
296252;158137 
295974;158123 
296217;158150 
296240;158126 
295837;158134 
296726;158132 
295982;158138 
296011;158124 
296047;158118 
295892;158132 
296426;158124 
296091;158116 
296230;158119 
296711;158165 
296209;158148 
296098;158125 
296249;158124 
296259;158131 
296587;158151 
296748;158160 
296323;158139 
296181;158132 
296721;158133 
296292;158127 
296489;158141 
295903;158127 
295943;158136 
296386;158140 
296390;158135 
296577;158125 
295802;158112 
296099;158126 
296483;158122 
296668;158155 
296317;158130 
296340;158123 
295622;158108 
295951;158122 
296225;158154 
296205;158122 
296151;158135 
296473;158118 
296251;158107 
296369;158134 
296379;158158 
296289;158123 
296015;158114 
296053;158117 
296038;158126 
296565;158138 
296034;158132 
296263;158152 
296161;158143 
296915;158150 
295871;158117 
296058;158114 
296319;158126 
296176;158125 
296155;158111 
296799;158155 
295802;158135 
296204;158125 
296688;158122 
296903;158128 
295846;158123 
296072;158111 
296484;158129 
296523;158133 
296023;158125 
296228;158124 
296265;158123 
296250;158124 
295982;158125 
296359;158132 
296224;158118 
296131;158128 
296095;158126 
296114;158124 
296545;158132 
296172;158121 
296317;158135 
295994;158121 
296415;158125 
296282;158116 
296287;158134 
296247;158126 
296422;158159 
295641;158122 
296113;158114 
296201;158134 
295668;158125 
296388;158127 
296202;158142 
296075;158136 
296046;158129 
296057;158133 
296158;158133 
296066;158130 
296245;158125 
296559;158117 
295776;158122 
295866;158122 
296487;158156 
296331;158140 
296108;158130 
296509;158139 
295758;158121 
296241;158132 
296001;158129 
296069;158133 
295931;158116 
295715;158125 
295944;158117 
295943;158112 
295909;158132 
296403;158129 
295814;158124 
295924;158122 
296476;158135 
296108;158130 
296596;158123 
296324;158133 
296473;158138 
296015;158119 
296273;158122 
296045;158141 
295924;158132 
296131;158124 
296143;158131 
295890;158113 
295982;158122 
296237;158135 
296164;158126 
296418;158120 
296289;158125 
295977;158123 
295894;158126 
296491;158126 
296457;158127 
295790;158118 
296308;158127 
296043;158123 
296653;158155 
295991;158125 
296063;158115 
296492;158142 
296034;158137 
296300;158135 
296577;158120 
295624;158118 
296237;158123 
296419;158138 
296173;158129 
295834;158144 
296130;158120 
296144;158119 
296018;158113 
295923;158118 
296288;158134 
296118;158113 
