CYCLES;INS
296123;158139 
296188;158132 
295889;158121 
297133;158119 
296079;158130 
295915;158126 
296467;158123 
297470;158134 
297373;158124 
296198;158119 
296323;158129 
298095;158137 
297628;158110 
296100;158125 
296248;158119 
296306;158130 
296817;158126 
296642;158130 
295962;158125 
297095;158129 
296196;158130 
297691;158144 
295732;158128 
296670;158128 
296287;158139 
297285;158139 
296263;158118 
296772;158130 
296078;158136 
296253;158132 
296415;158120 
296065;158109 
296357;158136 
296181;158134 
296307;158135 
296067;158125 
296603;158147 
296226;158140 
296485;158114 
296063;158129 
296322;158135 
296302;158114 
296378;158137 
298413;158127 
296184;158137 
296719;158155 
296985;158151 
296182;158129 
296287;158135 
297634;158132 
296396;158130 
296282;158126 
296356;158135 
297713;158144 
295779;158116 
295865;158135 
298358;158133 
296515;158146 
297145;158129 
296092;158139 
296781;158118 
298709;158123 
296136;158131 
296192;158131 
296492;158131 
296197;158121 
296239;158114 
295865;158113 
296218;158125 
297024;158128 
295923;158120 
295786;158113 
296460;158155 
296783;158127 
296604;158160 
296091;158123 
296194;158126 
296335;158155 
296294;158115 
296349;158138 
296081;158130 
295941;158137 
296161;158135 
296217;158125 
296551;158135 
295903;158123 
296617;158140 
297676;158116 
296501;158155 
296427;158144 
298810;158145 
296048;158130 
295970;158116 
296282;158130 
295892;158128 
296199;158128 
296200;158118 
296445;158120 
296028;158135 
296174;158134 
296897;158167 
296210;158134 
296806;158150 
298077;158132 
297490;158134 
296613;158122 
296160;158128 
296570;158152 
298534;158118 
296046;158126 
297166;158128 
295966;158120 
296857;158133 
298130;158115 
295993;158125 
296093;158119 
298003;158127 
296171;158126 
295904;158127 
296153;158127 
296264;158116 
296155;158138 
296542;158116 
296641;158149 
296441;158145 
295905;158123 
297544;158132 
298344;158121 
296269;158126 
296102;158120 
296373;158126 
296270;158149 
296099;158126 
296008;158125 
296168;158108 
296540;158117 
296162;158125 
297628;158125 
296892;158119 
295971;158131 
295875;158112 
296272;158122 
295998;158113 
295759;158112 
295693;158127 
296564;158158 
295979;158129 
296452;158154 
296264;158138 
296507;158139 
296630;158151 
295854;158128 
296571;158125 
297006;158125 
296766;158145 
296103;158129 
298324;158122 
295985;158121 
296058;158127 
296482;158140 
295806;158124 
296120;158125 
296440;158134 
296585;158131 
296197;158119 
296003;158126 
296526;158111 
297172;158129 
296041;158130 
296346;158136 
295696;158110 
295993;158113 
296423;158137 
296293;158135 
297398;158126 
296116;158126 
296235;158121 
296191;158117 
297493;158155 
296321;158154 
296307;158157 
298145;158134 
295900;158115 
296205;158120 
296385;158126 
295800;158127 
297368;158127 
295939;158115 
296311;158149 
296534;158154 
296113;158121 
296273;158126 
298112;158132 
298122;158132 
296093;158130 
295584;158134 
295970;158122 
296523;158154 
296531;158116 
296055;158125 
296249;158134 
295938;158128 
296104;158119 
296379;158135 
296256;158129 
296580;158115 
296483;158133 
295890;158123 
297453;158135 
296101;158144 
295975;158127 
297028;158134 
296552;158135 
298008;158130 
296062;158134 
296237;158115 
295972;158128 
296300;158124 
296165;158141 
295974;158133 
295991;158136 
295808;158138 
296237;158119 
295805;158142 
295952;158125 
296464;158122 
296785;158120 
295870;158115 
296609;158139 
296299;158131 
296347;158134 
298016;158123 
295961;158124 
295928;158134 
297260;158120 
296111;158122 
296068;158125 
295957;158113 
296531;158136 
296258;158154 
295738;158132 
296968;158122 
296626;158124 
296492;158128 
296111;158126 
296267;158124 
296192;158129 
296378;158163 
296063;158125 
295916;158116 
296939;158159 
298327;158147 
297570;158128 
298162;158122 
297927;158128 
298437;158124 
296231;158130 
297270;158152 
296066;158132 
296287;158122 
296052;158146 
297510;158138 
296329;158126 
298422;158112 
296147;158134 
296371;158122 
296203;158123 
296089;158122 
295847;158135 
296071;158125 
296531;158151 
296090;158111 
297767;158147 
296382;158124 
296106;158162 
295917;158124 
296192;158137 
296172;158118 
296384;158160 
296413;158132 
296253;158148 
296267;158113 
296380;158139 
297188;158125 
296342;158149 
296281;158141 
296015;158117 
296048;158126 
298216;158116 
296273;158124 
295980;158132 
296110;158127 
295744;158133 
296297;158128 
296010;158129 
297340;158150 
295722;158111 
296474;158142 
298311;158130 
296194;158121 
295797;158111 
295928;158130 
298277;158116 
295895;158126 
296202;158131 
297101;158125 
296383;158131 
296715;158150 
297497;158156 
296180;158132 
296087;158131 
297822;158133 
296339;158143 
295846;158133 
296364;158144 
296515;158155 
296003;158127 
296072;158121 
296225;158113 
296253;158152 
296359;158153 
296527;158140 
296751;158160 
296134;158136 
296248;158116 
296284;158125 
295981;158122 
297051;158160 
296122;158135 
296469;158131 
296131;158129 
295660;158120 
296669;158150 
296096;158125 
295858;158124 
296511;158137 
296292;158142 
296383;158131 
297508;158140 
296950;158160 
295894;158131 
295968;158128 
296013;158134 
296286;158124 
295930;158119 
295970;158131 
296400;158136 
296164;158155 
296532;158160 
296149;158126 
295919;158126 
296200;158130 
296309;158147 
295985;158136 
296211;158131 
297447;158138 
296207;158133 
295979;158113 
296582;158133 
296505;158150 
296055;158129 
296165;158132 
296276;158143 
296190;158124 
296522;158123 
296017;158134 
297643;158126 
296242;158119 
296373;158153 
296204;158144 
296746;158145 
295980;158125 
298710;158126 
296330;158147 
296044;158118 
296072;158135 
296736;158154 
296313;158123 
297769;158156 
296507;158157 
296411;158126 
295944;158130 
296597;158158 
296836;158132 
296256;158138 
296936;158124 
296119;158123 
296318;158150 
296291;158129 
296043;158115 
296162;158119 
296315;158124 
296220;158139 
296639;158119 
296423;158125 
296641;158144 
296079;158123 
296661;158157 
296627;158152 
296747;158132 
296685;158173 
298671;158150 
296522;158139 
296549;158169 
296070;158131 
296208;158124 
298243;158125 
295962;158128 
297620;158161 
296074;158125 
296010;158151 
296777;158124 
296524;158138 
296305;158152 
296386;158137 
295605;158111 
296262;158138 
296415;158127 
296150;158122 
296040;158120 
296204;158132 
296474;158140 
296451;158122 
296401;158135 
296220;158136 
296146;158127 
296666;158110 
296182;158131 
296346;158155 
296023;158120 
296140;158118 
296319;158126 
296414;158146 
298463;158139 
296300;158123 
295971;158125 
296396;158126 
295880;158121 
296264;158150 
296400;158155 
296272;158119 
296638;158158 
296101;158125 
297697;158158 
296606;158124 
296981;158147 
296175;158146 
296030;158118 
297262;158132 
296184;158126 
296495;158159 
295997;158114 
295958;158118 
297486;158126 
296780;158132 
296100;158121 
296486;158122 
296171;158137 
296345;158151 
296579;158132 
296137;158144 
296108;158125 
296081;158135 
296047;158135 
296853;158145 
295967;158124 
298970;158122 
296043;158125 
296229;158123 
298390;158140 
296117;158114 
296201;158129 
296979;158134 
296292;158140 
296035;158125 
296450;158132 
295892;158130 
296225;158122 
296364;158123 
298499;158127 
296663;158126 
296684;158121 
295842;158126 
296320;158124 
297565;158125 
295813;158123 
295975;158125 
296510;158140 
296126;158122 
296319;158124 
296238;158125 
296167;158154 
295838;158122 
296521;158142 
296078;158133 
296149;158124 
296613;158161 
297777;158142 
296180;158130 
296394;158132 
295993;158136 
296259;158117 
295823;158117 
296053;158120 
295925;158128 
297514;158137 
298917;158155 
295983;158126 
296159;158124 
297420;158115 
296279;158120 
296287;158108 
298087;158127 
296280;158126 
296677;158151 
296119;158126 
298473;158120 
296253;158126 
296112;158115 
298733;158142 
296084;158119 
296335;158131 
296040;158119 
296195;158119 
296283;158121 
295861;158111 
296154;158121 
298040;158134 
295922;158131 
295810;158129 
295914;158140 
295780;158126 
296248;158115 
296949;158138 
296833;158127 
296097;158135 
296127;158118 
296587;158136 
295983;158110 
296759;158158 
296161;158119 
296105;158119 
296702;158127 
295798;158124 
296095;158117 
296749;158151 
297838;158121 
297238;158137 
296168;158121 
298062;158127 
298168;158137 
296202;158131 
297061;158116 
296166;158122 
298289;158110 
296169;158126 
296173;158116 
295998;158120 
296539;158116 
298018;158120 
296814;158126 
296373;158115 
296058;158126 
296625;158154 
296451;158135 
296525;158132 
296082;158117 
296030;158116 
297573;158118 
296016;158121 
296088;158122 
296412;158133 
296265;158134 
296558;158125 
296418;158135 
296475;158122 
297428;158127 
296975;158165 
296484;158123 
296097;158118 
296359;158136 
297354;158113 
296167;158116 
296095;158123 
297109;158127 
296081;158116 
295962;158119 
295938;158116 
296168;158123 
297230;158145 
296152;158124 
296033;158125 
295940;158140 
296008;158131 
296585;158168 
295879;158122 
296465;158153 
296592;158128 
298179;158132 
295997;158117 
296335;158124 
295990;158120 
295911;158119 
295940;158118 
296399;158124 
296401;158117 
297969;158118 
298431;158129 
296997;158136 
296174;158119 
296158;158121 
296325;158126 
295994;158130 
295896;158126 
295979;158127 
295830;158125 
298265;158129 
298519;158121 
296538;158151 
295955;158126 
296481;158164 
296760;158126 
296369;158122 
296595;158125 
297198;158131 
298251;158131 
298780;158128 
296338;158130 
296330;158132 
296176;158145 
296123;158158 
296932;158125 
296803;158133 
295875;158117 
296489;158132 
296043;158130 
298280;158119 
296299;158133 
296234;158122 
297092;158162 
295897;158134 
296050;158137 
296060;158132 
296547;158133 
296823;158141 
296037;158125 
296316;158140 
296068;158119 
295857;158113 
295929;158118 
296246;158136 
297378;158140 
296045;158117 
296670;158131 
296403;158124 
296360;158120 
298530;158123 
296325;158155 
295954;158114 
296204;158123 
296587;158146 
297587;158144 
296698;158133 
296338;158125 
296259;158137 
296380;158154 
298295;158122 
296436;158120 
296062;158116 
296312;158120 
296120;158113 
297498;158118 
296753;158123 
296044;158122 
295994;158134 
295842;158117 
297532;158127 
295864;158127 
296078;158129 
298500;158128 
296704;158151 
296219;158124 
296425;158130 
296102;158126 
296528;158156 
296244;158153 
296026;158125 
296684;158144 
296190;158117 
298704;158119 
296086;158122 
295865;158126 
297866;158128 
296193;158136 
295976;158116 
296102;158124 
296103;158127 
296015;158128 
298682;158118 
296692;158117 
296207;158118 
296197;158139 
296423;158135 
296501;158122 
296262;158133 
296678;158163 
296137;158118 
296675;158161 
298553;158116 
296102;158150 
295932;158130 
296031;158134 
295872;158129 
296503;158157 
296205;158129 
296688;158162 
296379;158143 
298044;158154 
296296;158125 
296313;158135 
296554;158140 
