CYCLES;INS
296266;158131 
297200;158127 
296978;158172 
297173;158152 
296763;158152 
296380;158122 
296350;158130 
296679;158115 
296798;158151 
296424;158147 
295808;158124 
297689;158123 
297641;158149 
298219;158138 
296366;158122 
296350;158127 
296164;158138 
297220;158137 
296464;158155 
296805;158162 
296123;158119 
298359;158135 
295802;158116 
298324;158127 
296480;158128 
296510;158136 
296158;158132 
296929;158132 
298633;158117 
296759;158138 
296281;158141 
297430;158134 
296266;158131 
295715;158123 
296398;158134 
296434;158128 
296547;158127 
296313;158128 
295953;158137 
296118;158124 
296059;158124 
297962;158122 
296974;158129 
296021;158138 
296245;158119 
295821;158122 
296176;158127 
298064;158122 
296172;158119 
298361;158139 
296121;158139 
296004;158119 
296134;158157 
297419;158111 
296915;158121 
295872;158136 
296746;158113 
296238;158131 
296614;158136 
296460;158150 
296136;158128 
297236;158118 
296756;158131 
296262;158113 
295965;158122 
296706;158147 
295910;158109 
296325;158114 
296439;158121 
296127;158116 
297201;158138 
296470;158127 
297240;158139 
296107;158127 
296352;158157 
296432;158154 
297778;158137 
296539;158133 
298157;158146 
295922;158127 
296061;158115 
297356;158124 
296918;158116 
296257;158158 
296695;158153 
296082;158118 
296321;158132 
297264;158122 
298180;158152 
296350;158126 
295960;158121 
297526;158141 
298687;158125 
296719;158124 
295900;158131 
296531;158134 
298345;158129 
296187;158125 
296179;158117 
296337;158122 
297832;158121 
295979;158119 
296809;158161 
296197;158129 
296230;158125 
296192;158133 
296130;158150 
296292;158139 
296400;158128 
296363;158131 
296855;158154 
296333;158135 
296674;158131 
296660;158133 
295958;158125 
298728;158151 
296398;158124 
296337;158133 
296148;158127 
295998;158117 
296479;158124 
298529;158131 
296185;158149 
296464;158148 
296350;158150 
296191;158134 
296061;158131 
296339;158122 
296627;158139 
296307;158134 
300311;158152 
298667;158135 
297642;158123 
295971;158130 
296531;158160 
296235;158121 
296306;158125 
296276;158121 
297006;158164 
296278;158126 
298349;158149 
296493;158134 
296178;158133 
297104;158133 
298373;158131 
296317;158130 
296068;158131 
298301;158128 
296658;158161 
297523;158124 
296325;158122 
296175;158131 
296405;158130 
296741;158126 
296379;158121 
296422;158145 
298584;158134 
296857;158151 
296015;158119 
296690;158133 
296226;158125 
296250;158128 
295904;158137 
296542;158142 
296018;158146 
295858;158113 
296251;158135 
297913;158125 
296147;158121 
296512;158113 
296261;158121 
298779;158138 
296257;158130 
295902;158136 
296454;158129 
296455;158169 
298240;158117 
296164;158113 
296143;158134 
295922;158112 
296045;158127 
296201;158129 
298532;158124 
296093;158118 
296328;158128 
296030;158129 
296163;158120 
298446;158154 
296025;158131 
296149;158122 
296160;158123 
296743;158163 
298133;158118 
295928;158122 
297281;158121 
297060;158117 
297589;158141 
295965;158118 
296361;158124 
296291;158151 
296735;158148 
297277;158132 
296141;158136 
296366;158128 
296246;158125 
296465;158119 
297112;158136 
296161;158127 
296153;158135 
296165;158137 
296904;158125 
296136;158124 
296028;158124 
296298;158157 
296360;158133 
296627;158133 
296568;158128 
296533;158139 
297005;158151 
295902;158115 
296124;158135 
295682;158114 
296195;158131 
296030;158138 
296307;158135 
296023;158130 
298847;158131 
296572;158155 
296456;158138 
296467;158159 
