CYCLES;INS
295890;158124 
295887;158116 
296767;158120 
296570;158142 
296285;158151 
296743;158157 
295551;158119 
296372;158123 
296326;158120 
295948;158119 
296745;158122 
296210;158128 
296054;158147 
296111;158124 
296311;158129 
296488;158150 
295904;158113 
296113;158137 
295905;158121 
295927;158119 
295964;158115 
296029;158121 
296450;158146 
296079;158133 
295956;158121 
296131;158131 
296152;158127 
296870;158138 
296066;158119 
295953;158118 
296368;158152 
296421;158151 
296108;158135 
296149;158122 
296588;158131 
295618;158114 
296011;158124 
296318;158150 
296028;158128 
296277;158134 
297022;158164 
296073;158125 
296108;158117 
295906;158114 
296220;158126 
296587;158164 
296076;158119 
296606;158164 
296060;158118 
296585;158134 
296651;158134 
296483;158145 
296879;158136 
296680;158156 
296731;158146 
296178;158127 
296237;158144 
296274;158130 
296299;158129 
295945;158121 
296167;158116 
296225;158115 
296609;158152 
297219;158154 
296300;158123 
296532;158134 
296813;158147 
295971;158135 
295895;158122 
295968;158128 
296009;158124 
296270;158127 
296680;158162 
296077;158128 
295965;158127 
296515;158152 
296037;158130 
297055;158129 
296455;158133 
296515;158117 
295973;158129 
295930;158134 
296262;158127 
296240;158133 
295717;158127 
296383;158133 
295805;158130 
296217;158124 
296177;158138 
295866;158117 
295800;158119 
296464;158126 
296405;158121 
296432;158142 
296836;158136 
296158;158116 
296009;158134 
296521;158116 
296602;158143 
296547;158116 
296125;158127 
296077;158123 
296692;158128 
296562;158112 
295944;158127 
295956;158140 
295895;158121 
295992;158129 
296105;158107 
296126;158121 
295952;158129 
296337;158137 
296349;158125 
295753;158117 
296060;158121 
296196;158117 
296202;158144 
296646;158127 
296299;158125 
295960;158134 
296666;158132 
296401;158123 
296546;158116 
295806;158127 
296241;158125 
296478;158132 
296472;158131 
296458;158123 
296378;158154 
296252;158121 
295842;158117 
296629;158148 
295989;158127 
296546;158152 
296045;158130 
296194;158116 
296390;158115 
296450;158143 
295822;158129 
296334;158129 
296015;158123 
296378;158130 
296361;158144 
296025;158119 
296282;158153 
296210;158132 
296314;158130 
296023;158114 
296306;158136 
295984;158117 
295841;158128 
296165;158155 
296117;158149 
296559;158143 
295989;158119 
295742;158127 
296245;158128 
295903;158109 
296055;158114 
296530;158132 
296155;158117 
296440;158135 
296681;158123 
295980;158123 
295992;158112 
296305;158147 
295873;158131 
295905;158130 
296292;158135 
296067;158110 
296090;158125 
296519;158164 
296486;158136 
296487;158115 
296274;158119 
296422;158142 
296176;158126 
296385;158132 
295954;158121 
295754;158128 
296497;158129 
296053;158120 
296266;158166 
296399;158120 
296046;158121 
296368;158126 
296447;158118 
296235;158124 
296085;158126 
296258;158126 
296164;158153 
296028;158128 
295749;158127 
296196;158123 
296390;158142 
296639;158121 
296554;158153 
296094;158129 
295943;158136 
295879;158115 
296201;158131 
296235;158165 
296455;158120 
296110;158121 
296457;158122 
296320;158140 
296067;158135 
296174;158141 
295856;158129 
295752;158112 
296611;158118 
295756;158124 
295901;158121 
295912;158132 
296285;158126 
296009;158114 
295769;158130 
296191;158137 
296087;158139 
295895;158126 
295986;158130 
295954;158118 
295901;158125 
296491;158125 
296233;158123 
296017;158118 
295785;158118 
296402;158153 
296118;158113 
296119;158125 
296335;158133 
295917;158128 
296332;158147 
296583;158145 
296197;158146 
296288;158156 
296428;158116 
296162;158123 
296453;158144 
296097;158128 
296038;158122 
296321;158125 
296310;158154 
296094;158124 
295933;158121 
296798;158144 
296211;158156 
296122;158130 
296127;158121 
296015;158127 
296067;158134 
296213;158119 
296544;158163 
296622;158162 
296319;158151 
296233;158145 
296097;158127 
296155;158151 
296389;158121 
296497;158134 
295909;158124 
296177;158138 
296773;158159 
296143;158133 
296130;158117 
296101;158129 
296243;158130 
296090;158126 
296083;158130 
296502;158130 
296336;158134 
296167;158122 
296189;158112 
296101;158128 
296443;158125 
296500;158152 
296420;158150 
295868;158134 
296323;158139 
296290;158123 
296772;158158 
296220;158120 
295882;158123 
296342;158120 
295785;158126 
296417;158138 
296129;158140 
296501;158120 
296486;158134 
296119;158118 
296186;158125 
296554;158123 
295859;158124 
296074;158127 
296010;158138 
295798;158123 
296349;158154 
296399;158124 
295529;158114 
296004;158126 
296259;158130 
296721;158134 
295978;158121 
296427;158124 
296841;158121 
296683;158151 
296223;158124 
296525;158134 
296084;158129 
296890;158150 
296157;158115 
296123;158129 
296032;158137 
296424;158126 
296287;158126 
295820;158127 
296237;158132 
296215;158123 
296259;158138 
296084;158118 
296634;158130 
296064;158125 
296727;158149 
296671;158149 
296072;158115 
296094;158127 
296000;158143 
295961;158116 
296322;158156 
296364;158129 
296428;158135 
296690;158150 
296621;158137 
296155;158135 
296053;158125 
295925;158129 
296392;158141 
296175;158118 
296022;158133 
296108;158132 
296161;158112 
296253;158149 
296440;158133 
296161;158127 
295839;158137 
296449;158163 
296141;158133 
295725;158114 
296291;158124 
295936;158128 
296326;158150 
296221;158145 
296147;158124 
296128;158117 
296227;158126 
296048;158127 
296145;158136 
296028;158125 
296267;158162 
296173;158133 
295967;158126 
296851;158169 
296615;158153 
296610;158127 
297029;158150 
296017;158126 
295886;158121 
296249;158110 
296140;158113 
296829;158138 
296501;158158 
296261;158117 
296534;158124 
296203;158134 
296541;158147 
296194;158133 
296494;158133 
296320;158118 
296386;158117 
296283;158145 
296076;158122 
296525;158157 
296208;158135 
295936;158114 
296054;158130 
296246;158120 
296251;158125 
296025;158130 
295871;158146 
296157;158121 
296300;158139 
296283;158134 
296732;158165 
296390;158131 
296687;158160 
296533;158126 
296171;158127 
296290;158122 
296030;158121 
296129;158136 
