CYCLES;INS
296291;158128 
298175;158130 
297634;158120 
295943;158129 
296303;158124 
296260;158123 
295910;158113 
296637;158134 
297749;158126 
296416;158128 
297079;158129 
296518;158136 
295878;158122 
295969;158137 
298163;158126 
296834;158131 
295855;158120 
296281;158118 
296145;158125 
297105;158122 
298445;158134 
296114;158124 
296158;158124 
296008;158123 
296186;158116 
296437;158138 
295855;158128 
296734;158133 
296622;158151 
296474;158168 
296101;158139 
296420;158129 
297690;158127 
296484;158156 
296582;158154 
298168;158132 
296382;158161 
295938;158118 
296086;158116 
296368;158128 
296732;158155 
295994;158139 
298754;158143 
296404;158121 
296499;158125 
296072;158117 
296179;158139 
296139;158126 
296377;158143 
296223;158130 
296410;158157 
295985;158130 
295976;158121 
297041;158134 
295977;158110 
297836;158127 
296365;158133 
298636;158140 
296410;158125 
296831;158155 
297351;158126 
296629;158136 
296032;158119 
296249;158138 
295918;158138 
298175;158123 
296355;158148 
296251;158135 
296284;158128 
296456;158150 
298312;158123 
296443;158128 
296556;158124 
296574;158152 
297299;158136 
296286;158130 
296164;158126 
297846;158122 
296135;158125 
296411;158135 
296553;158117 
296192;158137 
296383;158123 
297156;158113 
295625;158123 
296151;158130 
296253;158128 
296353;158136 
296520;158135 
297348;158123 
296038;158136 
296031;158124 
296482;158135 
295936;158116 
296349;158119 
296643;158117 
297355;158163 
296354;158157 
296162;158133 
295973;158131 
296107;158129 
296087;158133 
296695;158146 
296112;158116 
296427;158141 
296082;158134 
299248;158126 
296016;158118 
296650;158154 
296961;158150 
296544;158128 
296538;158122 
296729;158146 
296230;158115 
295884;158122 
295996;158126 
296741;158142 
296143;158126 
296623;158114 
296304;158120 
296349;158139 
296384;158129 
296336;158135 
295981;158128 
296145;158125 
296070;158113 
296758;158127 
297745;158122 
296286;158154 
295900;158129 
296307;158123 
296225;158126 
298380;158126 
296292;158156 
295937;158133 
296340;158133 
296199;158113 
296305;158119 
295932;158126 
296044;158128 
296210;158131 
296766;158126 
297874;158125 
296044;158138 
295815;158120 
298569;158162 
295893;158130 
296403;158127 
296048;158116 
296644;158161 
298702;158138 
296113;158121 
296531;158141 
298108;158123 
296223;158129 
296155;158117 
296190;158111 
296653;158152 
298016;158142 
296322;158119 
296170;158123 
296264;158126 
296577;158156 
297059;158132 
296574;158129 
296324;158139 
296025;158133 
296811;158159 
295908;158123 
295833;158138 
296586;158136 
296211;158128 
296654;158160 
296254;158128 
296224;158112 
297279;158140 
295750;158121 
296036;158135 
296065;158121 
296451;158119 
296988;158164 
295918;158117 
296073;158124 
296271;158130 
298037;158137 
296188;158129 
296384;158126 
296298;158121 
296050;158130 
296550;158122 
296488;158143 
296656;158137 
295980;158127 
296632;158125 
295903;158128 
296290;158127 
295940;158112 
296539;158134 
296495;158153 
298878;158137 
296416;158132 
298362;158133 
295917;158123 
296137;158136 
295950;158135 
296149;158136 
295910;158131 
295951;158123 
296257;158141 
296294;158158 
295827;158123 
296498;158124 
296507;158126 
298321;158128 
296445;158150 
297455;158157 
296446;158122 
296344;158135 
296237;158134 
296599;158137 
296213;158138 
296804;158161 
299911;158122 
296195;158130 
296192;158130 
296029;158121 
296165;158138 
297785;158121 
296325;158143 
296564;158135 
296198;158119 
295960;158122 
297454;158150 
296466;158149 
296241;158146 
296587;158144 
297253;158141 
296649;158153 
295870;158121 
296119;158113 
296382;158110 
296328;158122 
296463;158140 
296522;158136 
295999;158120 
296773;158153 
296019;158123 
296336;158130 
295595;158123 
296471;158123 
296259;158125 
295920;158119 
296447;158164 
296190;158134 
295906;158123 
296610;158169 
295785;158124 
296643;158132 
296203;158124 
296093;158127 
296545;158125 
296197;158150 
298474;158129 
296151;158127 
296232;158129 
295906;158135 
295962;158148 
296251;158126 
296312;158116 
296041;158119 
296191;158129 
297455;158135 
295949;158111 
296279;158136 
295836;158126 
297996;158144 
298601;158129 
295965;158110 
297520;158147 
296775;158144 
296657;158124 
296507;158127 
297768;158115 
298409;158123 
296388;158128 
298311;158136 
296138;158128 
296471;158162 
298241;158159 
296137;158129 
296065;158128 
298046;158120 
296241;158151 
296047;158123 
297493;158129 
297575;158117 
296176;158121 
295923;158110 
295848;158125 
296885;158127 
296034;158130 
296239;158127 
296010;158127 
296050;158126 
296059;158141 
295949;158112 
296438;158144 
296510;158153 
296232;158138 
296255;158133 
297346;158115 
295898;158135 
296082;158136 
295884;158117 
296166;158121 
296715;158137 
295923;158128 
296375;158131 
298213;158113 
296149;158121 
296250;158127 
