CYCLES;INS
296601;158143 
296340;158135 
296409;158149 
295839;158123 
296534;158160 
296271;158113 
295912;158123 
296125;158130 
296358;158130 
296051;158127 
296251;158119 
296055;158123 
296599;158159 
296293;158147 
295965;158122 
296214;158120 
296614;158158 
295988;158131 
296489;158150 
296368;158157 
295853;158140 
296039;158131 
296423;158143 
296270;158139 
296322;158128 
296726;158135 
296246;158145 
296359;158132 
296589;158145 
296198;158130 
296447;158169 
296044;158127 
296179;158134 
296430;158113 
295988;158128 
296206;158161 
296110;158112 
295954;158125 
296252;158115 
296465;158141 
296307;158134 
296216;158122 
295973;158132 
296027;158128 
296378;158121 
295811;158119 
295939;158130 
295957;158135 
296905;158153 
296161;158135 
296282;158117 
296412;158140 
296293;158132 
296447;158146 
296677;158134 
295901;158113 
296125;158143 
296853;158140 
296090;158115 
295958;158126 
296434;158129 
296094;158122 
295897;158134 
296252;158123 
296565;158135 
296711;158127 
296233;158134 
296174;158143 
295973;158133 
296570;158156 
296092;158147 
295736;158131 
296452;158123 
296253;158127 
296034;158110 
296859;158158 
296737;158153 
296660;158143 
296482;158137 
296301;158122 
296151;158130 
296028;158138 
296289;158135 
296445;158137 
296205;158133 
296229;158130 
296241;158126 
296243;158153 
296564;158134 
296014;158129 
295864;158127 
296311;158143 
296131;158130 
296072;158141 
296377;158126 
296717;158135 
296008;158135 
296584;158118 
296858;158161 
296270;158132 
295904;158121 
296489;158152 
295769;158122 
296053;158122 
296403;158136 
296028;158127 
295809;158131 
296105;158130 
296070;158136 
295623;158121 
296500;158125 
296363;158155 
296303;158113 
295991;158129 
296300;158153 
296193;158124 
295874;158127 
295840;158132 
295965;158130 
296835;158135 
296561;158121 
296161;158128 
296511;158121 
295675;158120 
295812;158125 
296266;158135 
296032;158122 
296251;158131 
296605;158146 
296127;158128 
295950;158117 
296306;158129 
296246;158151 
296395;158126 
296159;158125 
296400;158143 
296717;158120 
296744;158163 
296322;158125 
296182;158135 
296063;158136 
296210;158128 
296040;158120 
296111;158152 
296332;158127 
296162;158131 
296162;158122 
296673;158158 
296159;158117 
296520;158121 
296381;158159 
296271;158132 
296258;158155 
296158;158128 
296164;158132 
295984;158124 
296311;158127 
296131;158118 
295926;158113 
295865;158118 
296432;158150 
295963;158114 
296256;158127 
296155;158126 
296165;158123 
296730;158164 
296499;158131 
296779;158131 
296190;158119 
296335;158140 
296299;158129 
296105;158123 
296130;158149 
296503;158138 
296142;158133 
296576;158157 
296122;158126 
296063;158124 
296490;158120 
296599;158142 
295979;158127 
296513;158131 
296529;158154 
296394;158159 
296194;158132 
297053;158145 
296122;158130 
296018;158129 
296570;158129 
296484;158146 
295932;158113 
296926;158132 
296491;158138 
296377;158133 
296324;158120 
296178;158125 
296408;158159 
295959;158121 
296645;158146 
296736;158130 
296684;158132 
296127;158138 
296032;158128 
296049;158121 
296091;158123 
296038;158143 
296268;158133 
296636;158145 
295993;158109 
295922;158130 
296836;158130 
296204;158130 
296228;158124 
296067;158148 
296051;158135 
295970;158121 
296040;158139 
296045;158131 
296247;158118 
296238;158121 
296048;158118 
296041;158121 
295824;158156 
295950;158129 
296043;158141 
296198;158132 
296408;158123 
296287;158123 
296129;158138 
296134;158127 
296564;158121 
296255;158120 
295989;158114 
296659;158151 
296639;158154 
297093;158138 
296082;158136 
296688;158164 
296101;158116 
296315;158151 
296196;158119 
296438;158120 
296353;158109 
295936;158133 
295995;158120 
296590;158136 
296324;158127 
296481;158137 
295763;158127 
296585;158164 
296901;158151 
296214;158120 
296308;158131 
295904;158122 
296031;158127 
296546;158137 
295945;158121 
296133;158121 
295962;158127 
296077;158117 
296643;158129 
296115;158125 
296013;158123 
296509;158138 
296097;158127 
296189;158116 
296728;158132 
296055;158132 
296367;158147 
296011;158128 
296820;158162 
296336;158158 
296242;158126 
295949;158123 
296031;158134 
296205;158140 
295895;158130 
296649;158161 
296310;158149 
296883;158159 
296751;158130 
296243;158128 
295973;158118 
296121;158132 
296551;158153 
296161;158129 
296198;158113 
296038;158134 
296116;158132 
296006;158126 
296200;158136 
296891;158156 
296240;158123 
296533;158127 
295982;158133 
296235;158134 
296133;158140 
296325;158130 
296171;158136 
296186;158124 
296182;158129 
296311;158121 
296187;158140 
295685;158125 
296414;158136 
296461;158147 
296509;158121 
296249;158124 
296300;158138 
296490;158121 
295862;158118 
296450;158135 
296173;158130 
296299;158136 
296220;158134 
296140;158133 
296221;158126 
296158;158121 
295972;158116 
296143;158152 
295943;158127 
296069;158119 
296138;158116 
295833;158133 
296474;158134 
296450;158150 
296296;158137 
296158;158128 
296426;158127 
295894;158124 
296452;158149 
296585;158168 
296196;158134 
295842;158136 
296207;158143 
295795;158114 
296203;158121 
296022;158124 
296236;158124 
295954;158117 
296599;158138 
296398;158160 
296171;158135 
296393;158143 
296438;158145 
296221;158125 
296353;158147 
296572;158129 
296151;158127 
296215;158117 
296216;158119 
296003;158125 
296292;158128 
297190;158152 
296455;158139 
295862;158128 
295932;158125 
296414;158125 
296140;158134 
295674;158122 
296099;158135 
296591;158164 
296397;158125 
296712;158167 
296992;158152 
296525;158127 
296333;158109 
296266;158129 
296473;158132 
295996;158129 
296095;158140 
295883;158111 
296681;158131 
296778;158152 
296403;158131 
296441;158124 
296529;158124 
296270;158128 
296054;158140 
295897;158126 
295545;158132 
296171;158131 
296035;158117 
295908;158132 
296303;158137 
296383;158163 
295927;158113 
296558;158121 
296500;158130 
296409;158129 
296659;158152 
296277;158130 
296423;158144 
296677;158144 
296174;158155 
296253;158133 
295856;158113 
296162;158138 
296587;158128 
295969;158136 
295854;158123 
296377;158153 
296432;158130 
296647;158129 
296556;158126 
296458;158149 
295952;158117 
296636;158165 
295916;158123 
296254;158125 
296714;158155 
296243;158144 
296270;158149 
296346;158126 
296045;158121 
295991;158122 
296623;158121 
296408;158161 
296153;158126 
296837;158152 
296094;158129 
295921;158128 
296123;158126 
296169;158141 
296019;158138 
296111;158127 
296649;158161 
296036;158142 
295898;158131 
296108;158135 
296469;158133 
295873;158129 
296523;158137 
296399;158133 
296245;158135 
296230;158126 
296295;158120 
295989;158126 
296522;158138 
296011;158133 
296001;158120 
296127;158126 
296954;158176 
296343;158141 
296027;158126 
295844;158131 
296303;158123 
296292;158149 
296398;158122 
296007;158117 
295789;158135 
295990;158137 
296025;158124 
296270;158152 
295957;158119 
296304;158151 
296132;158125 
296089;158126 
296342;158164 
295940;158129 
296200;158113 
296236;158150 
296401;158114 
296569;158142 
295716;158116 
295864;158115 
296234;158135 
296090;158123 
296052;158128 
296155;158156 
296050;158132 
295776;158115 
295859;158123 
296399;158151 
296192;158130 
296264;158134 
296186;158119 
296388;158137 
