CYCLES;INS
593307;551413 
593685;551413 
593145;551413 
593038;551416 
593440;551414 
592959;551413 
594154;551416 
593412;551412 
593824;551415 
593304;551413 
593271;551413 
592987;551413 
593167;551413 
593615;551417 
593260;551413 
593465;551413 
593127;551413 
592965;551413 
593225;551412 
593296;551414 
593262;551413 
593212;551413 
593434;551414 
592964;551414 
593393;551413 
593127;551413 
593088;551413 
592829;551413 
593211;551413 
593800;551416 
593414;551413 
593263;551413 
593305;551414 
593266;551413 
593487;551412 
593117;551414 
593866;551415 
593250;551412 
593243;551412 
593818;551414 
593116;551413 
593273;551413 
593255;551413 
593902;551416 
592969;551413 
593651;551415 
594813;551415 
593306;551414 
593511;551413 
593720;551413 
593190;551413 
593219;551413 
593370;551413 
593528;551414 
593284;551412 
593431;551412 
593461;551412 
593450;551412 
594234;551415 
593388;551414 
593011;551412 
593301;551412 
593200;551414 
593530;551413 
593402;551413 
592831;551414 
593332;551413 
593388;551412 
593411;551412 
593705;551415 
593111;551413 
593358;551412 
593276;551412 
593076;551412 
593325;551412 
593240;551412 
593813;551416 
593409;551413 
593411;551413 
593415;551414 
593561;551412 
593475;551412 
594186;551414 
593816;551418 
593130;551413 
593365;551414 
593429;551414 
593449;551414 
593014;551413 
593118;551414 
593473;551413 
593610;551412 
593250;551412 
594350;551416 
593284;551414 
593468;551414 
593307;551414 
593658;551414 
593456;551413 
592945;551413 
594218;551417 
593408;551413 
593256;551413 
593141;551413 
592980;551413 
593280;551413 
593371;551412 
593381;551412 
593499;551413 
593625;551414 
593234;551412 
593535;551413 
593261;551414 
593137;551413 
593276;551412 
593199;551412 
593677;551414 
593436;551413 
593367;551412 
593678;551413 
593423;551414 
593099;551413 
593248;551414 
594137;551415 
592989;551412 
593249;551413 
593644;551416 
593423;551412 
593098;551412 
593253;551412 
593571;551414 
593152;551412 
593647;551416 
594434;551416 
593241;551412 
593259;551412 
593539;551413 
593092;551413 
593316;551414 
593109;551414 
593616;551414 
593694;551416 
593277;551412 
593553;551413 
593685;551412 
593617;551415 
593427;551413 
593381;551413 
593315;551412 
593479;551414 
593227;551412 
593725;551414 
593223;551413 
593381;551413 
593493;551412 
593406;551412 
594505;551417 
593349;551413 
593415;551414 
593098;551414 
593013;551412 
593068;551412 
593448;551413 
593887;551414 
593408;551412 
593421;551413 
593364;551417 
593243;551413 
593372;551414 
593391;551414 
593232;551415 
593306;551413 
593159;551413 
593579;551416 
593251;551413 
593143;551413 
593532;551412 
593214;551413 
593527;551413 
593404;551413 
593632;551412 
593283;551412 
593363;551415 
592932;551413 
593388;551413 
593437;551412 
593016;551413 
593215;551412 
592844;551412 
593543;551414 
593264;551413 
593241;551412 
593227;551413 
593279;551412 
593256;551412 
594056;551416 
593725;551416 
593360;551413 
593793;551413 
593387;551415 
593143;551414 
593342;551414 
593511;551413 
593439;551415 
593354;551413 
593134;551413 
594041;551415 
593526;551412 
593570;551414 
593289;551413 
594139;551414 
593344;551413 
593376;551413 
594807;551416 
593436;551413 
593262;551412 
593231;551412 
593537;551413 
593268;551412 
593573;551413 
593316;551416 
593197;551413 
593418;551413 
592950;551413 
593268;551414 
593421;551413 
593233;551412 
593254;551413 
593276;551413 
593476;551414 
593263;551412 
593491;551412 
593246;551416 
593256;551414 
593290;551412 
593393;551412 
593288;551413 
592978;551412 
593421;551413 
593250;551414 
593286;551412 
593674;551413 
593251;551412 
594796;551416 
593290;551413 
593418;551415 
593333;551416 
593230;551413 
593296;551412 
593445;551412 
593873;551415 
593362;551413 
593131;551412 
594300;551418 
593210;551412 
593397;551413 
593565;551414 
593503;551413 
593439;551413 
593389;551413 
593902;551414 
593364;551413 
593344;551412 
593228;551412 
593294;551414 
593351;551412 
593244;551414 
593354;551412 
593527;551412 
593227;551412 
593200;551413 
593021;551414 
593247;551413 
593310;551413 
593612;551412 
593136;551412 
594072;551414 
593494;551412 
593498;551413 
593250;551413 
593404;551412 
593245;551413 
593913;551415 
593695;551417 
593283;551413 
593378;551413 
594327;551415 
593325;551412 
593121;551413 
593414;551412 
593475;551415 
593235;551412 
593420;551412 
593617;551415 
593505;551413 
593411;551415 
593519;551413 
593245;551413 
593437;551412 
593232;551413 
593946;551414 
593272;551413 
593401;551413 
593186;551412 
593428;551413 
593100;551413 
593113;551413 
593539;551412 
594236;551418 
593339;551416 
593377;551414 
593638;551413 
593244;551413 
593267;551413 
593410;551412 
593240;551413 
594535;551414 
593293;551414 
593209;551413 
593696;551412 
593242;551414 
593585;551414 
593130;551413 
593755;551417 
593457;551413 
593108;551413 
593639;551414 
593387;551413 
593247;551412 
