CYCLES;INS
594102;551412 
593260;551413 
593387;551416 
593258;551413 
593264;551412 
593869;551417 
594238;551413 
594224;551413 
593212;551412 
592994;551414 
593289;551418 
594197;551414 
593264;551412 
593251;551412 
593242;551414 
593434;551413 
593101;551413 
593087;551412 
593593;551412 
593225;551412 
594341;551413 
594360;551413 
594155;551416 
593209;551414 
593310;551417 
594074;551413 
593205;551413 
593615;551416 
593428;551413 
594220;551415 
592974;551413 
593323;551415 
593128;551414 
593452;551412 
593350;551413 
593161;551412 
593142;551412 
594251;551413 
593342;551412 
593593;551414 
595181;551414 
593589;551414 
593114;551413 
593287;551416 
593099;551413 
593115;551412 
595512;551416 
593117;551412 
594544;551412 
593262;551413 
593392;551413 
593171;551414 
593099;551413 
592828;551413 
593019;551414 
593433;551413 
593462;551413 
593442;551414 
593249;551412 
593030;551412 
593970;551417 
594342;551413 
593260;551414 
594683;551414 
593178;551412 
593362;551419 
593569;551413 
593265;551412 
593413;551415 
592943;551412 
593064;551412 
593117;551412 
594194;551413 
593382;551413 
593116;551413 
594124;551412 
593926;551414 
593270;551412 
593547;551413 
593514;551416 
593340;551412 
593076;551412 
593678;551416 
593397;551412 
593509;551414 
594124;551414 
593107;551414 
594039;551413 
593127;551413 
593211;551413 
593369;551413 
593138;551413 
593128;551413 
593105;551412 
593312;551413 
594020;551413 
593964;551414 
593072;551413 
593458;551415 
593314;551412 
593156;551412 
593576;551414 
593286;551414 
593740;551415 
593352;551413 
593315;551413 
593144;551412 
593247;551413 
593235;551412 
593649;551413 
592969;551413 
593091;551412 
593256;551412 
593357;551417 
593069;551412 
593818;551414 
592837;551412 
593508;551416 
593710;551412 
593228;551412 
593632;551415 
593574;551412 
594481;551417 
593402;551413 
593107;551412 
593673;551413 
593180;551412 
592971;551414 
593260;551413 
593060;551412 
593338;551412 
593256;551412 
593122;551412 
593486;551414 
595239;551417 
594328;551414 
593519;551414 
593408;551413 
593107;551412 
593879;551416 
594934;551412 
593416;551415 
593168;551416 
593123;551414 
593250;551412 
592973;551412 
593277;551413 
593363;551412 
593374;551413 
593243;551412 
593590;551413 
593413;551414 
594623;551413 
593924;551416 
595339;551414 
593085;551413 
593085;551412 
594490;551413 
593672;551417 
593616;551413 
592982;551413 
593394;551412 
593244;551413 
593110;551414 
593270;551414 
593118;551412 
594301;551413 
593794;551412 
593399;551412 
594421;551413 
594929;551415 
593081;551413 
595015;551414 
595015;551413 
593414;551413 
593523;551415 
593199;551413 
593319;551417 
592839;551414 
594782;551413 
593138;551413 
593518;551412 
593358;551412 
594226;551412 
593474;551412 
593073;551413 
593543;551413 
593241;551416 
593274;551413 
593487;551413 
593343;551412 
594323;551414 
593003;551413 
593216;551414 
593523;551416 
593409;551413 
593684;551415 
593311;551413 
593217;551412 
593258;551413 
593122;551413 
593282;551412 
592975;551412 
593640;551412 
593235;551413 
593213;551413 
593106;551412 
593304;551412 
593447;551418 
593313;551413 
594261;551413 
593320;551413 
593586;551412 
593910;551414 
593316;551413 
593072;551412 
593472;551414 
593078;551412 
593228;551414 
594579;551413 
594725;551413 
593006;551413 
593274;551412 
593084;551412 
593618;551413 
593660;551415 
593270;551413 
594878;551415 
593127;551412 
593142;551412 
593185;551414 
593432;551412 
593869;551413 
593172;551413 
594360;551412 
593194;551413 
593216;551412 
593153;551413 
593130;551414 
593148;551413 
593444;551413 
592934;551414 
593118;551412 
593402;551412 
594390;551416 
593137;551414 
593251;551414 
594536;551413 
593179;551413 
593509;551415 
594329;551414 
593272;551412 
593128;551413 
593275;551413 
594292;551413 
593122;551413 
593284;551412 
593390;551413 
593648;551413 
593355;551413 
593427;551412 
594261;551415 
593104;551412 
594729;551414 
593266;551412 
593120;551412 
594772;551414 
593263;551412 
593552;551420 
593324;551413 
593429;551413 
593288;551414 
593123;551413 
593417;551413 
592859;551413 
595574;551414 
593133;551412 
592989;551413 
594301;551413 
593074;551414 
593160;551412 
593388;551412 
593340;551416 
592983;551412 
593235;551413 
593794;551414 
593344;551412 
593361;551416 
593431;551413 
593285;551414 
593229;551415 
593319;551413 
593088;551412 
593134;551413 
593247;551412 
592969;551412 
593211;551412 
593616;551412 
594463;551416 
593219;551414 
593257;551412 
593426;551416 
593253;551412 
593309;551414 
593709;551415 
593148;551413 
594151;551417 
593119;551413 
593249;551412 
593282;551412 
593579;551412 
592994;551412 
594186;551413 
592973;551413 
593235;551413 
593269;551412 
593260;551412 
593212;551412 
593404;551415 
593121;551413 
593574;551418 
594631;551413 
594398;551412 
593319;551414 
593306;551412 
593347;551414 
593085;551413 
593458;551414 
594070;551414 
593247;551413 
593357;551414 
592919;551412 
593690;551413 
593179;551413 
592982;551413 
593421;551413 
594755;551414 
593427;551415 
593068;551413 
593161;551415 
593319;551413 
594393;551412 
593753;551417 
593303;551413 
593344;551415 
593420;551413 
594202;551413 
592985;551414 
594125;551412 
593740;551413 
593222;551414 
593112;551412 
593128;551412 
593148;551414 
593582;551413 
593265;551412 
593637;551416 
593159;551412 
593124;551413 
593302;551413 
593405;551413 
595423;551417 
593201;551412 
