CYCLES;INS
593383;551415 
595287;551414 
593604;551418 
593277;551414 
593432;551413 
593076;551412 
593104;551413 
592981;551413 
593304;551412 
594926;551414 
593231;551412 
593145;551412 
593404;551412 
592980;551412 
593236;551412 
593000;551414 
594780;551418 
593130;551413 
593813;551417 
592987;551413 
593513;551413 
593487;551415 
593535;551414 
593421;551413 
594186;551413 
593277;551413 
593296;551413 
594212;551413 
593225;551413 
594298;551413 
593385;551412 
592843;551412 
593106;551412 
593092;551414 
593115;551412 
593395;551412 
593283;551412 
593547;551418 
593234;551412 
593572;551414 
596006;551414 
593454;551414 
594490;551418 
595472;551414 
593225;551417 
594368;551413 
593601;551413 
592960;551414 
592963;551412 
594116;551414 
593414;551413 
593221;551412 
593111;551412 
593566;551412 
593281;551412 
593110;551412 
593761;551415 
593274;551413 
594973;551417 
593348;551412 
594289;551414 
594692;551413 
592958;551413 
593472;551418 
593437;551414 
593134;551413 
593149;551414 
594172;551412 
593131;551412 
593231;551412 
593501;551414 
593537;551413 
593078;551413 
593115;551412 
593356;551412 
593237;551413 
593101;551413 
593554;551415 
594252;551413 
593620;551415 
593240;551412 
593109;551413 
594752;551415 
593326;551413 
593995;551417 
593192;551417 
594888;551414 
593511;551413 
593249;551412 
593087;551413 
594880;551414 
593260;551413 
593247;551412 
593138;551413 
593094;551412 
592973;551412 
593441;551413 
593257;551413 
593842;551417 
594263;551414 
593997;551417 
593417;551412 
593304;551413 
593856;551416 
593358;551413 
596153;551418 
593433;551415 
593080;551416 
593499;551412 
593143;551413 
594229;551413 
593108;551413 
593297;551412 
593021;551413 
593464;551414 
593266;551413 
593256;551412 
593337;551412 
592820;551412 
593188;551415 
594420;551413 
593994;551416 
593290;551413 
593146;551413 
593842;551414 
593215;551412 
593640;551417 
593598;551415 
593725;551415 
593407;551413 
593288;551414 
593082;551413 
593127;551413 
593222;551412 
593122;551414 
593302;551413 
593264;551413 
593287;551412 
593233;551413 
593264;551412 
593534;551415 
593105;551413 
594209;551419 
593286;551412 
593323;551416 
593337;551413 
593112;551412 
593315;551415 
593514;551413 
593734;551415 
592990;551413 
593096;551414 
593263;551413 
593445;551412 
593248;551412 
593082;551412 
593475;551412 
593134;551413 
593285;551412 
593137;551412 
