CYCLES;INS
594395;551421 
594365;551413 
593286;551412 
593539;551412 
593239;551412 
593297;551413 
593409;551413 
593158;551414 
593296;551413 
593073;551413 
593109;551412 
593245;551413 
593771;551414 
593538;551413 
593600;551414 
593288;551414 
594997;551417 
593416;551413 
593482;551415 
593226;551413 
594709;551413 
595197;551416 
593191;551413 
594365;551418 
594073;551414 
593131;551412 
593220;551412 
592966;551413 
594253;551416 
593107;551412 
593302;551414 
593235;551412 
593299;551412 
593321;551413 
593113;551414 
593290;551415 
593132;551413 
593281;551413 
593135;551412 
593659;551416 
593254;551413 
594558;551416 
593135;551412 
593084;551413 
593869;551415 
593067;551413 
593518;551418 
593273;551412 
593196;551414 
594564;551413 
593341;551414 
593269;551413 
593144;551413 
593247;551414 
593113;551413 
593470;551412 
593408;551413 
593138;551413 
593242;551413 
594608;551413 
593217;551414 
594327;551413 
596310;551414 
593227;551413 
593457;551413 
593530;551414 
593281;551412 
593391;551417 
593328;551412 
593173;551415 
593069;551412 
593126;551412 
594400;551413 
593450;551413 
593199;551413 
593387;551413 
594282;551414 
593290;551413 
593080;551413 
593464;551413 
594249;551413 
593596;551415 
594319;551412 
594253;551419 
593570;551414 
593377;551412 
594339;551413 
594123;551412 
594473;551419 
593119;551412 
593316;551413 
593199;551412 
593249;551413 
593019;551413 
593100;551412 
593396;551413 
593875;551414 
593125;551413 
593120;551413 
593234;551414 
593144;551412 
593448;551413 
593228;551412 
593439;551414 
594013;551420 
593425;551413 
593307;551415 
593427;551413 
593181;551413 
593932;551417 
593147;551412 
595674;551421 
594272;551413 
594428;551413 
593127;551414 
592973;551413 
593111;551413 
593442;551413 
593132;551415 
593122;551414 
593248;551413 
593198;551412 
593394;551413 
594304;551412 
592975;551412 
596841;551418 
594452;551413 
595034;551413 
592974;551412 
593404;551413 
593369;551418 
594485;551413 
593607;551420 
594222;551412 
593244;551413 
593132;551414 
593263;551413 
594807;551413 
593494;551415 
593141;551413 
594365;551413 
593280;551414 
594268;551413 
593407;551412 
593423;551412 
593134;551414 
593221;551413 
593134;551413 
593648;551416 
593126;551412 
593099;551412 
594695;551412 
593026;551413 
594734;551420 
593081;551413 
593438;551413 
593357;551414 
593316;551412 
593375;551413 
593359;551416 
593149;551413 
593128;551413 
593134;551413 
593299;551413 
593526;551413 
593252;551412 
593444;551413 
593533;551412 
593277;551413 
593843;551418 
593408;551413 
593234;551414 
593139;551413 
593378;551413 
593490;551417 
593519;551413 
593328;551416 
593130;551413 
593217;551412 
594741;551413 
593093;551412 
593145;551413 
594519;551412 
593119;551412 
593352;551412 
593087;551414 
593304;551413 
593396;551414 
593388;551414 
593109;551413 
594591;551415 
593083;551413 
593511;551418 
593300;551413 
593216;551415 
593334;551414 
594481;551412 
593604;551415 
593110;551412 
595105;551419 
593122;551413 
593078;551414 
594214;551414 
593537;551413 
593138;551414 
593127;551412 
593450;551412 
594786;551413 
593259;551413 
593802;551413 
593143;551414 
593252;551414 
593273;551413 
593890;551418 
593472;551415 
593130;551415 
593399;551412 
593536;551412 
594042;551418 
593421;551413 
593682;551421 
593141;551415 
593760;551414 
593445;551414 
593188;551413 
592958;551413 
592998;551414 
593470;551417 
592805;551412 
593216;551412 
593263;551412 
593235;551413 
593219;551413 
593301;551412 
594276;551412 
593274;551413 
593521;551416 
593198;551414 
594506;551415 
593250;551414 
593109;551412 
593399;551416 
593430;551413 
596702;551421 
594395;551413 
593136;551412 
593228;551413 
593217;551412 
593446;551414 
593234;551412 
593085;551412 
593096;551412 
593312;551413 
593793;551413 
593346;551413 
594823;551413 
593534;551413 
593196;551416 
593051;551413 
594745;551416 
593305;551414 
595468;551413 
593293;551413 
593138;551413 
594014;551420 
593292;551414 
593651;551416 
594882;551412 
593230;551412 
594415;551412 
592988;551412 
593103;551413 
594057;551414 
592975;551413 
593110;551413 
593231;551414 
593343;551413 
593322;551414 
593100;551413 
593051;551413 
593554;551414 
594510;551413 
593615;551419 
593374;551413 
592982;551413 
593255;551413 
593258;551413 
593429;551421 
593459;551413 
593101;551413 
593409;551412 
593392;551412 
593143;551413 
594383;551412 
595389;551412 
593675;551414 
593310;551414 
593282;551412 
593421;551412 
593413;551412 
593280;551413 
593756;551416 
593335;551413 
595197;551418 
592966;551413 
593224;551413 
593238;551414 
592971;551414 
594402;551420 
593117;551413 
593104;551415 
593130;551414 
593093;551414 
593113;551414 
593651;551413 
593281;551412 
593288;551414 
593105;551414 
593381;551413 
593040;551413 
593256;551412 
593073;551412 
593362;551412 
593425;551413 
595648;551418 
595005;551414 
593358;551415 
593370;551414 
592982;551413 
593377;551414 
593269;551414 
593725;551419 
592978;551412 
593372;551413 
593211;551414 
593404;551413 
593082;551413 
593426;551414 
593084;551413 
593368;551412 
593094;551412 
593283;551413 
593392;551413 
593221;551413 
593331;551412 
593580;551412 
593405;551414 
593461;551419 
593419;551413 
593461;551415 
594068;551412 
593269;551414 
596201;551416 
593097;551413 
593434;551421 
593295;551413 
593121;551412 
593134;551413 
593476;551414 
592986;551414 
593270;551413 
594273;551413 
593087;551412 
594290;551413 
593161;551412 
593256;551414 
593083;551413 
593423;551413 
598124;551416 
593554;551413 
593146;551413 
593503;551413 
593402;551413 
594086;551414 
593332;551413 
593235;551413 
593459;551412 
593361;551413 
593530;551414 
593707;551414 
593543;551415 
593636;551414 
594469;551417 
593379;551412 
593292;551412 
593120;551413 
593047;551413 
593662;551420 
592996;551414 
593902;551414 
594074;551413 
592826;551413 
593333;551413 
593372;551412 
593328;551417 
593676;551413 
593099;551414 
593281;551413 
593304;551413 
593202;551412 
593126;551413 
593346;551413 
593692;551413 
593460;551415 
593432;551414 
593286;551415 
593092;551413 
593051;551412 
593418;551418 
593113;551414 
596015;551417 
593283;551413 
594369;551412 
593592;551413 
593458;551413 
594734;551415 
593094;551413 
593495;551413 
593275;551413 
594786;551413 
593267;551413 
593316;551415 
593278;551413 
595169;551413 
593764;551414 
593397;551414 
593403;551416 
593272;551413 
594364;551414 
592982;551413 
593383;551413 
594883;551418 
593234;551413 
594668;551414 
593264;551412 
593119;551413 
593270;551414 
593291;551413 
593521;551413 
593111;551413 
594059;551414 
593360;551412 
593405;551413 
593769;551414 
594214;551412 
593099;551412 
593261;551412 
594525;551415 
593288;551414 
593329;551419 
593530;551413 
593248;551412 
593382;551413 
593031;551412 
596670;551419 
593252;551412 
593217;551414 
593409;551414 
592932;551413 
593250;551413 
592954;551412 
594454;551413 
592990;551413 
593111;551413 
593242;551413 
593448;551412 
593501;551412 
592970;551413 
593270;551413 
593076;551412 
594808;551419 
593245;551413 
593394;551416 
593306;551413 
593273;551412 
595144;551416 
593262;551413 
593276;551419 
593243;551413 
593152;551413 
593224;551414 
593437;551412 
593281;551413 
593689;551414 
593273;551414 
593143;551413 
593067;551412 
593592;551412 
594485;551413 
593541;551413 
593167;551413 
593094;551412 
593403;551412 
594913;551416 
593492;551414 
593335;551413 
594445;551412 
593179;551414 
593765;551417 
593285;551414 
593870;551420 
593940;551412 
593364;551412 
594149;551414 
593151;551413 
593916;551413 
593114;551412 
593081;551412 
593133;551413 
592831;551413 
594494;551414 
592978;551413 
593523;551414 
594363;551413 
595305;551414 
594090;551414 
594164;551418 
593441;551416 
593158;551413 
594894;551413 
595008;551413 
595098;551417 
593700;551414 
594002;551415 
593249;551412 
593246;551414 
592852;551414 
594532;551414 
594196;551412 
593253;551412 
593429;551413 
592947;551414 
594137;551413 
593572;551413 
592996;551414 
593432;551413 
594347;551413 
593691;551417 
594337;551416 
593149;551416 
593271;551414 
593396;551414 
593363;551415 
592952;551413 
593762;551420 
593182;551414 
593133;551412 
593126;551413 
593433;551414 
593288;551413 
593851;551413 
593312;551414 
593145;551412 
593409;551413 
593608;551412 
592960;551413 
593101;551412 
593280;551414 
593907;551416 
593406;551415 
593514;551416 
593242;551414 
593193;551415 
593158;551414 
593220;551413 
594058;551418 
593076;551412 
594494;551418 
593274;551412 
593258;551412 
593245;551413 
592974;551412 
