CYCLES;INS
593106;551413 
593132;551413 
593082;551413 
593372;551413 
593099;551413 
593144;551413 
593224;551413 
593469;551412 
593520;551416 
593278;551413 
593136;551414 
594510;551412 
592865;551413 
593368;551420 
593112;551415 
593244;551413 
593167;551413 
594350;551412 
593244;551413 
593235;551413 
592997;551412 
593298;551412 
593417;551412 
593499;551412 
593168;551413 
593495;551415 
593128;551414 
594577;551415 
593490;551413 
593256;551414 
593969;551415 
593283;551412 
593484;551420 
593376;551412 
593272;551413 
593595;551412 
593534;551412 
593670;551415 
592999;551412 
593147;551413 
593206;551412 
593251;551414 
593097;551413 
593126;551412 
593330;551413 
593387;551412 
594205;551414 
593397;551412 
593403;551413 
597091;551419 
593519;551414 
593635;551415 
593248;551413 
593261;551412 
592842;551413 
593326;551412 
593433;551413 
593242;551413 
592993;551412 
594298;551413 
592969;551413 
594560;551412 
593256;551413 
593994;551417 
593121;551413 
593205;551412 
594450;551415 
593520;551413 
595879;551421 
593358;551413 
593530;551414 
593397;551414 
593089;551412 
593397;551413 
593592;551415 
593405;551413 
593107;551413 
594929;551413 
594576;551413 
592816;551412 
593602;551414 
593397;551412 
594057;551415 
593378;551413 
593916;551412 
593570;551413 
593437;551412 
593055;551415 
593320;551412 
593203;551412 
593255;551413 
593114;551412 
594231;551413 
594530;551412 
593366;551412 
593928;551412 
593244;551412 
593457;551414 
593156;551413 
594033;551415 
593403;551412 
593683;551412 
594548;551414 
593081;551413 
594075;551419 
592964;551414 
593320;551413 
593324;551413 
593123;551412 
593466;551412 
593395;551413 
593168;551412 
593288;551412 
593400;551412 
593242;551413 
593312;551413 
593458;551415 
593576;551413 
593373;551415 
593881;551415 
592975;551412 
594307;551418 
593224;551413 
594103;551415 
593216;551413 
593265;551413 
592986;551413 
593301;551414 
593382;551412 
593206;551413 
593099;551413 
593313;551414 
594363;551413 
593091;551414 
593110;551413 
593572;551414 
593394;551413 
593993;551413 
593373;551413 
593397;551414 
595951;551417 
593086;551412 
593374;551412 
593266;551413 
593163;551412 
593120;551414 
593118;551413 
593306;551413 
594800;551412 
593525;551414 
593130;551413 
593236;551413 
593395;551415 
593088;551412 
593362;551414 
593722;551413 
593228;551413 
594344;551418 
593215;551413 
594766;551420 
593396;551413 
593227;551413 
593106;551412 
593258;551414 
593758;551414 
593249;551413 
593286;551414 
593351;551412 
593288;551413 
594637;551413 
593380;551414 
593812;551417 
594062;551415 
593579;551415 
593230;551413 
593436;551413 
594320;551420 
593242;551414 
593383;551415 
593223;551413 
593417;551413 
593205;551413 
593534;551413 
593006;551413 
592993;551412 
593318;551413 
593300;551412 
593125;551412 
594275;551413 
593109;551412 
594625;551416 
593441;551412 
593107;551413 
593809;551416 
593137;551413 
593478;551416 
593853;551413 
593232;551413 
593363;551414 
593324;551412 
593254;551413 
593308;551416 
593129;551412 
593118;551414 
593104;551412 
593333;551412 
593867;551413 
593868;551417 
593289;551413 
595419;551419 
593090;551413 
593281;551413 
595286;551416 
593371;551414 
594658;551413 
593153;551414 
593708;551413 
593061;551413 
594069;551413 
593255;551414 
593424;551413 
593406;551414 
593367;551413 
593219;551413 
593520;551414 
594329;551413 
593181;551416 
594441;551413 
593439;551412 
595007;551417 
593139;551413 
593916;551416 
593188;551413 
593095;551413 
593255;551414 
593674;551414 
593114;551413 
592966;551413 
593193;551412 
593306;551413 
593319;551413 
594465;551413 
593249;551413 
595204;551417 
593358;551413 
593425;551416 
593434;551414 
593278;551413 
595461;551419 
593098;551412 
593085;551416 
593383;551412 
593418;551412 
592987;551412 
593999;551415 
592993;551414 
592973;551412 
593278;551414 
595250;551413 
593007;551414 
593234;551415 
593133;551414 
594603;551419 
593510;551413 
594085;551413 
593525;551416 
594058;551413 
593300;551417 
593097;551413 
593091;551413 
593235;551412 
593250;551413 
594584;551413 
593547;551414 
593532;551414 
592972;551413 
593284;551412 
593410;551413 
593192;551414 
593774;551415 
593370;551413 
593422;551416 
593221;551414 
592957;551412 
596356;551419 
593001;551414 
593104;551415 
593228;551413 
593100;551414 
593576;551412 
592991;551413 
593327;551414 
593067;551413 
592983;551413 
593996;551413 
593137;551413 
593408;551413 
593226;551413 
594907;551418 
595429;551415 
593245;551414 
593158;551412 
592977;551413 
593646;551418 
593300;551414 
593233;551415 
593518;551413 
593374;551413 
593262;551414 
593139;551414 
593254;551413 
593146;551413 
594201;551414 
593425;551413 
593284;551413 
594899;551414 
593269;551413 
593360;551415 
593328;551412 
593246;551414 
593786;551418 
594470;551412 
593210;551418 
593160;551413 
593150;551412 
593185;551412 
593719;551413 
593117;551414 
593278;551414 
593117;551413 
592965;551413 
593728;551413 
593303;551413 
593259;551414 
593810;551416 
593659;551413 
593651;551416 
594364;551413 
593265;551413 
594487;551418 
593090;551413 
593540;551413 
593178;551414 
593678;551412 
593353;551412 
593141;551413 
593240;551413 
594351;551413 
593132;551412 
593166;551412 
593110;551414 
593856;551416 
593139;551413 
593650;551418 
593371;551412 
593401;551412 
593378;551414 
593001;551413 
594148;551422 
594960;551413 
593409;551413 
593218;551413 
593554;551413 
593080;551412 
593132;551413 
594649;551415 
593146;551413 
593129;551413 
593358;551412 
593088;551414 
594074;551416 
592844;551413 
593192;551416 
594685;551414 
593030;551413 
593531;551417 
593134;551413 
593727;551418 
593261;551413 
593233;551412 
593129;551413 
593238;551413 
593240;551413 
593341;551412 
593280;551414 
593110;551413 
593148;551413 
593394;551414 
593425;551413 
596024;551416 
592933;551413 
593077;551413 
593093;551413 
593303;551413 
595300;551420 
592862;551413 
593257;551412 
593054;551412 
593252;551412 
593105;551413 
593394;551413 
593242;551414 
593284;551413 
593261;551414 
593106;551413 
594366;551414 
593672;551415 
593240;551413 
593673;551415 
593406;551414 
593440;551414 
593528;551415 
592936;551413 
593509;551415 
592953;551413 
593065;551412 
594404;551413 
593007;551413 
593607;551414 
593247;551412 
594474;551412 
593283;551413 
593437;551414 
593258;551413 
592948;551413 
594086;551416 
593246;551413 
593803;551414 
594306;551413 
592953;551413 
593427;551416 
593237;551413 
593450;551415 
593264;551414 
593518;551412 
593122;551412 
593282;551413 
592961;551412 
593338;551414 
592983;551413 
593289;551413 
593392;551413 
593130;551413 
593279;551414 
594422;551418 
593660;551413 
593412;551415 
594508;551416 
593154;551414 
595740;551419 
593245;551413 
593496;551415 
593026;551412 
593111;551414 
593080;551414 
593946;551416 
593095;551414 
593091;551413 
593379;551413 
593228;551413 
593362;551414 
593104;551413 
592959;551413 
593872;551415 
593429;551413 
593346;551415 
593292;551412 
593105;551413 
593681;551416 
593258;551413 
593596;551415 
594135;551413 
593243;551412 
593283;551414 
593112;551414 
593104;551413 
593338;551412 
593273;551413 
593153;551412 
592973;551413 
593437;551412 
593388;551413 
595462;551416 
593326;551414 
593503;551416 
593373;551412 
593158;551412 
597441;551417 
593249;551414 
593281;551412 
593234;551413 
593827;551412 
593492;551417 
594427;551413 
594340;551414 
593147;551414 
593263;551413 
592984;551413 
593203;551412 
595033;551414 
593121;551412 
594832;551416 
593423;551413 
592947;551413 
593126;551413 
592998;551414 
593802;551415 
592979;551412 
593260;551412 
593914;551412 
593071;551412 
593326;551414 
593153;551413 
593508;551416 
593208;551412 
593232;551412 
593114;551412 
593235;551413 
595120;551414 
593249;551413 
593879;551415 
594133;551415 
592960;551413 
593343;551414 
593291;551413 
593410;551421 
593099;551413 
593090;551413 
593272;551413 
593128;551412 
593030;551412 
593713;551414 
593409;551413 
593394;551413 
593057;551412 
594172;551413 
593247;551413 
593827;551416 
593290;551412 
593208;551415 
593123;551412 
593173;551412 
593738;551419 
593574;551413 
593489;551415 
593246;551413 
593098;551413 
593437;551412 
593140;551412 
593267;551413 
593855;551415 
593279;551413 
594444;551413 
593419;551413 
594853;551413 
593399;551413 
594273;551416 
593419;551413 
593429;551414 
593142;551413 
593498;551413 
593897;551418 
593244;551414 
593250;551413 
593443;551412 
593087;551413 
593777;551416 
593145;551413 
593109;551413 
592943;551413 
593133;551413 
593413;551412 
593269;551412 
593523;551417 
593726;551414 
593149;551414 
593140;551412 
593240;551412 
594006;551421 
592848;551414 
593386;551414 
592940;551412 
593132;551412 
593214;551413 
593090;551413 
594321;551412 
593787;551412 
593390;551413 
593530;551413 
593121;551413 
595320;551413 
593277;551413 
593612;551418 
593453;551413 
593116;551412 
593388;551416 
593248;551413 
593706;551419 
592932;551412 
593257;551413 
593383;551413 
593272;551412 
593820;551413 
594137;551415 
594044;551413 
593250;551412 
593240;551413 
593098;551413 
593257;551413 
593466;551414 
593529;551414 
595381;551417 
593177;551412 
593280;551412 
593809;551417 
594102;551412 
593063;551412 
593425;551412 
593108;551412 
593466;551415 
594232;551412 
593292;551413 
593009;551414 
593064;551412 
593131;551413 
594044;551413 
593684;551414 
593471;551413 
594875;551415 
593282;551414 
593274;551415 
593398;551414 
593480;551413 
595572;551419 
593381;551413 
593604;551415 
593331;551413 
592996;551412 
593258;551412 
593253;551413 
593069;551414 
592993;551413 
593088;551414 
595437;551413 
593208;551413 
594968;551416 
593814;551413 
595057;551415 
593598;551416 
593419;551413 
593651;551415 
593231;551413 
595829;551417 
593157;551413 
592989;551413 
593239;551413 
592990;551413 
593966;551413 
592999;551412 
593421;551413 
593234;551412 
593253;551413 
593261;551412 
593490;551412 
596272;551418 
593234;551413 
592964;551413 
593352;551413 
593357;551412 
593377;551416 
592978;551412 
592972;551413 
593401;551412 
593121;551412 
593259;551412 
593414;551412 
593289;551412 
593405;551414 
594518;551413 
593107;551413 
593193;551412 
593857;551416 
593053;551413 
593537;551416 
593277;551413 
592993;551414 
593238;551414 
593966;551414 
594188;551419 
592956;551413 
592844;551413 
593425;551412 
593612;551412 
593126;551415 
593402;551412 
593106;551413 
593253;551412 
593307;551413 
593144;551413 
592985;551413 
594138;551415 
593344;551413 
593365;551412 
593138;551413 
593899;551412 
594226;551419 
593138;551413 
594237;551412 
593567;551414 
593223;551412 
593655;551413 
593131;551412 
593066;551412 
593415;551412 
593349;551413 
592966;551413 
593092;551412 
593495;551414 
593314;551413 
594061;551414 
593259;551413 
593265;551412 
594001;551417 
593082;551413 
593401;551416 
592968;551414 
594971;551412 
592995;551414 
592996;551413 
593084;551413 
593233;551415 
593240;551412 
593358;551413 
593364;551413 
593057;551412 
593269;551412 
593738;551417 
593378;551413 
593374;551414 
594487;551412 
