CYCLES;INS
593375;551413 
593378;551413 
593423;551413 
593431;551413 
593426;551413 
593875;551416 
593521;551412 
593891;551414 
593018;551413 
593322;551412 
593308;551415 
593288;551412 
593847;551416 
593162;551413 
594741;551414 
592977;551412 
592982;551412 
593143;551413 
593221;551413 
592939;551412 
592962;551412 
593581;551412 
593265;551413 
593548;551413 
592970;551413 
593315;551413 
593474;551412 
593260;551413 
593119;551414 
593252;551413 
593113;551415 
593129;551414 
594524;551416 
593282;551412 
593111;551412 
593260;551413 
593382;551412 
594222;551415 
593374;551413 
593184;551415 
593229;551412 
593269;551413 
593287;551412 
593298;551413 
593356;551414 
593361;551414 
593117;551413 
592819;551413 
593381;551415 
593261;551413 
593280;551413 
593339;551413 
593725;551416 
593484;551413 
593074;551412 
593473;551416 
593399;551413 
593017;551413 
593055;551413 
593442;551412 
593380;551413 
593113;551413 
593742;551415 
593230;551414 
592958;551412 
593637;551417 
592974;551414 
593261;551413 
593300;551413 
593211;551415 
593601;551417 
593171;551413 
593709;551415 
593003;551412 
593107;551413 
593100;551413 
593432;551414 
594323;551418 
593768;551413 
593764;551414 
593144;551412 
593176;551413 
593281;551413 
593236;551412 
593635;551414 
593372;551412 
593501;551412 
593387;551413 
592982;551413 
594734;551415 
593431;551412 
593108;551412 
593212;551413 
593123;551412 
593135;551413 
592988;551413 
593456;551412 
593549;551414 
593588;551415 
593325;551413 
593120;551413 
593277;551414 
593690;551416 
593723;551415 
593132;551413 
593592;551416 
593333;551413 
593268;551414 
593428;551413 
593348;551413 
593977;551417 
593071;551413 
593287;551412 
592975;551413 
592996;551412 
593328;551415 
593196;551413 
593774;551415 
593353;551412 
592845;551413 
593104;551412 
593568;551415 
593142;551413 
593357;551413 
593476;551414 
593025;551413 
593236;551413 
593215;551412 
593185;551416 
593076;551414 
593275;551413 
593734;551414 
593114;551414 
593350;551413 
593134;551413 
593385;551415 
593632;551414 
593277;551414 
594035;551416 
593665;551413 
593037;551414 
592990;551413 
593001;551413 
593604;551418 
593348;551412 
593763;551415 
593102;551413 
592954;551413 
593286;551412 
593300;551412 
593965;551416 
593110;551413 
593464;551414 
592968;551412 
593141;551412 
593242;551414 
592989;551413 
593816;551412 
593099;551413 
592818;551412 
593226;551412 
593381;551412 
593554;551414 
593463;551413 
593133;551413 
594496;551414 
593123;551412 
592974;551412 
592967;551413 
593441;551413 
592973;551412 
593579;551415 
593372;551412 
593391;551413 
592971;551413 
593002;551413 
593297;551418 
593434;551413 
593768;551414 
593407;551413 
593132;551414 
593106;551413 
593288;551412 
593866;551417 
593397;551414 
592994;551414 
593087;551412 
592967;551413 
593241;551413 
593138;551413 
593283;551413 
593563;551415 
593282;551413 
593139;551413 
593903;551414 
592938;551413 
593141;551413 
592823;551412 
593260;551414 
593280;551414 
593239;551412 
593446;551417 
593591;551412 
592824;551413 
593456;551414 
593142;551414 
593114;551414 
593163;551412 
593616;551415 
593272;551414 
593124;551412 
593958;551416 
593234;551412 
593361;551413 
593114;551412 
594469;551416 
593989;551417 
593129;551413 
593122;551415 
593400;551414 
593558;551413 
593120;551413 
593270;551413 
593298;551415 
593317;551414 
593278;551412 
592975;551412 
593568;551412 
593827;551415 
593112;551414 
593550;551414 
593440;551414 
593428;551412 
593282;551414 
593269;551414 
593229;551413 
593269;551413 
593515;551414 
593152;551414 
592945;551412 
593286;551412 
593507;551413 
593783;551416 
593095;551413 
593386;551415 
593117;551413 
593242;551414 
592995;551413 
593370;551412 
593613;551416 
593144;551413 
592915;551415 
593475;551413 
593353;551413 
593112;551415 
593350;551414 
593526;551415 
592842;551412 
593279;551413 
593250;551414 
593260;551413 
593284;551413 
593635;551419 
593263;551413 
593808;551414 
593198;551413 
593277;551413 
593001;551413 
593119;551412 
593767;551415 
593392;551413 
593287;551413 
592989;551412 
593395;551414 
593623;551413 
593360;551413 
593665;551412 
592993;551412 
592971;551413 
593044;551413 
593197;551419 
593508;551413 
593001;551414 
593877;551415 
593534;551413 
592845;551412 
593126;551412 
593406;551416 
593626;551415 
593080;551413 
594043;551416 
593112;551413 
593209;551413 
593008;551412 
593831;551415 
593632;551415 
592797;551413 
593082;551414 
593596;551413 
593438;551414 
593445;551415 
593269;551414 
593938;551417 
593126;551413 
593095;551413 
593429;551413 
593003;551413 
593125;551413 
593253;551413 
593696;551414 
593247;551414 
592942;551413 
593343;551412 
593128;551415 
593286;551412 
593395;551413 
593072;551415 
593281;551414 
593277;551412 
593260;551414 
593432;551413 
593449;551415 
593273;551413 
593374;551413 
593129;551413 
592955;551414 
593117;551414 
593258;551413 
593786;551415 
592809;551413 
593662;551418 
593401;551413 
593289;551412 
593141;551414 
593069;551413 
594291;551417 
593139;551413 
593782;551415 
593402;551413 
593129;551412 
593461;551414 
593416;551413 
593707;551414 
592992;551412 
592956;551413 
593120;551413 
593915;551415 
593112;551413 
593129;551413 
592978;551413 
593702;551415 
593151;551414 
593188;551413 
593619;551415 
593282;551412 
593114;551412 
593634;551413 
593433;551413 
593265;551413 
593159;551412 
593477;551414 
593696;551415 
592834;551414 
593498;551416 
593292;551413 
593140;551413 
593385;551412 
593330;551417 
594619;551417 
593116;551413 
593813;551415 
593154;551413 
593262;551413 
593206;551413 
592968;551414 
593595;551416 
593445;551415 
593471;551414 
592831;551412 
593426;551413 
593228;551413 
593120;551413 
593387;551413 
593269;551414 
593261;551412 
593244;551413 
593288;551413 
594002;551413 
593622;551413 
593463;551415 
593107;551413 
593493;551412 
593121;551412 
592965;551413 
593632;551415 
593072;551413 
594222;551417 
593335;551414 
593548;551412 
593163;551413 
592966;551412 
594099;551417 
593264;551413 
593768;551416 
592846;551414 
593128;551413 
592980;551413 
593546;551413 
593259;551413 
593314;551414 
593043;551413 
593435;551412 
592975;551413 
594837;551415 
593380;551413 
593445;551413 
593762;551413 
592975;551412 
593191;551412 
593158;551415 
593125;551413 
593401;551413 
593393;551414 
593255;551412 
592826;551412 
593104;551414 
594284;551417 
593281;551413 
593112;551413 
593701;551416 
593286;551412 
593387;551414 
593272;551413 
593469;551415 
593180;551415 
593285;551414 
593895;551415 
593423;551413 
592987;551413 
593491;551412 
593282;551413 
593983;551415 
593228;551412 
593663;551414 
593128;551413 
593460;551412 
593257;551412 
593092;551413 
594797;551417 
592951;551413 
593336;551412 
593270;551414 
593208;551413 
592999;551412 
593302;551414 
592954;551413 
593354;551414 
593374;551413 
593169;551413 
593181;551412 
593117;551413 
593125;551413 
593544;551416 
593699;551414 
592933;551413 
593138;551412 
593225;551413 
593276;551412 
592840;551414 
593592;551416 
593157;551414 
593413;551414 
593242;551413 
593323;551413 
594278;551415 
593096;551413 
593936;551418 
593245;551412 
592816;551412 
593286;551412 
593448;551413 
593650;551417 
593141;551414 
593250;551414 
593295;551412 
593279;551412 
593121;551413 
593321;551414 
593863;551416 
