CYCLES;INS
593379;551412 
593082;551413 
593168;551414 
594421;551421 
594656;551413 
592970;551413 
593259;551413 
593378;551413 
593863;551419 
593050;551413 
594410;551414 
595489;551414 
593262;551413 
593099;551413 
593196;551414 
593262;551414 
593473;551412 
593369;551412 
593450;551413 
592955;551413 
593654;551415 
593260;551412 
594745;551416 
594932;551413 
593227;551413 
593776;551414 
593260;551413 
593118;551415 
593086;551413 
592986;551412 
594403;551412 
593371;551413 
592956;551413 
593315;551412 
593083;551412 
593359;551412 
593314;551413 
593937;551415 
593148;551413 
593404;551413 
594308;551413 
593162;551413 
593303;551416 
593397;551412 
593606;551413 
592985;551413 
594447;551412 
593081;551414 
593182;551417 
593242;551412 
593253;551412 
593063;551413 
593134;551413 
593394;551412 
593243;551413 
593132;551412 
593953;551415 
593269;551412 
593077;551412 
596101;551415 
593294;551413 
593257;551415 
593138;551413 
593077;551413 
594002;551415 
593354;551412 
593225;551412 
593263;551412 
593240;551413 
595009;551412 
593135;551413 
594219;551414 
593444;551414 
593797;551417 
593247;551413 
594793;551416 
592967;551413 
593560;551412 
593873;551419 
593064;551412 
594063;551413 
593352;551414 
593224;551413 
593118;551412 
593263;551412 
593787;551412 
593180;551412 
593256;551413 
593456;551414 
593076;551413 
593875;551414 
593231;551412 
595089;551416 
593745;551412 
593095;551412 
593502;551414 
593537;551412 
593516;551417 
593284;551414 
593405;551414 
593270;551413 
593668;551417 
592982;551412 
593366;551414 
593073;551413 
593087;551413 
593312;551413 
593417;551413 
593129;551414 
595340;551415 
593155;551412 
593369;551416 
593407;551412 
593084;551413 
593729;551417 
594325;551413 
593640;551414 
593723;551414 
593265;551413 
593521;551413 
593247;551412 
593130;551413 
593443;551413 
593271;551413 
593002;551413 
593108;551412 
593318;551415 
593170;551412 
594162;551416 
593466;551414 
593084;551414 
598426;551415 
592831;551413 
595064;551417 
593200;551413 
593274;551414 
593202;551412 
593104;551412 
593814;551412 
593366;551413 
594208;551412 
593244;551413 
593051;551413 
593188;551413 
593267;551413 
593399;551413 
593408;551413 
593404;551414 
596648;551416 
593514;551413 
595080;551416 
593156;551414 
593137;551413 
593462;551415 
593238;551412 
593442;551415 
593263;551413 
593368;551413 
593059;551413 
593411;551412 
593292;551412 
593092;551412 
593112;551412 
593262;551412 
593261;551413 
593524;551413 
593363;551412 
594388;551416 
593245;551412 
593600;551418 
594575;551412 
593482;551413 
593405;551415 
593976;551413 
593389;551415 
593284;551413 
593244;551412 
593359;551413 
593268;551413 
592835;551413 
593084;551413 
593262;551413 
593241;551412 
593596;551412 
593282;551413 
594239;551413 
594281;551416 
594624;551412 
593153;551412 
593668;551414 
594859;551412 
593300;551418 
593382;551413 
593141;551413 
592947;551412 
594790;551415 
593242;551413 
592959;551413 
593397;551412 
593054;551412 
593392;551412 
593240;551414 
593350;551412 
594087;551417 
593108;551414 
593618;551413 
593382;551412 
593064;551413 
593539;551417 
593277;551412 
593120;551414 
593528;551413 
593193;551412 
593473;551413 
593412;551413 
592973;551412 
593467;551412 
592959;551412 
593302;551413 
593082;551413 
593634;551415 
592992;551412 
593561;551417 
593093;551414 
593152;551412 
593492;551414 
593242;551412 
596729;551414 
593391;551412 
593124;551412 
593417;551412 
593249;551412 
592955;551412 
593164;551413 
593126;551414 
593220;551413 
593119;551412 
593148;551412 
592969;551413 
593502;551417 
593695;551414 
594483;551415 
593419;551413 
593324;551413 
594080;551417 
594248;551413 
593210;551415 
593116;551414 
593684;551414 
593384;551413 
593200;551413 
594253;551412 
593152;551412 
593291;551413 
593367;551413 
593305;551413 
593381;551412 
593948;551414 
596983;551418 
595439;551414 
593026;551412 
596204;551415 
593142;551413 
593226;551415 
593149;551413 
593256;551413 
593109;551413 
593378;551413 
592980;551413 
593237;551412 
593228;551413 
593571;551412 
593323;551412 
593215;551413 
593942;551412 
593270;551412 
592979;551413 
593816;551416 
593202;551413 
593257;551412 
593513;551414 
593285;551414 
593518;551415 
593077;551413 
593064;551412 
594396;551435 
593227;551412 
593375;551412 
593255;551412 
594068;551412 
594690;551413 
593601;551413 
593245;551412 
593301;551412 
594232;551415 
593293;551413 
593557;551413 
593248;551412 
593192;551412 
593649;551414 
593128;551413 
593455;551417 
593057;551413 
593205;551413 
592960;551413 
594207;551413 
593258;551412 
593091;551413 
592970;551413 
593357;551412 
592931;551413 
593554;551412 
593251;551413 
593658;551416 
594439;551415 
593470;551414 
593416;551414 
593451;551413 
594491;551415 
594764;551413 
593139;551412 
593121;551414 
593292;551413 
593110;551413 
593335;551412 
593116;551412 
593341;551412 
593248;551413 
593305;551413 
593167;551413 
600527;551415 
593116;551412 
593738;551417 
593383;551414 
593397;551412 
593698;551415 
594811;551413 
593901;551417 
593399;551412 
593319;551412 
592813;551413 
593374;551413 
593246;551414 
593401;551412 
593006;551414 
593128;551413 
592942;551413 
593177;551414 
593099;551412 
595843;551416 
593975;551414 
593235;551413 
593750;551415 
593120;551413 
595318;551419 
593124;551413 
593892;551412 
593257;551412 
592980;551412 
593462;551414 
593286;551413 
593261;551412 
593241;551412 
593084;551412 
593214;551413 
593804;551413 
594241;551419 
593101;551412 
593288;551413 
593261;551413 
593321;551412 
594957;551418 
593417;551412 
593413;551415 
593082;551414 
594052;551414 
593002;551413 
592851;551413 
593051;551412 
592983;551413 
593483;551413 
593439;551412 
593765;551412 
593253;551412 
593013;551413 
593762;551415 
593429;551413 
592958;551414 
594173;551415 
592941;551414 
593482;551416 
593381;551413 
594246;551412 
593079;551414 
593344;551412 
593293;551413 
593143;551413 
593244;551413 
594298;551413 
593083;551412 
594401;551413 
