CYCLES;INS
593580;551413 
593908;551416 
593436;551413 
592871;551413 
593172;551412 
593245;551413 
594178;551416 
593294;551414 
593704;551416 
593373;551418 
593709;551412 
593418;551413 
593323;551414 
593215;551414 
593493;551413 
594393;551413 
593088;551413 
593382;551412 
592962;551412 
592958;551413 
593294;551413 
593074;551414 
593113;551413 
593653;551412 
593333;551413 
593418;551416 
594070;551412 
594902;551418 
593693;551415 
593370;551412 
593120;551413 
593095;551412 
593262;551412 
593663;551412 
593240;551413 
593152;551412 
593005;551412 
593282;551412 
593270;551412 
593187;551413 
593526;551412 
592979;551414 
594892;551412 
593166;551412 
594256;551417 
593339;551414 
593490;551414 
594118;551415 
594429;551412 
593415;551412 
593158;551413 
593000;551412 
593326;551412 
592963;551413 
595460;551412 
593462;551413 
593234;551412 
595183;551413 
593598;551414 
593094;551413 
593301;551412 
592979;551413 
593263;551413 
596218;551415 
593112;551413 
593108;551414 
593782;551415 
593291;551412 
593525;551413 
594055;551413 
592988;551413 
593124;551414 
592852;551412 
593180;551412 
593749;551418 
593136;551413 
593397;551413 
594680;551417 
593338;551415 
593185;551413 
593257;551414 
593444;551414 
593266;551413 
594392;551415 
593570;551417 
594084;551413 
593276;551413 
594409;551412 
593278;551412 
594248;551415 
594340;551412 
593260;551414 
595687;551413 
593502;551414 
593270;551414 
593729;551412 
593207;551415 
593139;551413 
593804;551417 
593126;551412 
596356;551417 
592988;551413 
595517;551417 
593908;551418 
593263;551414 
593260;551414 
593186;551413 
593263;551414 
593816;551416 
593117;551413 
592968;551413 
593392;551414 
593223;551413 
593326;551413 
593427;551412 
593458;551414 
593241;551412 
593352;551414 
593391;551414 
593294;551412 
593213;551412 
594255;551415 
595383;551415 
593662;551413 
593236;551413 
593499;551413 
593379;551413 
594774;551416 
593137;551413 
593205;551413 
593273;551413 
593745;551413 
593290;551413 
593278;551413 
593143;551413 
592836;551412 
593403;551412 
593114;551413 
593401;551413 
592966;551413 
593845;551416 
593294;551415 
593291;551412 
593134;551413 
593897;551414 
593253;551412 
594047;551416 
593274;551412 
593111;551413 
593518;551416 
594830;551412 
592818;551412 
593264;551412 
593235;551413 
593397;551413 
593121;551413 
593255;551413 
595310;551416 
593273;551413 
593475;551415 
595492;551416 
593084;551414 
592805;551413 
593112;551413 
593412;551413 
593846;551413 
593372;551412 
593052;551412 
593121;551412 
593668;551413 
593852;551412 
594199;551412 
593251;551414 
593038;551413 
593328;551413 
593311;551413 
593637;551415 
593272;551413 
593436;551418 
593834;551419 
593334;551415 
593266;551413 
592964;551413 
594410;551413 
593603;551416 
593565;551412 
593263;551412 
593478;551418 
593099;551412 
593588;551416 
593086;551413 
593936;551416 
592844;551412 
594408;551414 
593929;551412 
595012;551416 
593314;551412 
593761;551415 
595211;551417 
592967;551412 
593290;551414 
595716;551418 
593395;551412 
593975;551416 
594608;551417 
593609;551414 
593233;551413 
592942;551413 
593238;551413 
