CYCLES;INS
593640;551413 
593338;551413 
594427;551415 
593663;551413 
593506;551415 
593296;551415 
594822;551412 
593072;551412 
592978;551412 
593218;551412 
594408;551413 
593405;551413 
593262;551413 
593111;551412 
593406;551416 
592949;551412 
592829;551413 
595185;551415 
593101;551413 
593434;551412 
594345;551413 
594365;551413 
595293;551413 
593107;551413 
593106;551413 
593401;551413 
593681;551413 
593478;551415 
593406;551413 
594633;551414 
593149;551413 
594322;551413 
594083;551416 
593270;551412 
593225;551413 
593442;551414 
593044;551413 
594194;551413 
593108;551413 
593126;551414 
593541;551413 
592965;551413 
593288;551413 
594360;551417 
593926;551417 
593229;551413 
593945;551414 
593325;551416 
595154;551412 
593564;551415 
594202;551414 
593385;551415 
593275;551414 
593448;551412 
593284;551414 
593153;551413 
593227;551413 
593232;551413 
593258;551413 
593040;551412 
593385;551413 
593341;551413 
594924;551413 
593601;551415 
593252;551413 
594603;551413 
593515;551416 
593582;551413 
593566;551414 
593281;551413 
593615;551416 
593525;551412 
593331;551412 
594438;551413 
592939;551413 
593397;551412 
593158;551414 
593096;551413 
593816;551421 
594117;551413 
593325;551414 
593375;551413 
593453;551413 
593910;551417 
593444;551412 
593451;551414 
593667;551417 
593106;551413 
592972;551412 
593467;551412 
593313;551415 
593343;551413 
595325;551412 
593588;551415 
593226;551412 
593288;551417 
593113;551412 
593104;551412 
593823;551414 
593070;551413 
593232;551412 
593445;551413 
593442;551412 
593861;551412 
593169;551413 
593555;551413 
593242;551412 
593401;551412 
594603;551415 
593234;551412 
593547;551415 
593386;551413 
594389;551414 
594902;551418 
593415;551413 
593376;551413 
593458;551412 
594945;551414 
593503;551412 
593095;551414 
593108;551413 
594131;551413 
593390;551412 
594572;551414 
593243;551413 
594692;551419 
593547;551413 
593964;551413 
593363;551416 
594447;551414 
594680;551415 
594417;551413 
593496;551413 
593225;551413 
593494;551412 
593202;551412 
593575;551412 
593255;551412 
593280;551414 
593268;551412 
593993;551418 
593308;551413 
593357;551412 
593353;551415 
593190;551413 
593900;551414 
593109;551413 
593275;551413 
593002;551413 
593106;551413 
593142;551413 
594399;551414 
593082;551412 
593422;551412 
593416;551413 
593241;551416 
593426;551413 
593440;551412 
594718;551413 
593070;551413 
595539;551414 
594324;551415 
593250;551412 
593261;551413 
593231;551413 
593127;551414 
593384;551412 
593179;551412 
593573;551413 
593493;551415 
594166;551417 
593486;551412 
593482;551413 
593355;551414 
593174;551412 
595485;551417 
593237;551412 
593136;551415 
593282;551412 
593286;551413 
592963;551412 
594186;551412 
593541;551412 
593264;551412 
593077;551412 
595223;551416 
593156;551413 
593101;551415 
593283;551413 
594340;551413 
593844;551420 
593051;551412 
593404;551413 
594775;551415 
593245;551413 
593413;551413 
593246;551412 
593271;551414 
593219;551412 
593244;551412 
593503;551412 
593940;551413 
594781;551415 
594051;551413 
593399;551412 
594018;551415 
593068;551413 
594267;551413 
593083;551412 
593474;551416 
593113;551413 
593158;551413 
593489;551414 
593279;551412 
593146;551413 
593399;551413 
592981;551412 
593602;551418 
592927;551413 
