CYCLES;INS
594101;551414 
593490;551414 
594144;551413 
593356;551419 
593131;551414 
593087;551414 
594989;551416 
593376;551412 
593410;551418 
593802;551414 
593981;551412 
593127;551413 
593072;551412 
593912;551414 
592951;551413 
593173;551412 
593206;551412 
593293;551414 
593272;551412 
593896;551414 
593092;551413 
593371;551413 
593803;551414 
593339;551413 
593224;551416 
593085;551413 
593139;551412 
593833;551419 
594253;551413 
593825;551419 
593104;551412 
594367;551413 
595205;551414 
592973;551414 
593516;551414 
593207;551413 
593059;551413 
592948;551413 
593169;551413 
595247;551412 
593961;551414 
593270;551412 
593138;551413 
595660;551415 
593082;551413 
593084;551416 
593323;551414 
595332;551413 
595375;551420 
593385;551412 
595284;551413 
593028;551413 
593094;551413 
593263;551412 
593125;551412 
593087;551413 
593301;551412 
592938;551414 
593556;551412 
593204;551412 
592947;551413 
593386;551415 
593059;551413 
593272;551413 
593604;551415 
593607;551412 
593645;551415 
594336;551413 
593275;551414 
593682;551413 
593233;551413 
594911;551417 
593105;551412 
593094;551412 
593448;551413 
593072;551412 
593117;551413 
593264;551413 
593104;551414 
592833;551414 
593107;551413 
593510;551413 
593454;551416 
594763;551412 
593450;551414 
593752;551415 
593370;551413 
593146;551415 
594352;551413 
593231;551413 
595636;551418 
593243;551413 
593495;551416 
593073;551413 
593126;551412 
594186;551414 
593274;551413 
593229;551413 
592965;551412 
592994;551414 
593220;551412 
593251;551413 
593415;551413 
594133;551414 
593408;551412 
593338;551413 
593734;551418 
593389;551412 
593362;551417 
593291;551413 
593084;551413 
593535;551417 
593389;551412 
594705;551417 
593092;551413 
593527;551414 
593227;551413 
593164;551413 
593306;551413 
593305;551413 
593414;551413 
593429;551412 
593254;551413 
593314;551414 
593473;551415 
593139;551413 
593390;551412 
593499;551415 
593382;551413 
593384;551415 
593389;551413 
593253;551413 
593589;551416 
592957;551413 
595122;551417 
593092;551413 
593109;551413 
592994;551413 
593427;551414 
593217;551414 
593583;551412 
593141;551414 
593084;551413 
593489;551414 
593621;551412 
593275;551413 
593224;551413 
593527;551412 
593724;551413 
593130;551413 
593641;551416 
594328;551413 
593733;551413 
593947;551416 
593165;551414 
593829;551419 
593379;551413 
593211;551412 
593459;551412 
593108;551413 
593269;551414 
593617;551413 
593161;551413 
593026;551414 
593406;551413 
593254;551412 
593762;551414 
593205;551413 
593409;551413 
593447;551414 
593149;551413 
594436;551414 
593787;551413 
593140;551414 
595716;551418 
592941;551413 
593281;551413 
593607;551412 
593116;551413 
593228;551413 
593219;551413 
593153;551413 
593162;551413 
592798;551413 
594718;551412 
593267;551412 
593060;551413 
593446;551413 
593655;551415 
593130;551413 
594471;551414 
593293;551414 
593543;551414 
593427;551416 
593288;551412 
594076;551418 
593242;551414 
593253;551412 
593866;551412 
593075;551412 
592989;551414 
592967;551413 
593073;551413 
593279;551414 
593242;551413 
594523;551414 
593391;551412 
593379;551413 
593243;551412 
594479;551413 
593609;551413 
593135;551414 
593224;551413 
593120;551412 
593651;551415 
593238;551412 
593243;551413 
594857;551419 
593410;551412 
595486;551419 
593571;551414 
593250;551414 
593113;551414 
592965;551413 
593073;551413 
593064;551413 
594593;551413 
594310;551413 
593256;551413 
593259;551412 
592972;551414 
593237;551413 
593010;551413 
593678;551419 
593322;551414 
593865;551415 
593213;551413 
593146;551413 
594201;551418 
593248;551412 
593406;551415 
595308;551416 
593109;551413 
593265;551414 
593268;551413 
593002;551413 
593289;551413 
593133;551413 
593119;551413 
593179;551413 
593382;551412 
593237;551413 
593384;551413 
593168;551413 
593607;551415 
593982;551412 
593472;551416 
593247;551412 
593263;551414 
593588;551421 
593469;551414 
593088;551414 
593769;551413 
592856;551413 
593235;551412 
592966;551412 
593265;551413 
592823;551412 
593671;551413 
593246;551414 
593425;551417 
593134;551412 
593304;551413 
594126;551414 
593243;551414 
594102;551413 
593100;551414 
593387;551413 
593796;551415 
593060;551413 
593541;551417 
593679;551413 
593211;551413 
593308;551415 
593382;551414 
593274;551414 
593004;551414 
593259;551414 
594312;551413 
593238;551412 
593099;551414 
594201;551415 
593185;551412 
593118;551413 
593683;551414 
592933;551413 
593348;551413 
592967;551414 
594314;551412 
593686;551414 
593017;551413 
594236;551420 
593058;551413 
593201;551412 
593476;551415 
594237;551413 
595078;551415 
593648;551412 
593110;551413 
593079;551414 
594079;551413 
593380;551412 
593385;551416 
593398;551413 
593041;551413 
593740;551413 
592994;551413 
593369;551414 
593113;551413 
593247;551413 
593643;551415 
593386;551412 
594840;551417 
593494;551413 
593128;551414 
593428;551414 
593330;551414 
593290;551413 
593096;551414 
593279;551413 
593934;551412 
593254;551413 
593100;551414 
593958;551415 
593337;551414 
593179;551413 
593560;551415 
593275;551412 
593421;551414 
593121;551414 
593263;551414 
593933;551415 
593137;551412 
593469;551417 
593083;551413 
594042;551413 
594608;551414 
592964;551412 
593654;551413 
593288;551413 
592971;551413 
593287;551413 
593289;551412 
593353;551413 
593476;551416 
593096;551413 
593381;551413 
595500;551417 
593448;551413 
593408;551413 
593416;551413 
593358;551413 
595878;551416 
593092;551413 
593346;551415 
593270;551413 
593159;551414 
593406;551413 
593365;551412 
593108;551414 
593416;551414 
593151;551414 
593103;551412 
593524;551412 
593250;551413 
593350;551415 
593137;551414 
592970;551414 
593733;551417 
593972;551412 
593225;551414 
593137;551413 
593294;551412 
596031;551420 
593429;551413 
593515;551415 
593355;551412 
593104;551412 
593315;551414 
593377;551413 
594071;551413 
593398;551413 
593340;551412 
593416;551413 
594041;551412 
593159;551413 
595435;551414 
593508;551414 
593405;551412 
595765;551418 
593497;551414 
593215;551414 
593074;551413 
593138;551412 
593797;551416 
593194;551413 
593572;551416 
593084;551413 
593284;551413 
593498;551414 
593314;551413 
593262;551412 
594380;551412 
593123;551412 
593766;551413 
593131;551413 
593556;551413 
593224;551414 
593115;551414 
593159;551413 
593879;551415 
593519;551414 
593182;551414 
593100;551413 
593241;551414 
593479;551419 
593240;551413 
593816;551418 
593262;551413 
593240;551413 
594199;551414 
593275;551413 
593211;551413 
592943;551414 
593271;551412 
592976;551412 
594707;551413 
592976;551412 
594532;551414 
593098;551412 
593541;551413 
593580;551415 
593307;551413 
593348;551414 
593425;551413 
592939;551412 
593668;551414 
593394;551413 
593320;551419 
593340;551414 
593728;551412 
593239;551412 
593477;551414 
593269;551413 
593286;551413 
593131;551413 
593453;551412 
593549;551412 
593132;551413 
593277;551414 
593713;551415 
593221;551413 
593250;551417 
593110;551412 
593116;551412 
593391;551412 
593229;551413 
593790;551418 
593158;551414 
592984;551412 
593796;551416 
593110;551413 
593419;551414 
593264;551413 
593142;551413 
594410;551412 
593229;551413 
593248;551413 
593880;551415 
594438;551414 
593402;551413 
593527;551415 
593333;551413 
593628;551416 
593096;551413 
593232;551412 
596506;551420 
592994;551413 
595331;551421 
593226;551413 
592956;551413 
593248;551414 
593115;551412 
593246;551413 
593257;551414 
593303;551413 
593926;551414 
594305;551413 
593401;551413 
597499;551416 
593258;551413 
593281;551414 
594244;551414 
594477;551413 
593581;551415 
594223;551415 
593264;551412 
593829;551414 
592957;551412 
593530;551418 
593126;551412 
593183;551412 
593101;551413 
593309;551414 
593242;551413 
593366;551414 
593780;551413 
593130;551413 
592980;551412 
594609;551413 
595490;551414 
593741;551412 
593229;551412 
593707;551415 
594234;551412 
593966;551415 
593275;551414 
593085;551414 
593855;551415 
594217;551414 
594786;551417 
594329;551412 
593230;551412 
593244;551414 
592916;551413 
592965;551412 
593385;551412 
592940;551413 
593180;551412 
592956;551414 
593216;551413 
595867;551415 
593293;551414 
593102;551413 
593572;551415 
593257;551413 
593140;551412 
594396;551413 
593259;551413 
593321;551417 
593148;551414 
593152;551415 
594497;551412 
592996;551413 
593395;551413 
594999;551414 
593166;551413 
593407;551414 
593138;551414 
593094;551414 
593120;551412 
593426;551413 
593703;551415 
593814;551413 
592993;551413 
593329;551416 
593352;551412 
592846;551413 
593356;551412 
592997;551413 
594466;551416 
593274;551413 
593362;551413 
593223;551412 
592953;551413 
593112;551412 
594215;551413 
593140;551412 
593145;551413 
593103;551413 
595192;551412 
594917;551412 
593258;551412 
593905;551415 
593534;551412 
593012;551414 
594499;551414 
593305;551413 
593111;551413 
593225;551414 
593244;551414 
