CYCLES;INS
594624;551413 
593527;551416 
593190;551413 
594378;551412 
594069;551415 
593090;551412 
593479;551416 
593412;551414 
593232;551413 
592961;551412 
593319;551412 
593116;551412 
593120;551412 
592986;551413 
593080;551413 
593404;551414 
594323;551413 
593071;551413 
593398;551415 
593554;551413 
593272;551414 
593227;551416 
593113;551414 
593445;551420 
592967;551412 
593133;551412 
593154;551412 
594435;551412 
592796;551412 
593450;551415 
592991;551413 
593301;551412 
593097;551413 
593145;551413 
593256;551413 
594012;551416 
593100;551412 
593462;551415 
593126;551412 
592997;551413 
593956;551417 
592954;551412 
593707;551418 
593245;551413 
593144;551413 
593141;551412 
593247;551412 
593162;551413 
593262;551413 
593374;551413 
593323;551414 
593249;551413 
592986;551413 
593378;551413 
595142;551414 
593439;551414 
593347;551417 
593102;551414 
593374;551415 
593689;551414 
593270;551413 
595807;551419 
593287;551413 
594114;551414 
593246;551413 
593078;551412 
593310;551412 
593434;551412 
593100;551412 
593425;551412 
594964;551415 
593895;551413 
594318;551413 
593281;551412 
593388;551412 
596546;551416 
594977;551413 
593332;551414 
593246;551413 
593235;551413 
594777;551418 
592951;551412 
594356;551415 
593098;551414 
593517;551414 
594373;551412 
593000;551413 
593631;551414 
593207;551412 
593152;551414 
592963;551413 
592979;551414 
594976;551413 
592953;551413 
593884;551419 
593529;551416 
593238;551413 
593624;551415 
593004;551413 
594833;551418 
593130;551412 
593408;551412 
593253;551413 
593243;551412 
593104;551413 
593255;551413 
593103;551413 
593109;551412 
593227;551412 
593403;551412 
593241;551413 
593756;551414 
593455;551413 
594819;551416 
594172;551413 
593234;551414 
594065;551416 
592952;551413 
593427;551416 
593165;551412 
593101;551412 
593075;551412 
594202;551413 
593279;551413 
593413;551416 
593218;551413 
593233;551413 
593396;551414 
593310;551413 
593871;551413 
595254;551419 
593258;551413 
594317;551418 
593408;551412 
593277;551412 
594898;551419 
593677;551413 
593219;551413 
593267;551414 
593177;551412 
593206;551413 
593055;551413 
593286;551414 
593272;551413 
593254;551412 
593159;551412 
593002;551413 
593452;551417 
593219;551413 
594031;551418 
593698;551412 
593187;551414 
593737;551416 
593281;551413 
594851;551419 
593932;551413 
593538;551413 
593104;551414 
593135;551413 
593080;551412 
593560;551412 
592993;551416 
593235;551412 
594452;551413 
593410;551413 
592854;551412 
594000;551414 
593280;551412 
593332;551418 
593706;551413 
593097;551412 
593900;551417 
593098;551414 
593853;551414 
593126;551413 
592956;551413 
593385;551412 
593240;551412 
593173;551413 
592981;551412 
593125;551413 
593042;551413 
593091;551413 
593243;551413 
593146;551413 
593441;551415 
593117;551414 
594730;551416 
592956;551413 
593231;551413 
594093;551415 
593222;551413 
594262;551419 
593451;551414 
593096;551412 
593145;551413 
593271;551413 
593248;551413 
593196;551413 
593321;551413 
593139;551412 
593193;551412 
593295;551412 
593294;551414 
593665;551414 
593439;551412 
593714;551417 
593199;551414 
593222;551412 
594951;551414 
593064;551412 
593283;551414 
593209;551412 
594497;551412 
593547;551412 
593222;551412 
593216;551413 
593615;551413 
593120;551413 
593438;551412 
593261;551412 
593060;551412 
593249;551413 
594826;551416 
594195;551414 
593211;551416 
593112;551413 
593598;551413 
595429;551422 
593114;551413 
593532;551414 
593615;551418 
593304;551415 
592960;551413 
593387;551413 
593337;551413 
593055;551412 
593402;551413 
594410;551412 
593140;551413 
593303;551413 
593348;551412 
593274;551412 
593265;551412 
593620;551416 
593354;551413 
592943;551417 
593133;551413 
593090;551413 
594007;551417 
593423;551413 
593613;551417 
593436;551414 
593132;551413 
593241;551414 
592997;551412 
593374;551414 
593385;551413 
593345;551414 
593112;551413 
593272;551413 
593140;551413 
593119;551413 
594221;551415 
594518;551415 
593431;551412 
595048;551413 
593131;551413 
595329;551418 
592997;551413 
592853;551415 
593236;551412 
592997;551412 
593539;551413 
593237;551412 
593925;551416 
593099;551413 
593107;551413 
593219;551413 
593111;551413 
593715;551417 
592973;551414 
593283;551413 
593384;551412 
593247;551412 
593113;551413 
594560;551412 
593543;551413 
593400;551413 
593253;551414 
593353;551414 
594275;551413 
593566;551415 
594293;551412 
593163;551414 
593129;551413 
593381;551412 
594949;551415 
592962;551413 
593379;551415 
593148;551415 
592993;551413 
592984;551414 
593423;551413 
593566;551416 
593383;551413 
593498;551413 
593529;551413 
593209;551413 
593126;551413 
592933;551413 
594160;551415 
593261;551414 
594211;551415 
592992;551413 
593275;551412 
593534;551418 
593141;551414 
593952;551417 
593415;551413 
593254;551412 
593453;551412 
593099;551412 
594304;551413 
593220;551413 
594366;551417 
594498;551413 
593071;551413 
593298;551413 
593111;551412 
593356;551415 
593259;551412 
593656;551415 
593380;551415 
595042;551412 
593511;551414 
593521;551413 
593868;551419 
593255;551414 
593143;551414 
593268;551414 
594889;551412 
593229;551413 
593116;551412 
593238;551412 
593305;551412 
593558;551413 
593126;551414 
593238;551413 
594646;551414 
593449;551413 
593644;551414 
594173;551413 
593124;551412 
593513;551417 
592996;551412 
593648;551417 
593277;551412 
593243;551412 
593101;551412 
594178;551413 
593136;551413 
594040;551414 
592832;551413 
593148;551412 
593002;551413 
593383;551412 
593141;551413 
593432;551417 
593445;551413 
594309;551420 
593102;551414 
593119;551413 
593972;551415 
593125;551412 
593852;551418 
593057;551414 
593128;551413 
592955;551413 
593738;551417 
593102;551413 
593209;551413 
593203;551413 
593119;551413 
593709;551418 
593433;551415 
593504;551413 
594225;551414 
593953;551420 
593422;551417 
593698;551414 
593120;551414 
594399;551420 
593525;551413 
592963;551413 
593332;551413 
593254;551413 
593243;551413 
593218;551413 
593219;551413 
593067;551412 
593242;551412 
593141;551412 
593277;551413 
594042;551415 
593209;551413 
593712;551417 
593324;551412 
594192;551412 
593804;551414 
593271;551413 
594758;551420 
593188;551413 
593272;551413 
593138;551414 
593081;551413 
593096;551413 
593077;551413 
593227;551413 
593152;551413 
593147;551412 
593398;551413 
593295;551413 
593410;551415 
593738;551413 
593332;551416 
593453;551415 
593260;551413 
597317;551420 
593421;551414 
593456;551414 
593116;551413 
593279;551412 
593241;551413 
593282;551414 
593135;551413 
594433;551412 
593557;551413 
593214;551413 
593177;551413 
593800;551413 
592855;551413 
595228;551418 
593226;551413 
594277;551413 
593442;551413 
593572;551412 
593627;551417 
593528;551413 
593374;551412 
593008;551412 
593262;551413 
592969;551413 
593392;551413 
593231;551412 
593106;551413 
593459;551414 
593068;551412 
594203;551413 
594255;551412 
593111;551413 
594853;551417 
593396;551413 
593298;551414 
593536;551413 
593176;551412 
594284;551418 
594532;551413 
593919;551412 
593150;551412 
593293;551412 
594841;551414 
593120;551412 
593582;551412 
593433;551412 
593147;551413 
593515;551413 
592960;551413 
593397;551415 
593552;551414 
593248;551414 
593296;551413 
593373;551412 
594129;551416 
593258;551413 
593279;551419 
593093;551413 
593110;551413 
593202;551414 
593374;551413 
593141;551413 
593197;551414 
593414;551413 
593274;551413 
593638;551412 
593216;551413 
593568;551413 
594048;551418 
593113;551413 
593169;551413 
593437;551416 
593094;551412 
594031;551418 
593402;551412 
593253;551412 
593057;551412 
593317;551412 
593124;551413 
593642;551413 
593090;551414 
593272;551412 
593272;551413 
593134;551413 
593102;551413 
593595;551414 
593251;551413 
595206;551417 
592982;551413 
593124;551412 
594597;551416 
593260;551412 
593208;551412 
593202;551412 
592959;551413 
593253;551412 
593264;551413 
593274;551412 
594824;551413 
593202;551412 
593242;551413 
593131;551413 
593056;551412 
593597;551413 
593346;551414 
593074;551412 
593595;551412 
593948;551416 
593408;551413 
593541;551419 
592978;551413 
593125;551413 
593260;551413 
593094;551412 
594086;551413 
593063;551412 
593244;551413 
593419;551413 
593161;551414 
593619;551413 
593100;551413 
593623;551414 
592969;551413 
594580;551415 
593998;551415 
593239;551413 
594775;551415 
593259;551412 
595152;551420 
593408;551412 
593101;551412 
593398;551412 
593111;551414 
593118;551414 
593096;551412 
593420;551412 
593010;551413 
593232;551413 
593109;551413 
593138;551415 
593962;551415 
593331;551414 
593429;551415 
594606;551412 
593094;551412 
594341;551415 
592947;551414 
594167;551420 
593133;551412 
593262;551413 
593116;551414 
593272;551413 
594537;551413 
594943;551415 
593748;551413 
593115;551413 
593396;551412 
593542;551412 
593084;551412 
593391;551413 
593295;551412 
593888;551415 
593153;551413 
593322;551415 
593332;551413 
593113;551413 
595760;551420 
593445;551414 
593724;551413 
593157;551413 
593097;551413 
593144;551413 
593141;551413 
592976;551412 
593475;551413 
592999;551413 
593148;551413 
593095;551414 
593306;551412 
593086;551413 
593594;551415 
593384;551414 
593432;551416 
593447;551414 
594193;551413 
594438;551419 
593223;551412 
593426;551414 
595220;551413 
593162;551414 
593352;551413 
593023;551413 
593141;551413 
593120;551414 
593086;551413 
593157;551412 
592958;551412 
594025;551413 
593266;551413 
593504;551415 
593098;551413 
593401;551412 
594781;551417 
593240;551414 
593563;551420 
593067;551413 
593122;551413 
594001;551413 
593253;551413 
593273;551413 
593236;551412 
593254;551417 
593100;551413 
