CYCLES;INS
8754157;6247511 
8756162;6247515 
8754171;6247514 
8757198;6247515 
8756206;6247517 
8755217;6247514 
8753992;6247516 
8755621;6247517 
8754508;6247513 
8754845;6247519 
8754463;6247515 
8754580;6247514 
8754008;6247512 
8756502;6247515 
8755956;6247515 
8754181;6247516 
8756294;6247516 
8756485;6247516 
8757962;6247515 
8754368;6247515 
8756000;6247519 
8755911;6247515 
8755854;6247515 
8754388;6247512 
8755027;6247514 
8757589;6247515 
8754633;6247518 
8756155;6247519 
8755184;6247516 
8754668;6247516 
8755631;6247519 
8757684;6247514 
8754668;6247514 
8754815;6247515 
8754074;6247513 
8754391;6247516 
8754666;6247519 
8755031;6247518 
8755329;6247514 
8754073;6247513 
8755806;6247515 
8754459;6247515 
8755418;6247517 
8755338;6247520 
8754388;6247511 
8756667;6247513 
8754587;6247515 
8755207;6247515 
8755491;6247521 
8756881;6247515 
8754075;6247512 
8754723;6247514 
8754470;6247515 
8757076;6247513 
8754887;6247517 
8754575;6247522 
8753999;6247511 
8754814;6247518 
8755470;6247514 
8754475;6247514 
8758000;6247519 
8755124;6247514 
8754712;6247515 
8754589;6247519 
8755126;6247519 
8757744;6247515 
8755043;6247515 
8754406;6247514 
8757753;6247516 
8754196;6247513 
8756430;6247517 
8755687;6247515 
8754970;6247514 
8754857;6247518 
8756645;6247517 
8754675;6247516 
8754975;6247516 
8753840;6247520 
8755358;6247513 
8754646;6247512 
8755140;6247519 
8754417;6247514 
8756737;6247518 
8754561;6247512 
8754660;6247515 
8755576;6247516 
8757389;6247515 
8754443;6247516 
8756107;6247516 
8754064;6247512 
8755456;6247519 
8755311;6247515 
8754847;6247518 
8755005;6247520 
8754319;6247515 
8755553;6247515 
8754229;6247517 
8756297;6247513 
8755959;6247516 
8758452;6247511 
8755597;6247515 
8756104;6247512 
8755478;6247521 
8755733;6247532 
8754653;6247515 
8754329;6247515 
8754914;6247518 
8759040;6247514 
8754772;6247517 
8754858;6247518 
8754429;6247514 
8754899;6247517 
8754598;6247512 
8755262;6247515 
8754854;6247512 
8755838;6247517 
8755473;6247513 
8755078;6247516 
8755064;6247513 
8754980;6247518 
8755021;6247516 
8754353;6247514 
8754220;6247512 
8755401;6247520 
8756177;6247513 
8755920;6247515 
8754937;6247516 
8754140;6247515 
8755500;6247515 
8754609;6247513 
8755623;6247519 
8758373;6247516 
8754712;6247513 
8754283;6247515 
8755847;6247515 
8754283;6247512 
8754242;6247514 
8755037;6247515 
8755296;6247515 
8755789;6247515 
8755276;6247515 
8754454;6247519 
8754827;6247516 
8755264;6247515 
8754762;6247514 
8754550;6247515 
8754555;6247517 
8755922;6247513 
8755150;6247514 
8755617;6247514 
8754795;6247514 
8755166;6247518 
8754646;6247516 
8754726;6247515 
8754358;6247516 
8755246;6247515 
8754521;6247516 
8755525;6247517 
8754867;6247517 
8756427;6247515 
8755216;6247513 
8755084;6247517 
8754803;6247516 
8755318;6247516 
8755586;6247518 
8755436;6247517 
8754536;6247517 
8754730;6247515 
8755091;6247512 
8755599;6247517 
8754848;6247512 
8755211;6247515 
8754527;6247514 
8754779;6247517 
8757068;6247517 
8756106;6247518 
8754123;6247513 
8756135;6247517 
8754929;6247519 
8754318;6247517 
8756733;6247517 
8754237;6247513 
8754334;6247516 
8754459;6247512 
8756185;6247515 
8756220;6247517 
8754308;6247515 
8754707;6247516 
8754760;6247520 
8754566;6247515 
8756858;6247517 
8754616;6247514 
8754202;6247514 
8754481;6247512 
8754836;6247515 
8754957;6247514 
8756089;6247516 
8755680;6247515 
8754816;6247514 
8755496;6247517 
8754709;6247516 
8755774;6247514 
8754751;6247519 
8755439;6247517 
8755619;6247510 
8755706;6247518 
8754962;6247517 
8755593;6247517 
8755496;6247518 
8755061;6247514 
8754645;6247516 
8754703;6247514 
8755033;6247515 
8755824;6247517 
8754309;6247515 
8756487;6247512 
8756921;6247513 
8754510;6247517 
8756726;6247516 
8754987;6247515 
8756808;6247513 
8754813;6247517 
8756857;6247514 
8754626;6247520 
8756673;6247518 
8754101;6247511 
8754478;6247515 
8755502;6247513 
8754750;6247516 
8756968;6247514 
8754990;6247515 
8753839;6247513 
8756834;6247517 
8755567;6247518 
8756717;6247520 
8755071;6247515 
8757848;6247515 
8754084;6247511 
8756452;6247518 
8754892;6247516 
8757393;6247518 
8755269;6247513 
8755436;6247515 
8755238;6247519 
8755962;6247515 
8757318;6247520 
8756299;6247515 
8758328;6247514 
8754613;6247517 
8755912;6247514 
8754662;6247517 
8754870;6247516 
8754931;6247511 
8755391;6247512 
8754915;6247515 
8755308;6247517 
8755431;6247514 
8757426;6247513 
8754861;6247520 
8755450;6247516 
8754485;6247517 
8756048;6247517 
8754510;6247515 
8755776;6247515 
8754404;6247511 
8756503;6247517 
8755093;6247518 
8755176;6247517 
8754789;6247517 
8754982;6247512 
8754359;6247515 
8755616;6247515 
8754264;6247517 
8756063;6247513 
8755946;6247516 
8754268;6247513 
8756297;6247518 
8755348;6247513 
8756375;6247518 
8755473;6247539 
8754831;6247514 
8754439;6247520 
8754938;6247518 
8755010;6247516 
8755320;6247518 
8755152;6247513 
8754651;6247515 
8754378;6247515 
8754625;6247519 
8756079;6247513 
8755701;6247518 
8756525;6247513 
8754754;6247520 
8755320;6247515 
8754844;6247517 
8756280;6247513 
8755566;6247514 
8754992;6247514 
8754092;6247515 
8755476;6247517 
8755026;6247515 
8756364;6247521 
8754594;6247516 
8755718;6247517 
8755840;6247517 
8754413;6247517 
8756384;6247516 
8754685;6247512 
8755140;6247516 
8754889;6247516 
8755487;6247513 
8755406;6247517 
8756239;6247516 
8755224;6247514 
8758341;6247516 
8754399;6247516 
8755855;6247517 
8754826;6247516 
8754916;6247514 
8754355;6247517 
8757311;6247513 
8754044;6247517 
8756075;6247518 
8754989;6247513 
8754952;6247512 
8755877;6247518 
8754658;6247516 
8756063;6247514 
8755501;6247516 
8755323;6247516 
8754704;6247519 
8754708;6247519 
8754340;6247513 
8755026;6247513 
8755607;6247516 
8754279;6247511 
8757018;6247517 
8755217;6247517 
8754448;6247516 
8756971;6247515 
8755264;6247517 
8755726;6247517 
8754922;6247522 
8755330;6247516 
8757184;6247512 
8754382;6247512 
8754279;6247513 
8755449;6247519 
8755241;6247514 
8754586;6247518 
8756472;6247514 
8754919;6247514 
8757974;6247515 
8754737;6247517 
8755564;6247518 
8754880;6247516 
8755153;6247513 
8755378;6247513 
8755107;6247513 
8755306;6247520 
8754316;6247516 
8754491;6247513 
8754429;6247517 
8753980;6247511 
8755058;6247516 
8755078;6247512 
8754784;6247515 
8754673;6247517 
8754753;6247517 
8754560;6247512 
8755147;6247515 
8754585;6247513 
8755646;6247520 
8754336;6247514 
8753891;6247517 
8754203;6247510 
8756559;6247516 
8755954;6247519 
8754966;6247515 
8756181;6247518 
8755268;6247515 
