CYCLES;INS
8753894;6247516 
8756374;6247519 
8753964;6247519 
8755812;6247517 
8755541;6247522 
8755702;6247516 
8754431;6247514 
8754342;6247516 
8754066;6247517 
8753776;6247519 
8754448;6247518 
8754140;6247519 
8754537;6247513 
8753998;6247518 
8754529;6247513 
8755065;6247516 
8754128;6247517 
8755395;6247513 
8754575;6247516 
8754482;6247523 
8753851;6247513 
8753720;6247519 
8754062;6247518 
8754365;6247514 
8754285;6247518 
8754963;6247518 
8754069;6247513 
8754342;6247518 
8754619;6247524 
8754378;6247512 
8755841;6247517 
8754367;6247518 
8753859;6247511 
8756104;6247515 
8754010;6247517 
8753973;6247514 
8753668;6247515 
8755768;6247519 
8754323;6247515 
8754581;6247519 
8753943;6247522 
8754164;6247515 
8755263;6247515 
8755213;6247516 
8756269;6247520 
8753850;6247516 
8754331;6247519 
8756776;6247521 
8753757;6247516 
8753777;6247516 
8754142;6247519 
8754056;6247516 
8754429;6247516 
8754522;6247520 
8754241;6247516 
8756042;6247520 
8754562;6247519 
8754166;6247515 
8755386;6247516 
8755970;6247521 
8754318;6247516 
8756083;6247515 
8754037;6247521 
8753709;6247514 
8754070;6247518 
8753910;6247518 
8754163;6247516 
8754560;6247521 
8756022;6247522 
8754217;6247519 
8756188;6247521 
8754478;6247523 
8754083;6247517 
8754929;6247521 
8754916;6247517 
8755867;6247515 
8754077;6247514 
8753949;6247518 
8753782;6247519 
8754008;6247518 
8754925;6247519 
8754038;6247515 
8754282;6247519 
8754755;6247518 
8754483;6247516 
8754654;6247521 
8754130;6247521 
8756125;6247515 
8754088;6247522 
8755679;6247517 
8754130;6247518 
8754556;6247519 
8754006;6247521 
8754174;6247513 
8754192;6247518 
8754103;6247522 
8755093;6247517 
8754761;6247521 
8754148;6247515 
8755073;6247520 
8754519;6247522 
8754117;6247516 
8754239;6247515 
8755099;6247518 
8755494;6247520 
8754727;6247516 
8754504;6247515 
8753917;6247515 
8754816;6247514 
8755177;6247520 
8755487;6247517 
8754250;6247515 
8754553;6247516 
8754301;6247521 
8754416;6247518 
8753908;6247516 
8756168;6247518 
8754386;6247516 
8754589;6247513 
8754256;6247523 
8755656;6247517 
8754094;6247514 
8755603;6247519 
8755655;6247517 
8754369;6247516 
8754903;6247521 
8756082;6247516 
8754148;6247517 
8754125;6247519 
8753969;6247519 
8754517;6247515 
8755081;6247519 
8754214;6247515 
8754889;6247516 
8754407;6247519 
8753608;6247511 
8753673;6247514 
8754071;6247520 
8755633;6247512 
8754001;6247519 
8755274;6247519 
8755007;6247513 
8755020;6247516 
8754383;6247524 
8753816;6247516 
8754319;6247515 
8755712;6247519 
8755995;6247515 
8753713;6247514 
8754283;6247522 
8754119;6247511 
8753481;6247514 
8755445;6247519 
8754734;6247517 
8754331;6247518 
8755787;6247518 
8754358;6247513 
8754043;6247518 
8755879;6247519 
8756914;6247517 
8754242;6247515 
8756807;6247520 
8754012;6247515 
8753946;6247515 
8754790;6247519 
8755564;6247514 
8754288;6247517 
8754547;6247522 
8754119;6247514 
8755786;6247516 
8754183;6247521 
8754246;6247516 
8754292;6247517 
8755580;6247523 
8754855;6247518 
8754611;6247513 
8754733;6247516 
8753862;6247513 
8753673;6247512 
8754646;6247516 
8754215;6247518 
8755255;6247511 
8754912;6247519 
8755039;6247514 
8755368;6247518 
8755462;6247523 
8754280;6247513 
8754034;6247514 
8756344;6247522 
8753964;6247515 
8754475;6247517 
8755827;6247518 
8753873;6247515 
8754268;6247514 
8754564;6247524 
8754779;6247516 
8755021;6247519 
8754402;6247518 
8755401;6247517 
8754816;6247518 
8755331;6247521 
8753897;6247516 
8754239;6247518 
8756280;6247521 
8755421;6247516 
8754219;6247516 
8754441;6247518 
8754268;6247516 
8753883;6247515 
8756040;6247519 
8753862;6247518 
8754099;6247518 
8754065;6247519 
8753924;6247517 
8754014;6247516 
8755530;6247521 
8754476;6247515 
8753921;6247517 
8754799;6247518 
8755328;6247520 
8754109;6247516 
8754101;6247517 
8753754;6247519 
8754049;6247519 
8756079;6247515 
8754004;6247520 
8753987;6247515 
8754133;6247518 
8754069;6247521 
8753697;6247519 
8755390;6247516 
8754115;6247520 
8754620;6247516 
8754815;6247518 
8756298;6247519 
8754175;6247518 
8753994;6247519 
8754186;6247521 
8754128;6247514 
8754716;6247518 
8754794;6247521 
8754065;6247514 
8754774;6247523 
8756449;6247518 
8755417;6247516 
8755727;6247537 
8755221;6247518 
8756101;6247516 
8754325;6247515 
8753833;6247514 
8753807;6247515 
8754217;6247517 
8754474;6247513 
8754042;6247517 
8754589;6247521 
8754991;6247514 
8755192;6247515 
8755919;6247519 
8754282;6247516 
8754601;6247517 
8754364;6247517 
8756080;6247518 
8753964;6247515 
8754862;6247515 
8754526;6247517 
8754192;6247514 
8755676;6247516 
8754790;6247521 
8754616;6247518 
8754027;6247520 
8754956;6247519 
8754368;6247515 
8754149;6247516 
8754268;6247521 
8754400;6247516 
8754403;6247517 
8755099;6247520 
8754191;6247515 
8753629;6247516 
8753576;6247517 
8754753;6247515 
8754015;6247514 
8756433;6247521 
8754944;6247514 
8754382;6247518 
8753997;6247519 
8755472;6247517 
8753899;6247517 
8754538;6247518 
8755010;6247513 
8754609;6247517 
8754379;6247517 
8754984;6247513 
8754255;6247515 
8753990;6247521 
8754500;6247511 
8754514;6247518 
8756475;6247521 
8753848;6247512 
8754636;6247516 
8754485;6247520 
8754050;6247511 
8753714;6247516 
8753892;6247520 
8754905;6247513 
8754459;6247514 
8755131;6247517 
8755940;6247513 
8753834;6247515 
8754154;6247517 
8754648;6247514 
8754401;6247516 
8755760;6247517 
8754157;6247512 
8754382;6247514 
8754102;6247522 
8754597;6247513 
8755623;6247516 
8754540;6247520 
8754534;6247514 
8754938;6247513 
8753995;6247519 
8754258;6247513 
8756235;6247518 
8756026;6247518 
8754638;6247518 
8754250;6247517 
8754002;6247518 
8754598;6247519 
8756185;6247517 
8754497;6247518 
8754537;6247521 
8755604;6247513 
8753825;6247521 
8754555;6247513 
8754110;6247515 
8754282;6247519 
8753664;6247513 
8755403;6247518 
8753986;6247517 
8754558;6247517 
8754079;6247515 
8754184;6247518 
8754153;6247515 
8756059;6247516 
8754321;6247521 
8754273;6247517 
8755712;6247516 
8755157;6247519 
8755183;6247513 
8753954;6247513 
8753961;6247516 
8753935;6247515 
8753683;6247512 
8755873;6247524 
8755274;6247514 
8753764;6247514 
8754001;6247522 
8754109;6247518 
8755377;6247516 
8754601;6247523 
8754504;6247514 
8754751;6247514 
8754250;6247516 
8754402;6247520 
8755347;6247515 
8754240;6247514 
8754048;6247520 
8754727;6247516 
8753806;6247513 
8754414;6247518 
8754107;6247513 
8754213;6247512 
8754534;6247518 
8755148;6247519 
8754084;6247516 
8755129;6247518 
8754320;6247519 
8753652;6247514 
8755797;6247519 
8754051;6247516 
8753908;6247515 
8754774;6247523 
8755741;6247519 
8753885;6247514 
8753700;6247520 
8753475;6247519 
8754031;6247514 
8754338;6247522 
8754059;6247515 
8754352;6247517 
8756101;6247519 
8755140;6247517 
8753984;6247516 
8755487;6247517 
8755461;6247521 
8754166;6247516 
8755266;6247518 
8754416;6247520 
8753607;6247513 
8754533;6247514 
8754057;6247519 
8754058;6247516 
8755031;6247518 
8754208;6247521 
8753954;6247516 
8754329;6247521 
8754382;6247521 
8753934;6247515 
8755478;6247520 
8754908;6247518 
8754491;6247519 
8754386;6247521 
8753996;6247517 
8753972;6247512 
8754963;6247516 
8755670;6247520 
8754037;6247517 
8754072;6247519 
8754032;6247522 
8754092;6247513 
8754408;6247521 
8756050;6247519 
8754852;6247518 
8754059;6247521 
8755149;6247519 
8755067;6247516 
8753980;6247519 
8755015;6247517 
8753951;6247515 
8753820;6247516 
8753985;6247518 
8754313;6247517 
8754778;6247517 
8755176;6247520 
8754758;6247514 
